reading_order_position,book,total_tokens,unique_lemmas_in_book,new_lemmas_at_this_step,cumulative_vocabulary,percent_of_total_vocabulary,percent_of_book_already_known
1,Luke,10720,2038,2038,2038,38.1,0.0
2,2 John,158,96,6,2044,38.21,93.75
3,3 John,160,108,16,2060,38.51,85.19
4,1 John,965,238,37,2097,39.2,84.45
5,Philemon,212,141,35,2132,39.86,75.18
6,2 Thessalonians,513,252,52,2184,40.83,79.37
7,Jude,316,226,65,2249,42.05,71.24
8,1 Thessalonians,904,362,76,2325,43.47,79.01
9,Titus,509,301,102,2427,45.37,66.11
10,2 Peter,755,397,117,2544,47.56,70.53
11,Colossians,944,433,112,2656,49.65,74.13
12,Ephesians,1432,530,104,2760,51.6,80.38
13,Philippians,1008,448,94,2854,53.36,79.02
14,Galatians,1433,520,96,2950,55.15,81.54
15,2 Timothy,872,456,123,3073,57.45,73.03
16,James,1151,556,121,3194,59.71,78.24
17,1 Peter,1182,543,119,3313,61.94,78.08
18,1 Timothy,1179,538,113,3426,64.05,79.0
19,2 Corinthians,2696,785,158,3584,67.0,79.87
20,1 Corinthians,3885,956,160,3744,69.99,83.26
21,Romans,4029,1060,179,3923,73.34,83.11
22,John,7558,1023,183,4106,76.76,82.11
23,Revelation,5178,911,172,4278,79.98,81.12
24,Mark,6227,1355,183,4461,83.4,86.49
25,Matthew,9985,1685,167,4628,86.52,90.09
26,Hebrews,3323,1032,175,4803,89.79,83.04
27,Acts,11125,2023,546,5349,100.0,73.01
