Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ὁ,The,Art-NMS,G3588,3 John 1,1,3
πρεσβύτερος,elder,Adj-NMS,G4245,3 John 1,2,3
Γαΐῳ,To Gaius,N-DMS,G1050,3 John 1,3,3
τῷ,the,Art-DMS,G3588,3 John 1,4,3
ἀγαπητῷ,beloved,Adj-DMS,G27,3 John 1,5,3
ὃν,whom,RelPro-AMS,G3739,3 John 1,6,3
ἐγὼ,I,PPro-N1S,G1473,3 John 1,7,3
ἀγαπῶ,love,V-PIA-1S,G25,3 John 1,8,3
ἐν,in,Prep,G1722,3 John 1,9,3
ἀληθείᾳ,truth,N-DFS,G225,3 John 1,10,3
Ἀγαπητέ,Beloved,Adj-VMS,G27,3 John 1,11,3
περὶ,concerning,Prep,G4012,3 John 1,12,3
πάντων,all things,Adj-GNP,G3956,3 John 1,13,3
εὔχομαί,I pray,V-PIM/P-1S,G2172,3 John 1,14,3
σε,you,PPro-A2S,G4771,3 John 1,15,3
εὐοδοῦσθαι,to prosper,V-PNM/P,G2137,3 John 1,16,3
καὶ,and,Conj,G2532,3 John 1,17,3
ὑγιαίνειν,to be in good health,V-PNA,G5198,3 John 1,18,3
καθὼς,just as,Adv,G2531,3 John 1,19,3
εὐοδοῦταί,prospers,V-PIM/P-3S,G2137,3 John 1,20,3
σου,your,PPro-G2S,G4771,3 John 1,21,3
ἡ,-,Art-NFS,G3588,3 John 1,22,3
ψυχή,soul,N-NFS,G5590,3 John 1,23,3
ἐχάρην,I rejoiced,V-AIP-1S,G5463,3 John 1,24,3
γὰρ,for,Conj,G1063,3 John 1,25,3
λίαν,exceedingly,Adv,G3029,3 John 1,26,3
ἐρχομένων,coming,V-PPM/P-GMP,G2064,3 John 1,27,3
ἀδελφῶν,of the brothers,N-GMP,G80,3 John 1,28,3
μαρτυρούντων,bearing witness,V-PPA-GMP,G3140,3 John 1,29,3
τῇ,-,Art-DFS,G3588,3 John 1,30,3
σὺ,you,PPro-N2S,G4771,3 John 1,31,3
περιπατεῖς,are walking,V-PIA-2S,G4043,3 John 1,32,3
μειζοτέραν,Greater,Adj-AFS-C,G3173,3 John 1,33,3
τούτων,than these things,DPro-GNP,G3778,3 John 1,34,3
οὐκ,not,Adv,G3756,3 John 1,35,3
ἔχω,I have,V-PIA-1S,G2192,3 John 1,36,3
χαράν,joy,N-AFS,G5479,3 John 1,37,3
ἵνα,that,Conj,G2443,3 John 1,38,3
ἀκούω,I should hear of,V-PSA-1S,G191,3 John 1,39,3
τὰ,-,Art-ANP,G3588,3 John 1,40,3
ἐμὰ,my,PPro-AN1P,G1699,3 John 1,41,3
τέκνα,children,N-ANP,G5043,3 John 1,42,3
περιπατοῦντα,walking,V-PPA-ANP,G4043,3 John 1,43,3
πιστὸν,faithfully,Adj-ANS,G4103,3 John 1,44,3
ποιεῖς,you are doing,V-PIA-2S,G4160,3 John 1,45,3
ὃ,whatever,RelPro-ANS,G3739,3 John 1,46,3
ἐὰν,if,Conj,G1437,3 John 1,47,3
ἐργάσῃ,you might have done,V-ASM-2S,G2038,3 John 1,48,3
εἰς,toward,Prep,G1519,3 John 1,49,3
τοὺς,the,Art-AMP,G3588,3 John 1,50,3
ἀδελφοὺς,brothers,N-AMP,G80,3 John 1,51,3
τοῦτο,they are,DPro-ANS,G3778,3 John 1,52,3
ξένους,strangers,Adj-AMP,G3581,3 John 1,53,3
οἳ,who,RelPro-NMP,G3739,3 John 1,54,3
ἐμαρτύρησάν,testified,V-AIA-3P,G3140,3 John 1,55,3
ἀγάπῃ,love,N-DFS,G26,3 John 1,56,3
ἐνώπιον,before,Prep,G1799,3 John 1,57,3
ἐκκλησίας,the church,N-GFS,G1577,3 John 1,58,3
οὓς,whom,RelPro-AMP,G3739,3 John 1,59,3
καλῶς,well,Adv,G2573,3 John 1,60,3
ποιήσεις,you will do,V-FIA-2S,G4160,3 John 1,61,3
προπέμψας,having set forward,V-APA-NMS,G4311,3 John 1,62,3
ἀξίως,worthily,Adv,G516,3 John 1,63,3
τοῦ,-,Art-GMS,G3588,3 John 1,64,3
Θεοῦ,of God,N-GMS,G2316,3 John 1,65,3
ὑπὲρ,On behalf,Prep,G5228,3 John 1,66,3
τοῦ,of the,Art-GNS,G3588,3 John 1,67,3
Ὀνόματος,name,N-GNS,G3686,3 John 1,68,3
ἐξῆλθον,they went forth,V-AIA-3P,G1831,3 John 1,69,3
μηδὲν,nothing,Adj-ANS,G3367,3 John 1,70,3
λαμβάνοντες,accepting,V-PPA-NMP,G2983,3 John 1,71,3
ἀπὸ,from,Prep,G575,3 John 1,72,3
τῶν,the,Art-GMP,G3588,3 John 1,73,3
ἐθνικῶν,Gentiles,Adj-GMP,G1482,3 John 1,74,3
ἡμεῖς,We,PPro-N1P,G1473,3 John 1,75,3
οὖν,therefore,Conj,G3767,3 John 1,76,3
ὀφείλομεν,ought,V-PIA-1P,G3784,3 John 1,77,3
ὑπολαμβάνειν,to receive,V-PNA,G5274,3 John 1,78,3
τοιούτους,such men,DPro-AMP,G5108,3 John 1,79,3
συνεργοὶ,fellow workers,Adj-NMP,G4904,3 John 1,80,3
γινώμεθα,we may be,V-PSM/P-1P,G1096,3 John 1,81,3
Ἔγραψά,I have written,V-AIA-1S,G1125,3 John 1,82,3
τι,something,IPro-ANS,G5100,3 John 1,83,3
ἐκκλησίᾳ,church,N-DFS,G1577,3 John 1,84,3
ἀλλ,but,Conj,G235,3 John 1,85,3
ὁ,the one,Art-NMS,G3588,3 John 1,86,3
φιλοπρωτεύων,loving to be first,V-PPA-NMS,G5383,3 John 1,87,3
αὐτῶν,among them,PPro-GM3P,G846,3 John 1,88,3
Διοτρεφὴς,Diotrephes,N-NMS,G1361,3 John 1,89,3
ἐπιδέχεται,welcomes,V-PIM/P-3S,G1926,3 John 1,90,3
ἡμᾶς,us,PPro-A1P,G1473,3 John 1,91,3
διὰ,Because of,Prep,G1223,3 John 1,92,3
ἔλθω,I might come,V-ASA-1S,G2064,3 John 1,93,3
ὑπομνήσω,I will bring to remembrance,V-FIA-1S,G5279,3 John 1,94,3
αὐτοῦ,of him,PPro-GM3S,G846,3 John 1,95,3
ἔργα,works,N-ANP,G2041,3 John 1,96,3
ἃ,which,RelPro-ANP,G3739,3 John 1,97,3
ποιεῖ,he is doing,V-PIA-3S,G4160,3 John 1,98,3
λόγοις,with words,N-DMP,G3056,3 John 1,99,3
πονηροῖς,evil,Adj-DMP,G4190,3 John 1,100,3
φλυαρῶν,prating against,V-PPA-NMS,G5396,3 John 1,101,3
μὴ,not,Adv,G3361,3 John 1,102,3
