Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Γαΐῳ,To Gaius,N-DMS,G1050,3 John 1,1,3
εὔχομαί,I pray,V-PIM/P-1S,G2172,3 John 1,2,3
εὐοδοῦσθαι,to prosper,V-PNM/P,G2137,3 John 1,3,3
ξένους,strangers,Adj-AMP,G3581,3 John 1,4,3
ἐκκλησίας,the church,N-GFS,G1577,3 John 1,5,3
προπέμψας,having set forward,V-APA-NMS,G4311,3 John 1,6,3
ἀξίως,worthily,Adv,G516,3 John 1,7,3
ἐθνικῶν,Gentiles,Adj-GMP,G1482,3 John 1,8,3
συνεργοὶ,fellow workers,Adj-NMP,G4904,3 John 1,9,3
φιλοπρωτεύων,loving to be first,V-PPA-NMS,G5383,3 John 1,10,3
Διοτρεφὴς,Diotrephes,N-NMS,G1361,3 John 1,11,3
ἐπιδέχεται,welcomes,V-PIM/P-3S,G1926,3 John 1,12,3
φλυαρῶν,prating against,V-PPA-NMS,G5396,3 John 1,13,3
μιμοῦ,do imitate,V-PMM/P-2S,G3401,3 John 1,14,3
Δημητρίῳ,To Demetrius,N-DMS,G1216,3 John 1,15,3
ἀληθής,TRUE,Adj-NFS,G227,3 John 1,16,3
