Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
μνείαν,mention,N-AFS,G3417,1 Thessalonians 1,1,6
ἀδιαλείπτως,unceasingly,Adv,G89,1 Thessalonians 1,2,6
ἐκλογὴν,election,N-AFS,G1589,1 Thessalonians 1,3,6
πληροφορίᾳ,full assurance,N-DFS,G4136,1 Thessalonians 1,4,6
μιμηταὶ,imitators,N-NMP,G3402,1 Thessalonians 1,5,6
Μακεδονίᾳ,Macedonia,N-DFS,G3109,1 Thessalonians 1,6,6
Ἀχαΐᾳ,Achaia,N-DFS,G882,1 Thessalonians 1,7,6
ἐξήχηται,has sounded forth,V-RIM/P-3S,G1837,1 Thessalonians 1,8,6
ὁποίαν,what,Adj-AFS,G3697,1 Thessalonians 1,9,6
εἴσοδον,reception,N-AFS,G1529,1 Thessalonians 1,10,6
ἀναμένειν,to await,V-PNA,G362,1 Thessalonians 1,11,6
προπαθόντες,having previously suffered,V-APA-NMP,G4310,1 Thessalonians 2,12,6
Φιλίπποις,Philippi,N-DMP,G5375,1 Thessalonians 2,13,6
ἐπαρρησιασάμεθα,we had boldness,V-AIM-1P,G3955,1 Thessalonians 2,14,6
ἀγῶνι,conflict,N-DMS,G73,1 Thessalonians 2,15,6
ἀκαθαρσίας,impurity,N-GFS,G167,1 Thessalonians 2,16,6
δόλῳ,trickery,N-DMS,G1388,1 Thessalonians 2,17,6
ἀρέσκοντες,pleasing,V-PPA-NMP,G700,1 Thessalonians 2,18,6
κολακείας,of flattery,N-GFS,G2850,1 Thessalonians 2,19,6
βάρει,weight,N-DNS,G922,1 Thessalonians 2,20,6
τροφὸς,a nursing mother,N-NFS,G5162,1 Thessalonians 2,21,6
θάλπῃ,would cherish,V-PSA-3S,G2282,1 Thessalonians 2,22,6
ὁμειρόμενοι,yearning over,V-PPM/P-NMP,G2442,1 Thessalonians 2,23,6
ὁσίως,holily,Adv,G3743,1 Thessalonians 2,24,6
ἀμέμπτως,blamelessly,Adv,G274,1 Thessalonians 2,25,6
καθάπερ,just as,Adv,G2509,1 Thessalonians 2,26,6
παραμυθούμενοι,comforting,V-PPM/P-NMP,G3888,1 Thessalonians 2,27,6
μαρτυρόμενοι,charging,V-PPM/P-NMP,G3143,1 Thessalonians 2,28,6
συμφυλετῶν,countrymen,N-GMP,G4853,1 Thessalonians 2,29,6
ἐκδιωξάντων,having driven out,V-APA-GMP,G1559,1 Thessalonians 2,30,6
ἐναντίων,who are set against,Adj-GMP,G1727,1 Thessalonians 2,31,6
ἀναπληρῶσαι,to fill up,V-ANA,G378,1 Thessalonians 2,32,6
ἀπορφανισθέντες,having been bereaved,V-APP-NMP,G642,1 Thessalonians 2,33,6
περισσοτέρως,more abundantly,Adv,G4057,1 Thessalonians 2,34,6
ἐσπουδάσαμεν,were eager,V-AIA-1P,G4704,1 Thessalonians 2,35,6
ἅπαξ,once,Adv,G530,1 Thessalonians 2,36,6
ἐνέκοψεν,hindered,V-AIA-3S,G1465,1 Thessalonians 2,37,6
στέφανος,crown,N-NMS,G4735,1 Thessalonians 2,38,6
καυχήσεως,of boasting,N-GFS,G2746,1 Thessalonians 2,39,6
στέγοντες,enduring,V-PPA-NMP,G4722,1 Thessalonians 3,40,6
Ἀθήναις,Athens,N-DFP,G116,1 Thessalonians 3,41,6
σαίνεσθαι,be moved,V-PNM/P,G4525,1 Thessalonians 3,42,6
προελέγομεν,we were telling beforehand,V-IIA-1P,G4302,1 Thessalonians 3,43,6
ἐπιποθοῦντες,longing,V-PPA-NMP,G1971,1 Thessalonians 3,44,6
εὐχαριστίαν,thanksgiving,N-AFS,G2169,1 Thessalonians 3,45,6
ἁγιωσύνῃ,holiness,N-DFS,G42,1 Thessalonians 3,46,6
παραγγελίας,instructions,N-AFP,G3852,1 Thessalonians 4,47,6
πορνείας,sexual immorality,N-GFS,G4202,1 Thessalonians 4,48,6
τιμῇ,honor,N-DFS,G5092,1 Thessalonians 4,49,6
πάθει,the passion,N-DNS,G3806,1 Thessalonians 4,50,6
ὑπερβαίνειν,to go beyond,V-PNA,G5233,1 Thessalonians 4,51,6
πλεονεκτεῖν,to overreach,V-PNA,G4122,1 Thessalonians 4,52,6
ἔκδικος,avenging is,Adj-NMS,G1558,1 Thessalonians 4,53,6
τοιγαροῦν,So then,Conj,G5105,1 Thessalonians 4,54,6
φιλαδελφίας,brotherly love,N-GFS,G5360,1 Thessalonians 4,55,6
θεοδίδακτοί,taught by God,Adj-NMP,G2312,1 Thessalonians 4,56,6
φιλοτιμεῖσθαι,to strive earnestly,V-PNM/P,G5389,1 Thessalonians 4,57,6
εὐσχημόνως,properly,Adv,G2156,1 Thessalonians 4,58,6
λυπῆσθε,you should be grieved,V-PSM/P-2P,G3076,1 Thessalonians 4,59,6
περιλειπόμενοι,remaining,V-PPM/P-NMP,G4035,1 Thessalonians 4,60,6
κελεύσματι,a loud command,N-DNS,G2752,1 Thessalonians 4,61,6
ἀρχαγγέλου,of an archangel,N-GMS,G743,1 Thessalonians 4,62,6
σάλπιγγι,the trumpet,N-DFS,G4536,1 Thessalonians 4,63,6
ἅμα,together,Adv,G260,1 Thessalonians 4,64,6
ἁρπαγησόμεθα,will be caught away,V-FIP-1P,G726,1 Thessalonians 4,65,6
ἀπάντησιν,the meeting,N-AFS,G529,1 Thessalonians 4,66,6
ἀέρα,the air,N-AMS,G109,1 Thessalonians 4,67,6
ὠδὶν,labor pains,N-NFS,G5604,1 Thessalonians 5,68,6
καταλάβῃ,should overtake,V-ASA-3S,G2638,1 Thessalonians 5,69,6
νήφωμεν,we should be sober,V-PSA-1P,G3525,1 Thessalonians 5,70,6
μεθύουσιν,get drunk,V-PIA-3P,G3184,1 Thessalonians 5,71,6
θώρακα,the breastplate,N-AMS,G2382,1 Thessalonians 5,72,6
περικεφαλαίαν,the helmet,N-AFS,G4030,1 Thessalonians 5,73,6
προϊσταμένους,taking the lead,V-PPM-AMP,G4291,1 Thessalonians 5,74,6
εἰρηνεύετε,Be at peace,V-PMA-2P,G1514,1 Thessalonians 5,75,6
ἀτάκτους,unruly,Adj-AMP,G813,1 Thessalonians 5,76,6
ὀλιγοψύχους,fainthearted,Adj-AMP,G3642,1 Thessalonians 5,77,6
σβέννυτε,do quench,V-PMA-2P,G4570,1 Thessalonians 5,78,6
προφητείας,Prophecies,N-AFP,G4394,1 Thessalonians 5,79,6
ὁλοτελεῖς,completely,Adj-AMP,G3651,1 Thessalonians 5,80,6
ὁλόκληρον,entirely,Adj-NNS,G3648,1 Thessalonians 5,81,6
Ἐνορκίζω,I adjure,V-PIA-1S,G3726,1 Thessalonians 5,82,6
