Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,Philemon 1,1,7
δέσμιος,a prisoner,N-NMS,G1198,Philemon 1,2,7
Χριστοῦ,of Christ,N-GMS,G5547,Philemon 1,3,7
Ἰησοῦ,Jesus,N-GMS,G2424,Philemon 1,4,7
καὶ,and,Conj,G2532,Philemon 1,5,7
Τιμόθεος,Timothy,N-NMS,G5095,Philemon 1,6,7
ὁ,our,Art-NMS,G3588,Philemon 1,7,7
ἀδελφὸς,brother,N-NMS,G80,Philemon 1,8,7
Φιλήμονι,To Philemon,N-DMS,G5371,Philemon 1,9,7
τῷ,the,Art-DMS,G3588,Philemon 1,10,7
ἀγαπητῷ,beloved,Adj-DMS,G27,Philemon 1,11,7
συνεργῷ,fellow worker,Adj-DMS,G4904,Philemon 1,12,7
ἡμῶν,of us,PPro-G1P,G1473,Philemon 1,13,7
Ἀπφίᾳ,to Apphia,N-DFS,G682,Philemon 1,14,7
τῇ,our,Art-DFS,G3588,Philemon 1,15,7
ἀδελφῇ,sister,N-DFS,G79,Philemon 1,16,7
Ἀρχίππῳ,to Archippus,N-DMS,G751,Philemon 1,17,7
συστρατιώτῃ,fellow soldier,N-DMS,G4961,Philemon 1,18,7
κατ,at,Prep,G2596,Philemon 1,19,7
οἶκόν,the house,N-AMS,G3624,Philemon 1,20,7
σου,of you,PPro-G2S,G4771,Philemon 1,21,7
ἐκκλησίᾳ,church,N-DFS,G1577,Philemon 1,22,7
Χάρις,Grace,N-NFS,G5485,Philemon 1,23,7
ὑμῖν,to you,PPro-D2P,G4771,Philemon 1,24,7
εἰρήνη,peace,N-NFS,G1515,Philemon 1,25,7
ἀπὸ,from,Prep,G575,Philemon 1,26,7
Θεοῦ,God,N-GMS,G2316,Philemon 1,27,7
Πατρὸς,Father,N-GMS,G3962,Philemon 1,28,7
Κυρίου,the Lord,N-GMS,G2962,Philemon 1,29,7
Εὐχαριστῶ,I thank,V-PIA-1S,G2168,Philemon 1,30,7
Θεῷ,God,N-DMS,G2316,Philemon 1,31,7
μου,of me,PPro-G1S,G1473,Philemon 1,32,7
πάντοτε,always,Adv,G3842,Philemon 1,33,7
μνείαν,mention,N-AFS,G3417,Philemon 1,34,7
ποιούμενος,making,V-PPM-NMS,G4160,Philemon 1,35,7
ἐπὶ,upon,Prep,G1909,Philemon 1,36,7
τῶν,the,Art-GFP,G3588,Philemon 1,37,7
προσευχῶν,prayers,N-GFP,G4335,Philemon 1,38,7
ἀκούων,hearing,V-PPA-NMS,G191,Philemon 1,39,7
τὴν,-,Art-AFS,G3588,Philemon 1,40,7
ἀγάπην,love,N-AFS,G26,Philemon 1,41,7
πίστιν,faith,N-AFS,G4102,Philemon 1,42,7
ἣν,that,RelPro-AFS,G3739,Philemon 1,43,7
ἔχεις,you have,V-PIA-2S,G2192,Philemon 1,44,7
πρὸς,toward,Prep,G4314,Philemon 1,45,7
τὸν,the,Art-AMS,G3588,Philemon 1,46,7
Κύριον,Lord,N-AMS,G2962,Philemon 1,47,7
Ἰησοῦν,Jesus,N-AMS,G2424,Philemon 1,48,7
εἰς,toward,Prep,G1519,Philemon 1,49,7
πάντας,all,Adj-AMP,G3956,Philemon 1,50,7
τοὺς,the,Art-AMP,G3588,Philemon 1,51,7
ἁγίους,saints,Adj-AMP,G40,Philemon 1,52,7
ὅπως,so that,Conj,G3704,Philemon 1,53,7
ἡ,the,Art-NFS,G3588,Philemon 1,54,7
κοινωνία,fellowship,N-NFS,G2842,Philemon 1,55,7
τῆς,of the,Art-GFS,G3588,Philemon 1,56,7
πίστεώς,faith,N-GFS,G4102,Philemon 1,57,7
ἐνεργὴς,effective,Adj-NFS,G1756,Philemon 1,58,7
γένηται,might become,V-ASM-3S,G1096,Philemon 1,59,7
ἐν,in,Prep,G1722,Philemon 1,60,7
ἐπιγνώσει,the acknowledgment,N-DFS,G1922,Philemon 1,61,7
παντὸς,of every,Adj-GNS,G3956,Philemon 1,62,7
ἀγαθοῦ,good thing,Adj-GNS,G18,Philemon 1,63,7
τοῦ,that is,Art-GNS,G3588,Philemon 1,64,7
ἡμῖν,us,PPro-D1P,G1473,Philemon 1,65,7
Χριστόν,Christ,N-AMS,G5547,Philemon 1,66,7
χαρὰν,Joy,N-AFS,G5479,Philemon 1,67,7
γὰρ,for,Conj,G1063,Philemon 1,68,7
πολλὴν,great,Adj-AFS,G4183,Philemon 1,69,7
ἔσχον,I have,V-AIA-1S,G2192,Philemon 1,70,7
παράκλησιν,encouragement,N-AFS,G3874,Philemon 1,71,7
ἀγάπῃ,love,N-DFS,G26,Philemon 1,72,7
ὅτι,because,Conj,G3754,Philemon 1,73,7
τὰ,the,Art-NNP,G3588,Philemon 1,74,7
σπλάγχνα,hearts,N-NNP,G4698,Philemon 1,75,7
τῶν,of the,Art-GMP,G3588,Philemon 1,76,7
ἁγίων,saints,Adj-GMP,G40,Philemon 1,77,7
ἀναπέπαυται,have been refreshed,V-RIM/P-3S,G373,Philemon 1,78,7
διὰ,by,Prep,G1223,Philemon 1,79,7
σοῦ,you,PPro-G2S,G4771,Philemon 1,80,7
