Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
δέσμιος,a prisoner,N-NMS,G1198,Philemon 1,1,7
Φιλήμονι,To Philemon,N-DMS,G5371,Philemon 1,2,7
Ἀπφίᾳ,to Apphia,N-DFS,G682,Philemon 1,3,7
Ἀρχίππῳ,to Archippus,N-DMS,G751,Philemon 1,4,7
συστρατιώτῃ,fellow soldier,N-DMS,G4961,Philemon 1,5,7
ἐνεργὴς,effective,Adj-NFS,G1756,Philemon 1,6,7
ἐπιγνώσει,the acknowledgment,N-DFS,G1922,Philemon 1,7,7
ἀνῆκον,befitting,V-PPA-ANS,G433,Philemon 1,8,7
νυνὶ,now,Adv,G3570,Philemon 1,9,7
Ὀνήσιμον,Onesimus,N-AMS,G3682,Philemon 1,10,7
ἄχρηστον,useless,Adj-AMS,G890,Philemon 1,11,7
εὔχρηστον,useful,Adj-AMS,G2173,Philemon 1,12,7
γνώμης,consent,N-GFS,G1106,Philemon 1,13,7
ἑκούσιον,willingness,Adj-ANS,G1595,Philemon 1,14,7
τάχα,Perhaps,Adv,G5029,Philemon 1,15,7
ἐχωρίσθη,he was separated from you,V-AIP-3S,G5563,Philemon 1,16,7
μάλιστα,especially,Adv,G3122,Philemon 1,17,7
προσλαβοῦ,receive,V-AMM-2S,G4355,Philemon 1,18,7
ἐλλόγα,charge,V-PMA-2S,G1677,Philemon 1,19,7
ἀποτίσω,will repay it,V-FIA-1S,G661,Philemon 1,20,7
προσοφείλεις,you owe also,V-PIA-2S,G4359,Philemon 1,21,7
ὀναίμην,may have profit,V-AOM-1S,G3685,Philemon 1,22,7
ὑπακοῇ,obedience,N-DFS,G5218,Philemon 1,23,7
ξενίαν,a lodging,N-AFS,G3578,Philemon 1,24,7
Ἐπαφρᾶς,Epaphras,N-NMS,G1889,Philemon 1,25,7
συναιχμάλωτός,fellow prisoner,N-NMS,G4869,Philemon 1,26,7
Μᾶρκος,as do Mark,N-NMS,G3138,Philemon 1,27,7
Ἀρίσταρχος,Aristarchus,N-NMS,G708,Philemon 1,28,7
Δημᾶς,Demas,N-NMS,G1214,Philemon 1,29,7
Λουκᾶς,and Luke,N-NMS,G3065,Philemon 1,30,7
