Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ἱεροσολυμῖται,of Jerusalem,N-NMP,G2415,Mark 1,1,8
ζώνην,a belt,N-AFS,G2223,Mark 1,2,8
δερματίνην,of leather,Adj-AFS,G1193,Mark 1,3,8
ἀκρίδας,locusts,N-AFP,G200,Mark 1,4,8
μέλι,honey,N-ANS,G3192,Mark 1,5,8
ἄγριον,wild,Adj-ANS,G66,Mark 1,6,8
κύψας,having stooped down,V-APA-NMS,G2955,Mark 1,7,8
θηρίων,wild animals,N-GNP,G2342,Mark 1,8,8
Δεῦτε,Come,V-M-2P,G1205,Mark 1,9,8
μισθωτῶν,hired servants,N-GMP,G3411,Mark 1,10,8
ἐθαμβήθησαν,were astonished,V-AIP-3P,G2284,Mark 1,11,8
πυρέσσουσα,fevering,V-PPA-NFS,G4445,Mark 1,12,8
Ὀψίας,Evening,Adj-GFS,G3798,Mark 1,13,8
πρωῒ,very early,Adv,G4404,Mark 1,14,8
ἔννυχα,in night,Adv,G1773,Mark 1,15,8
κἀκεῖ,and there,Conj,G2546,Mark 1,16,8
κατεδίωξεν,went after,V-AIA-3S,G2614,Mark 1,17,8
ἀλλαχοῦ,another way,Adv,G237,Mark 1,18,8
κωμοπόλεις,towns,N-AFP,G2969,Mark 1,19,8
γονυπετῶν,kneeling down to Him,V-PPA-NMS,G1120,Mark 1,20,8
ἐμβριμησάμενος,having sternly warned,V-APM-NMS,G1690,Mark 1,21,8
διαφημίζειν,to spread abroad,V-PNA,G1310,Mark 1,22,8
φανερῶς,openly,Adv,G5320,Mark 1,23,8
χωρεῖν,to have space,V-PNA,G5562,Mark 2,24,8
παραλυτικὸν,a paralytic,Adj-AMS,G3885,Mark 2,25,8
ἀπεστέγασαν,they removed,V-AIA-3P,G648,Mark 2,26,8
ἐξορύξαντες,having broken up it,V-APA-NMP,G1846,Mark 2,27,8
κράβαττον,pallet,N-AMS,G2895,Mark 2,28,8
ῥάκους,of cloth,N-GNS,G4470,Mark 2,29,8
ἀγνάφου,unshrunk,Adj-GNS,G46,Mark 2,30,8
ἐπιράπτει,sews,V-PIA-3S,G1976,Mark 2,31,8
πλήρωμα,patch,N-ANS,G4138,Mark 2,32,8
σχίσμα,a tear,N-NNS,G4978,Mark 2,33,8
παραπορεύεσθαι,is passing,V-PNM/P,G3899,Mark 2,34,8
Ἀβιαθὰρ,Abiathar,N-GMS,G8,Mark 2,35,8
συλλυπούμενος,being grieved,V-PPM/P-NMS,G4818,Mark 3,36,8
πωρώσει,hardness,N-DFS,G4457,Mark 3,37,8
Ἡρῳδιανῶν,Herodians,N-GMP,G2265,Mark 3,38,8
συμβούλιον,counsel,N-ANS,G4824,Mark 3,39,8
ἀνεχώρησεν,withdrew,V-AIA-3S,G402,Mark 3,40,8
Ἰδουμαίας,Idumea,N-GFS,G2401,Mark 3,41,8
πλοιάριον,a boat,N-NNS,G4142,Mark 3,42,8
προσκαρτερῇ,might wait upon,V-PSA-3S,G4342,Mark 3,43,8
Βοανηργές,Boanerges,N-AMP,G993,Mark 3,44,8
Βροντῆς,of Thunder,N-GFS,G1027,Mark 3,45,8
Θαδδαῖον,Thaddaeus,N-AMS,G2280,Mark 3,46,8
Καναναῖον,Zealot,N-AMS,G2581,Mark 3,47,8
διαρπάσαι,to plunder,V-ANA,G1283,Mark 3,48,8
ἁμαρτήματα,sins,N-NNP,G265,Mark 3,49,8
ἔνοχός,guilty,Adj-NMS,G1777,Mark 3,50,8
πλεῖστος,great,Adj-NMS-S,G4118,Mark 4,51,8
πετρῶδες,rocky place,Adj-ANS,G4075,Mark 4,52,8
ἐξανέτειλεν,it sprang up,V-AIA-3S,G1816,Mark 4,53,8
ἐκαυματίσθη,it was scorched,V-AIP-3S,G2739,Mark 4,54,8
πρόσκαιροί,temporary,Adj-NMP,G4340,Mark 4,55,8
ἄκαρπος,unfruitful,Adj-NMS,G175,Mark 4,56,8
παραδέχονται,receive it,V-PIM/P-3P,G3858,Mark 4,57,8
βλαστᾷ,should sprout,V-PSA-3S,G985,Mark 4,58,8
μηκύνηται,grow,V-PSM/P-3S,G3373,Mark 4,59,8
αὐτομάτη,Of itself,Adj-NFS,G844,Mark 4,60,8
δρέπανον,sickle,N-ANS,G1407,Mark 4,61,8
ἐπέλυεν,He would explain,V-IIA-3S,G1956,Mark 4,62,8
κύματα,waves,N-NNP,G2949,Mark 4,63,8
πρύμνῃ,stern,N-DFS,G4403,Mark 4,64,8
προσκεφάλαιον,cushion,N-ANS,G4344,Mark 4,65,8
ἐκόπασεν,abated,V-AIA-3S,G2869,Mark 4,66,8
δειλοί,fearful,Adj-NMP,G1169,Mark 4,67,8
κατοίκησιν,dwelling,N-AFS,G2731,Mark 5,68,8
πολλάκις,often,Adv,G4178,Mark 5,69,8
διεσπάσθαι,had been torn in two,V-RNM/P,G1288,Mark 5,70,8
δαμάσαι,to subdue,V-ANA,G1150,Mark 5,71,8
κατακόπτων,cutting,V-PPA-NMS,G2629,Mark 5,72,8
δισχίλιοι,two thousand,Adj-NMP,G1367,Mark 5,73,8
ἐπνίγοντο,they were drowned,V-IIM/P-3P,G4155,Mark 5,74,8
ὁρίων,region,N-GNP,G3725,Mark 5,75,8
Δεκαπόλει,Decapolis,N-DFS,G1179,Mark 5,76,8
θυγάτριόν,little daughter,N-NNS,G2365,Mark 5,77,8
ἐσχάτως,at the end,Adv,G2079,Mark 5,78,8
συνέθλιβον,pressing in on,V-IIA-3P,G4918,Mark 5,79,8
πηγὴ,flow,N-NFS,G4077,Mark 5,80,8
