Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Βίβλος,The book,N-NFS,G976,Matthew 1,1,9
γενέσεως,of the genealogy,N-GFS,G1078,Matthew 1,2,9
Ἰησοῦ,of Jesus,N-GMS,G2424,Matthew 1,3,9
Χριστοῦ,Christ,N-GMS,G5547,Matthew 1,4,9
υἱοῦ,son,N-GMS,G5207,Matthew 1,5,9
Δαυὶδ,of David,N-GMS,G1138,Matthew 1,6,9
Ἀβραάμ,of Abraham,N-GMS,G11,Matthew 1,7,9
Ἀβραὰμ,Abraham,N-NMS,G11,Matthew 1,8,9
ἐγέννησεν,begat,V-AIA-3S,G1080,Matthew 1,9,9
τὸν,-,Art-AMS,G3588,Matthew 1,10,9
Ἰσαάκ,Isaac,N-AMS,G2464,Matthew 1,11,9
Ἰσαὰκ,Isaac,N-NMS,G2464,Matthew 1,12,9
δὲ,then,Conj,G1161,Matthew 1,13,9
Ἰακώβ,Jacob,N-AMS,G2384,Matthew 1,14,9
Ἰακὼβ,Jacob,N-NMS,G2384,Matthew 1,15,9
Ἰούδαν,Judah,N-AMS,G2455,Matthew 1,16,9
καὶ,and,Conj,G2532,Matthew 1,17,9
τοὺς,the,Art-AMP,G3588,Matthew 1,18,9
ἀδελφοὺς,brothers,N-AMP,G80,Matthew 1,19,9
αὐτοῦ,of him,PPro-GM3S,G846,Matthew 1,20,9
Ἰούδας,Judah,N-NMS,G2455,Matthew 1,21,9
Φαρὲς,Perez,N-AMS,G5329,Matthew 1,22,9
Ζαρὰ,Zerah,N-AMS,G2196,Matthew 1,23,9
ἐκ,out of,Prep,G1537,Matthew 1,24,9
τῆς,-,Art-GFS,G3588,Matthew 1,25,9
Θάμαρ,Tamar,N-GFS,G2283,Matthew 1,26,9
Φαρὲς,Perez,N-NMS,G5329,Matthew 1,27,9
Ἑσρώμ,Hezron,N-AMS,G2074,Matthew 1,28,9
Ἑσρὼμ,Hezron,N-NMS,G2074,Matthew 1,29,9
Ἀράμ,Ram,N-AMS,G689,Matthew 1,30,9
Ἀρὰμ,Ram,N-NMS,G689,Matthew 1,31,9
Ἀμιναδάβ,Amminadab,N-AMS,G284,Matthew 1,32,9
Ἀμιναδὰβ,Amminadab,N-NMS,G284,Matthew 1,33,9
Ναασσών,Nahshon,N-AMS,G3476,Matthew 1,34,9
Ναασσὼν,Nahshon,N-NMS,G3476,Matthew 1,35,9
Σαλμών,Salmon,N-AMS,G4533,Matthew 1,36,9
Σαλμὼν,Salmon,N-NMS,G4533,Matthew 1,37,9
Βόες,Boaz,N-AMS,G1003,Matthew 1,38,9
Ῥαχάβ,Rahab,N-GFS,G4477,Matthew 1,39,9
Βόες,Boaz,N-NMS,G1003,Matthew 1,40,9
Ἰωβὴδ,Obed,N-AMS,G5601,Matthew 1,41,9
Ῥούθ,Ruth,N-GFS,G4503,Matthew 1,42,9
Ἰωβὴδ,Obed,N-NMS,G5601,Matthew 1,43,9
Ἰεσσαί,Jesse,N-AMS,G2421,Matthew 1,44,9
Ἰεσσαὶ,Jesse,N-NMS,G2421,Matthew 1,45,9
Δαυὶδ,David,N-AMS,G1138,Matthew 1,46,9
βασιλέα,king,N-AMS,G935,Matthew 1,47,9
Δαυὶδ,David,N-NMS,G1138,Matthew 1,48,9
Σολομῶνα,Solomon,N-AMS,G4672,Matthew 1,49,9
τοῦ,-,Art-GMS,G3588,Matthew 1,50,9
Οὐρίου,of Uriah,N-GMS,G3774,Matthew 1,51,9
