Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ζαρὰ,Zerah,N-AMS,G2196,Matthew 1,1,9
Θάμαρ,Tamar,N-GFS,G2283,Matthew 1,2,9
Σαλμών,Salmon,N-AMS,G4533,Matthew 1,3,9
Ῥαχάβ,Rahab,N-GFS,G4477,Matthew 1,4,9
Ῥούθ,Ruth,N-GFS,G4503,Matthew 1,5,9
Οὐρίου,of Uriah,N-GMS,G3774,Matthew 1,6,9
Ῥοβοάμ,Rehoboam,N-AMS,G4497,Matthew 1,7,9
Ἀσάφ,Asa,N-AMS,G760,Matthew 1,8,9
Ἰωσαφάτ,Jehoshaphat,N-AMS,G2498,Matthew 1,9,9
Ἰωράμ,Joram,N-AMS,G2496,Matthew 1,10,9
Ὀζίαν,Uzziah,N-AMS,G3604,Matthew 1,11,9
Ἰωαθάμ,Jotham,N-AMS,G2488,Matthew 1,12,9
Ἄχαζ,Ahaz,N-AMS,G881,Matthew 1,13,9
Ἑζεκίαν,Hezekiah,N-AMS,G1478,Matthew 1,14,9
Μανασσῆ,Manasseh,N-AMS,G3128,Matthew 1,15,9
Ἰωσίαν,Josiah,N-AMS,G2502,Matthew 1,16,9
Ἰεχονίαν,Jeconiah,N-AMS,G2423,Matthew 1,17,9
μετοικεσίας,carrying away,N-GFS,G3350,Matthew 1,18,9
Βαβυλῶνος,to Babylon,N-GFS,G897,Matthew 1,19,9
Ἀβιούδ,Abiud,N-AMS,G10,Matthew 1,20,9
Ἀζώρ,Azor,N-AMS,G107,Matthew 1,21,9
Σαδώκ,Zadok,N-AMS,G4524,Matthew 1,22,9
Ἀχίμ,Achim,N-AMS,G885,Matthew 1,23,9
Ἐλιούδ,Eliud,N-AMS,G1664,Matthew 1,24,9
Ἐλεάζαρ,Eleazar,N-AMS,G1648,Matthew 1,25,9
Ματθάν,Matthan,N-AMS,G3157,Matthew 1,26,9
δεκατέσσαρες,fourteen,Adj-NFP,G1180,Matthew 1,27,9
δειγματίσαι,to expose publicly,V-ANA,G1165,Matthew 1,28,9
λάθρᾳ,secretly,Adv,G2977,Matthew 1,29,9
ἐνθυμηθέντος,having pondered,V-APP-GMS,G1760,Matthew 1,30,9
ὄναρ,a dream,N-ANS,G3677,Matthew 1,31,9
Ἐμμανουήλ,Immanuel,N-AMS,G1694,Matthew 1,32,9
μάγοι,Magi,N-NMP,G3097,Matthew 2,33,9
οὐδαμῶς,by no means,Adv,G3760,Matthew 2,34,9
ἠκρίβωσεν,inquired exactly,V-AIA-3S,G198,Matthew 2,35,9
ἐξετάσατε,search,V-AMA-2P,G1833,Matthew 2,36,9
χρυσὸν,gold,N-AMS,G5557,Matthew 2,37,9
λίβανον,frankincense,N-AMS,G3030,Matthew 2,38,9
σμύρναν,myrrh,N-AFS,G4666,Matthew 2,39,9
Αἴγυπτον,Egypt,N-AFS,G125,Matthew 2,40,9
τελευτῆς,death,N-GFS,G5054,Matthew 2,41,9
ἐθυμώθη,was enraged,V-AIP-3S,G2373,Matthew 2,42,9
διετοῦς,two years old,Adj-GMS,G1332,Matthew 2,43,9
Ἰερεμίου,Jeremiah,N-GMS,G2408,Matthew 2,44,9
Ῥαμὰ,Ramah,N-DFS,G4471,Matthew 2,45,9
ὀδυρμὸς,mourning,N-NMS,G3602,Matthew 2,46,9
Ῥαχὴλ,Rachel,N-NFS,G4478,Matthew 2,47,9
Ἀρχέλαος,Archelaus,N-NMS,G745,Matthew 2,48,9
διεκώλυεν,was hindering,V-IIA-3S,G1254,Matthew 3,49,9
πρέπον,fitting,V-PPA-NNS,G4241,Matthew 3,50,9
παραθαλασσίαν,is on the sea-side,Adj-AFS,G3864,Matthew 4,51,9
Ζαβουλὼν,of Zebulun,N-GMS,G2194,Matthew 4,52,9
Νεφθαλίμ,Naphtali,N-GMS,G3508,Matthew 4,53,9
ἀμφίβληστρον,a net,N-ANS,G293,Matthew 4,54,9
μαλακίαν,sickness,N-AFS,G3119,Matthew 4,55,9
σεληνιαζομένους,being epileptics,V-PPM/P-AMP,G4583,Matthew 4,56,9
