Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
ἐσκήνωσεν,dwelt,V-AIA-3S,G4637,John 1,1,10
Εὐθύνατε,Make straight,V-AMA-2P,G2116,John 1,2,10
Ἀμνὸς,Lamb,N-NMS,G286,John 1,3,10
δεκάτη,the tenth,Adj-NFS,G1182,John 1,4,10
Μεσσίαν,Messiah,N-AMS,G3323,John 1,5,10
Κηφᾶς,Cephas,N-NMS,G2786,John 1,6,10
ἑρμηνεύεται,means,V-PIM/P-3S,G2059,John 1,7,10
Ναθαναὴλ,Nathanael,N-AMS,G3482,John 1,8,10
Ἰσραηλίτης,an Israelite,N-NMS,G2475,John 1,9,10
Κανὰ,Cana,N-DFS,G2580,John 2,10,10
λίθιναι,of stone,Adj-NFP,G3035,John 2,11,10
ὑδρίαι,water jars,N-NFP,G5201,John 2,12,10
μετρητὰς,metretae,N-AMP,G3355,John 2,13,10
ἄνω,the brim,Adv,G507,John 2,14,10
Ἀντλήσατε,Draw out,V-AMA-2P,G501,John 2,15,10
ἀρχιτρικλίνῳ,master of the feast,N-DMS,G755,John 2,16,10
ἐλάσσω,inferior,Adj-AMS-C,G1640,John 2,17,10
κερματιστὰς,money changers,N-AMP,G2773,John 2,18,10
φραγέλλιον,a whip,N-ANS,G5416,John 2,19,10
σχοινίων,cords,N-GNP,G4979,John 2,20,10
κέρματα,coins,N-ANP,G2772,John 2,21,10
ἀνέτρεψεν,He overthrew,V-AIA-3S,G396,John 2,22,10
ἐμπορίου,of trade,N-GNS,G1712,John 2,23,10
ζῆλος,zeal,N-NMS,G2205,John 2,24,10
Νικόδημος,Nicodemus,N-NMS,G3530,John 3,25,10
γέρων,old,N-NMS,G1088,John 3,26,10
ἐπίγεια,earthly,Adj-ANP,G1919,John 3,27,10
ἐπουράνια,heavenly,Adj-ANP,G2032,John 3,28,10
φαῦλα,evil,Adj-ANP,G5337,John 3,29,10
διέτριβεν,He was staying,V-IIA-3S,G1304,John 3,30,10
Αἰνὼν,Aenon,N-DFS,G137,John 3,31,10
Σαλείμ,Salim,N-GNS,G4530,John 3,32,10
ζήτησις,a debate,N-NFS,G2214,John 3,33,10
ἐλαττοῦσθαι,to decrease,V-PNM/P,G1642,John 3,34,10
ἀπειθῶν,not obeying,V-PPA-NMS,G544,John 3,35,10
καίτοιγε,although indeed,Conj,G2544,John 4,36,10
Συχὰρ,Sychar,N-AFS,G4965,John 4,37,10
ὁδοιπορίας,journey,N-GFS,G3597,John 4,38,10
Σαμαρῖτις,Samaritan,N-NFS,G4542,John 4,39,10
συνχρῶνται,have association,V-PIM/P-3P,G4798,John 4,40,10
δωρεὰν,gift,N-AFS,G1431,John 4,41,10
ἄντλημα,to draw with,N-ANS,G502,John 4,42,10
θρέμματα,livestock,N-NNP,G2353,John 4,43,10
ἁλλομένου,welling up,V-PPM/P-GNS,G242,John 4,44,10
προσκυνηταὶ,worshipers,N-NMP,G4353,John 4,45,10
μέντοι,however,Conj,G3305,John 4,46,10
τετράμηνός,four months,Adj-NMS,G5072,John 4,47,10
ὁμοῦ,together,Adv,G3674,John 4,48,10
βασιλικὸς,royal official,Adj-NMS,G937,John 4,49,10
κομψότερον,better,Adv-C,G2866,John 4,50,10
Ἐχθὲς,Yesterday,Adv,G5504,John 4,51,10
ἑβδόμην,seventh,Adj-AFS,G1442,John 4,52,10
προβατικῇ,Sheep Gate,Adj-DFS,G4262,John 5,53,10
κολυμβήθρα,a pool,N-NFS,G2861,John 5,54,10
ἐπιλεγομένη,called,V-PPM/P-NFS,G1951,John 5,55,10
Ἑβραϊστὶ,in Hebrew,Adv,G1447,John 5,56,10
Βηθζαθά,Bethesda,N-NFS,G964,John 5,57,10
στοὰς,porches,N-AFP,G4745,John 5,58,10
ἐκδεχομένων,awaiting,V-PPM-GMP,G1551,John 5,59,10
κίνησιν,moving,N-AFS,G2796,John 5,60,10
ταραχὴν,stirring,N-AFS,G5016,John 5,61,10
δήποτε,at the time,Prtcl,G1221,John 5,62,10
νοσήματι,disease,N-DNS,G3553,John 5,63,10
ἐξένευσεν,had moved away,V-AIA-3S,G1593,John 5,64,10
ζωοποιεῖ,gives life,V-PIA-3S,G2227,John 5,65,10
Ἐραυνᾶτε,You diligently search,V-PIA-2P,G2045,John 5,66,10
Τιβεριάδος,of Tiberias,N-GFS,G5085,John 6,67,10
ἀνῆλθεν,Went up,V-AIA-3S,G424,John 6,68,10
παιδάριον,a little boy,N-NNS,G3808,John 6,69,10
κριθίνους,barley,Adj-AMP,G2916,John 6,70,10
ὀψάρια,small fish,N-ANP,G3795,John 6,71,10
βεβρωκόσιν,having eaten,V-RPA-DMP,G977,John 6,72,10
συνεισῆλθεν,went with,V-AIA-3S,G4897,John 6,73,10
μάννα,manna,N-ANS,G3131,John 6,74,10
ἑλκύσῃ,draws,V-ASA-3S,G1670,John 6,75,10
διδακτοὶ,taught,Adj-NMP,G1318,John 6,76,10
Ἐμάχοντο,Were arguing,V-IIM/P-3P,G3164,John 6,77,10
πόσις,drink,N-NFS,G4213,John 6,78,10
πρότερον,before,Adj-ANS-C,G4386,John 6,79,10
σκηνοπηγία,Booths,N-NFS,G4634,John 7,80,10
γογγυσμὸς,murmuring,N-NMS,G1112,John 7,81,10
μεσούσης,being in the middle,V-PPA-GFS,G3322,John 7,82,10
πότερον,whether,Adv,G4220,John 7,83,10
περιτομήν,circumcision,N-AFS,G4061,John 7,84,10
χολᾶτε,are you angry,V-PIA-2P,G5520,John 7,85,10
