Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ἐν,In the,Prep,G1722,John 1,1,10
ἀρχῇ,beginning,N-DFS,G746,John 1,2,10
ἦν,was,V-IIA-3S,G1510,John 1,3,10
ὁ,the,Art-NMS,G3588,John 1,4,10
Λόγος,Word,N-NMS,G3056,John 1,5,10
καὶ,and,Conj,G2532,John 1,6,10
πρὸς,with,Prep,G4314,John 1,7,10
Θεόν,God,N-AMS,G2316,John 1,8,10
Οὗτος,He,DPro-NMS,G3778,John 1,9,10
πάντα,All things,Adj-NNP,G3956,John 1,10,10
δι,through,Prep,G1223,John 1,11,10
αὐτοῦ,Him,PPro-GM3S,G846,John 1,12,10
ἐγένετο,came into being,V-AIM-3S,G1096,John 1,13,10
χωρὶς,without,Prep,G5565,John 1,14,10
οὐδὲ,not even,Adv,G3761,John 1,15,10
ἕν,one thing,Adj-NNS,G1520,John 1,16,10
ὃ,that,RelPro-NNS,G3739,John 1,17,10
ζωὴ,life,N-NFS,G2222,John 1,18,10
φῶς,light,N-NNS,G5457,John 1,19,10
ἀνθρώπων,of men,N-GMP,G444,John 1,20,10
σκοτίᾳ,darkness,N-DFS,G4653,John 1,21,10
φαίνει,shines,V-PIA-3S,G5316,John 1,22,10
οὐ,not,Adv,G3756,John 1,23,10
κατέλαβεν,overcame,V-AIA-3S,G2638,John 1,24,10
ἀπεσταλμένος,having been sent,V-RPM/P-NMS,G649,John 1,25,10
παρὰ,from,Prep,G3844,John 1,26,10
ὄνομα,the name,N-NNS,G3686,John 1,27,10
Ἰωάννης,was John,N-NMS,G2491,John 1,28,10
ἦλθεν,came,V-AIA-3S,G2064,John 1,29,10
εἰς,as,Prep,G1519,John 1,30,10
μαρτυρίαν,a witness,N-AFS,G3141,John 1,31,10
ἵνα,that,Conj,G2443,John 1,32,10
μαρτυρήσῃ,he might testify,V-ASA-3S,G3140,John 1,33,10
περὶ,concerning,Prep,G4012,John 1,34,10
πιστεύσωσιν,might believe,V-ASA-3P,G4100,John 1,35,10
ἐκεῖνος,He,DPro-NMS,G1565,John 1,36,10
ἀλλ,but,Conj,G235,John 1,37,10
ἀληθινὸν,TRUE,Adj-NNS,G228,John 1,38,10
φωτίζει,enlightens,V-PIA-3S,G5461,John 1,39,10
κόσμον,world,N-AMS,G2889,John 1,40,10
ἔγνω,knew,V-AIA-3S,G1097,John 1,41,10
ἴδια,own,Adj-ANP,G2398,John 1,42,10
παρέλαβον,received,V-AIA-3P,G3880,John 1,43,10
ὅσοι,As many as,RelPro-NMP,G3745,John 1,44,10
δὲ,however,Conj,G1161,John 1,45,10
ἔλαβον,received,V-AIA-3P,G2983,John 1,46,10
ἔδωκεν,He gave,V-AIA-3S,G1325,John 1,47,10
ἐξουσίαν,authority,N-AFS,G1849,John 1,48,10
τέκνα,children,N-ANP,G5043,John 1,49,10
ἐξ,of,Prep,G1537,John 1,50,10
αἱμάτων,blood,N-GNP,G129,John 1,51,10
θελήματος,will,N-GNS,G2307,John 1,52,10
