Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
ἐπαγωνίζεσθαι,to contend earnestly,V-PNM/P,G1864,Jude 1,1,11
παρεισέδυσαν,Came in stealthily,V-AIA-3P,G3921,Jude 1,2,11
προγεγραμμένοι,having been designated,V-RPM/P-NMP,G4270,Jude 1,3,11
ἀσεβεῖς,ungodly ones,Adj-NMP,G765,Jude 1,4,11
μετατιθέντες,changing,V-PPA-NMP,G3346,Jude 1,5,11
ἀπολιπόντας,having left,V-APA-AMP,G620,Jude 1,6,11
οἰκητήριον,dwelling,N-ANS,G3613,Jude 1,7,11
ἀϊδίοις,eternal,Adj-DMP,G126,Jude 1,8,11
ζόφον,darkness,N-AMS,G2217,Jude 1,9,11
ἐκπορνεύσασαι,having indulged in sexual immorality,V-APA-NFP,G1608,Jude 1,10,11
πρόκεινται,are set forth as,V-PIM/P-3P,G4295,Jude 1,11,11
δεῖγμα,an example,N-ANS,G1164,Jude 1,12,11
ὑπέχουσαι,undergoing,V-PPA-NFP,G5254,Jude 1,13,11
ἐνυπνιαζόμενοι,dreaming ones,V-PPM/P-NMP,G1797,Jude 1,14,11
κυριότητα,authority,N-AFS,G2963,Jude 1,15,11
Μιχαὴλ,Michael,N-NMS,G3413,Jude 1,16,11
ἐπενεγκεῖν,to bring against him,V-ANA,G2018,Jude 1,17,11
φυσικῶς,naturally,Adv,G5447,Jude 1,18,11
ἄλογα,irrational,Adj-NNP,G249,Jude 1,19,11
ζῷα,animals,N-NNP,G2226,Jude 1,20,11
φθείρονται,they corrupt themselves,V-PIM/P-3P,G5351,Jude 1,21,11
Βαλαὰμ,of Balaam,N-GMS,G903,Jude 1,22,11
ἀντιλογίᾳ,rebellion,N-DFS,G485,Jude 1,23,11
Κόρε,of Korah,N-GMS,G2879,Jude 1,24,11
σπιλάδες,hidden reefs,N-NFP,G4694,Jude 1,25,11
συνευωχούμενοι,feasting together with you,V-PPM/P-NMP,G4910,Jude 1,26,11
φθινοπωρινὰ,autumnal,Adj-NNP,G5352,Jude 1,27,11
ἐπαφρίζοντα,foaming out,V-PPA-NNP,G1890,Jude 1,28,11
πλανῆται,wandering,N-NMP,G4107,Jude 1,29,11
ἀσεβείας,of ungodliness,N-GFS,G763,Jude 1,30,11
ἠσέβησαν,they have done in an ungodly way,V-AIA-3P,G764,Jude 1,31,11
γογγυσταί,grumblers,N-NMP,G1113,Jude 1,32,11
μεμψίμοιροι,discontented,Adj-NMP,G3202,Jude 1,33,11
ὑπέρογκα,great swelling words,Adj-ANP,G5246,Jude 1,34,11
ὠφελείας,profit,N-GFS,G5622,Jude 1,35,11
ἐμπαῖκται,scoffers,N-NMP,G1703,Jude 1,36,11
ἀποδιορίζοντες,causing divisions,V-PPA-NMP,G592,Jude 1,37,11
ψυχικοί,worldly-minded,Adj-NMP,G5591,Jude 1,38,11
ἐποικοδομοῦντες,building up,V-PPA-NMP,G2026,Jude 1,39,11
ἐσπιλωμένον,having been stained,V-RPM/P-AMS,G4695,Jude 1,40,11
ἀπταίστους,from stumbling,Adj-AMP,G679,Jude 1,41,11
κατενώπιον,in the presence of,Prep,G2714,Jude 1,42,11
ἀμώμους,blameless,Adj-AMP,G299,Jude 1,43,11
μεγαλωσύνη,majesty,N-NFS,G3172,Jude 1,44,11
