Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,Colossians 1,1,13
ἀπόστολος,an apostle,N-NMS,G652,Colossians 1,2,13
Χριστοῦ,of Christ,N-GMS,G5547,Colossians 1,3,13
Ἰησοῦ,Jesus,N-GMS,G2424,Colossians 1,4,13
διὰ,by,Prep,G1223,Colossians 1,5,13
θελήματος,the will,N-GNS,G2307,Colossians 1,6,13
Θεοῦ,of God,N-GMS,G2316,Colossians 1,7,13
καὶ,and,Conj,G2532,Colossians 1,8,13
Τιμόθεος,Timothy,N-NMS,G5095,Colossians 1,9,13
ὁ,the,Art-NMS,G3588,Colossians 1,10,13
ἀδελφὸς,brother,N-NMS,G80,Colossians 1,11,13
Τοῖς,To the,Art-DMP,G3588,Colossians 1,12,13
ἐν,in,Prep,G1722,Colossians 1,13,13
Κολοσσαῖς,Colossae,N-DFP,G2857,Colossians 1,14,13
ἁγίοις,saints,Adj-DMP,G40,Colossians 1,15,13
πιστοῖς,faithful,Adj-DMP,G4103,Colossians 1,16,13
ἀδελφοῖς,brothers,N-DMP,G80,Colossians 1,17,13
Χριστῷ,Christ,N-DMS,G5547,Colossians 1,18,13
Χάρις,Grace,N-NFS,G5485,Colossians 1,19,13
ὑμῖν,to you,PPro-D2P,G4771,Colossians 1,20,13
εἰρήνη,peace,N-NFS,G1515,Colossians 1,21,13
ἀπὸ,from,Prep,G575,Colossians 1,22,13
Πατρὸς,the Father,N-GMS,G3962,Colossians 1,23,13
ἡμῶν,of us,PPro-G1P,G1473,Colossians 1,24,13
Εὐχαριστοῦμεν,We give thanks,V-PIA-1P,G2168,Colossians 1,25,13
τῷ,to the,Art-DMS,G3588,Colossians 1,26,13
Θεῷ,God,N-DMS,G2316,Colossians 1,27,13
Πατρὶ,and Father,N-DMS,G3962,Colossians 1,28,13
τοῦ,of the,Art-GMS,G3588,Colossians 1,29,13
Κυρίου,Lord,N-GMS,G2962,Colossians 1,30,13
πάντοτε,continually,Adv,G3842,Colossians 1,31,13
περὶ,for,Prep,G4012,Colossians 1,32,13
ὑμῶν,you,PPro-G2P,G4771,Colossians 1,33,13
προσευχόμενοι,praying,V-PPM/P-NMP,G4336,Colossians 1,34,13
ἀκούσαντες,having heard of,V-APA-NMP,G191,Colossians 1,35,13
τὴν,the,Art-AFS,G3588,Colossians 1,36,13
πίστιν,faith,N-AFS,G4102,Colossians 1,37,13
Ἰησοῦ,Jesus,N-DMS,G2424,Colossians 1,38,13
ἀγάπην,love,N-AFS,G26,Colossians 1,39,13
ἣν,that,RelPro-AFS,G3739,Colossians 1,40,13
ἔχετε,you have,V-PIA-2P,G2192,Colossians 1,41,13
εἰς,toward,Prep,G1519,Colossians 1,42,13
πάντας,all,Adj-AMP,G3956,Colossians 1,43,13
τοὺς,the,Art-AMP,G3588,Colossians 1,44,13
ἁγίους,saints,Adj-AMP,G40,Colossians 1,45,13
ἐλπίδα,hope,N-AFS,G1680,Colossians 1,46,13
ἀποκειμένην,being laid up,V-PPM/P-AFS,G606,Colossians 1,47,13
τοῖς,the,Art-DMP,G3588,Colossians 1,48,13
οὐρανοῖς,heavens,N-DMP,G3772,Colossians 1,49,13
προηκούσατε,you heard of before,V-AIA-2P,G4257,Colossians 1,50,13
λόγῳ,word,N-DMS,G3056,Colossians 1,51,13
τῆς,of,Art-GFS,G3588,Colossians 1,52,13
ἀληθείας,truth,N-GFS,G225,Colossians 1,53,13
τοῦ,the,Art-GNS,G3588,Colossians 1,54,13
εὐαγγελίου,gospel,N-GNS,G2098,Colossians 1,55,13
παρόντος,being present,V-PPA-GNS,G3918,Colossians 1,56,13
ὑμᾶς,you,PPro-A2P,G4771,Colossians 1,57,13
καθὼς,just as,Adv,G2531,Colossians 1,58,13
παντὶ,all,Adj-DMS,G3956,Colossians 1,59,13
κόσμῳ,world,N-DMS,G2889,Colossians 1,60,13
