Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Κολοσσαῖς,Colossae,N-DFP,G2857,Colossians 1,1,13
προηκούσατε,you heard of before,V-AIA-2P,G4257,Colossians 1,2,13
δηλώσας,having made known,V-APA-NMS,G1213,Colossians 1,3,13
ἀρεσκείαν,pleasing,N-AFS,G699,Colossians 1,4,13
δυναμούμενοι,being strengthened,V-PPM/P-NMP,G1412,Colossians 1,5,13
ἱκανώσαντι,having qualified,V-APA-DMS,G2427,Colossians 1,6,13
ἀοράτου,invisible,Adj-GMS,G517,Colossians 1,7,13
ὁρατὰ,visible,Adj-NNP,G3707,Colossians 1,8,13
πρωτεύων,holding preeminence,V-PPA-NMS,G4409,Colossians 1,9,13
ἀποκαταλλάξαι,to reconcile,V-ANA,G604,Colossians 1,10,13
εἰρηνοποιήσας,having made peace,V-APA-NMS,G1517,Colossians 1,11,13
ἀπηλλοτριωμένους,alienated,V-RPM/P-AMP,G526,Colossians 1,12,13
ἀνεγκλήτους,blameless,Adj-AMP,G410,Colossians 1,13,13
ἑδραῖοι,firm,Adj-NMP,G1476,Colossians 1,14,13
μετακινούμενοι,being moved away,V-PPM/P-NMP,G3334,Colossians 1,15,13
ἀνταναπληρῶ,I am filling up,V-PIA-1S,G466,Colossians 1,16,13
καταγγέλλομεν,preach,V-PIA-1P,G2605,Colossians 1,17,13
ἡλίκον,how great,Adj-AMS,G2245,Colossians 2,18,13
Λαοδικείᾳ,Laodicea,N-DFS,G2993,Colossians 2,19,13
συμβιβασθέντες,having been knit together,V-APP-NMP,G4822,Colossians 2,20,13
παραλογίζηται,might delude,V-PSM/P-3S,G3884,Colossians 2,21,13
πιθανολογίᾳ,persuasive speech,N-DFS,G4086,Colossians 2,22,13
ἄπειμι,I am absent,V-PIA-1S,G548,Colossians 2,23,13
στερέωμα,firmness,N-ANS,G4733,Colossians 2,24,13
ἐρριζωμένοι,having been rooted,V-RPM/P-NMP,G4492,Colossians 2,25,13
συλαγωγῶν,taking captive,V-PPA-NMS,G4812,Colossians 2,26,13
φιλοσοφίας,philosophy,N-GFS,G5385,Colossians 2,27,13
Θεότητος,Deity,N-GFS,G2320,Colossians 2,28,13
σωματικῶς,bodily,Adv,G4985,Colossians 2,29,13
ἀπεκδύσει,removal,N-DFS,G555,Colossians 2,30,13
