Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,Ephesians 1,1,14
ἀπόστολος,an apostle,N-NMS,G652,Ephesians 1,2,14
Χριστοῦ,of Christ,N-GMS,G5547,Ephesians 1,3,14
Ἰησοῦ,Jesus,N-GMS,G2424,Ephesians 1,4,14
διὰ,by,Prep,G1223,Ephesians 1,5,14
θελήματος,the will,N-GNS,G2307,Ephesians 1,6,14
Θεοῦ,of God,N-GMS,G2316,Ephesians 1,7,14
Τοῖς,To the,Art-DMP,G3588,Ephesians 1,8,14
ἁγίοις,saints,Adj-DMP,G40,Ephesians 1,9,14
τοῖς,-,Art-DMP,G3588,Ephesians 1,10,14
οὖσιν,being,V-PPA-DMP,G1510,Ephesians 1,11,14
ἐν,in,Prep,G1722,Ephesians 1,12,14
Ἐφέσῳ,Ephesus,N-DFS,G2181,Ephesians 1,13,14
καὶ,and,Conj,G2532,Ephesians 1,14,14
πιστοῖς,faithful,Adj-DMP,G4103,Ephesians 1,15,14
Χριστῷ,Christ,N-DMS,G5547,Ephesians 1,16,14
Ἰησοῦ,Jesus,N-DMS,G2424,Ephesians 1,17,14
Χάρις,Grace,N-NFS,G5485,Ephesians 1,18,14
ὑμῖν,to you,PPro-D2P,G4771,Ephesians 1,19,14
εἰρήνη,peace,N-NFS,G1515,Ephesians 1,20,14
ἀπὸ,from,Prep,G575,Ephesians 1,21,14
Πατρὸς,the Father,N-GMS,G3962,Ephesians 1,22,14
ἡμῶν,of us,PPro-G1P,G1473,Ephesians 1,23,14
Κυρίου,the Lord,N-GMS,G2962,Ephesians 1,24,14
Εὐλογητὸς,Blessed be,Adj-NMS,G2128,Ephesians 1,25,14
ὁ,the,Art-NMS,G3588,Ephesians 1,26,14
Θεὸς,God,N-NMS,G2316,Ephesians 1,27,14
Πατὴρ,Father,N-NMS,G3962,Ephesians 1,28,14
τοῦ,of the,Art-GMS,G3588,Ephesians 1,29,14
εὐλογήσας,having blessed,V-APA-NMS,G2127,Ephesians 1,30,14
ἡμᾶς,us,PPro-A1P,G1473,Ephesians 1,31,14
πάσῃ,every,Adj-DFS,G3956,Ephesians 1,32,14
εὐλογίᾳ,blessing,N-DFS,G2129,Ephesians 1,33,14
πνευματικῇ,spiritual,Adj-DFS,G4152,Ephesians 1,34,14
τοῖς,the,Art-DNP,G3588,Ephesians 1,35,14
ἐπουρανίοις,heavenly realms,Adj-DNP,G2032,Ephesians 1,36,14
καθὼς,just as,Adv,G2531,Ephesians 1,37,14
ἐξελέξατο,He chose,V-AIM-3S,G1586,Ephesians 1,38,14
αὐτῷ,Him,PPro-DM3S,G846,Ephesians 1,39,14
πρὸ,before,Prep,G4253,Ephesians 1,40,14
καταβολῆς,the foundation,N-GFS,G2602,Ephesians 1,41,14
κόσμου,of the world,N-GMS,G2889,Ephesians 1,42,14
εἶναι,to be,V-PNA,G1510,Ephesians 1,43,14
ἁγίους,holy,Adj-AMP,G40,Ephesians 1,44,14
ἀμώμους,blameless,Adj-AMP,G299,Ephesians 1,45,14
κατενώπιον,before,Prep,G2714,Ephesians 1,46,14
αὐτοῦ,Him,PPro-GM3S,G846,Ephesians 1,47,14
ἀγάπῃ,love,N-DFS,G26,Ephesians 1,48,14
προορίσας,having predestined,V-APA-NMS,G4309,Ephesians 1,49,14
εἰς,for,Prep,G1519,Ephesians 1,50,14
υἱοθεσίαν,divine adoption as sons,N-AFS,G5206,Ephesians 1,51,14
αὐτόν,Himself,PPro-AM3S,G846,Ephesians 1,52,14
κατὰ,according to,Prep,G2596,Ephesians 1,53,14
τὴν,the,Art-AFS,G3588,Ephesians 1,54,14
εὐδοκίαν,good pleasure,N-AFS,G2107,Ephesians 1,55,14
τοῦ,of the,Art-GNS,G3588,Ephesians 1,56,14
ἔπαινον,the praise,N-AMS,G1868,Ephesians 1,57,14
δόξης,of the glory,N-GFS,G1391,Ephesians 1,58,14
τῆς,of the,Art-GFS,G3588,Ephesians 1,59,14
χάριτος,of grace,N-GFS,G5485,Ephesians 1,60,14
ἧς,which,RelPro-GFS,G3739,Ephesians 1,61,14
ἐχαρίτωσεν,He has freely given,V-AIA-3S,G5487,Ephesians 1,62,14
τῷ,the,Art-DMS,G3588,Ephesians 1,63,14
Ἠγαπημένῳ,Beloved One,V-RPM/P-DMS,G25,Ephesians 1,64,14
ᾧ,whom,RelPro-DMS,G3739,Ephesians 1,65,14
ἔχομεν,we have,V-PIA-1P,G2192,Ephesians 1,66,14
ἀπολύτρωσιν,redemption,N-AFS,G629,Ephesians 1,67,14
αἵματος,blood,N-GNS,G129,Ephesians 1,68,14
ἄφεσιν,forgiveness,N-AFS,G859,Ephesians 1,69,14
τῶν,-,Art-GNP,G3588,Ephesians 1,70,14
παραπτωμάτων,of trespasses,N-GNP,G3900,Ephesians 1,71,14
τὸ,the,Art-ANS,G3588,Ephesians 1,72,14
