Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ἐφέσῳ,Ephesus,N-DFS,G2181,Ephesians 1,1,14
προορίσας,having predestined,V-APA-NMS,G4309,Ephesians 1,2,14
ἔπαινον,the praise,N-AMS,G1868,Ephesians 1,3,14
προέθετο,He purposed,V-AIM-3S,G4388,Ephesians 1,4,14
ἀνακεφαλαιώσασθαι,to bring together,V-ANM,G346,Ephesians 1,5,14
ἐκληρώθημεν,we have obtained an inheritance,V-AIP-1P,G2820,Ephesians 1,6,14
προηλπικότας,having first trusted,V-RPA-AMP,G4276,Ephesians 1,7,14
ἀρραβὼν,the guarantee,N-NMS,G728,Ephesians 1,8,14
ὑπερβάλλον,surpassing,V-PPA-NNS,G5235,Ephesians 1,9,14
μέγεθος,greatness,N-NNS,G3174,Ephesians 1,10,14
ὑπεράνω,above,Prep,G5231,Ephesians 1,11,14
ἀνεστράφημέν,lived,V-AIP-1P,G390,Ephesians 2,12,14
ἐνδείξηται,He might show,V-ASM-3S,G1731,Ephesians 2,13,14
ποίημα,workmanship,N-NNS,G4161,Ephesians 2,14,14
προητοίμασεν,prepared beforehand,V-AIA-3S,G4282,Ephesians 2,15,14
πολιτείας,commonwealth,N-GFS,G4174,Ephesians 2,16,14
ἄθεοι,without God,Adj-NMP,G112,Ephesians 2,17,14
μεσότοιχον,barrier,N-ANS,G3320,Ephesians 2,18,14
προσαγωγὴν,access,N-AFS,G4318,Ephesians 2,19,14
πάροικοι,aliens,Adj-NMP,G3941,Ephesians 2,20,14
συμπολῖται,fellow citizens,N-NMP,G4847,Ephesians 2,21,14
ἀκρογωνιαίου,the cornerstone,Adj-GMS,G204,Ephesians 2,22,14
συναρμολογουμένη,being fitted together,V-PPM/P-NFS,G4883,Ephesians 2,23,14
συνοικοδομεῖσθε,are being built together,V-PIM/P-2P,G4925,Ephesians 2,24,14
κατοικητήριον,a habitation,N-ANS,G2732,Ephesians 2,25,14
συνκληρονόμα,joint-heirs,Adj-ANP,G4789,Ephesians 3,26,14
σύσσωμα,a joint-body,Adj-ANP,G4954,Ephesians 3,27,14
συμμέτοχα,joint-partakers,Adj-ANP,G4830,Ephesians 3,28,14
ἐλαχιστοτέρῳ,very least,Adj-DMS-C,G1647,Ephesians 3,29,14
ἀνεξιχνίαστον,unsearchable,Adj-ANS,G421,Ephesians 3,30,14
πολυποίκιλος,manifold,Adj-NFS,G4182,Ephesians 3,31,14
πεποιθήσει,confidence,N-DFS,G4006,Ephesians 3,32,14
κάμπτω,I bow,V-PIA-1S,G2578,Ephesians 3,33,14
ἐξισχύσητε,you may be fully able,V-ASA-2P,G1840,Ephesians 3,34,14
πλάτος,breadth,N-NNS,G4114,Ephesians 3,35,14
μῆκος,length,N-NNS,G3372,Ephesians 3,36,14
ἑνότητα,unity,N-AFS,G1775,Ephesians 4,37,14
ᾐχμαλώτευσεν,He led captive,V-AIA-3S,G162,Ephesians 4,38,14
αἰχμαλωσίαν,captivity,N-AFS,G161,Ephesians 4,39,14
κατώτερα,lower,Adj-ANP-C,G2737,Ephesians 4,40,14
εὐαγγελιστάς,evangelists,N-AMP,G2099,Ephesians 4,41,14
καταρτισμὸν,perfecting,N-AMS,G2677,Ephesians 4,42,14
καταντήσωμεν,we may attain,V-ASA-1P,G2658,Ephesians 4,43,14
κλυδωνιζόμενοι,being tossed by waves,V-PPM/P-NMP,G2831,Ephesians 4,44,14
κυβείᾳ,cunning,N-DFS,G2940,Ephesians 4,45,14
μεθοδείαν,scheming,N-AFS,G3180,Ephesians 4,46,14
ἐπιχορηγίας,supply,N-GFS,G2024,Ephesians 4,47,14
ματαιότητι,the futility,N-DFS,G3153,Ephesians 4,48,14
ἐσκοτωμένοι,being darkened,V-RPM/P-NMP,G4656,Ephesians 4,49,14
ἄγνοιαν,ignorance,N-AFS,G52,Ephesians 4,50,14
ἀπηλγηκότες,having cast off all feeling,V-RPA-NMP,G524,Ephesians 4,51,14
ἀνανεοῦσθαι,to be renewed,V-PNM/P,G365,Ephesians 4,52,14
ἐπιδυέτω,let set,V-PMA-3S,G1931,Ephesians 4,53,14
παροργισμῷ,anger,N-DMS,G3950,Ephesians 4,54,14
πικρία,bitterness,N-NFS,G4088,Ephesians 4,55,14
εὔσπλαγχνοι,tender-hearted,Adj-NMP,G2155,Ephesians 4,56,14
προσφορὰν,as an offering,N-AFS,G4376,Ephesians 5,57,14
