Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
ἐπισκόποις,the overseers,N-DMP,G1985,Philippians 1,1,15
ἀπολογίᾳ,defense,N-DFS,G627,Philippians 1,2,15
βεβαιώσει,confirmation,N-DFS,G951,Philippians 1,3,15
συνκοινωνούς,fellow partakers,N-AMP,G4791,Philippians 1,4,15
αἰσθήσει,discernment,N-DFS,G144,Philippians 1,5,15
εἰλικρινεῖς,pure,Adj-NMP,G1506,Philippians 1,6,15
ἀπρόσκοποι,blameless,Adj-NMP,G677,Philippians 1,7,15
προκοπὴν,the advancement,N-AFS,G4297,Philippians 1,8,15
ἁγνῶς,purely,Adv,G55,Philippians 1,9,15
ἀποκαραδοκίαν,earnest expectation,N-AFS,G603,Philippians 1,10,15
κέρδος,is gain,N-NNS,G2771,Philippians 1,11,15
κρεῖσσον,better,Adj-NNS-C,G2908,Philippians 1,12,15
ἀναγκαιότερον,is more necessary,Adj-NNS-C,G316,Philippians 1,13,15
παραμενῶ,will continue with,V-FIA-1S,G3887,Philippians 1,14,15
πολιτεύεσθε,conduct yourselves,V-PMM/P-2P,G4176,Philippians 1,15,15
συναθλοῦντες,striving together,V-PPA-NMP,G4866,Philippians 1,16,15
πτυρόμενοι,being frightened,V-PPM/P-NMP,G4426,Philippians 1,17,15
ἔνδειξις,a demonstration,N-NFS,G1732,Philippians 1,18,15
παραμύθιον,comfort,N-NNS,G3890,Philippians 2,19,15
σύμψυχοι,united in soul,Adj-NMP,G4861,Philippians 2,20,15
κενοδοξίαν,vain conceit,N-AFS,G2754,Philippians 2,21,15
ὑπερέχοντας,surpassing,V-PPA-AMP,G5242,Philippians 2,22,15
ἁρπαγμὸν,something to be grasped,N-AMS,G725,Philippians 2,23,15
ἐκένωσεν,emptied,V-AIA-3S,G2758,Philippians 2,24,15
ὁμοιώματι,the likeness,N-DNS,G3667,Philippians 2,25,15
σχήματι,in appearance,N-DNS,G4976,Philippians 2,26,15
ὑπήκοος,obedient,Adj-NMS,G5255,Philippians 2,27,15
ὑπερύψωσεν,highly exalted,V-AIA-3S,G5251,Philippians 2,28,15
καταχθονίων,under the earth,Adj-GMP,G2709,Philippians 2,29,15
ἀπουσίᾳ,absence,N-DFS,G666,Philippians 2,30,15
φωστῆρες,lights,N-NMP,G5458,Philippians 2,31,15
σπένδομαι,I am being poured out as a drink offering,V-PIM/P-1S,G4689,Philippians 2,32,15
εὐψυχῶ,may be encouraged,V-PSA-1S,G2174,Philippians 2,33,15
ἰσόψυχον,like-minded,Adj-AMS,G2473,Philippians 2,34,15
γνησίως,genuinely,Adv,G1104,Philippians 2,35,15
δοκιμὴν,the proven worth,N-AFS,G1382,Philippians 2,36,15
ἀφίδω,I shall have seen,V-ASA-1S,G872,Philippians 2,37,15
Ἐπαφρόδιτον,Epaphroditus,N-AMS,G1891,Philippians 2,38,15
λειτουργὸν,minister,N-AMS,G3011,Philippians 2,39,15
παραπλήσιον,nearly,Adv,G3897,Philippians 2,40,15
Σπουδαιοτέρως,All the more speedily,Adv-C,G4708,Philippians 2,41,15
ἀλυπότερος,less anxious,Adj-NMS-C,G253,Philippians 2,42,15
παραβολευσάμενος,having disregarded,V-APM-NMS,G3851,Philippians 2,43,15
ἀσφαλές,is safe,Adj-NNS,G804,Philippians 3,44,15
κατατομήν,false circumcision,N-AFS,G2699,Philippians 3,45,15
καίπερ,though,Conj,G2539,Philippians 3,46,15
ὀκταήμερος,on the eighth day,Adj-NMS,G3637,Philippians 3,47,15
Βενιαμίν,of Benjamin,N-GMS,G958,Philippians 3,48,15
Ἑβραῖος,a Hebrew,N-NMS,G1445,Philippians 3,49,15
ζημίαν,loss,N-AFS,G2209,Philippians 3,50,15
σκύβαλα,rubbish,N-ANP,G4657,Philippians 3,51,15
συμμορφιζόμενος,being conformed,V-PPM/P-NMS,G4833,Philippians 3,52,15
ἐξανάστασιν,resurrection,N-AFS,G1815,Philippians 3,53,15
ἐπεκτεινόμενος,reaching forward,V-PPM/P-NMS,G1901,Philippians 3,54,15
σκοπὸν,the goal,N-AMS,G4649,Philippians 3,55,15
βραβεῖον,prize,N-ANS,G1017,Philippians 3,56,15
ἑτέρως,differently,Adv,G2088,Philippians 3,57,15
Συμμιμηταί,Imitators together,N-NMP,G4831,Philippians 3,58,15
πολίτευμα,citizenship,N-NNS,G4175,Philippians 3,59,15
μετασχηματίσει,will transform,V-FIA-3S,G3345,Philippians 3,60,15
σύμμορφον,conformed,Adj-ANS,G4832,Philippians 3,61,15
ἐπιπόθητοι,longed for,Adj-VMP,G1973,Philippians 4,62,15
Εὐοδίαν,Euodia,N-AFS,G2136,Philippians 4,63,15
Συντύχην,Syntyche,N-AFS,G4941,Philippians 4,64,15
γνήσιε,TRUE,Adj-VMS,G1103,Philippians 4,65,15
σύζυγε,yokefellow,Adj-VMS,G4805,Philippians 4,66,15
Κλήμεντος,Clement,N-GMS,G2815,Philippians 4,67,15
ἐπιεικὲς,gentleness,Adj-NNS,G1933,Philippians 4,68,15
νοήματα,minds,N-ANP,G3540,Philippians 4,69,15
σεμνά,venerable,Adj-NNP,G4586,Philippians 4,70,15
προσφιλῆ,lovely,Adj-NNP,G4375,Philippians 4,71,15
εὔφημα,admirable,Adj-NNP,G2163,Philippians 4,72,15
ἀρετὴ,excellence,N-NFS,G703,Philippians 4,73,15
μεγάλως,greatly,Adv,G3171,Philippians 4,74,15
ἀνεθάλετε,you revived,V-AIA-2P,G330,Philippians 4,75,15
ἠκαιρεῖσθε,you were lacking opportunity,V-IIM/P-2P,G170,Philippians 4,76,15
αὐτάρκης,content,Adj-NMS,G842,Philippians 4,77,15
μεμύημαι,I have learned the secret,V-RIM/P-1S,G3453,Philippians 4,78,15
Φιλιππήσιοι,Philippians,N-VMP,G5374,Philippians 4,79,15
δόσεως,of giving,N-GFS,G1394,Philippians 4,80,15
λήμψεως,receiving,N-GFS,G3028,Philippians 4,81,15
Θεσσαλονίκῃ,Thessalonica,N-DFS,G2332,Philippians 4,82,15
