Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,1 Corinthians 1,1,16
κλητὸς,a called,Adj-NMS,G2822,1 Corinthians 1,2,16
ἀπόστολος,apostle,N-NMS,G652,1 Corinthians 1,3,16
Χριστοῦ,of Christ,N-GMS,G5547,1 Corinthians 1,4,16
Ἰησοῦ,Jesus,N-GMS,G2424,1 Corinthians 1,5,16
διὰ,by the,Prep,G1223,1 Corinthians 1,6,16
θελήματος,will,N-GNS,G2307,1 Corinthians 1,7,16
Θεοῦ,of God,N-GMS,G2316,1 Corinthians 1,8,16
καὶ,and,Conj,G2532,1 Corinthians 1,9,16
Σωσθένης,Sosthenes,N-NMS,G4988,1 Corinthians 1,10,16
ὁ,the,Art-NMS,G3588,1 Corinthians 1,11,16
ἀδελφὸς,brother,N-NMS,G80,1 Corinthians 1,12,16
Τῇ,To the,Art-DFS,G3588,1 Corinthians 1,13,16
ἐκκλησίᾳ,church,N-DFS,G1577,1 Corinthians 1,14,16
τοῦ,-,Art-GMS,G3588,1 Corinthians 1,15,16
τῇ,-,Art-DFS,G3588,1 Corinthians 1,16,16
οὔσῃ,being,V-PPA-DFS,G1510,1 Corinthians 1,17,16
ἐν,in,Prep,G1722,1 Corinthians 1,18,16
Κορίνθῳ» ,Corinth,N-DFS,G2882,1 Corinthians 1,19,16
ἡγιασμένοις,having been sanctified,V-RPM/P-DMP,G37,1 Corinthians 1,20,16
Χριστῷ,Christ,N-DMS,G5547,1 Corinthians 1,21,16
Ἰησοῦ,Jesus,N-DMS,G2424,1 Corinthians 1,22,16
κλητοῖς,called,Adj-DMP,G2822,1 Corinthians 1,23,16
ἁγίοις,holy,Adj-DMP,G40,1 Corinthians 1,24,16
σὺν,together with,Prep,G4862,1 Corinthians 1,25,16
πᾶσιν,all,Adj-DMP,G3956,1 Corinthians 1,26,16
τοῖς,those,Art-DMP,G3588,1 Corinthians 1,27,16
ἐπικαλουμένοις,calling on,V-PPM-DMP,G1941,1 Corinthians 1,28,16
τὸ,the,Art-ANS,G3588,1 Corinthians 1,29,16
ὄνομα,name,N-ANS,G3686,1 Corinthians 1,30,16
Κυρίου,Lord,N-GMS,G2962,1 Corinthians 1,31,16
ἡμῶν,of us,PPro-G1P,G1473,1 Corinthians 1,32,16
παντὶ,every,Adj-DMS,G3956,1 Corinthians 1,33,16
τόπῳ,place,N-DMS,G5117,1 Corinthians 1,34,16
αὐτῶν,both theirs,PPro-GM3P,G846,1 Corinthians 1,35,16
Χάρις,Grace,N-NFS,G5485,1 Corinthians 1,36,16
ὑμῖν,to you,PPro-D2P,G4771,1 Corinthians 1,37,16
εἰρήνη,peace,N-NFS,G1515,1 Corinthians 1,38,16
ἀπὸ,from,Prep,G575,1 Corinthians 1,39,16
Πατρὸς,Father,N-GMS,G3962,1 Corinthians 1,40,16
Εὐχαριστῶ,I thank,V-PIA-1S,G2168,1 Corinthians 1,41,16
τῷ,the,Art-DMS,G3588,1 Corinthians 1,42,16
Θεῷ,God,N-DMS,G2316,1 Corinthians 1,43,16
μου,of me,PPro-G1S,G1473,1 Corinthians 1,44,16
