Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ἄλφα,Alpha,N-NNS,G1,Revelation 1,1,17
Ὦ,Omega,N-NNS,G5598,Revelation 1,2,17
Παντοκράτωρ,Almighty,N-NMS,G3841,Revelation 1,3,17
νήσῳ,island,N-DFS,G3520,Revelation 1,4,17
Πάτμῳ,Patmos,N-DFS,G3963,Revelation 1,5,17
Σμύρναν,Smyrna,N-AFS,G4667,Revelation 1,6,17
Πέργαμον,Pergamum,N-AFS,G4010,Revelation 1,7,17
Θυάτειρα,Thyatira,N-ANP,G2363,Revelation 1,8,17
Σάρδεις,Sardis,N-AFP,G4554,Revelation 1,9,17
Φιλαδέλφειαν,Philadelphia,N-AFS,G5359,Revelation 1,10,17
χρυσᾶς,golden,Adj-AFP,G5552,Revelation 1,11,17
ποδήρη,to the feet,Adj-AMS,G4158,Revelation 1,12,17
ἔριον,wool,N-NNS,G2053,Revelation 1,13,17
χαλκολιβάνῳ,fine bronze,N-DNS,G5474,Revelation 1,14,17
δίστομος,two-edged,Adj-NFS,G1366,Revelation 1,15,17
ὀξεῖα,sharp,Adj-NFS,G3691,Revelation 1,16,17
ψευδεῖς,FALSE,Adj-AMP,G5571,Revelation 2,17,17
Νικολαϊτῶν,Nicolaitans,N-GMP,G3531,Revelation 2,18,17
πτωχείαν,poverty,N-AFS,G4432,Revelation 2,19,17
Ἀντιπᾶς,of Antipas,N-NMS,G493,Revelation 2,20,17
Βαλὰκ,Balak,N-DMS,G904,Revelation 2,21,17
πολεμήσω,I will make war,V-FIA-1S,G4170,Revelation 2,22,17
ψῆφον,stone,N-AFS,G5586,Revelation 2,23,17
Ἰεζάβελ,Jezebel,N-AFS,G2403,Revelation 2,24,17
νεφροὺς,affections,N-AMP,G3510,Revelation 2,25,17
σιδηρᾷ,of iron,Adj-DFS,G4603,Revelation 2,26,17
κεραμικὰ,potter,Adj-NNP,G2764,Revelation 2,27,17
πρωϊνόν,morning,Adj-AMS,G4407,Revelation 2,28,17
ζεστός,hot,Adj-NMS,G2200,Revelation 3,29,17
χλιαρὸς,lukewarm,Adj-NMS,G5513,Revelation 3,30,17
ἐμέσαι,to spit,V-ANA,G1692,Revelation 3,31,17
ταλαίπωρος,wretched,Adj-NMS,G5005,Revelation 3,32,17
χρυσίον,gold,N-ANS,G5553,Revelation 3,33,17
γυμνότητός,nakedness,N-GFS,G1132,Revelation 3,34,17
κολλούριον,eye-salve,N-ANS,G2854,Revelation 3,35,17
ἐγχρῖσαι,to anoint,V-ANA,G1472,Revelation 3,36,17
ὁράσει,in appearance,N-DFS,G3706,Revelation 4,37,17
ἰάσπιδι,jasper,N-DFS,G2393,Revelation 4,38,17
σαρδίῳ,sardius,N-DNS,G4556,Revelation 4,39,17
ἶρις,a rainbow,N-NFS,G2463,Revelation 4,40,17
κυκλόθεν,was around,Prep,G2943,Revelation 4,41,17
σμαραγδίνῳ,an emerald,Adj-DMS,G4664,Revelation 4,42,17
ὑαλίνη,of glass,Adj-NFS,G5193,Revelation 4,43,17
κρυστάλλῳ,crystal,N-DMS,G2930,Revelation 4,44,17
λέοντι,a lion,N-DMS,G3023,Revelation 4,45,17
πετομένῳ,flying,V-PPM/P-DMS,G4072,Revelation 4,46,17
κατεσφραγισμένον,having been sealed,V-RPM/P-ANS,G2696,Revelation 5,47,17
φιάλας,bowls,N-AFP,G5357,Revelation 5,48,17
κτίσμα,creature,N-ANS,G2938,Revelation 5,49,17
ἵππος,a horse,N-NMS,G2462,Revelation 6,50,17
τόξον,a bow,N-ANS,G5115,Revelation 6,51,17
πυρρός,bright red,Adj-NMS,G4450,Revelation 6,52,17
Χοῖνιξ,A choenix,N-NFS,G5518,Revelation 6,53,17
κριθῶν,of barley,N-GFP,G2915,Revelation 6,54,17
πέμπτην,fifth,Adj-AFS,G3991,Revelation 6,55,17
τρίχινος,of hair,Adj-NMS,G5155,Revelation 6,56,17
ὀλύνθους,unripe figs,N-AMP,G3653,Revelation 6,57,17
ἀπεχωρίσθη,departed,V-AIP-3S,G673,Revelation 6,58,17
ἑλισσόμενον,being rolled up,V-PPM/P-NNS,G1667,Revelation 6,59,17
μετώπων,foreheads,N-GNP,G3359,Revelation 7,60,17
Ῥουβὴν,of Reuben,N-GMS,G4502,Revelation 7,61,17
