Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
δοκίμιον,testing,N-NNS,G1383,James 1,1,18
ἁπλῶς,generously,Adv,G574,James 1,2,18
ἔοικεν,is like,V-RIA-3S,G1503,James 1,3,18
ἀνεμιζομένῳ,being blown by the wind,V-PPM/P-DMS,G416,James 1,4,18
ῥιπιζομένῳ,being tossed by the wind,V-PPM/P-DMS,G4494,James 1,5,18
δίψυχος,double-minded,Adj-NMS,G1374,James 1,6,18
ἀκατάστατος,unstable,Adj-NMS,G182,James 1,7,18
ἄνθος,a flower,N-NNS,G438,James 1,8,18
εὐπρέπεια,beauty,N-NFS,G2143,James 1,9,18
μαρανθήσεται,will fade away,V-FIP-3S,G3133,James 1,10,18
ἀπείραστός,unable to be tempted,Adj-NMS,G551,James 1,11,18
ἐξελκόμενος,being drawn away,V-PPM/P-NMS,G1828,James 1,12,18
δελεαζόμενος,being enticed,V-PPM/P-NMS,G1185,James 1,13,18
ἀποκύει,brings forth,V-PIA-3S,G616,James 1,14,18
δώρημα,gift,N-NNS,G1434,James 1,15,18
παραλλαγὴ,variation,N-NFS,G3883,James 1,16,18
τροπῆς,of shifting,N-GFS,G5157,James 1,17,18
ἀποσκίασμα,shadow,N-NNS,G644,James 1,18,18
ταχὺς,swift,Adj-NMS,G5036,James 1,19,18
ῥυπαρίαν,filthiness,N-AFS,G4507,James 1,20,18
περισσείαν,abounding,N-AFS,G4050,James 1,21,18
ἔμφυτον,implanted,Adj-AMS,G1721,James 1,22,18
ποιηταὶ,doers,N-NMP,G4163,James 1,23,18
ἀκροαταὶ ,hearers,N-NMP,G202,James 1,24,18
ἐπιλησμονῆς,forgetful,N-GFS,G1953,James 1,25,18
ποιήσει,work,N-DFS,G4162,James 1,26,18
θρησκὸς,religious,Adj-NMS,G2357,James 1,27,18
χαλιναγωγῶν,bridling,V-PPA-NMS,G5468,James 1,28,18
ἀμίαντος,undefiled,Adj-NFS,G283,James 1,29,18
ἄσπιλον,unstained,Adj-AMS,G784,James 1,30,18
χρυσοδακτύλιος,with a gold ring,Adj-NMS,G5554,James 2,31,18
καταδυναστεύουσιν,are oppressing,V-PIA-3P,G2616,James 2,32,18
προσωπολημπτεῖτε,you show partiality,V-PIA-2P,G4380,James 2,33,18
πταίσῃ,shall stumble,V-ASA-3S,G4417,James 2,34,18
ἀνέλεος,without mercy will be,Adj-NFS,G448,James 2,35,18
κατακαυχᾶται,Triumphs over,V-PIM/P-3S,G2620,James 2,36,18
ἐφημέρου,of daily,Adj-GFS,G2184,James 2,37,18
ἐπιτήδεια,needful things,Adj-ANP,G2006,James 2,38,18
φρίσσουσιν,shudder,V-PIA-3P,G5425,James 2,39,18
Ῥαὰβ,Rahab,N-NFS,G4460,James 2,40,18
μετάγομεν,we turn about,V-PIA-1P,G3329,James 3,41,18
πηδαλίου,rudder,N-GNS,G4079,James 3,42,18
ὁρμὴ,impulse,N-NFS,G3730,James 3,43,18
αὐχεῖ,it boasts,V-PIA-3S,G3166,James 3,44,18
ὕλην,a forest,N-AFS,G5208,James 3,45,18
φλογίζουσα,setting on fire,V-PPA-NFS,G5394,James 3,46,18
τροχὸν,course,N-AMS,G5164,James 3,47,18
ἑρπετῶν,of creeping things,N-GNP,G2062,James 3,48,18
ἐναλίων,things of the sea,Adj-GNP,G1724,James 3,49,18
ἰοῦ,of poison,N-GMS,G2447,James 3,50,18
θανατηφόρου,deadly,Adj-GMS,G2287,James 3,51,18
ὁμοίωσιν,the likeness,N-AFS,G3669,James 3,52,18
χρή,ought,V-PIA-3S,G5534,James 3,53,18
ὀπῆς,opening,N-GFS,G3692,James 3,54,18
