Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Πέτρος,Peter,N-NMS,G4074,1 Peter 1,1,19
ἀπόστολος,an apostle,N-NMS,G652,1 Peter 1,2,19
Ἰησοῦ,of Jesus,N-GMS,G2424,1 Peter 1,3,19
Χριστοῦ,Christ,N-GMS,G5547,1 Peter 1,4,19
Ἐκλεκτοῖς,To the elect,Adj-DMP,G1588,1 Peter 1,5,19
παρεπιδήμοις,sojourners,Adj-DMP,G3927,1 Peter 1,6,19
Διασπορᾶς,of the Dispersion,N-GFS,G1290,1 Peter 1,7,19
Πόντου,of Pontus,N-GMS,G4195,1 Peter 1,8,19
Γαλατίας,Galatia,N-GFS,G1053,1 Peter 1,9,19
Καππαδοκίας,Cappadocia,N-GFS,G2587,1 Peter 1,10,19
Ἀσίας,Asia,N-GFS,G773,1 Peter 1,11,19
καὶ,and,Conj,G2532,1 Peter 1,12,19
Βιθυνίας,Bithynia,N-GFS,G978,1 Peter 1,13,19
κατὰ,according to,Prep,G2596,1 Peter 1,14,19
πρόγνωσιν,the foreknowledge,N-AFS,G4268,1 Peter 1,15,19
Θεοῦ,of God,N-GMS,G2316,1 Peter 1,16,19
Πατρός,the Father,N-GMS,G3962,1 Peter 1,17,19
ἐν,by,Prep,G1722,1 Peter 1,18,19
ἁγιασμῷ,the sanctification,N-DMS,G38,1 Peter 1,19,19
Πνεύματος,of the Spirit,N-GNS,G4151,1 Peter 1,20,19
εἰς,unto,Prep,G1519,1 Peter 1,21,19
ὑπακοὴν,the obedience,N-AFS,G5218,1 Peter 1,22,19
ῥαντισμὸν,sprinkling,N-AMS,G4473,1 Peter 1,23,19
αἵματος,of the blood,N-GNS,G129,1 Peter 1,24,19
Χάρις,Grace,N-NFS,G5485,1 Peter 1,25,19
ὑμῖν,to you,PPro-D2P,G4771,1 Peter 1,26,19
εἰρήνη,peace,N-NFS,G1515,1 Peter 1,27,19
πληθυνθείη,may be multiplied,V-AOP-3S,G4129,1 Peter 1,28,19
Εὐλογητὸς,Blessed be,Adj-NMS,G2128,1 Peter 1,29,19
ὁ,the,Art-NMS,G3588,1 Peter 1,30,19
Κυρίου,Lord,N-GMS,G2962,1 Peter 1,31,19
ἡμῶν,of us,PPro-G1P,G1473,1 Peter 1,32,19
πολὺ,great,Adj-ANS,G4183,1 Peter 1,33,19
αὐτοῦ,of Him,PPro-GM3S,G846,1 Peter 1,34,19
ἔλεος,mercy,N-ANS,G1656,1 Peter 1,35,19
ἀναγεννήσας,having begotten again,V-APA-NMS,G313,1 Peter 1,36,19
ἐλπίδα,a hope,N-AFS,G1680,1 Peter 1,37,19
ζῶσαν,living,V-PPA-AFS,G2198,1 Peter 1,38,19
δι,through,Prep,G1223,1 Peter 1,39,19
ἀναστάσεως,the resurrection,N-GFS,G386,1 Peter 1,40,19
ἐκ,out from,Prep,G1537,1 Peter 1,41,19
νεκρῶν,the dead,Adj-GMP,G3498,1 Peter 1,42,19
κληρονομίαν,an inheritance,N-AFS,G2817,1 Peter 1,43,19
ἄφθαρτον,imperishable,Adj-AFS,G862,1 Peter 1,44,19
ἀμίαντον,undefiled,Adj-AFS,G283,1 Peter 1,45,19
ἀμάραντον,unfading,Adj-AFS,G263,1 Peter 1,46,19
τετηρημένην,being reserved,V-RPM/P-AFS,G5083,1 Peter 1,47,19
οὐρανοῖς,the heavens,N-DMP,G3772,1 Peter 1,48,19
δυνάμει,the power,N-DFS,G1411,1 Peter 1,49,19
φρουρουμένους,are being guarded,V-PPM/P-AMP,G5432,1 Peter 1,50,19
πίστεως,faith,N-GFS,G4102,1 Peter 1,51,19
σωτηρίαν,the salvation,N-AFS,G4991,1 Peter 1,52,19
ἑτοίμην,ready,Adj-AFS,G2092,1 Peter 1,53,19
ἀποκαλυφθῆναι,to be revealed,V-ANP,G601,1 Peter 1,54,19
καιρῷ,the time,N-DMS,G2540,1 Peter 1,55,19
ἐσχάτῳ,last,Adj-DMS,G2078,1 Peter 1,56,19
ᾧ,which,RelPro-DMS,G3739,1 Peter 1,57,19
ἀγαλλιᾶσθε,you greatly rejoice,V-PIM/P-2P,G21,1 Peter 1,58,19
ὀλίγον,for a little while,Adj-ANS,G3641,1 Peter 1,59,19
ἄρτι,at present,Adv,G737,1 Peter 1,60,19
εἰ,if,Conj,G1487,1 Peter 1,61,19
δέον,being necessary,V-PPA-NNS,G1163,1 Peter 1,62,19
ἐστὶν,it is,V-PIA-3S,G1510,1 Peter 1,63,19
λυπηθέντες,having been put to grief,V-APP-NMP,G3076,1 Peter 1,64,19
ποικίλοις,various,Adj-DMP,G4164,1 Peter 1,65,19
πειρασμοῖς,trials,N-DMP,G3986,1 Peter 1,66,19
ἵνα,so that,Conj,G2443,1 Peter 1,67,19
δοκίμιον,proven genuineness,N-NNS,G1383,1 Peter 1,68,19
πολυτιμότερον,more precious,Adj-NNS-C,G4186,1 Peter 1,69,19
χρυσίου,than gold,N-GNS,G5553,1 Peter 1,70,19
ἀπολλυμένου,perishing,V-PPM-GNS,G622,1 Peter 1,71,19
πυρὸς,fire,N-GNS,G4442,1 Peter 1,72,19
δὲ,though,Conj,G1161,1 Peter 1,73,19
δοκιμαζομένου,being refined,V-PPM/P-GNS,G1381,1 Peter 1,74,19
εὑρεθῇ,may be discovered,V-ASP-3S,G2147,1 Peter 1,75,19
ἔπαινον,praise,N-AMS,G1868,1 Peter 1,76,19
δόξαν,glory,N-AFS,G1391,1 Peter 1,77,19
τιμὴν,honor,N-AFS,G5092,1 Peter 1,78,19
ἀποκαλύψει,the revelation,N-DFS,G602,1 Peter 1,79,19
οὐκ,not,Adv,G3756,1 Peter 1,80,19
ἰδόντες,having seen,V-APA-NMP,G3708,1 Peter 1,81,19
ἀγαπᾶτε,you love,V-PIA-2P,G25,1 Peter 1,82,19
μὴ,not,Adv,G3361,1 Peter 1,83,19
πιστεύοντες,believing,V-PPA-NMP,G4100,1 Peter 1,84,19
χαρᾷ,with joy,N-DFS,G5479,1 Peter 1,85,19
ἀνεκλαλήτῳ,inexpressible,Adj-DFS,G412,1 Peter 1,86,19
δεδοξασμένῃ,filled with glory,V-RPM/P-DFS,G1392,1 Peter 1,87,19
κομιζόμενοι,receiving,V-PPM-NMP,G2865,1 Peter 1,88,19
τέλος,outcome,N-ANS,G5056,1 Peter 1,89,19
ψυχῶν,of your souls,N-GFP,G5590,1 Peter 1,90,19
Περὶ,Concerning,Prep,G4012,1 Peter 1,91,19
ἐξεζήτησαν,sought out,V-AIA-3P,G1567,1 Peter 1,92,19
ἐξηραύνησαν,searched out diligently,V-AIA-3P,G1830,1 Peter 1,93,19
προφῆται,the prophets,N-NMP,G4396,1 Peter 1,94,19
προφητεύσαντες,having prophesied,V-APA-NMP,G4395,1 Peter 1,95,19
ἐραυνῶντες,inquiring,V-PPA-NMP,G2045,1 Peter 1,96,19
τίνα,what,IPro-AMS,G5101,1 Peter 1,97,19
ἢ,or,Conj,G2228,1 Peter 1,98,19
ποῖον,what manner of,IPro-AMS,G4169,1 Peter 1,99,19
ἐδήλου,was signifying,V-IIA-3S,G1213,1 Peter 1,100,19
προμαρτυρόμενον,testifying beforehand,V-PPM/P-NNS,G4303,1 Peter 1,101,19
παθήματα,sufferings,N-ANP,G3804,1 Peter 1,102,19
μετὰ,after,Prep,G3326,1 Peter 1,103,19
ταῦτα,these,DPro-ANP,G3778,1 Peter 1,104,19
