Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
βεβαία,is steadfast,Adj-NFS,G949,2 Corinthians 1,1,20
ἐξαπορηθῆναι,to despair,V-ANP,G1820,2 Corinthians 1,2,20
ἀπόκριμα,sentence,N-ANS,G610,2 Corinthians 1,3,20
συνυπουργούντων,joining together,V-PPA-GMP,G4943,2 Corinthians 1,4,20
ἐλαφρίᾳ,lightness,N-DFS,G1644,2 Corinthians 1,5,20
ἐπιτιμία,punishment,N-NFS,G2009,2 Corinthians 2,6,20
Τρῳάδα,Troas,N-AFS,G5174,2 Corinthians 2,7,20
καπηλεύοντες,peddling,V-PPA-NMP,G2585,2 Corinthians 2,8,20
συστατικῶν,commendatory,Adj-GFP,G4956,2 Corinthians 3,9,20
πλαξὶν,tablets,N-DFP,G4109,2 Corinthians 3,10,20
ἱκανότης,sufficiency,N-NFS,G2426,2 Corinthians 3,11,20
ἐντετυπωμένη,having been engraved,V-RPM/P-NFS,G1795,2 Corinthians 3,12,20
κατακρίσεως,of condemnation was,N-GFS,G2633,2 Corinthians 3,13,20
κάλυμμα,a veil,N-ANS,G2571,2 Corinthians 3,14,20
ἀναγνώσει,reading,N-DFS,G320,2 Corinthians 3,15,20
ἀνακαλυπτόμενον,being lifted,V-PPM/P-NNS,G343,2 Corinthians 3,16,20
ἡνίκα,when,Adv,G2259,2 Corinthians 3,17,20
περιαιρεῖται,is taken away,V-PIM/P-3S,G4014,2 Corinthians 3,18,20
κατοπτριζόμενοι,beholding as in a mirror,V-PPM-NMP,G2734,2 Corinthians 3,19,20
ἀπειπάμεθα,we have renounced,V-AIM-1P,G550,2 Corinthians 4,20,20
δολοῦντες,falsifying,V-PPA-NMP,G1389,2 Corinthians 4,21,20
αὐγάσαι,to beam forth,V-ANA,G826,2 Corinthians 4,22,20
φωτισμὸν,illumination,N-AMS,G5462,2 Corinthians 4,23,20
ὀστρακίνοις,earthen,Adj-DNP,G3749,2 Corinthians 4,24,20
στενοχωρούμενοι,being crushed,V-PPM/P-NMP,G4729,2 Corinthians 4,25,20
καταβαλλόμενοι,being struck down,V-PPM/P-NMP,G2598,2 Corinthians 4,26,20
νέκρωσιν,death,N-AFS,G3500,2 Corinthians 4,27,20
παραυτίκα,momentary,Adv,G3910,2 Corinthians 4,28,20
σκήνους,tent,N-GNS,G4636,2 Corinthians 5,29,20
ἐπενδύσασθαι,to be clothed with,V-ANM,G1902,2 Corinthians 5,30,20
Θαρροῦντες,being confident,V-PPA-NMP,G2292,2 Corinthians 5,31,20
ἐνδημοῦντες,being at home,V-PPA-NMP,G1736,2 Corinthians 5,32,20
ἐκδημοῦμεν,we are absent,V-PIA-1P,G1553,2 Corinthians 5,33,20
καταλλαγῆς,of reconciliation,N-GFS,G2643,2 Corinthians 5,34,20
ἐπήκουσά,I listened to,V-AIA-1S,G1873,2 Corinthians 6,35,20
προσκοπήν,an obstacle,N-AFS,G4349,2 Corinthians 6,36,20
μωμηθῇ,should be blemished,V-ASP-3S,G3469,2 Corinthians 6,37,20
στενοχωρίαις,distresses,N-DFP,G4730,2 Corinthians 6,38,20
ἀγρυπνίαις,watchings,N-DFP,G70,2 Corinthians 6,39,20
ἁγνότητι,purity,N-DFS,G54,2 Corinthians 6,40,20
εὐφημίας,good report,N-GFS,G2162,2 Corinthians 6,41,20
Κορίνθιοι,Corinthians,N-VMP,G2881,2 Corinthians 6,42,20
ἀντιμισθίαν,recompense,N-AFS,G489,2 Corinthians 6,43,20
ἑτεροζυγοῦντες,unequally yoked together,V-PPA-NMP,G2086,2 Corinthians 6,44,20
μετοχὴ,partnership have,N-NFS,G3352,2 Corinthians 6,45,20
συμφώνησις,harmony,N-NFS,G4857,2 Corinthians 6,46,20
Βελιάρ,Belial,N-AMS,G955,2 Corinthians 6,47,20
συνκατάθεσις,agreement,N-NFS,G4783,2 Corinthians 6,48,20
ἐμπεριπατήσω,will walk among them,V-FIA-1S,G1704,2 Corinthians 6,49,20
εἰσδέξομαι,will receive,V-FIM-1S,G1523,2 Corinthians 6,50,20
μολυσμοῦ,defilement,N-GMS,G3436,2 Corinthians 7,51,20
συζῆν,to live together,V-PNA,G4800,2 Corinthians 7,52,20
ὑπερπερισσεύομαι,I overabound,V-PIP-1S,G5248,2 Corinthians 7,53,20
ἐπιπόθησιν,earnest desire,N-AFS,G1972,2 Corinthians 7,54,20
ἀμεταμέλητον,without regret,Adj-AFS,G278,2 Corinthians 7,55,20
ἀγανάκτησιν,indignation,N-AFS,G24,2 Corinthians 7,56,20
αὐθαίρετοι,they were willing of themselves,Adj-NMP,G830,2 Corinthians 8,57,20
προενήρξατο,he had begun,V-AIM-3S,G4278,2 Corinthians 8,58,20
ἐπτώχευσεν,He became poor,V-AIA-3S,G4433,2 Corinthians 8,59,20
πέρυσι,a year ago,Adv,G4070,2 Corinthians 8,60,20
προθυμία,readiness,N-NFS,G4288,2 Corinthians 8,61,20
ἠλαττόνησεν,had lack,V-AIA-3S,G1641,2 Corinthians 8,62,20
σπουδαιότερος,very earnest,Adj-NMS-C,G4705,2 Corinthians 8,63,20
Συνεπέμψαμεν,We have sent,V-AIA-1P,G4842,2 Corinthians 8,64,20
χειροτονηθεὶς,having been chosen,V-APP-NMS,G5500,2 Corinthians 8,65,20
συνέκδημος,fellow traveler,N-NMS,G4898,2 Corinthians 8,66,20
ἁδρότητι,abundance,N-DFS,G100,2 Corinthians 8,67,20
προνοοῦμεν,We are taking great care to do,V-PIA-1P,G4306,2 Corinthians 8,68,20
Μακεδόσιν,to Macedonians,N-DMP,G3110,2 Corinthians 9,69,20
ἀπαρασκευάστους,unprepared,Adj-AMP,G532,2 Corinthians 9,70,20
ὑποστάσει,confidence,N-DFS,G5287,2 Corinthians 9,71,20
προκαταρτίσωσιν,should complete beforehand,V-ASA-3P,G4294,2 Corinthians 9,72,20
προεπηγγελμένην,foreannounced,V-RPM/P-AFS,G4279,2 Corinthians 9,73,20
φειδομένως,sparingly,Adv,G5340,2 Corinthians 9,74,20
προῄρηται,he purposes,V-RIM-3S,G4255,2 Corinthians 9,75,20
ἱλαρὸν,a cheerful,Adj-AMS,G2431,2 Corinthians 9,76,20
δότην,giver,N-AMS,G1395,2 Corinthians 9,77,20
δυνατεῖ,Able is,V-PIA-3S,G1414,2 Corinthians 9,78,20
αὐτάρκειαν,sufficiency,N-AFS,G841,2 Corinthians 9,79,20
πένησιν,poor,N-DMP,G3993,2 Corinthians 9,80,20
προσαναπληροῦσα,completely filling up,V-PPA-NFS,G4322,2 Corinthians 9,81,20
ὁμολογίας,of confession,N-GFS,G3671,2 Corinthians 9,82,20
ἀνεκδιηγήτῳ,indescribable,Adj-DFS,G411,2 Corinthians 9,83,20
ἐπιεικείας,gentleness,N-GFS,G1932,2 Corinthians 10,84,20
στρατείας,warfare,N-GFS,G4752,2 Corinthians 10,85,20
καθαίρεσιν,the demolition,N-AFS,G2506,2 Corinthians 10,86,20
ὀχυρωμάτων,of strongholds,N-GNP,G3794,2 Corinthians 10,87,20
λογισμοὺς,arguments,N-AMP,G3053,2 Corinthians 10,88,20
ὕψωμα,high thing,N-ANS,G5313,2 Corinthians 10,89,20
παρακοήν,disobedience,N-AFS,G3876,2 Corinthians 10,90,20
ἐκφοβεῖν,to frighten,V-PNA,G1629,2 Corinthians 10,91,20
