Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,Romans 1,1,21
δοῦλος,a servant,N-NMS,G1401,Romans 1,2,21
Χριστοῦ,of Christ,N-GMS,G5547,Romans 1,3,21
Ἰησοῦ,Jesus,N-GMS,G2424,Romans 1,4,21
κλητὸς,a called,Adj-NMS,G2822,Romans 1,5,21
ἀπόστολος,apostle,N-NMS,G652,Romans 1,6,21
ἀφωρισμένος,having been set apart,V-RPM/P-NMS,G873,Romans 1,7,21
εἰς,for,Prep,G1519,Romans 1,8,21
εὐαγγέλιον,the gospel,N-ANS,G2098,Romans 1,9,21
Θεοῦ,of God,N-GMS,G2316,Romans 1,10,21
ὃ,which,RelPro-ANS,G3739,Romans 1,11,21
προεπηγγείλατο,He promised beforehand,V-AIM-3S,G4279,Romans 1,12,21
διὰ,through,Prep,G1223,Romans 1,13,21
τῶν,the,Art-GMP,G3588,Romans 1,14,21
προφητῶν,prophets,N-GMP,G4396,Romans 1,15,21
αὐτοῦ,of Him,PPro-GM3S,G846,Romans 1,16,21
ἐν,in,Prep,G1722,Romans 1,17,21
γραφαῖς,the Scriptures,N-DFP,G1124,Romans 1,18,21
ἁγίαις,Holy,Adj-DFP,G40,Romans 1,19,21
περὶ,concerning,Prep,G4012,Romans 1,20,21
τοῦ,the,Art-GMS,G3588,Romans 1,21,21
Υἱοῦ,Son,N-GMS,G5207,Romans 1,22,21
γενομένου,having come,V-APM-GMS,G1096,Romans 1,23,21
ἐκ,of the,Prep,G1537,Romans 1,24,21
σπέρματος,seed,N-GNS,G4690,Romans 1,25,21
Δαυὶδ,of David,N-GMS,G1138,Romans 1,26,21
κατὰ,according to,Prep,G2596,Romans 1,27,21
σάρκα,flesh,N-AFS,G4561,Romans 1,28,21
ὁρισθέντος,having been declared,V-APP-GMS,G3724,Romans 1,29,21
δυνάμει,power,N-DFS,G1411,Romans 1,30,21
πνεῦμα,Spirit,N-ANS,G4151,Romans 1,31,21
ἁγιωσύνης,of holiness,N-GFS,G42,Romans 1,32,21
ἐξ,by,Prep,G1537,Romans 1,33,21
ἀναστάσεως,resurrection,N-GFS,G386,Romans 1,34,21
νεκρῶν,from the dead,Adj-GMP,G3498,Romans 1,35,21
Κυρίου,Lord,N-GMS,G2962,Romans 1,36,21
ἡμῶν,of us,PPro-G1P,G1473,Romans 1,37,21
δι,through,Prep,G1223,Romans 1,38,21
οὗ,whom,RelPro-GMS,G3739,Romans 1,39,21
ἐλάβομεν,we have received,V-AIA-1P,G2983,Romans 1,40,21
χάριν,grace,N-AFS,G5485,Romans 1,41,21
καὶ,and,Conj,G2532,Romans 1,42,21
ἀποστολὴν,apostleship,N-AFS,G651,Romans 1,43,21
ὑπακοὴν,obedience,N-AFS,G5218,Romans 1,44,21
