Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ῥώμῃ,Rome,N-DFS,G4516,Romans 1,1,21
συμπαρακληθῆναι,to be encouraged together,V-ANP,G4837,Romans 1,2,21
καθορᾶται,are clearly seen,V-PIM/P-3S,G2529,Romans 1,3,21
θειότης,divinity,N-NFS,G2305,Romans 1,4,21
ἀναπολογήτους,without excuse,Adj-AMP,G379,Romans 1,5,21
ἐματαιώθησαν,they became futile,V-AIP-3P,G3154,Romans 1,6,21
φάσκοντες,Professing,V-PPA-NMP,G5335,Romans 1,7,21
τετραπόδων,quadrupeds,Adj-GNP,G5074,Romans 1,8,21
μετήλλαξαν,changed,V-AIA-3P,G3337,Romans 1,9,21
ἐσεβάσθησαν,reverenced,V-AIP-3P,G4573,Romans 1,10,21
φυσικὴν,natural,Adj-AFS,G5446,Romans 1,11,21
χρῆσιν,use,N-AFS,G5540,Romans 1,12,21
ἐξεκαύθησαν,were inflamed,V-AIP-3P,G1572,Romans 1,13,21
ὀρέξει,desire,N-DFS,G3715,Romans 1,14,21
καθήκοντα,being proper,V-PPA-ANP,G2520,Romans 1,15,21
κακοηθείας,maliciousness,N-GFS,G2550,Romans 1,16,21
ψιθυριστάς,gossips,N-AMP,G5588,Romans 1,17,21
καταλάλους,slanderers,Adj-AMP,G2637,Romans 1,18,21
θεοστυγεῖς,hateful to God,Adj-AMP,G2319,Romans 1,19,21
ὑβριστάς,insolent,N-AMP,G5197,Romans 1,20,21
ἀλαζόνας,boastful,N-AMP,G213,Romans 1,21,21
ἐφευρετὰς,inventors,N-AMP,G2182,Romans 1,22,21
ἀσυνθέτους,untrustworthy,Adj-AMP,G802,Romans 1,23,21
ἀστόργους,heartless,Adj-AMP,G794,Romans 1,24,21
ἀνελεήμονας,unmerciful,Adj-AMP,G415,Romans 1,25,21
ἀνοχῆς,forbearance,N-GFS,G463,Romans 2,26,21
σκληρότητά,hardness,N-AFS,G4643,Romans 2,27,21
ἀμετανόητον,unrepentant,Adj-AFS,G279,Romans 2,28,21
δικαιοκρισίας,of righteous judgement,N-GFS,G1341,Romans 2,29,21
ἀνόμως,without the Law,Adv,G460,Romans 2,30,21
γραπτὸν,written,Adj-ANS,G1123,Romans 2,31,21
συμμαρτυρούσης,bearing witness,V-PPA-GFS,G4828,Romans 2,32,21
