Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
εὐσέβειαν,godliness,N-AFS,G2150,Titus 1,1,22
ἀψευδὴς,who cannot lie,Adj-NMS,G893,Titus 1,2,22
Κρήτῃ,Crete,N-DFS,G2914,Titus 1,3,22
ἐπιδιορθώσῃ,you might set in order,V-ASM-2S,G1930,Titus 1,4,22
ἀνυπότακτα,insubordinate,Adj-ANP,G506,Titus 1,5,22
αὐθάδη,self-willed,Adj-AMS,G829,Titus 1,6,22
ὀργίλον,quick-tempered,Adj-AMS,G3711,Titus 1,7,22
πάροινον,given to wine,Adj-AMS,G3943,Titus 1,8,22
πλήκτην,a striker,N-AMS,G4131,Titus 1,9,22
αἰσχροκερδῆ,greedy of base gain,Adj-AMS,G146,Titus 1,10,22
φιλάγαθον,a lover of good,Adj-AMS,G5358,Titus 1,11,22
σώφρονα,self-controlled,Adj-AMS,G4998,Titus 1,12,22
ἐγκρατῆ,and disciplined,Adj-AMS,G1468,Titus 1,13,22
ματαιολόγοι,empty talkers,Adj-NMP,G3151,Titus 1,14,22
φρεναπάται,deceivers,N-NMP,G5423,Titus 1,15,22
ἐπιστομίζειν,to silence,V-PNA,G1993,Titus 1,16,22
Κρῆτες,Cretans,N-NMP,G2912,Titus 1,17,22
Ἰουδαϊκοῖς,to Jewish,Adj-DMP,G2451,Titus 1,18,22
μύθοις,myths,N-DMP,G3454,Titus 1,19,22
βδελυκτοὶ,detestable,Adj-NMP,G947,Titus 1,20,22
νηφαλίους,sober-minded,Adj-AMP,G3524,Titus 2,21,22
πρεσβύτιδας,the aged women,N-AFP,G4247,Titus 2,22,22
καταστήματι,behavior,N-DNS,G2688,Titus 2,23,22
ἱεροπρεπεῖς,reverent,Adj-AFP,G2412,Titus 2,24,22
καλοδιδασκάλους,teachers of what is good,Adj-AFP,G2567,Titus 2,25,22
σωφρονίζωσιν,they may train,V-PSA-3P,G4994,Titus 2,26,22
φιλάνδρους,lovers of their husbands,N-AFP,G5362,Titus 2,27,22
φιλοτέκνους,loving their children,Adj-AFP,G5388,Titus 2,28,22
οἰκουργούς,keepers at home,Adj-AFP,G3626,Titus 2,29,22
σεμνότητα,dignity,N-AFS,G4587,Titus 2,30,22
ἀκατάγνωστον,beyond reproach,Adj-AMS,G176,Titus 2,31,22
νοσφιζομένους,pilfering,V-PPM-AMP,G3557,Titus 2,32,22
κοσμικὰς,worldly,Adj-AFP,G2886,Titus 2,33,22
σωφρόνως,discreetly,Adv,G4996,Titus 2,34,22
εὐσεβῶς,piously,Adv,G2153,Titus 2,35,22
περιούσιον,specially chosen,Adj-AMS,G4041,Titus 2,36,22
περιφρονείτω,let despise,V-PMA-3S,G4065,Titus 2,37,22
πειθαρχεῖν,to be obedient,V-PNA,G3980,Titus 3,38,22
ἀμάχους,peaceable,Adj-AMP,G269,Titus 3,39,22
διάγοντες,living,V-PPA-NMP,G1236,Titus 3,40,22
στυγητοί,hateful,Adj-NMP,G4767,Titus 3,41,22
φιλανθρωπία,love of mankind,N-NFS,G5363,Titus 3,42,22
διαβεβαιοῦσθαι,to affirm strongly,V-PNM/P,G1226,Titus 3,43,22
φροντίζωσιν,may take care,V-PSA-3P,G5431,Titus 3,44,22
ὠφέλιμα,profitable,Adj-NNP,G5624,Titus 3,45,22
γενεαλογίας,genealogies,N-AFP,G1076,Titus 3,46,22
ἀνωφελεῖς,unprofitable,Adj-NFP,G512,Titus 3,47,22
αἱρετικὸν,A factious,Adj-AMS,G141,Titus 3,48,22
ἐξέστραπται,is corrupt,V-RIM/P-3S,G1612,Titus 3,49,22
αὐτοκατάκριτος,self-condemned,Adj-NMS,G843,Titus 3,50,22
Ἀρτεμᾶν,Artemas,N-AMS,G734,Titus 3,51,22
Νικόπολιν,Nicopolis,N-AFS,G3533,Titus 3,52,22
Ζηνᾶν,Zenas,N-AMS,G2211,Titus 3,53,22
