Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Συμεὼν,Simon,N-NMS,G4826,2 Peter 1,1,23
Πέτρος,Peter,N-NMS,G4074,2 Peter 1,2,23
δοῦλος,a servant,N-NMS,G1401,2 Peter 1,3,23
καὶ,and,Conj,G2532,2 Peter 1,4,23
ἀπόστολος,apostle,N-NMS,G652,2 Peter 1,5,23
Ἰησοῦ,of Jesus,N-GMS,G2424,2 Peter 1,6,23
Χριστοῦ,Christ,N-GMS,G5547,2 Peter 1,7,23
Τοῖς,To those,Art-DMP,G3588,2 Peter 1,8,23
ἰσότιμον,equally precious,Adj-AFS,G2472,2 Peter 1,9,23
ἡμῖν,with ours,PPro-D1P,G1473,2 Peter 1,10,23
λαχοῦσιν,having obtained,V-APA-DMP,G2975,2 Peter 1,11,23
πίστιν,a faith,N-AFS,G4102,2 Peter 1,12,23
ἐν,through,Prep,G1722,2 Peter 1,13,23
δικαιοσύνῃ,the righteousness,N-DFS,G1343,2 Peter 1,14,23
τοῦ,of the,Art-GMS,G3588,2 Peter 1,15,23
Θεοῦ,God,N-GMS,G2316,2 Peter 1,16,23
ἡμῶν,of us,PPro-G1P,G1473,2 Peter 1,17,23
Σωτῆρος,Savior,N-GMS,G4990,2 Peter 1,18,23
Χάρις,Grace,N-NFS,G5485,2 Peter 1,19,23
ὑμῖν,to you,PPro-D2P,G4771,2 Peter 1,20,23
εἰρήνη,peace,N-NFS,G1515,2 Peter 1,21,23
πληθυνθείη,be multiplied,V-AOP-3S,G4129,2 Peter 1,22,23
ἐπιγνώσει,the knowledge,N-DFS,G1922,2 Peter 1,23,23
Κυρίου,Lord,N-GMS,G2962,2 Peter 1,24,23
Ὡς,Accordingly,Adv,G5613,2 Peter 1,25,23
τὰ,-,Art-NNP,G3588,2 Peter 1,26,23
πάντα,all things,Adj-ANP,G3956,2 Peter 1,27,23
τῆς,the,Art-GFS,G3588,2 Peter 1,28,23
θείας,divine,Adj-GFS,G2304,2 Peter 1,29,23
δυνάμεως,power,N-GFS,G1411,2 Peter 1,30,23
αὐτοῦ,of Him,PPro-GM3S,G846,2 Peter 1,31,23
τὰ,-,Art-ANP,G3588,2 Peter 1,32,23
πρὸς,toward,Prep,G4314,2 Peter 1,33,23
ζωὴν,life,N-AFS,G2222,2 Peter 1,34,23
εὐσέβειαν,godliness,N-AFS,G2150,2 Peter 1,35,23
δεδωρημένης,has given,V-RPM/P-GFS,G1433,2 Peter 1,36,23
διὰ,through,Prep,G1223,2 Peter 1,37,23
ἐπιγνώσεως,knowledge,N-GFS,G1922,2 Peter 1,38,23
καλέσαντος,having called,V-APA-GMS,G2564,2 Peter 1,39,23
ἡμᾶς,us,PPro-A1P,G1473,2 Peter 1,40,23
ἰδίᾳ,by His own,Adj-DFS,G2398,2 Peter 1,41,23
δόξῃ,glory,N-DFS,G1391,2 Peter 1,42,23
ἀρετῇ,excellence,N-DFS,G703,2 Peter 1,43,23
δι,through,Prep,G1223,2 Peter 1,44,23
ὧν,which,RelPro-GNP,G3739,2 Peter 1,45,23
τίμια,precious,Adj-ANP,G5093,2 Peter 1,46,23
μέγιστα,magnificent,Adj-ANP-S,G3173,2 Peter 1,47,23
ἐπαγγέλματα,promises,N-ANP,G1862,2 Peter 1,48,23
δεδώρηται,He has given,V-RIM/P-3S,G1433,2 Peter 1,49,23
ἵνα,so that,Conj,G2443,2 Peter 1,50,23
τούτων,these,DPro-GNP,G3778,2 Peter 1,51,23
γένησθε,you might become,V-ASM-2P,G1096,2 Peter 1,52,23
κοινωνοὶ,partakers,N-NMP,G2844,2 Peter 1,53,23
φύσεως,nature,N-GFS,G5449,2 Peter 1,54,23
ἀποφυγόντες,having escaped,V-APA-NMP,G668,2 Peter 1,55,23
τῷ,the,Art-DMS,G3588,2 Peter 1,56,23
κόσμῳ,world,N-DMS,G2889,2 Peter 1,57,23
ἐπιθυμίᾳ,desire,N-DFS,G1939,2 Peter 1,58,23
φθορᾶς,decay,N-GFS,G5356,2 Peter 1,59,23
Καὶ,And,Conj,G2532,2 Peter 1,60,23
αὐτὸ,very reason,PPro-NN3S,G846,2 Peter 1,61,23
τοῦτο,for this,DPro-ANS,G3778,2 Peter 1,62,23
δὲ,now,Conj,G1161,2 Peter 1,63,23
σπουδὴν,earnestness,N-AFS,G4710,2 Peter 1,64,23
πᾶσαν,all,Adj-AFS,G3956,2 Peter 1,65,23
παρεισενέγκαντες,having brought in,V-APA-NMP,G3923,2 Peter 1,66,23
ἐπιχορηγήσατε,supplement,V-AMA-2P,G2023,2 Peter 1,67,23
τῇ,the,Art-DFS,G3588,2 Peter 1,68,23
πίστει,faith,N-DFS,G4102,2 Peter 1,69,23
ὑμῶν,of you,PPro-G2P,G4771,2 Peter 1,70,23
τὴν,-,Art-AFS,G3588,2 Peter 1,71,23
ἀρετήν,virtue,N-AFS,G703,2 Peter 1,72,23
γνῶσιν,knowledge,N-AFS,G1108,2 Peter 1,73,23
γνώσει,knowledge,N-DFS,G1108,2 Peter 1,74,23
ἐγκράτειαν,self-control,N-AFS,G1466,2 Peter 1,75,23
ἐγκρατείᾳ,self-control,N-DFS,G1466,2 Peter 1,76,23
ὑπομονήν,endurance,N-AFS,G5281,2 Peter 1,77,23
ὑπομονῇ,endurance,N-DFS,G5281,2 Peter 1,78,23
εὐσεβείᾳ,godliness,N-DFS,G2150,2 Peter 1,79,23
φιλαδελφίαν,brotherly affection,N-AFS,G5360,2 Peter 1,80,23
φιλαδελφίᾳ,brotherly affection,N-DFS,G5360,2 Peter 1,81,23
ἀγάπην,love,N-AFS,G26,2 Peter 1,82,23
ταῦτα,These things,DPro-NNP,G3778,2 Peter 1,83,23
γὰρ,for,Conj,G1063,2 Peter 1,84,23
ὑπάρχοντα,being,V-PPA-NNP,G5225,2 Peter 1,85,23
πλεονάζοντα,abounding,V-PPA-NNP,G4121,2 Peter 1,86,23
οὐκ,neither,Adv,G3756,2 Peter 1,87,23
ἀργοὺς,idle,Adj-AMP,G692,2 Peter 1,88,23
οὐδὲ,nor,Conj,G3761,2 Peter 1,89,23
ἀκάρπους,unfruitful,Adj-AMP,G175,2 Peter 1,90,23
καθίστησιν,make you,V-PIA-3S,G2525,2 Peter 1,91,23
εἰς,as to,Prep,G1519,2 Peter 1,92,23
ἐπίγνωσιν,knowledge,N-AFS,G1922,2 Peter 1,93,23
ᾧ,In whomever,RelPro-DMS,G3739,2 Peter 1,94,23
μὴ,not,Adv,G3361,2 Peter 1,95,23
πάρεστιν,are present,V-PIA-3S,G3918,2 Peter 1,96,23
τυφλός,blind,Adj-NMS,G5185,2 Peter 1,97,23
ἐστιν,he is,V-PIA-3S,G1510,2 Peter 1,98,23
μυωπάζων,being short sighted,V-PPA-NMS,G3467,2 Peter 1,99,23
λήθην,forgetfulness,N-AFS,G3024,2 Peter 1,100,23
λαβὼν,having received,V-APA-NMS,G2983,2 Peter 1,101,23
καθαρισμοῦ,purification,N-GMS,G2512,2 Peter 1,102,23
τῶν,the,Art-GFP,G3588,2 Peter 1,103,23
πάλαι,former,Adv,G3819,2 Peter 1,104,23
ἁμαρτιῶν,sins,N-GFP,G266,2 Peter 1,105,23
Διὸ,Therefore,Conj,G1352,2 Peter 1,106,23
μᾶλλον,rather,Adv,G3123,2 Peter 1,107,23
ἀδελφοί,brothers,N-VMP,G80,2 Peter 1,108,23
σπουδάσατε,be diligent,V-AMA-2P,G4704,2 Peter 1,109,23
βεβαίαν,sure,Adj-AFS,G949,2 Peter 1,110,23
κλῆσιν,calling,N-AFS,G2821,2 Peter 1,111,23
ἐκλογὴν,election,N-AFS,G1589,2 Peter 1,112,23
ποιεῖσθαι,to make,V-PNM,G4160,2 Peter 1,113,23
ταῦτα,these things,DPro-ANP,G3778,2 Peter 1,114,23
ποιοῦντες,practicing,V-PPA-NMP,G4160,2 Peter 1,115,23
οὐ,never,Adv,G3756,2 Peter 1,116,23
πταίσητέ,shall you stumble,V-ASA-2P,G4417,2 Peter 1,117,23
ποτε,at any time,Prtcl,G4218,2 Peter 1,118,23
οὕτως,In this way,Adv,G3779,2 Peter 1,119,23
πλουσίως,richly,Adv,G4146,2 Peter 1,120,23
ἐπιχορηγηθήσεται,will be supplied,V-FIP-3S,G2023,2 Peter 1,121,23
ἡ,the,Art-NFS,G3588,2 Peter 1,122,23
εἴσοδος,entrance,N-NFS,G1529,2 Peter 1,123,23
αἰώνιον,eternal,Adj-AFS,G166,2 Peter 1,124,23
βασιλείαν,kingdom,N-AFS,G932,2 Peter 1,125,23
μελλήσω,I will be ready,V-FIA-1S,G3195,2 Peter 1,126,23
ἀεὶ,always,Adv,G104,2 Peter 1,127,23
ὑμᾶς,you,PPro-A2P,G4771,2 Peter 1,128,23
ὑπομιμνῄσκειν,to remind,V-PNA,G5279,2 Peter 1,129,23
περὶ,concerning,Prep,G4012,2 Peter 1,130,23
καίπερ,though,Conj,G2539,2 Peter 1,131,23
εἰδότας,knowing them,V-RPA-AMP,G1492,2 Peter 1,132,23
ἐστηριγμένους,having been strengthened,V-RPM/P-AMP,G4741,2 Peter 1,133,23
παρούσῃ,being present in you,V-PPA-DFS,G3918,2 Peter 1,134,23
ἀληθείᾳ,truth,N-DFS,G225,2 Peter 1,135,23
δίκαιον,Right,Adj-ANS,G1342,2 Peter 1,136,23
ἡγοῦμαι,I esteem it,V-PIM/P-1S,G2233,2 Peter 1,137,23
ἐφ,as,Prep,G1909,2 Peter 1,138,23
ὅσον,long as,RelPro-AMS,G3745,2 Peter 1,139,23
εἰμὶ,I am,V-PIA-1S,G1510,2 Peter 1,140,23
τούτῳ,this,DPro-DNS,G3778,2 Peter 1,141,23
τῷ,-,Art-DNS,G3588,2 Peter 1,142,23
σκηνώματι,tabernacle,N-DNS,G4638,2 Peter 1,143,23
διεγείρειν,to stir up,V-PNA,G1326,2 Peter 1,144,23
ὑπομνήσει,putting you in remembrance,N-DFS,G5280,2 Peter 1,145,23
εἰδὼς,knowing,V-RPA-NMS,G1492,2 Peter 1,146,23
ὅτι,that,Conj,G3754,2 Peter 1,147,23
ταχινή,impending,Adj-NFS,G5031,2 Peter 1,148,23
ἀπόθεσις,putting off,N-NFS,G595,2 Peter 1,149,23
τοῦ,of the,Art-GNS,G3588,2 Peter 1,150,23
σκηνώματός,tabernacle,N-GNS,G4638,2 Peter 1,151,23
μου,of me,PPro-G1S,G1473,2 Peter 1,152,23
καθὼς,as,Adv,G2531,2 Peter 1,153,23
ὁ,the,Art-NMS,G3588,2 Peter 1,154,23
Κύριος,Lord,N-NMS,G2962,2 Peter 1,155,23
Ἰησοῦς,Jesus,N-NMS,G2424,2 Peter 1,156,23
Χριστὸς,Christ,N-NMS,G5547,2 Peter 1,157,23
ἐδήλωσέν,has made clear,V-AIA-3S,G1213,2 Peter 1,158,23
μοι,to me,PPro-D1S,G1473,2 Peter 1,159,23
σπουδάσω,I will be diligent,V-FIA-1S,G4704,2 Peter 1,160,23
ἑκάστοτε,at every time,Adv,G1539,2 Peter 1,161,23
ἔχειν,to have,V-PNA,G2192,2 Peter 1,162,23
μετὰ,after,Prep,G3326,2 Peter 1,163,23
ἐμὴν,my,PPro-AF1S,G1699,2 Peter 1,164,23
ἔξοδον,departure,N-AFS,G1841,2 Peter 1,165,23
μνήμην,a lasting remembrance,N-AFS,G3420,2 Peter 1,166,23
Οὐ,Not,Adv,G3756,2 Peter 1,167,23
σεσοφισμένοις,cleverly devised,V-RPM/P-DMP,G4679,2 Peter 1,168,23
μύθοις,fables,N-DMP,G3454,2 Peter 1,169,23
ἐξακολουθήσαντες,having followed out,V-APA-NMP,G1811,2 Peter 1,170,23
ἐγνωρίσαμεν,we have made known,V-AIA-1P,G1107,2 Peter 1,171,23
δύναμιν,power,N-AFS,G1411,2 Peter 1,172,23
παρουσίαν,coming,N-AFS,G3952,2 Peter 1,173,23
ἀλλ,but,Conj,G235,2 Peter 1,174,23
ἐπόπται,eyewitnesses,N-NMP,G2030,2 Peter 1,175,23
γενηθέντες,having been,V-APP-NMP,G1096,2 Peter 1,176,23
ἐκείνου,of His,DPro-GMS,G1565,2 Peter 1,177,23
μεγαλειότητος,majesty,N-GFS,G3168,2 Peter 1,178,23
παρὰ,from,Prep,G3844,2 Peter 1,179,23
Πατρὸς,the Father,N-GMS,G3962,2 Peter 1,180,23
τιμὴν,honor,N-AFS,G5092,2 Peter 1,181,23
δόξαν,glory,N-AFS,G1391,2 Peter 1,182,23
φωνῆς,a voice,N-GFS,G5456,2 Peter 1,183,23
ἐνεχθείσης,was brought,V-APP-GFS,G5342,2 Peter 1,184,23
αὐτῷ,to Him,PPro-DM3S,G846,2 Peter 1,185,23
τοιᾶσδε,such as follows,DPro-GFS,G5107,2 Peter 1,186,23
ὑπὸ,by,Prep,G5259,2 Peter 1,187,23
μεγαλοπρεποῦς,Majestic,Adj-GFS,G3169,2 Peter 1,188,23
δόξης,Glory,N-GFS,G1391,2 Peter 1,189,23
Ὁ,The,Art-NMS,G3588,2 Peter 1,190,23
Υἱός,Son,N-NMS,G5207,2 Peter 1,191,23
ἀγαπητός,beloved,Adj-NMS,G27,2 Peter 1,192,23
οὗτός,this,DPro-NMS,G3778,2 Peter 1,193,23
ὃν,whom,RelPro-AMS,G3739,2 Peter 1,194,23
ἐγὼ,I,PPro-N1S,G1473,2 Peter 1,195,23
εὐδόκησα,have found delight,V-AIA-1S,G2106,2 Peter 1,196,23
ταύτην,this,DPro-AFS,G3778,2 Peter 1,197,23
φωνὴν,voice,N-AFS,G5456,2 Peter 1,198,23
ἡμεῖς,we,PPro-N1P,G1473,2 Peter 1,199,23
ἠκούσαμεν,heard,V-AIA-1P,G191,2 Peter 1,200,23
ἐξ,from,Prep,G1537,2 Peter 1,201,23
οὐρανοῦ,heaven,N-GMS,G3772,2 Peter 1,202,23
ἐνεχθεῖσαν,having been brought,V-APP-AFS,G5342,2 Peter 1,203,23
σὺν,with,Prep,G4862,2 Peter 1,204,23
ὄντες,being,V-PPA-NMP,G1510,2 Peter 1,205,23
ἁγίῳ,holy,Adj-DNS,G40,2 Peter 1,206,23
ὄρει,mountain,N-DNS,G3735,2 Peter 1,207,23
ἔχομεν,we have,V-PIA-1P,G2192,2 Peter 1,208,23
βεβαιότερον,more certain,Adj-AMS-C,G949,2 Peter 1,209,23
τὸν,the,Art-AMS,G3588,2 Peter 1,210,23
προφητικὸν,prophetic,Adj-AMS,G4397,2 Peter 1,211,23
λόγον,word,N-AMS,G3056,2 Peter 1,212,23
καλῶς,well,Adv,G2573,2 Peter 1,213,23
ποιεῖτε,you do,V-PIA-2P,G4160,2 Peter 1,214,23
προσέχοντες,taking heed,V-PPA-NMP,G4337,2 Peter 1,215,23
ὡς,as,Adv,G5613,2 Peter 1,216,23
λύχνῳ,to a lamp,N-DMS,G3088,2 Peter 1,217,23
φαίνοντι,shining,V-PPA-DMS,G5316,2 Peter 1,218,23
αὐχμηρῷ,a dark,Adj-DMS,G850,2 Peter 1,219,23
τόπῳ,place,N-DMS,G5117,2 Peter 1,220,23
ἕως,until,Prep,G2193,2 Peter 1,221,23
οὗ,this,RelPro-GMS,G3739,2 Peter 1,222,23
