Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
ἰσότιμον,equally precious,Adj-AFS,G2472,2 Peter 1,1,23
θείας,divine,Adj-GFS,G2304,2 Peter 1,2,23
ἐπαγγέλματα,promises,N-ANP,G1862,2 Peter 1,3,23
ἀποφυγόντες,having escaped,V-APA-NMP,G668,2 Peter 1,4,23
παρεισενέγκαντες,having brought in,V-APA-NMP,G3923,2 Peter 1,5,23
μυωπάζων,being short sighted,V-PPA-NMS,G3467,2 Peter 1,6,23
λήθην,forgetfulness,N-AFS,G3024,2 Peter 1,7,23
σκηνώματι,tabernacle,N-DNS,G4638,2 Peter 1,8,23
ὑπομνήσει,putting you in remembrance,N-DFS,G5280,2 Peter 1,9,23
ταχινή,impending,Adj-NFS,G5031,2 Peter 1,10,23
ἑκάστοτε,at every time,Adv,G1539,2 Peter 1,11,23
μνήμην,a lasting remembrance,N-AFS,G3420,2 Peter 1,12,23
σεσοφισμένοις,cleverly devised,V-RPM/P-DMP,G4679,2 Peter 1,13,23
ἐξακολουθήσαντες,having followed out,V-APA-NMP,G1811,2 Peter 1,14,23
ἐπόπται,eyewitnesses,N-NMP,G2030,2 Peter 1,15,23
τοιᾶσδε,such as follows,DPro-GFS,G5107,2 Peter 1,16,23
μεγαλοπρεποῦς,Majestic,Adj-GFS,G3169,2 Peter 1,17,23
αὐχμηρῷ,a dark,Adj-DMS,G850,2 Peter 1,18,23
φωσφόρος,the morning star,Adj-NMS,G5459,2 Peter 1,19,23
ἐπιλύσεως,interpretation,N-GFS,G1955,2 Peter 1,20,23
ψευδοδιδάσκαλοι,false teachers,N-NMP,G5572,2 Peter 2,21,23
παρεισάξουσιν,will stealthily introduce,V-FIA-3P,G3919,2 Peter 2,22,23
ἐπάγοντες,bringing upon,V-PPA-NMP,G1863,2 Peter 2,23,23
πλαστοῖς,with fabricated,Adj-DMP,G4112,2 Peter 2,24,23
ἔκπαλαι,of long ago,Adv,G1597,2 Peter 2,25,23
ἀργεῖ,is idle,V-PIA-3S,G691,2 Peter 2,26,23
σειραῖς,in chains,N-DFP,G4577,2 Peter 2,27,23
ταρταρώσας,having cast them down to Tartarus,V-APA-NMS,G5020,2 Peter 2,28,23
κήρυκα,a herald,N-AMS,G2783,2 Peter 2,29,23
τεφρώσας,having reduced to ashes,V-APA-NMS,G5077,2 Peter 2,30,23
καταστροφῇ,to destruction,N-DFS,G2692,2 Peter 2,31,23
καταπονούμενον,being distressed,V-PPM/P-AMS,G2669,2 Peter 2,32,23
ἀθέσμων,lawless,Adj-GMP,G113,2 Peter 2,33,23
βλέμματι,through seeing,N-DNS,G990,2 Peter 2,34,23
ἐνκατοικῶν,dwelling,V-PPA-NMS,G1460,2 Peter 2,35,23
εὐσεβεῖς,the devout,Adj-AMP,G2152,2 Peter 2,36,23
κολαζομένους,being punished,V-PPM/P-AMP,G2849,2 Peter 2,37,23
μιασμοῦ,of defilement,N-GMS,G3394,2 Peter 2,38,23
τολμηταὶ,Bold,N-NMP,G5113,2 Peter 2,39,23
βλάσφημον,a reviling,Adj-AFS,G989,2 Peter 2,40,23
ἅλωσιν,capture,N-AFS,G259,2 Peter 2,41,23
μῶμοι,blemishes,N-NMP,G3470,2 Peter 2,42,23
ἐντρυφῶντες,reveling,V-PPA-NMP,G1792,2 Peter 2,43,23
ἀκαταπαύστους,unceasing,Adj-AMP,G180,2 Peter 2,44,23
ἀστηρίκτους,unestablished,Adj-AFP,G793,2 Peter 2,45,23
γεγυμνασμένην,having been exercised,V-RPM/P-AFS,G1128,2 Peter 2,46,23
Βοσὸρ,son of Bosor,N-GMS,G1007,2 Peter 2,47,23
ἔλεγξιν,reproof,N-AFS,G1649,2 Peter 2,48,23
παρανομίας,transgression,N-GFS,G3892,2 Peter 2,49,23
φθεγξάμενον,having spoken,V-APM-NNS,G5350,2 Peter 2,50,23
παραφρονίαν,madness,N-AFS,G3913,2 Peter 2,51,23
ὁμίχλαι,mists,N-NFP,G887,2 Peter 2,52,23
μιάσματα,pollutions,N-ANP,G3393,2 Peter 2,53,23
ἐμπλακέντες,having been entangled,V-APP-NMP,G1707,2 Peter 2,54,23
ἐξέραμα,vomit,N-ANS,G1829,2 Peter 2,55,23
Ὗς,A sow,N-NFS,G5300,2 Peter 2,56,23
κυλισμὸν,rolling place,N-AMS,G2946,2 Peter 2,57,23
βορβόρου,in the mire,N-GMS,G1004,2 Peter 2,58,23
ἐμπαιγμονῇ,scoffing,N-DFS,G1701,2 Peter 3,59,23
κατακλυσθεὶς,having been deluged,V-APP-NMS,G2626,2 Peter 3,60,23
βραδύνει,does delay,V-PIA-3S,G1019,2 Peter 3,61,23
βραδύτητα,slowness,N-AFS,G1022,2 Peter 3,62,23
ῥοιζηδὸν,with a roar,Adv,G4500,2 Peter 3,63,23
καυσούμενα,burning with heat,V-PPM/P-NNP,G2741,2 Peter 3,64,23
τήκεται,are melting,V-PIM/P-3S,G5080,2 Peter 3,65,23
ἀμώμητοι,without blemish,Adj-NMP,G298,2 Peter 3,66,23
δυσνόητά,difficult to be understood,Adj-NNP,G1425,2 Peter 3,67,23
ἀμαθεῖς,ignorant,Adj-NMP,G261,2 Peter 3,68,23
στρεβλοῦσιν,distort,V-PIA-3P,G4761,2 Peter 3,69,23
στηριγμοῦ,steadfastness,N-GMS,G4740,2 Peter 3,70,23
