Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Πολυμερῶς,In many portions,Adv,G4181,Hebrews 1,1,24
πολυτρόπως,in many ways,Adv,G4187,Hebrews 1,2,24
ἀπαύγασμα,the radiance,N-NNS,G541,Hebrews 1,3,24
χαρακτὴρ,the exact expression,N-NMS,G5481,Hebrews 1,4,24
εὐθύτητος,righteousness is,N-GFS,G2118,Hebrews 1,5,24
λειτουργικὰ,ministering,Adj-NNP,G3010,Hebrews 1,6,24
παραρυῶμεν,we should drift away,V-ASA-1P,G3901,Hebrews 2,7,24
μισθαποδοσίαν,recompense,N-AFS,G3405,Hebrews 2,8,24
συνεπιμαρτυροῦντος,bearing witness,V-PPA-GMS,G4901,Hebrews 2,9,24
μερισμοῖς,distributions,N-DMP,G3311,Hebrews 2,10,24
θέλησιν,will,N-AFS,G2308,Hebrews 2,11,24
ἐστεφάνωσας,You crowned,V-AIA-2S,G4737,Hebrews 2,12,24
ἀρχηγὸν,archetype,N-AMS,G747,Hebrews 2,13,24
παραπλησίως,likewise,Adv,G3898,Hebrews 2,14,24
θεράπων,a servant,N-NMS,G2324,Hebrews 3,15,24
παραπικρασμῷ,rebellion,N-DMS,G3894,Hebrews 3,16,24
προσώχθισα,I was angry,V-AIA-1S,G4360,Hebrews 3,17,24
κατάπαυσίν,rest,N-AFS,G2663,Hebrews 3,18,24
παρεπίκραναν,rebelled,V-AIA-3P,G3893,Hebrews 3,19,24
κῶλα,bodies,N-NNP,G2966,Hebrews 3,20,24
Καίτοι,And yet,Conj,G2543,Hebrews 4,21,24
κατέπαυσεν,rested,V-AIA-3S,G2664,Hebrews 4,22,24
σαββατισμὸς,a Sabbath rest,N-NMS,G4520,Hebrews 4,23,24
τομώτερος,sharper,Adj-NMS-C,G5114,Hebrews 4,24,24
διϊκνούμενος,penetrating,V-PPM/P-NMS,G1338,Hebrews 4,25,24
ἁρμῶν,of joints,N-GMP,G719,Hebrews 4,26,24
μυελῶν,marrows,N-GMP,G3452,Hebrews 4,27,24
κριτικὸς,able to judge,Adj-NMS,G2924,Hebrews 4,28,24
ἀφανὴς,hidden,Adj-NFS,G852,Hebrews 4,29,24
τετραχηλισμένα,laid bare,V-RPM/P-NNP,G5136,Hebrews 4,30,24
συμπαθῆσαι,to sympathize,V-ANA,G4834,Hebrews 4,31,24
ὁμοιότητα,the same way,N-AFS,G3665,Hebrews 4,32,24
βοήθειαν,help,N-AFS,G996,Hebrews 4,33,24
μετριοπαθεῖν,to exercise forbearance,V-PNA,G3356,Hebrews 5,34,24
Μελχισέδεκ,of Melchizedek,N-GMS,G3198,Hebrews 5,35,24
ἱκετηρίας,supplications,N-AFP,G2428,Hebrews 5,36,24
εὐλαβείας,reverence,N-GFS,G2124,Hebrews 5,37,24
προσαγορευθεὶς,having been designated,V-APP-NMS,G4316,Hebrews 5,38,24
δυσερμήνευτος,difficult in interpretation,Adj-NMS,G1421,Hebrews 5,39,24
νωθροὶ,sluggish,Adj-NMP,G3576,Hebrews 5,40,24
ἄπειρος,is inexperienced,Adj-NMS,G552,Hebrews 5,41,24
ἕξιν,constant use,N-AFS,G1838,Hebrews 5,42,24
αἰσθητήρια,senses,N-ANP,G145,Hebrews 5,43,24
ἐπιθέσεώς,of laying on,N-GFS,G1936,Hebrews 6,44,24
παραπεσόντας,having fallen away,V-APA-AMP,G3895,Hebrews 6,45,24
ἀνακαινίζειν,to restore them,V-PNA,G340,Hebrews 6,46,24
ἀνασταυροῦντας,crucifying,V-PPA-AMP,G388,Hebrews 6,47,24
παραδειγματίζοντας,subjecting Him to open shame,V-PPA-AMP,G3856,Hebrews 6,48,24
βοτάνην,vegetation,N-AFS,G1008,Hebrews 6,49,24
γεωργεῖται,it is tilled,V-PIM/P-3S,G1090,Hebrews 6,50,24
μεταλαμβάνει,partakes,V-PIA-3S,G3335,Hebrews 6,51,24
καῦσιν,burning,N-AFS,G2740,Hebrews 6,52,24
μὴν,surely,Prtcl,G3375,Hebrews 6,53,24
