Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Πολυμερῶς,In many portions,Adv,G4181,Hebrews 1,1,24
καὶ,and,Conj,G2532,Hebrews 1,2,24
πολυτρόπως,in many ways,Adv,G4187,Hebrews 1,3,24
πάλαι,long ago,Adv,G3819,Hebrews 1,4,24
ὁ,-,Art-NMS,G3588,Hebrews 1,5,24
Θεὸς,God,N-NMS,G2316,Hebrews 1,6,24
λαλήσας,having spoken,V-APA-NMS,G2980,Hebrews 1,7,24
πατράσιν,fathers,N-DMP,G3962,Hebrews 1,8,24
ἐν,in,Prep,G1722,Hebrews 1,9,24
προφήταις,prophets,N-DMP,G4396,Hebrews 1,10,24
ἐπ,in,Prep,G1909,Hebrews 1,11,24
ἐσχάτου,last,Adj-GNS,G2078,Hebrews 1,12,24
ἡμερῶν,days,N-GFP,G2250,Hebrews 1,13,24
τούτων,these,DPro-GFP,G3778,Hebrews 1,14,24
ἡμῖν,to us,PPro-D1P,G1473,Hebrews 1,15,24
Υἱῷ,His Son,N-DMS,G5207,Hebrews 1,16,24
ὃν,whom,RelPro-AMS,G3739,Hebrews 1,17,24
ἔθηκεν,He appointed,V-AIA-3S,G5087,Hebrews 1,18,24
κληρονόμον,heir,N-AMS,G2818,Hebrews 1,19,24
πάντων,of all things,Adj-GNP,G3956,Hebrews 1,20,24
δι,through,Prep,G1223,Hebrews 1,21,24
ἐποίησεν,He made,V-AIA-3S,G4160,Hebrews 1,22,24
αἰῶνας,ages,N-AMP,G165,Hebrews 1,23,24
ὢν,being,V-PPA-NMS,G1510,Hebrews 1,24,24
ἀπαύγασμα,the radiance,N-NNS,G541,Hebrews 1,25,24
δόξης,glory,N-GFS,G1391,Hebrews 1,26,24
χαρακτὴρ,the exact expression,N-NMS,G5481,Hebrews 1,27,24
ὑποστάσεως,substance,N-GFS,G5287,Hebrews 1,28,24
αὐτοῦ,of Him,PPro-GM3S,G846,Hebrews 1,29,24
φέρων,upholding,V-PPA-NMS,G5342,Hebrews 1,30,24
τε,then,Conj,G5037,Hebrews 1,31,24
ῥήματι,word,N-DNS,G4487,Hebrews 1,32,24
δυνάμεως,power,N-GFS,G1411,Hebrews 1,33,24
καθαρισμὸν,the purification,N-AMS,G2512,Hebrews 1,34,24
ἁμαρτιῶν,of sins,N-GFP,G266,Hebrews 1,35,24
ἐκάθισεν,sat down,V-AIA-3S,G2523,Hebrews 1,36,24
δεξιᾷ,the right hand,Adj-DFS,G1188,Hebrews 1,37,24
Μεγαλωσύνης,Majesty,N-GFS,G3172,Hebrews 1,38,24
ὑψηλοῖς,high,Adj-DMP,G5308,Hebrews 1,39,24
τοσούτῳ,By so much,DPro-DNS,G5118,Hebrews 1,40,24
κρείττων,superior,Adj-NMS-C,G2909,Hebrews 1,41,24
γενόμενος,having become,V-APM-NMS,G1096,Hebrews 1,42,24
ἀγγέλων,angels,N-GMP,G32,Hebrews 1,43,24
ὅσῳ,as much as,RelPro-DNS,G3745,Hebrews 1,44,24
διαφορώτερον,more excellent,Adj-ANS-C,G1313,Hebrews 1,45,24
παρ,beyond,Prep,G3844,Hebrews 1,46,24
κεκληρονόμηκεν,He has inherited,V-RIA-3S,G2816,Hebrews 1,47,24
ὄνομα,a name,N-ANS,G3686,Hebrews 1,48,24
Τίνι,To which,IPro-DMS,G5101,Hebrews 1,49,24
γὰρ,for,Conj,G1063,Hebrews 1,50,24
εἶπέν,did He say,V-AIA-3S,G2036,Hebrews 1,51,24
ποτε,ever,Prtcl,G4218,Hebrews 1,52,24
σύ,You,PPro-N2S,G4771,Hebrews 1,53,24
σήμερον,today,Adv,G4594,Hebrews 1,54,24
γεγέννηκά,have begotten,V-RIA-1S,G1080,Hebrews 1,55,24
πάλιν,again,Adv,G3825,Hebrews 1,56,24
εἰς,for,Prep,G1519,Hebrews 1,57,24
Ὅταν,When,Conj,G3752,Hebrews 1,58,24
δὲ,then,Conj,G1161,Hebrews 1,59,24
εἰσαγάγῃ,He brings,V-ASA-3S,G1521,Hebrews 1,60,24
πρωτότοκον,Firstborn,Adj-AMS,G4416,Hebrews 1,61,24
οἰκουμένην,world,N-AFS,G3625,Hebrews 1,62,24
λέγει,He says,V-PIA-3S,G3004,Hebrews 1,63,24
προσκυνησάτωσαν,let worship,V-AMA-3P,G4352,Hebrews 1,64,24
πρὸς,as to,Prep,G4314,Hebrews 1,65,24
μὲν,indeed,Conj,G3303,Hebrews 1,66,24
πνεύματα,winds,N-ANP,G4151,Hebrews 1,67,24
λειτουργοὺς,ministers,N-AMP,G3011,Hebrews 1,68,24
πυρὸς,of fire,N-GNS,G4442,Hebrews 1,69,24
φλόγα,a flame,N-AFS,G5395,Hebrews 1,70,24
θρόνος,throne,N-NMS,G2362,Hebrews 1,71,24
ῥάβδος,scepter,N-NFS,G4464,Hebrews 1,72,24
εὐθύτητος,righteousness is,N-GFS,G2118,Hebrews 1,73,24
βασιλείας,kingdom,N-GFS,G932,Hebrews 1,74,24
ἠγάπησας,You have loved,V-AIA-2S,G25,Hebrews 1,75,24
δικαιοσύνην,righteousness,N-AFS,G1343,Hebrews 1,76,24
ἐμίσησας,have hated,V-AIA-2S,G3404,Hebrews 1,77,24
ἀνομίαν,wickedness,N-AFS,G458,Hebrews 1,78,24
ἔχρισέν,has anointed,V-AIA-3S,G5548,Hebrews 1,79,24
ἔλαιον,with the oil,N-ANS,G1637,Hebrews 1,80,24
ἀγαλλιάσεως,of exultation,N-GFS,G20,Hebrews 1,81,24
μετόχους,companions,Adj-AMP,G3353,Hebrews 1,82,24
κατ,in,Prep,G2596,Hebrews 1,83,24
ἀρχάς,the beginning,N-AFP,G746,Hebrews 1,84,24
Κύριε,Lord,N-VMS,G2962,Hebrews 1,85,24
γῆν,earth,N-AFS,G1093,Hebrews 1,86,24
ἐθεμελίωσας,laid the foundation,V-AIA-2S,G2311,Hebrews 1,87,24
ἔργα,works,N-NNP,G2041,Hebrews 1,88,24
χειρῶν,hands,N-GFP,G5495,Hebrews 1,89,24
οὐρανοί,heavens,N-NMP,G3772,Hebrews 1,90,24
ἀπολοῦνται,will perish,V-FIM-3P,G622,Hebrews 1,91,24
διαμένεις,remain,V-PIA-2S,G1265,Hebrews 1,92,24
ὡς,like,Adv,G5613,Hebrews 1,93,24
ἱμάτιον,a garment,N-NNS,G2440,Hebrews 1,94,24
παλαιωθήσονται,will grow old,V-FIP-3P,G3822,Hebrews 1,95,24
ὡσεὶ,like,Adv,G5616,Hebrews 1,96,24
περιβόλαιον,a robe,N-ANS,G4018,Hebrews 1,97,24
ἑλίξεις,You will roll up,V-FIA-2S,G1667,Hebrews 1,98,24
ἀλλαγήσονται,they will be changed,V-FIP-3P,G236,Hebrews 1,99,24
ἔτη,years,N-NNP,G2094,Hebrews 1,100,24
οὐκ,not,Adv,G3756,Hebrews 1,101,24
ἐκλείψουσιν,will never end,V-FIA-3P,G1587,Hebrews 1,102,24
εἴρηκέν,did He say,V-RIA-3S,G2046,Hebrews 1,103,24
Κάθου,Sit,V-PMM/P-2S,G2521,Hebrews 1,104,24
ἐκ,at,Prep,G1537,Hebrews 1,105,24
ἕως,until,Conj,G2193,Hebrews 1,106,24
ἂν,-,Prtcl,G302,Hebrews 1,107,24
ἐχθρούς,enemies,Adj-AMP,G2190,Hebrews 1,108,24
ὑποπόδιον,as a footstool,N-ANS,G5286,Hebrews 1,109,24
ποδῶν,feet,N-GMP,G4228,Hebrews 1,110,24
Οὐχὶ,Not,IntPrtcl,G3780,Hebrews 1,111,24
λειτουργικὰ,ministering,Adj-NNP,G3010,Hebrews 1,112,24
διακονίαν,service,N-AFS,G1248,Hebrews 1,113,24
ἀποστελλόμενα,being sent forth,V-PPM/P-NNP,G649,Hebrews 1,114,24
μέλλοντας,being about,V-PPA-AMP,G3195,Hebrews 1,115,24
σωτηρίαν,salvation,N-AFS,G4991,Hebrews 1,116,24
δεῖ,it behooves,V-PIA-3S,G1163,Hebrews 2,117,24
περισσοτέρως,more abundantly,Adv,G4057,Hebrews 2,118,24
προσέχειν,to give heed,V-PNA,G4337,Hebrews 2,119,24
ἀκουσθεῖσιν,we have heard,V-APP-DNP,G191,Hebrews 2,120,24
μή,lest,Adv,G3361,Hebrews 2,121,24
ποτε,ever,Conj,G4219,Hebrews 2,122,24
παραρυῶμεν,we should drift away,V-ASA-1P,G3901,Hebrews 2,123,24
εἰ,If,Conj,G1487,Hebrews 2,124,24
λόγος,word,N-NMS,G3056,Hebrews 2,125,24
βέβαιος,unalterable,Adj-NMS,G949,Hebrews 2,126,24
παράβασις,transgression,N-NFS,G3847,Hebrews 2,127,24
παρακοὴ,disobedience,N-NFS,G3876,Hebrews 2,128,24
ἔλαβεν,received,V-AIA-3S,G2983,Hebrews 2,129,24
ἔνδικον,a just,Adj-AFS,G1738,Hebrews 2,130,24
μισθαποδοσίαν,recompense,N-AFS,G3405,Hebrews 2,131,24
πῶς,how,Adv,G4459,Hebrews 2,132,24
ἐκφευξόμεθα,will escape,V-FIM-1P,G1628,Hebrews 2,133,24
τηλικαύτης,such a great,DPro-GFS,G5082,Hebrews 2,134,24
ἀμελήσαντες,having neglected,V-APA-NMP,G272,Hebrews 2,135,24
ἥτις,which,RelPro-NFS,G3748,Hebrews 2,136,24
ὑπὸ,by,Prep,G5259,Hebrews 2,137,24
ἐβεβαιώθη,it was confirmed,V-AIP-3S,G950,Hebrews 2,138,24
συνεπιμαρτυροῦντος,bearing witness,V-PPA-GMS,G4901,Hebrews 2,139,24
σημείοις,by signs,N-DNP,G4592,Hebrews 2,140,24
τέρασιν,wonders,N-DNP,G5059,Hebrews 2,141,24
ποικίλαις,by various,Adj-DFP,G4164,Hebrews 2,142,24
Ἁγίου,Holy,Adj-GNS,G40,Hebrews 2,143,24
μερισμοῖς,distributions,N-DMP,G3311,Hebrews 2,144,24
θέλησιν,will,N-AFS,G2308,Hebrews 2,145,24
ὑπέταξεν,did He subject,V-AIA-3S,G5293,Hebrews 2,146,24
περὶ,of,Prep,G4012,Hebrews 2,147,24
διεμαρτύρατο,Has testified,V-AIM-3S,G1263,Hebrews 2,148,24
πού,somewhere,Adv,G4225,Hebrews 2,149,24
τις,someone,IPro-NMS,G5100,Hebrews 2,150,24
ἄνθρωπος,man,N-NMS,G444,Hebrews 2,151,24
ὅτι,that,Conj,G3754,Hebrews 2,152,24
μιμνῄσκῃ,You are mindful,V-PIM/P-2S,G3403,Hebrews 2,153,24
ἢ,or,Conj,G2228,Hebrews 2,154,24
ἐπισκέπτῃ,You care for,V-PIM/P-2S,G1980,Hebrews 2,155,24
ἠλάττωσας,You made lower,V-AIA-2S,G1642,Hebrews 2,156,24
βραχύ,a little,Adv,G1024,Hebrews 2,157,24
τιμῇ,honor,N-DFS,G5092,Hebrews 2,158,24
ἐστεφάνωσας,You crowned,V-AIA-2S,G4737,Hebrews 2,159,24
κατέστησας,have appointed,V-AIA-2S,G2525,Hebrews 2,160,24
ὑποκάτω,under,Prep,G5270,Hebrews 2,161,24
οὐδὲν,nothing,Adj-ANS,G3762,Hebrews 2,162,24
ἀφῆκεν,He left,V-AIA-3S,G863,Hebrews 2,163,24
ἀνυπότακτον,unsubject,Adj-ANS,G506,Hebrews 2,164,24
νῦν,At present,Adv,G3568,Hebrews 2,165,24
οὔπω,not yet,Adv,G3768,Hebrews 2,166,24
ὁρῶμεν,do we see,V-PIA-1P,G3708,Hebrews 2,167,24
βλέπομεν,we see,V-PIA-1P,G991,Hebrews 2,168,24
Ἰησοῦν,Jesus,N-AMS,G2424,Hebrews 2,169,24
πάθημα,suffering,N-ANS,G3804,Hebrews 2,170,24
θανάτου,of death,N-GMS,G2288,Hebrews 2,171,24
ὅπως,so that,Conj,G3704,Hebrews 2,172,24
χάριτι,by the grace,N-DFS,G5485,Hebrews 2,173,24
ὑπὲρ,for,Prep,G5228,Hebrews 2,174,24
γεύσηται,He might taste,V-ASM-3S,G1089,Hebrews 2,175,24
Ἔπρεπεν,It was fitting,V-IIA-3S,G4241,Hebrews 2,176,24
πολλοὺς,many,Adj-AMP,G4183,Hebrews 2,177,24
ἀγαγόντα,having brought,V-APA-AMS,G71,Hebrews 2,178,24
ἀρχηγὸν,archetype,N-AMS,G747,Hebrews 2,179,24
τελειῶσαι,to make perfect,V-ANA,G5048,Hebrews 2,180,24
ἁγιάζων,sanctifying,V-PPA-NMS,G37,Hebrews 2,181,24
ἑνὸς,one,Adj-GMS,G1520,Hebrews 2,182,24
αἰτίαν,reason,N-AFS,G156,Hebrews 2,183,24
ἐπαισχύνεται,He is ashamed,V-PIM/P-3S,G1870,Hebrews 2,184,24
ἀδελφοὺς,brothers,N-AMP,G80,Hebrews 2,185,24
καλεῖν,to call,V-PNA,G2564,Hebrews 2,186,24
Ἀπαγγελῶ,I will declare,V-FIA-1S,G518,Hebrews 2,187,24
μέσῳ,the midst,Adj-DNS,G3319,Hebrews 2,188,24
ἐκκλησίας,of the congregation,N-GFS,G1577,Hebrews 2,189,24
ὑμνήσω,I will sing praises,V-FIA-1S,G5214,Hebrews 2,190,24
πεποιθὼς,trusting,V-RPA-NMS,G3982,Hebrews 2,191,24
Ἰδοὺ,Behold,V-AMA-2S,G2400,Hebrews 2,192,24
παιδία,children,N-NNP,G3813,Hebrews 2,193,24
ἔδωκεν,has given,V-AIA-3S,G1325,Hebrews 2,194,24
Ἐπεὶ,Since,Conj,G1893,Hebrews 2,195,24
οὖν,therefore,Conj,G3767,Hebrews 2,196,24
κεκοινώνηκεν,have partaken,V-RIA-3S,G2841,Hebrews 2,197,24
αἵματος,of blood,N-GNS,G129,Hebrews 2,198,24
σαρκός,of flesh,N-GFS,G4561,Hebrews 2,199,24
παραπλησίως,likewise,Adv,G3898,Hebrews 2,200,24
μετέσχεν,took part in,V-AIA-3S,G3348,Hebrews 2,201,24
ἵνα,so that,Conj,G2443,Hebrews 2,202,24
καταργήσῃ,He might destroy,V-ASA-3S,G2673,Hebrews 2,203,24
κράτος,power,N-ANS,G2904,Hebrews 2,204,24
ἔχοντα,holding,V-PPA-AMS,G2192,Hebrews 2,205,24
διάβολον,devil,Adj-AMS,G1228,Hebrews 2,206,24
ἀπαλλάξῃ,might set free,V-ASA-3S,G525,Hebrews 2,207,24
φόβῳ,fear,N-DMS,G5401,Hebrews 2,208,24
ζῆν,to live,V-PNA,G2198,Hebrews 2,209,24
ἔνοχοι,subject,Adj-NMP,G1777,Hebrews 2,210,24
δουλείας,to slavery,N-GFS,G1397,Hebrews 2,211,24
δή,surely,Prtcl,G1211,Hebrews 2,212,24
που,in that place,Adv,G4226,Hebrews 2,213,24
ἐπιλαμβάνεται,He helps,V-PIM/P-3S,G1949,Hebrews 2,214,24
ἀλλὰ,but,Conj,G235,Hebrews 2,215,24
σπέρματος,the seed,N-GNS,G4690,Hebrews 2,216,24
Ἀβραὰμ,of Abraham,N-GMS,G11,Hebrews 2,217,24
ὅθεν,Therefore,Conj,G3606,Hebrews 2,218,24
ὤφειλεν,it behooved Him,V-IIA-3S,G3784,Hebrews 2,219,24
ὁμοιωθῆναι,to be made like,V-ANP,G3666,Hebrews 2,220,24
ἐλεήμων,a merciful,Adj-NMS,G1655,Hebrews 2,221,24
πιστὸς,faithful,Adj-NMS,G4103,Hebrews 2,222,24
ἀρχιερεὺς,high priest,N-NMS,G749,Hebrews 2,223,24
ἱλάσκεσθαι,to make propitiation for,V-PNM/P,G2433,Hebrews 2,224,24
λαοῦ,people,N-GMS,G2992,Hebrews 2,225,24
πέπονθεν,has suffered,V-RIA-3S,G3958,Hebrews 2,226,24
πειρασθείς,having been tempted,V-APP-NMS,G3985,Hebrews 2,227,24
δύναται,He is able,V-PIM/P-3S,G1410,Hebrews 2,228,24
βοηθῆσαι,to help,V-ANA,G997,Hebrews 2,229,24
κλήσεως,of the calling,N-GFS,G2821,Hebrews 3,230,24
ἐπουρανίου,heavenly,Adj-GFS,G2032,Hebrews 3,231,24
κατανοήσατε,carefully consider,V-AMA-2P,G2657,Hebrews 3,232,24
Ἀπόστολον,apostle,N-AMS,G652,Hebrews 3,233,24
ὁμολογίας,confession,N-GFS,G3671,Hebrews 3,234,24
Μωϋσῆς,Moses,N-NMS,G3475,Hebrews 3,235,24
ὅλῳ,all,Adj-DMS,G3650,Hebrews 3,236,24
οἴκῳ,house,N-DMS,G3624,Hebrews 3,237,24
Πλείονος,Of greater,Adj-GFS-C,G4119,Hebrews 3,238,24
ἠξίωται,has been counted worthy,V-RIM/P-3S,G515,Hebrews 3,239,24
κατασκευάσας,having built,V-APA-NMS,G2680,Hebrews 3,240,24
θεράπων,a servant,N-NMS,G2324,Hebrews 3,241,24
μαρτύριον,a testimony,N-ANS,G3142,Hebrews 3,242,24
Χριστὸς,Christ,N-NMS,G5547,Hebrews 3,243,24
ἐὰν,if indeed,Conj,G1437,Hebrews 3,244,24
παρρησίαν,confidence,N-AFS,G3954,Hebrews 3,245,24
καύχημα,boast,N-ANS,G2745,Hebrews 3,246,24
ἐλπίδος,hope,N-GFS,G1680,Hebrews 3,247,24
μέχρι,unto,Prep,G3360,Hebrews 3,248,24
τέλους,the end,N-GNS,G5056,Hebrews 3,249,24
κατάσχωμεν,we should hold,V-ASA-1P,G2722,Hebrews 3,250,24
Διό,Therefore,Conj,G1352,Hebrews 3,251,24
καθὼς,just as,Adv,G2531,Hebrews 3,252,24
φωνῆς,voice,N-GFS,G5456,Hebrews 3,253,24
σκληρύνητε,harden,V-ASA-2P,G4645,Hebrews 3,254,24
καρδίας,hearts,N-AFP,G2588,Hebrews 3,255,24
παραπικρασμῷ,rebellion,N-DMS,G3894,Hebrews 3,256,24
πειρασμοῦ,of testing,N-GMS,G3986,Hebrews 3,257,24
ἐρήμῳ,wilderness,Adj-DFS,G2048,Hebrews 3,258,24
οὗ,where,Adv,G3757,Hebrews 3,259,24
δοκιμασίᾳ,testing,N-DFS,G1382,Hebrews 3,260,24
τεσσεράκοντα,forty,Adj-ANP,G5062,Hebrews 3,261,24
προσώχθισα,I was angry,V-AIA-1S,G4360,Hebrews 3,262,24
γενεᾷ,generation,N-DFS,G1074,Hebrews 3,263,24
Ἀεὶ,Always,Adv,G104,Hebrews 3,264,24
πλανῶνται,they go astray,V-PIM/P-3P,G4105,Hebrews 3,265,24
ἔγνωσαν,have they known,V-AIA-3P,G1097,Hebrews 3,266,24
ὁδούς,ways,N-AFP,G3598,Hebrews 3,267,24
ὤμοσα,I swore,V-AIA-1S,G3660,Hebrews 3,268,24
ὀργῇ,wrath,N-DFS,G3709,Hebrews 3,269,24
