Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
ἑτεροδιδασκαλεῖν,to teach other doctrines,V-PNA,G2085,1 Timothy 1,1,25
ἀπεράντοις,endless,Adj-DFP,G562,1 Timothy 1,2,25
ἀστοχήσαντες,having missed the mark,V-APA-NMP,G795,1 Timothy 1,3,25
ματαιολογίαν,meaningless discourse,N-AFS,G3150,1 Timothy 1,4,25
νομίμως,lawfully,Adv,G3545,1 Timothy 1,5,25
ἀνοσίοις,for the unholy,Adj-DMP,G462,1 Timothy 1,6,25
πατρολῴαις,for murderers of fathers,N-DMP,G3964,1 Timothy 1,7,25
μητρολῴαις,murderers of mothers,N-DMP,G3389,1 Timothy 1,8,25
ἀνδροφόνοις,for slayers of man,N-DMP,G409,1 Timothy 1,9,25
ἀνδραποδισταῖς,enslavers,N-DMP,G405,1 Timothy 1,10,25
ἐπιόρκοις,perjurers,Adj-DMP,G1965,1 Timothy 1,11,25
διώκτην,a persecutor,N-AMS,G1376,1 Timothy 1,12,25
ὑπερεπλεόνασεν,Surpassingly increased,V-AIA-3S,G5250,1 Timothy 1,13,25
ἀποδοχῆς,acceptance,N-GFS,G594,1 Timothy 1,14,25
ὑποτύπωσιν,a pattern,N-AFS,G5296,1 Timothy 1,15,25
Ὑμέναιος,Hymenaeus,N-NMS,G5211,1 Timothy 1,16,25
ἐντεύξεις,intercessions,N-AFP,G1783,1 Timothy 2,17,25
ἤρεμον,a tranquil,Adj-AMS,G2263,1 Timothy 2,18,25
ἀπόδεκτον,acceptable,Adj-NNS,G587,1 Timothy 2,19,25
ἀντίλυτρον,as a ransom,N-ANS,G487,1 Timothy 2,20,25
καταστολῇ,apparel,N-DFS,G2689,1 Timothy 2,21,25
κοσμίῳ,respectable,Adj-DFS,G2887,1 Timothy 2,22,25
αἰδοῦς,modesty,N-GFS,G127,1 Timothy 2,23,25
σωφροσύνης,self-control,N-GFS,G4997,1 Timothy 2,24,25
πλέγμασιν,braided hair,N-DNP,G4117,1 Timothy 2,25,25
θεοσέβειαν,the fear of God,N-AFS,G2317,1 Timothy 2,26,25
αὐθεντεῖν,to use authority over,V-PNA,G831,1 Timothy 2,27,25
τεκνογονίας,childbearing,N-GFS,G5042,1 Timothy 2,28,25
ἀνεπίλημπτον,above reproach,Adj-AMS,G423,1 Timothy 3,29,25
διδακτικόν,able to teach,Adj-AMS,G1317,1 Timothy 3,30,25
νεόφυτον,a novice,Adj-AMS,G3504,1 Timothy 3,31,25
τυφωθεὶς,having been puffed up,V-APP-NMS,G5187,1 Timothy 3,32,25
διλόγους,double-tongued,Adj-AMP,G1351,1 Timothy 3,33,25
