Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ἐπειδήπερ,Inasmuch as,Conj,G1895,Luke 1,1,1
πολλοὶ,many,Adj-NMP,G4183,Luke 1,2,1
ἐπεχείρησαν,have undertaken,V-AIA-3P,G2021,Luke 1,3,1
ἀνατάξασθαι,to draw up,V-ANM,G392,Luke 1,4,1
διήγησιν,a narration,N-AFS,G1335,Luke 1,5,1
περὶ,concerning,Prep,G4012,Luke 1,6,1
τῶν,the,Art-GNP,G3588,Luke 1,7,1
πεπληροφορημένων,having been accomplished,V-RPM/P-GNP,G4135,Luke 1,8,1
ἐν,among,Prep,G1722,Luke 1,9,1
ἡμῖν,us,PPro-D1P,G1473,Luke 1,10,1
πραγμάτων,things,N-GNP,G4229,Luke 1,11,1
καθὼς,as,Adv,G2531,Luke 1,12,1
παρέδοσαν,delivered them,V-AIA-3P,G3860,Luke 1,13,1
ἀπ,from,Prep,G575,Luke 1,14,1
ἀρχῆς,the beginning,N-GFS,G746,Luke 1,15,1
αὐτόπται,eyewitnesses,N-NMP,G845,Luke 1,16,1
καὶ,and,Conj,G2532,Luke 1,17,1
ὑπηρέται,servants,N-NMP,G5257,Luke 1,18,1
γενόμενοι,having been,V-APM-NMP,G1096,Luke 1,19,1
λόγου,word,N-GMS,G3056,Luke 1,20,1
ἔδοξε,it seemed good,V-AIA-3S,G1380,Luke 1,21,1
κἀμοὶ,also to me,PPro-D1S,G2504,Luke 1,22,1
παρηκολουθηκότι,having been acquainted,V-RPA-DMS,G3877,Luke 1,23,1
ἄνωθεν,from the first,Adv,G509,Luke 1,24,1
πᾶσιν,with all things,Adj-DNP,G3956,Luke 1,25,1
ἀκριβῶς,carefully,Adv,G199,Luke 1,26,1
καθεξῆς,with method,Adv,G2517,Luke 1,27,1
σοι,to you,PPro-D2S,G4771,Luke 1,28,1
γράψαι,to write,V-ANA,G1125,Luke 1,29,1
κράτιστε,most excellent,Adj-VMS-S,G2903,Luke 1,30,1
Θεόφιλε,Theophilus,N-VMS,G2321,Luke 1,31,1
ἵνα,so that,Conj,G2443,Luke 1,32,1
ἐπιγνῷς,you may know,V-ASA-2S,G1921,Luke 1,33,1
ὧν,which,RelPro-GMP,G3739,Luke 1,34,1
κατηχήθης,you were instructed,V-AIP-2S,G2727,Luke 1,35,1
ἀσφάλειαν,certainty,N-AFS,G803,Luke 1,36,1
ἡμέραις,days,N-DFP,G2250,Luke 1,37,1
Ἡρῴδου,of Herod,N-GMS,G2264,Luke 1,38,1
βασιλέως,king,N-GMS,G935,Luke 1,39,1
Ἰουδαίας,of Judea,N-GFS,G2449,Luke 1,40,1
ἱερεύς,a priest,N-NMS,G2409,Luke 1,41,1
τις,certain,IPro-NMS,G5100,Luke 1,42,1
ὀνόματι,named,N-DNS,G3686,Luke 1,43,1
Ζαχαρίας,Zechariah,N-NMS,G2197,Luke 1,44,1
ἐξ,of the,Prep,G1537,Luke 1,45,1
ἐφημερίας,division,N-GFS,G2183,Luke 1,46,1
Ἀβιά,of Abijah,N-GMS,G7,Luke 1,47,1
γυνὴ,wife,N-NFS,G1135,Luke 1,48,1
αὐτῷ,of him,PPro-DM3S,G846,Luke 1,49,1
θυγατέρων,daughters,N-GFP,G2364,Luke 1,50,1
Ἀαρών,of Aaron,N-GMS,G2,Luke 1,51,1
Ἐλισάβετ,Elizabeth,N-NFS,G1665,Luke 1,52,1
ἦσαν,They were,V-IIA-3P,G1510,Luke 1,53,1
δὲ,now,Conj,G1161,Luke 1,54,1
δίκαιοι,righteous,Adj-NMP,G1342,Luke 1,55,1
ἀμφότεροι,both,Adj-NMP,G297,Luke 1,56,1
ἐναντίον,before,Prep,G1726,Luke 1,57,1
Θεοῦ,God,N-GMS,G2316,Luke 1,58,1
πορευόμενοι,walking,V-PPM/P-NMP,G4198,Luke 1,59,1
ἐντολαῖς,commandments,N-DFP,G1785,Luke 1,60,1
δικαιώμασιν,ordinances,N-DNP,G1345,Luke 1,61,1
Κυρίου,Lord,N-GMS,G2962,Luke 1,62,1
ἄμεμπτοι,blameless,Adj-NMP,G273,Luke 1,63,1
οὐκ,no,Adv,G3756,Luke 1,64,1
τέκνον,child,N-NNS,G5043,Luke 1,65,1
καθότι,inasmuch as,Adv,G2530,Luke 1,66,1
στεῖρα,barren,Adj-NFS,G4723,Luke 1,67,1
προβεβηκότες,advanced,V-RPA-NMP,G4260,Luke 1,68,1
ἱερατεύειν,fulfilling the priestly service,V-PNA,G2407,Luke 1,69,1
τάξει,order,N-DFS,G5010,Luke 1,70,1
ἔναντι,before,Prep,G1725,Luke 1,71,1
κατὰ,according to,Prep,G2596,Luke 1,72,1
ἔθος,custom,N-ANS,G1485,Luke 1,73,1
ἱερατείας,priesthood,N-GFS,G2405,Luke 1,74,1
ἔλαχε,it fell to him by lot,V-AIA-3S,G2975,Luke 1,75,1
θυμιᾶσαι,to burn incense,V-ANA,G2370,Luke 1,76,1
εἰσελθὼν,having entered,V-APA-NMS,G1525,Luke 1,77,1
εἰς,into,Prep,G1519,Luke 1,78,1
ναὸν,temple,N-AMS,G3485,Luke 1,79,1
πλῆθος,multitude,N-NNS,G4128,Luke 1,80,1
λαοῦ,people,N-GMS,G2992,Luke 1,81,1
προσευχόμενον,praying,V-PPM/P-NNS,G4336,Luke 1,82,1
ἔξω,outside,Adv,G1854,Luke 1,83,1
ὥρᾳ,hour,N-DFS,G5610,Luke 1,84,1
θυμιάματος,incense,N-GNS,G2368,Luke 1,85,1
Ὤφθη,Appeared,V-AIP-3S,G3708,Luke 1,86,1
ἄγγελος,an angel,N-NMS,G32,Luke 1,87,1
ἑστὼς,standing,V-RPA-NMS,G2476,Luke 1,88,1
δεξιῶν,the right,Adj-GNP,G1188,Luke 1,89,1
θυσιαστηρίου,altar,N-GNS,G2379,Luke 1,90,1
ἐταράχθη,was troubled,V-AIP-3S,G5015,Luke 1,91,1
φόβος,fear,N-NMS,G5401,Luke 1,92,1
ἐπέπεσεν,fell,V-AIA-3S,G1968,Luke 1,93,1
ἐπ,upon,Prep,G1909,Luke 1,94,1
Εἶπεν,Said,V-AIA-3S,G2036,Luke 1,95,1
πρὸς,to,Prep,G4314,Luke 1,96,1
Μὴ,Not,Adv,G3361,Luke 1,97,1
φοβοῦ,fear,V-PMM/P-2S,G5399,Luke 1,98,1
διότι,because,Conj,G1360,Luke 1,99,1
εἰσηκούσθη,has been heard,V-AIP-3S,G1522,Luke 1,100,1
δέησίς,prayer,N-NFS,G1162,Luke 1,101,1
γεννήσει,will bear,V-FIA-3S,G1080,Luke 1,102,1
υἱόν,a son,N-AMS,G5207,Luke 1,103,1
καλέσεις,you shall call,V-FIA-2S,G2564,Luke 1,104,1
Ἰωάννην,John,N-AMS,G2491,Luke 1,105,1
χαρά,joy,N-NFS,G5479,Luke 1,106,1
ἀγαλλίασις,gladness,N-NFS,G20,Luke 1,107,1
γενέσει,birth,N-DFS,G1078,Luke 1,108,1
χαρήσονται,will rejoice,V-FIP-3P,G5463,Luke 1,109,1
γὰρ,for,Conj,G1063,Luke 1,110,1
μέγας,great,Adj-NMS,G3173,Luke 1,111,1
ἐνώπιον,before,Prep,G1799,Luke 1,112,1
οἶνον,wine,N-AMS,G3631,Luke 1,113,1
σίκερα,strong drink,N-ANS,G4608,Luke 1,114,1
πίῃ,shall he drink,V-ASA-3S,G4095,Luke 1,115,1
Πνεύματος,of the Spirit,N-GNS,G4151,Luke 1,116,1
Ἁγίου,Holy,Adj-GNS,G40,Luke 1,117,1
πλησθήσεται,he will be filled,V-FIP-3S,G4130,Luke 1,118,1
ἔτι,even,Adv,G2089,Luke 1,119,1
κοιλίας,the womb,N-GFS,G2836,Luke 1,120,1
μητρὸς,of the mother,N-GFS,G3384,Luke 1,121,1
Ἰσραὴλ,of Israel,N-GMS,G2474,Luke 1,122,1
ἐπιστρέψει,he will turn,V-FIA-3S,G1994,Luke 1,123,1
προελεύσεται,will go forth,V-FIM-3S,G4281,Luke 1,124,1
δυνάμει,power,N-DFS,G1411,Luke 1,125,1
Ἠλίου,of Elijah,N-GMS,G2243,Luke 1,126,1
καρδίας,the hearts,N-AFP,G2588,Luke 1,127,1
πατέρων,of the fathers,N-GMP,G3962,Luke 1,128,1
ἀπειθεῖς,the disobedient,Adj-AMP,G545,Luke 1,129,1
φρονήσει,the wisdom,N-DFS,G5428,Luke 1,130,1
ἑτοιμάσαι,to make ready,V-ANA,G2090,Luke 1,131,1
κατεσκευασμένον,prepared,V-RPM/P-AMS,G2680,Luke 1,132,1
τί,what,IPro-ANS,G5101,Luke 1,133,1
γνώσομαι,will I know,V-FIM-1S,G1097,Luke 1,134,1
τοῦτο,this,DPro-ANS,G3778,Luke 1,135,1
πρεσβύτης,an old man,N-NMS,G4246,Luke 1,136,1
ἀποκριθεὶς,answering,V-APP-NMS,G611,Luke 1,137,1
Γαβριὴλ,Gabriel,N-NMS,G1043,Luke 1,138,1
παρεστηκὼς,standing,V-RPA-NMS,G3936,Luke 1,139,1
ἀπεστάλην,I was sent,V-AIP-1S,G649,Luke 1,140,1
λαλῆσαι,to speak,V-ANA,G2980,Luke 1,141,1
εὐαγγελίσασθαί,to bring glad tidings,V-ANM,G2097,Luke 1,142,1
ἰδοὺ,behold,V-AMA-2S,G2400,Luke 1,143,1
σιωπῶν,silent,V-PPA-NMS,G4623,Luke 1,144,1
δυνάμενος,able,V-PPM/P-NMS,G1410,Luke 1,145,1
ἄχρι,until,Prep,G891,Luke 1,146,1
ἀνθ,in return for,Prep,G473,Luke 1,147,1
ἐπίστευσας,you did believe,V-AIA-2S,G4100,Luke 1,148,1
οἵτινες,which,RelPro-NMP,G3748,Luke 1,149,1
πληρωθήσονται,will be fulfilled,V-FIP-3P,G4137,Luke 1,150,1
καιρὸν,season,N-AMS,G2540,Luke 1,151,1
προσδοκῶν,expecting,V-PPA-NMS,G4328,Luke 1,152,1
ἐθαύμαζον,they were wondering,V-IIA-3P,G2296,Luke 1,153,1
χρονίζειν,delaying,V-PNA,G5549,Luke 1,154,1
ἐξελθὼν,Having come out,V-APA-NMS,G1831,Luke 1,155,1
ὅτι,that,Conj,G3754,Luke 1,156,1
ὀπτασίαν,a vision,N-AFS,G3701,Luke 1,157,1
διανεύων,making signs,V-PPA-NMS,G1269,Luke 1,158,1
διέμενεν,remained,V-IIA-3S,G1265,Luke 1,159,1
κωφός,mute,Adj-NMS,G2974,Luke 1,160,1
ὡς,when,Adv,G5613,Luke 1,161,1
λειτουργίας,service,N-GFS,G3009,Luke 1,162,1
ἀπῆλθεν,he departed,V-AIA-3S,G565,Luke 1,163,1
οἶκον,home,N-AMS,G3624,Luke 1,164,1
Μετὰ,After,Prep,G3326,Luke 1,165,1
συνέλαβεν,conceived,V-AIA-3S,G4815,Luke 1,166,1
περιέκρυβεν,hid,V-IIA-3S,G4032,Luke 1,167,1
ἑαυτὴν,herself,RefPro-AF3S,G1438,Luke 1,168,1
μῆνας,months,N-AMP,G3376,Luke 1,169,1
πέντε,five,Adj-AMP,G4002,Luke 1,170,1
λέγουσα,saying,V-PPA-NFS,G3004,Luke 1,171,1
Οὕτως,Thus,Adv,G3779,Luke 1,172,1
πεποίηκεν,has done,V-RIA-3S,G4160,Luke 1,173,1
ἐπεῖδεν,He looked upon me,V-AIA-3S,G1896,Luke 1,174,1
ἀφελεῖν,to take away,V-ANA,G851,Luke 1,175,1
ὄνειδός,the disgrace,N-ANS,G3681,Luke 1,176,1
ἀνθρώποις,men,N-DMP,G444,Luke 1,177,1
ἕκτῳ,sixth,Adj-DMS,G1623,Luke 1,178,1
πόλιν,a city,N-AFS,G4172,Luke 1,179,1
Γαλιλαίας,of Galilee,N-GFS,G1056,Luke 1,180,1
Ναζαρὲθ,Nazareth,N-NFS,G3478,Luke 1,181,1
παρθένον,a virgin,N-AFS,G3933,Luke 1,182,1
ἐμνηστευμένην,betrothed,V-RPM/P-AFS,G3423,Luke 1,183,1
ἀνδρὶ,to a man,N-DMS,G435,Luke 1,184,1
Ἰωσὴφ,Joseph,N-NMS,G2501,Luke 1,185,1
Δαυὶδ,of David,N-GMS,G1138,Luke 1,186,1
Μαριάμ,was Mary,N-NFS,G3137,Luke 1,187,1
κεχαριτωμένη,you favored with grace,V-RPM/P-VFS,G5487,Luke 1,188,1
εὐλογημένη,Blessed,V-RPP-NFS,G2127,Luke 1,189,1
διεταράχθη,she was troubled,V-AIP-3S,G1298,Luke 1,190,1
διελογίζετο,was pondering,V-IIM/P-3S,G1260,Luke 1,191,1
ποταπὸς,what kind,IPro-NMS,G4217,Luke 1,192,1
ἀσπασμὸς,salutation,N-NMS,G783,Luke 1,193,1
εὗρες,you have found,V-AIA-2S,G2147,Luke 1,194,1
χάριν,favor,N-AFS,G5485,Luke 1,195,1
παρὰ,with,Prep,G3844,Luke 1,196,1
γαστρὶ,womb,N-DFS,G1064,Luke 1,197,1
τέξῃ,will bring forth,V-FIM-2S,G5088,Luke 1,198,1
Ἰησοῦν,Jesus,N-AMS,G2424,Luke 1,199,1
Ὑψίστου,of the Most High,Adj-GMS-S,G5310,Luke 1,200,1
δώσει,will give,V-FIA-3S,G1325,Luke 1,201,1
θρόνον,throne,N-AMS,G2362,Luke 1,202,1
βασιλεύσει,He will reign,V-FIA-3S,G936,Luke 1,203,1
Ἰακὼβ,of Jacob,N-GMS,G2384,Luke 1,204,1
αἰῶνας,ages,N-AMP,G165,Luke 1,205,1
βασιλείας,kingdom,N-GFS,G932,Luke 1,206,1
τέλος,an end,N-NNS,G5056,Luke 1,207,1
Πῶς,How,Adv,G4459,Luke 1,208,1
ἐπεὶ,since,Conj,G1893,Luke 1,209,1
ἐπελεύσεται,will come,V-FIM-3S,G1904,Luke 1,210,1
ἐπισκιάσει,will overshadow,V-FIA-3S,G1982,Luke 1,211,1
διὸ,therefore,Conj,G1352,Luke 1,212,1
συγγενίς,relative,N-NFS,G4773,Luke 1,213,1
γήρει,old age,N-DNS,G1094,Luke 1,214,1
ἀδυνατήσει,will be impossible,V-FIA-3S,G101,Luke 1,215,1
ῥῆμα,thing,N-NNS,G4487,Luke 1,216,1
δούλη,handmaid,N-NFS,G1399,Luke 1,217,1
Ἀναστᾶσα,Having risen up,V-APA-NFS,G450,Luke 1,218,1
ὀρεινὴν,hill country,Adj-AFS,G3714,Luke 1,219,1
σπουδῆς,haste,N-GFS,G4710,Luke 1,220,1
Ἰούδα,of Judah,N-GMS,G2448,Luke 1,221,1
ἠσπάσατο,greeted,V-AIM-3S,G782,Luke 1,222,1
ἤκουσεν,heard,V-AIA-3S,G191,Luke 1,223,1
ἐσκίρτησεν,leaped,V-AIA-3S,G4640,Luke 1,224,1
βρέφος,baby,N-NNS,G1025,Luke 1,225,1
ἀνεφώνησεν,she cried out,V-AIA-3S,G400,Luke 1,226,1
κραυγῇ,in a voice,N-DFS,G2906,Luke 1,227,1
καρπὸς,fruit,N-NMS,G2590,Luke 1,228,1
πόθεν,from where,Adv,G4159,Luke 1,229,1
ἔλθῃ,should come,V-ASA-3S,G2064,Luke 1,230,1
φωνὴ,voice,N-NFS,G5456,Luke 1,231,1
ὦτά,ears,N-ANP,G3775,Luke 1,232,1
μακαρία,blessed is,Adj-NFS,G3107,Luke 1,233,1
τελείωσις,a fulfillment,N-NFS,G5050,Luke 1,234,1
Μεγαλύνει,Magnifies,V-PIA-3S,G3170,Luke 1,235,1
ψυχή,soul,N-NFS,G5590,Luke 1,236,1
ἠγαλλίασεν,rejoices,V-AIA-3S,G21,Luke 1,237,1
Σωτῆρί,Savior,N-DMS,G4990,Luke 1,238,1
ἐπέβλεψεν,He has looked,V-AIA-3S,G1914,Luke 1,239,1
ταπείνωσιν,humiliation,N-AFS,G5014,Luke 1,240,1
νῦν,henceforth,Adv,G3568,Luke 1,241,1
μακαριοῦσίν,will count blessed,V-FIA-3P,G3106,Luke 1,242,1
γενεαί,generations,N-NFP,G1074,Luke 1,243,1
δυνατός,Mighty One,Adj-NMS,G1415,Luke 1,244,1
ἔλεος,mercy,N-NNS,G1656,Luke 1,245,1
κράτος,strength,N-ANS,G2904,Luke 1,246,1
βραχίονι,the arm,N-DMS,G1023,Luke 1,247,1
διεσκόρπισεν,He has scattered,V-AIA-3S,G1287,Luke 1,248,1
ὑπερηφάνους,the proud,Adj-AMP,G5244,Luke 1,249,1
διανοίᾳ,in the thought,N-DFS,G1271,Luke 1,250,1
καθεῖλεν,He has brought down,V-AIA-3S,G2507,Luke 1,251,1
δυνάστας,rulers,N-AMP,G1413,Luke 1,252,1
ὕψωσεν,exalted,V-AIA-3S,G5312,Luke 1,253,1
ταπεινούς,the humble,Adj-AMP,G5011,Luke 1,254,1
πεινῶντας,Those hungering,V-PPA-AMP,G3983,Luke 1,255,1
ἐνέπλησεν,He has filled,V-AIA-3S,G1705,Luke 1,256,1
ἀγαθῶν,with good things,Adj-GNP,G18,Luke 1,257,1
πλουτοῦντας,those being rich,V-PPA-AMP,G4147,Luke 1,258,1
ἐξαπέστειλεν,He has sent away,V-AIA-3S,G1821,Luke 1,259,1
κενούς,empty,Adj-AMP,G2756,Luke 1,260,1
ἀντελάβετο,He has helped,V-AIM-3S,G482,Luke 1,261,1
παιδὸς,the servant,N-GMS,G3816,Luke 1,262,1
