reading_order,book,total_lemmas_in_book,new_lemmas_introduced,cumulative_lemmas_known,percent_of_total_nt_vocabulary,percent_of_book_already_known
1,Luke,2038,2038,2038,38.1,0.0
2,2 John,96,6,2044,38.21,93.75
3,3 John,108,16,2060,38.51,85.19
4,1 John,238,37,2097,39.2,84.45
5,Philemon,141,35,2132,39.86,75.18
6,2 Thessalonians,252,52,2184,40.83,79.37
7,Jude,226,65,2249,42.05,71.24
8,1 Thessalonians,362,76,2325,43.47,79.01
9,Titus,301,102,2427,45.37,66.11
10,2 Peter,397,117,2544,47.56,70.53
11,Colossians,433,112,2656,49.65,74.13
12,Ephesians,530,104,2760,51.6,80.38
13,Philippians,448,94,2854,53.36,79.02
14,Galatians,520,96,2950,55.15,81.54
15,2 Timothy,456,123,3073,57.45,73.03
16,James,556,121,3194,59.71,78.24
17,1 Peter,543,119,3313,61.94,78.08
18,1 Timothy,538,113,3426,64.05,79.0
19,2 Corinthians,785,158,3584,67.0,79.87
20,1 Corinthians,956,160,3744,69.99,83.26
21,Romans,1060,179,3923,73.34,83.11
22,John,1023,183,4106,76.76,82.11
23,Revelation,911,172,4278,79.98,81.12
24,Mark,1355,183,4461,83.4,86.49
25,Matthew,1685,167,4628,86.52,90.09
26,Hebrews,1032,175,4803,89.79,83.04
27,Acts,2023,546,5349,100.0,73.01
