hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
דָּוִד֙,H1732,dā·wiḏ,David,N‑proper‑ms,H1732,1 Kings,1,1
זָקֵ֔ן,H2204,"zā·qên,",was old,V‑Qal‑Perf‑3ms,H2204,1 Kings,1,2
בָּ֖א,H935,bā,advanced,V‑Qal‑Perf‑3ms,H935,1 Kings,1,3
בַּיָּמִ֑ים,H3117,bay·yā·mîm;,in years,"Prep‑b, Art | N‑mp",H3117,1 Kings,1,4
וַיְכַסֻּ֙הוּ֙,H3680,way·ḵas·su·hū,and they put him,Conj‑w | V‑Piel‑ConsecImperf‑3mp | 3ms,H3680,1 Kings,1,5
בַּבְּגָדִ֔ים,H899,"bab·bə·ḡā·ḏîm,",on covers,"Prep‑b, Art | N‑mp",H899,1 Kings,1,6
וְלֹ֥א,H3808,wə·lō,but not,Conj‑w | Adv‑NegPrt,H3808,1 Kings,1,7
יִחַ֖ם,H3179,yi·ḥam,could get warm,V‑Qal‑Imperf‑3ms,H3179,1 Kings,1,8
עֲבָדָ֗יו,H5650,"‘ă·ḇā·ḏāw,",his servants,N‑mpc | 3ms,H5650,1 Kings,1,9
יְבַקְשׁ֞וּ,H1245,yə·ḇaq·šū,let be sought,V‑Piel‑Imperf‑3mp,H1245,1 Kings,1,10
לַאדֹנִ֤י,H113,la·ḏō·nî,for our lord,Prep‑l | N‑msc | 1cs,H113,1 Kings,1,11
הַמֶּ֙לֶךְ֙,H4428,ham·me·leḵ,the king,Art | N‑ms,H4428,1 Kings,1,12
נַעֲרָ֣ה,H5291,na·‘ă·rāh,a young woman,N‑fs,H5291,1 Kings,1,13
בְתוּלָ֔ה,H1330,"ḇə·ṯū·lāh,",a virgin,N‑fs,H1330,1 Kings,1,14
וְעָֽמְדָה֙,H5975,wə·‘ā·mə·ḏāh,and let her stand,Conj‑w | V‑Qal‑ConjPerf‑3fs,H5975,1 Kings,1,15
לִפְנֵ֣י,H6440,lip̄·nê,before,Prep‑l | N‑cpc,H6440,1 Kings,1,16
הַמֶּ֔לֶךְ,H4428,"ham·me·leḵ,",the king,Art | N‑ms,H4428,1 Kings,1,17
וּתְהִי־,H1961,ū·ṯə·hî-,and let her,Conj‑w | V‑Qal‑ConjImperf.Jus‑3fs,H1961,1 Kings,1,18
סֹכֶ֑נֶת,H5532,sō·ḵe·neṯ;,care,V‑Qal‑Prtcpl‑fs,H5532,1 Kings,1,19
וְשָׁכְבָ֣ה,H7901,wə·šā·ḵə·ḇāh,and let her lie,Conj‑w | V‑Qal‑ConjPerf‑3fs,H7901,1 Kings,1,20
בְחֵיקֶ֔ךָ,H2436,"ḇə·ḥê·qe·ḵā,",in your bosom,Prep‑b | N‑msc | 2ms,H2436,1 Kings,1,21
וְחַ֖ם,H2552,wə·ḥam,that may be warm,Conj‑w | V‑Qal‑ConjPerf‑3ms,H2552,1 Kings,1,22
לַאדֹנִ֥י,H113,la·ḏō·nî,our lord,Prep‑l | N‑msc | 1cs,H113,1 Kings,1,23
הַמֶּֽלֶךְ׃,H4428,ham·me·leḵ.,the king,Art | N‑ms,H4428,1 Kings,1,24
נַעֲרָ֣ה,H5291,na·‘ă·rāh,a young woman,N‑fs,H5291,1 Kings,1,25
יָפָ֔ה,H3303,"yā·p̄āh,",lovely,Adj‑fs,H3303,1 Kings,1,26
בְּכֹ֖ל,H3605,bə·ḵōl,throughout all,Prep‑b | N‑msc,H3605,1 Kings,1,27
גְּב֣וּל,H1366,gə·ḇūl,the territory,N‑msc,H1366,1 Kings,1,28
יִשְׂרָאֵ֑ל,H3478,yiś·rā·’êl;,of Israel,N‑proper‑ms,H3478,1 Kings,1,29
