hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
אִ֨ישׁ,H376,’îš,man,N‑ms,H376,1 Samuel,1,1
אֶחָ֜ד,H259,’e·ḥāḏ,a,Number‑ms,H259,1 Samuel,1,2
מִן־,H4480,min-,of,Prep,H4480,1 Samuel,1,3
צוֹפִ֖ים,H7436,ṣō·w·p̄îm,Zophim,N‑proper‑fs,H7436,1 Samuel,1,4
מֵהַ֣ר,H2022,mê·har,of the mountains,Prep‑m | N‑msc,H2022,1 Samuel,1,5
אֶפְרָ֑יִם,H669,’ep̄·rā·yim;,of Ephraim,N‑proper‑ms,H669,1 Samuel,1,6
וּשְׁמ֡וֹ,H8034,ū·šə·mōw,and his name [was],Conj‑w | N‑msc | 3ms,H8034,1 Samuel,1,7
אֶ֠לְקָנָה,H511,’el·qā·nāh,Elkanah,N‑proper‑ms,H511,1 Samuel,1,8
בֶּן־,H1121,ben-,the son,N‑msc,H1121,1 Samuel,1,9
יְרֹחָ֧ם,H3395,yə·rō·ḥām,of Jeroham,N‑proper‑ms,H3395,1 Samuel,1,10
אֱלִיה֛וּא,H453,’ĕ·lî·hū,of Elihu,N‑proper‑ms,H453,1 Samuel,1,12
תֹּ֥חוּ,H8459,tō·ḥū,of Tohu,N‑proper‑ms,H8459,1 Samuel,1,14
צ֖וּף,H6689,ṣūp̄,of Zuph,N‑proper‑ms,H6689,1 Samuel,1,16
אֶפְרָתִֽי׃,H673,’ep̄·rā·ṯî.,an Ephraimite,N‑proper‑ms,H673,1 Samuel,1,17
שְׁתֵּ֣י,H8147,šə·tê,two,Number‑fdc,H8147,1 Samuel,1,18
נָשִׁ֔ים,H802,"nā·šîm,",wives,N‑fp,H802,1 Samuel,1,19
חַנָּ֔ה,H2584,"ḥan·nāh,",[was] Hannah,N‑proper‑fs,H2584,1 Samuel,1,22
הַשֵּׁנִ֖ית,H8145,haš·šê·nîṯ,of the second,Art | Number‑ofs,H8145,1 Samuel,1,24
פְּנִנָּ֑ה,H6444,pə·nin·nāh;,Peninnah,N‑proper‑fs,H6444,1 Samuel,1,25
וַיְהִ֤י,H1961,way·hî,and had,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,1 Samuel,1,26
יְלָדִ֔ים,H3206,"yə·lā·ḏîm,",children,N‑mp,H3206,1 Samuel,1,28
אֵ֥ין,H369,’ên,had no,Adv,H369,1 Samuel,1,30
הַה֤וּא,H1931,ha·hū,that,Art | Pro‑3ms,H1931,1 Samuel,1,33
מֵֽעִירוֹ֙,H5892,mê·‘î·rōw,from his city,Prep‑m | N‑fsc | 3ms,H5892,1 Samuel,1,34
מִיָּמִ֣ים ׀,H3117,mî·yā·mîm,yearly,Prep‑m | N‑mp,H3117,1 Samuel,1,35
לְהִֽשְׁתַּחֲוֺ֧ת,H7812,lə·hiš·ta·ḥă·wōṯ,to worship,Prep‑l | V‑Hitpael‑Inf,H7812,1 Samuel,1,37
וְלִזְבֹּ֛חַ,H2076,wə·liz·bō·aḥ,and sacrifice,"Conj‑w, Prep‑l | V‑Qal‑Inf",H2076,1 Samuel,1,38
לַיהוָ֥ה,H3068,Yah·weh,to Yahweh,Prep‑l | N‑proper‑ms,H3068,1 Samuel,1,39
צְבָא֖וֹת,H6635,ṣə·ḇā·’ō·wṯ,of hosts,N‑cp,H6635,1 Samuel,1,40
בְּשִׁלֹ֑ה,H7887,bə·ši·lōh;,in Shiloh,Prep‑b | N‑proper‑fs,H7887,1 Samuel,1,41
וְשָׁ֞ם,H8033,wə·šām,And [were] there,Conj‑w | Adv,H8033,1 Samuel,1,42
עֵלִ֗י,H5941,"‘ê·lî,",of Eli,N‑proper‑ms,H5941,1 Samuel,1,45
חָפְנִי֙,H2652,ḥā·p̄ə·nî,Hophni,N‑proper‑ms,H2652,1 Samuel,1,46
וּפִ֣נְחָ֔ס,H6372,"ū·p̄in·ḥās,",and Phinehas,Conj‑w | N‑proper‑ms,H6372,1 Samuel,1,47
כֹּהֲנִ֖ים,H3548,kō·hă·nîm,the priests,N‑mp,H3548,1 Samuel,1,48
וְנָתַ֞ן,H5414,wə·nā·ṯan,and he would give,Conj‑w | V‑Qal‑ConjPerf‑3ms,H5414,1 Samuel,1,53
וּֽלְכָל־,H3605,ū·lə·ḵāl-,and to all,"Conj‑w, Prep‑l | N‑msc",H3605,1 Samuel,1,56
וּבְנוֹתֶ֖יהָ,H1323,ū·ḇə·nō·w·ṯe·hā,and daughters,Conj‑w | N‑fpc | 3fs,H1323,1 Samuel,1,58
מָנֽוֹת׃,H4490,mā·nō·wṯ.,portions,N‑fp,H4490,1 Samuel,1,59
אַפָּ֑יִם,H639,’ap·pā·yim;,double,N‑md,H639,1 Samuel,1,63
כִּ֤י,H3588,kî,for,Conj,H3588,1 Samuel,1,64
אֶת־,H853,’eṯ-,-,DirObjM,H853,1 Samuel,1,65
אָהֵ֔ב,H157,"’ā·hêḇ,",he loved,V‑Qal‑Perf‑3ms,H157,1 Samuel,1,67
סָגַ֥ר,H5462,sā·ḡar,had closed,V‑Qal‑Perf‑3ms,H5462,1 Samuel,1,69
רַחְמָֽהּ׃,H7358,raḥ·māh.,her womb,N‑msc | 3fs,H7358,1 Samuel,1,70
צָֽרָתָהּ֙,H6869,ṣā·rā·ṯāh,her rival,N‑fsc | 3fs,H6869,1 Samuel,1,71
גַּם־,H1571,gam-,also,Conj,H1571,1 Samuel,1,72
כַּ֔עַס,H3708,"ka·‘as,",severely,N‑ms,H3708,1 Samuel,1,73
בַּעֲב֖וּר,H5668,ba·‘ă·ḇūr,to,Prep‑b | N‑ms,H5668,1 Samuel,1,74
הַרְּעִמָ֑הּ,H7481,har·rə·‘i·māh;,make her miserable,V‑Hifil‑Inf | 3fs,H7481,1 Samuel,1,75
בְּעַ֥ד,H1157,bə·‘aḏ,had shut up her,Prep,H1157,1 Samuel,1,79
יַעֲשֶׂ֜ה,H6213,ya·‘ă·śeh,it was,V‑Qal‑Imperf‑3ms,H6213,1 Samuel,1,81
שָׁנָ֣ה,H8141,šā·nāh,year,N‑fs,H8141,1 Samuel,1,82
מִדֵּ֤י,H1767,mid·dê,when,Prep‑m | N‑msc,H1767,1 Samuel,1,84
עֲלֹתָהּ֙,H5927,‘ă·lō·ṯāh,she went up,V‑Qal‑Inf | 3fs,H5927,1 Samuel,1,85
בְּבֵ֣ית,H1004,bə·ḇêṯ,to the house,Prep‑b | N‑msc,H1004,1 Samuel,1,86
כֵּ֖ן,H3651,kên,that,Adv,H3651,1 Samuel,1,88
תַּכְעִסֶ֑נָּה,H3707,taḵ·‘i·sen·nāh;,she provoked her,V‑Hifil‑Imperf‑3fs | 3fse,H3707,1 Samuel,1,89
וַתִּבְכֶּ֖ה,H1058,wat·tiḇ·keh,therefore she wept,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H1058,1 Samuel,1,90
וְלֹ֥א,H3808,wə·lō,and not,Conj‑w | Adv‑NegPrt,H3808,1 Samuel,1,91
תֹאכַֽל׃,H398,ṯō·ḵal.,did eat,V‑Qal‑Imperf‑3fs,H398,1 Samuel,1,92
לָ֣מֶה,H4100,lā·meh,why,Interrog,H4100,1 Samuel,1,96
יֵרַ֣ע,H3415,yê·ra‘,is grieved,V‑Qal‑Imperf‑3ms,H3415,1 Samuel,1,102
לְבָבֵ֑ךְ,H3824,lə·ḇā·ḇêḵ;,your heart,N‑msc | 2fs,H3824,1 Samuel,1,103
אָֽנֹכִי֙,H595,’ā·nō·ḵî,I,Pro‑1cs,H595,1 Samuel,1,105
ט֣וֹב,H2896,ṭō·wḇ,better,Adj‑ms,H2896,1 Samuel,1,106
מֵעֲשָׂרָ֖ה,H6235,mê·‘ă·śā·rāh,than ten,Prep‑m | Number‑ms,H6235,1 Samuel,1,107
אַחֲרֵ֛י,H310,’a·ḥă·rê,after,Prep,H310,1 Samuel,1,110
שָׁתֹ֑ה,H8354,šā·ṯōh;,drinking,V‑Qal‑InfAbs,H8354,1 Samuel,1,114
יֹשֵׁב֙,H3427,yō·šêḇ,was sitting,V‑Qal‑Prtcpl‑ms,H3427,1 Samuel,1,117
עַל־,H5921,‘al-,on,Prep,H5921,1 Samuel,1,118
הַכִּסֵּ֔א,H3678,"hak·kis·sê,",the seat,Art | N‑ms,H3678,1 Samuel,1,119
מְזוּזַ֖ת,H4201,mə·zū·zaṯ,the doorpost,N‑fsc,H4201,1 Samuel,1,121
הֵיכַ֥ל,H1964,hê·ḵal,of the temple,N‑msc,H1964,1 Samuel,1,122
מָ֣רַת,H4751,mā·raṯ,in bitterness,Adj‑fsc,H4751,1 Samuel,1,124
נָ֑פֶשׁ,H5315,nā·p̄eš;,of soul,N‑fs,H5315,1 Samuel,1,125
וַתִּתְפַּלֵּ֥ל,H6419,wat·tiṯ·pal·lêl,and prayed,Conj‑w | V‑Hitpael‑ConsecImperf‑3fs,H6419,1 Samuel,1,126
נֶ֜דֶר,H5088,ne·ḏer,a vow,N‑ms,H5088,1 Samuel,1,131
וַתֹּאמַ֗ר,H559,"wat·tō·mar,",and said,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H559,1 Samuel,1,132
אִם־,H518,’im-,if,Conj,H518,1 Samuel,1,135
רָאֹ֥ה,H7200,rā·’ōh,indeed,V‑Qal‑InfAbs,H7200,1 Samuel,1,136
בָּעֳנִ֣י,H6040,bā·‘o·nî,on the affliction,Prep‑b | N‑msc,H6040,1 Samuel,1,138
אֲמָתֶ֗ךָ,H519,"’ă·mā·ṯe·ḵā,",of Your maidservant,N‑fsc | 2ms,H519,1 Samuel,1,139
וּזְכַרְתַּ֙נִי֙,H2142,ū·zə·ḵar·ta·nî,and remember me,Conj‑w | V‑Qal‑ConjPerf‑2ms | 1cs2,H2142,1 Samuel,1,140
תִשְׁכַּ֣ח,H7911,ṯiš·kaḥ,forget,V‑Qal‑Imperf‑2ms,H7911,1 Samuel,1,142
זֶ֣רַע,H2233,ze·ra‘,a child,N‑msc,H2233,1 Samuel,1,147
חַיָּ֔יו,H2416,"ḥay·yāw,",of his life,N‑mpc | 3ms,H2416,1 Samuel,1,153
וּמוֹרָ֖ה,H4177,ū·mō·w·rāh,and razor,Conj‑w | N‑ms,H4177,1 Samuel,1,154
רֹאשֽׁוֹ׃,H7218,rō·šōw.,his head,N‑msc | 3ms,H7218,1 Samuel,1,158
הִרְבְּתָ֔ה,H7235,"hir·bə·ṯāh,",she continued,V‑Hifil‑Perf‑3fs,H7235,1 Samuel,1,160
לִפְנֵ֣י,H6440,lip̄·nê,before,Prep‑l | N‑cpc,H6440,1 Samuel,1,162
שֹׁמֵ֥ר,H8104,šō·mêr,watched,V‑Qal‑Prtcpl‑ms,H8104,1 Samuel,1,165
פִּֽיהָ׃,H6310,pî·hā.,her mouth,N‑msc | 3fs,H6310,1 Samuel,1,167
מְדַבֶּ֣רֶת,H1696,mə·ḏab·be·reṯ,spoke,V‑Piel‑Prtcpl‑fs,H1696,1 Samuel,1,169
לִבָּ֔הּ,H3820,"lib·bāh,",her heart,N‑msc | 3fs,H3820,1 Samuel,1,171
רַ֚ק,H7535,raq,only,Adv,H7535,1 Samuel,1,172
שְׂפָתֶ֣יהָ,H8193,śə·p̄ā·ṯe·hā,her lips,N‑fdc | 3fs,H8193,1 Samuel,1,173
נָּע֔וֹת,H5128,"nā·‘ō·wṯ,",moved,V‑Qal‑Prtcpl‑fp,H5128,1 Samuel,1,174
וְקוֹלָ֖הּ,H6963,wə·qō·w·lāh,but her voice,Conj‑w | N‑msc | 3fs,H6963,1 Samuel,1,175
