hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
אַֽחֲרֵי֙,H310,’a·ḥă·rê,after,Prep,H310,2 Samuel,1,1
מ֣וֹת,H4191,mō·wṯ,the death,N‑msc,H4191,2 Samuel,1,2
שָׁא֔וּל,H7586,"šā·’ūl,",of Saul,N‑proper‑ms,H7586,2 Samuel,1,3
וְדָוִ֣ד,H1732,wə·ḏā·wiḏ,then David,Conj‑w | N‑proper‑ms,H1732,2 Samuel,1,4
שָׁ֔ב,H7725,"šāḇ,",returned,V‑Qal‑Perf‑3ms,H7725,2 Samuel,1,5
מֵהַכּ֖וֹת,H5221,mê·hak·kō·wṯ,from the slaughter,Prep‑m | V‑Hifil‑Inf,H5221,2 Samuel,1,6
אֶת־,H853,’eṯ-,of,DirObjM,H853,2 Samuel,1,7
הָעֲמָלֵ֑ק,H6002,hā·‘ă·mā·lêq;,the Amalekites,Art | N‑proper‑ms,H6002,2 Samuel,1,8
וַיֵּ֧שֶׁב,H3427,way·yê·šeḇ,and stayed,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H3427,2 Samuel,1,9
דָּוִ֛ד,H1732,dā·wiḏ,David,N‑proper‑ms,H1732,2 Samuel,1,10
בְּצִקְלָ֖ג,H6860,bə·ṣiq·lāḡ,in Ziklag,Prep‑b | N‑proper‑fs,H6860,2 Samuel,1,11
יָמִ֥ים,H3117,yā·mîm,days,N‑mp,H3117,2 Samuel,1,12
שְׁנָֽיִם׃,H8147,šə·nā·yim.,two,Number‑md,H8147,2 Samuel,1,13
בַּיּ֣וֹם,H3117,bay·yō·wm,on the day,"Prep‑b, Art | N‑ms",H3117,2 Samuel,1,14
הַשְּׁלִישִׁ֗י,H7992,"haš·šə·lî·šî,",third,Art | Number‑oms,H7992,2 Samuel,1,15
וְהִנֵּה֩,H2009,wə·hin·nêh,that behold,Conj‑w | Interjection,H2009,2 Samuel,1,16
אִ֨ישׁ,H376,’îš,a man,N‑ms,H376,2 Samuel,1,17
בָּ֤א,H935,bā,came,V‑Qal‑Prtcpl‑ms,H935,2 Samuel,1,18
מִן־,H4480,min-,from,Prep,H4480,2 Samuel,1,19
הַֽמַּחֲנֶה֙,H4264,ham·ma·ḥă·neh,camp,Art | N‑cs,H4264,2 Samuel,1,20
מֵעִ֣ם,H5973,mê·‘im,of,Prep‑m,H5973,2 Samuel,1,21
שָׁא֔וּל,H7586,"šā·’ūl,",Saul,N‑proper‑ms,H7586,2 Samuel,1,22
וּבְגָדָ֣יו,H899,ū·ḇə·ḡā·ḏāw,and with his clothes,Conj‑w | N‑mpc | 3ms,H899,2 Samuel,1,23
קְרֻעִ֔ים,H7167,"qə·ru·‘îm,",torn,V‑Qal‑QalPassPrtcpl‑mp,H7167,2 Samuel,1,24
וַאֲדָמָ֖ה,H127,wa·’ă·ḏā·māh,and dust,Conj‑w | N‑fs,H127,2 Samuel,1,25
עַל־,H5921,‘al-,on,Prep,H5921,2 Samuel,1,26
רֹאשׁ֑וֹ,H7218,rō·šōw;,his head,N‑msc | 3ms,H7218,2 Samuel,1,27
וַיְהִי֙,H1961,way·hî,So it was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,2 Samuel,1,28
בְּבֹא֣וֹ,H935,bə·ḇō·’ōw,when he came,Prep‑b | V‑Qal‑Inf | 3ms,H935,2 Samuel,1,29
אֶל־,H413,’el-,to,Prep,H413,2 Samuel,1,30
דָּוִ֔ד,H1732,"dā·wiḏ,",David,N‑proper‑ms,H1732,2 Samuel,1,31
וַיִּפֹּ֥ל,H5307,way·yip·pōl,that he fell,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H5307,2 Samuel,1,32
