hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
עָמ֔וֹס,H5986,"‘ā·mō·ws,",of Amos,N‑proper‑ms,H5986,Amos,1,1
אֲשֶׁר־,H834,’ă·šer-,who,Pro‑r,H834,Amos,1,2
הָיָ֥ה,H1961,hā·yāh,was,V‑Qal‑Perf‑3ms,H1961,Amos,1,3
בַנֹּקְדִ֖ים,H5349,ḇan·nō·qə·ḏîm,among the sheepherders,"Prep‑b, Art | N‑mp",H5349,Amos,1,4
מִתְּק֑וֹעַ,H8620,mit·tə·qō·w·a‘;,of Tekoa,Prep‑m | N‑proper‑fs,H8620,Amos,1,5
חָזָ֨ה,H2372,ḥā·zāh,he saw,V‑Qal‑Perf‑3ms,H2372,Amos,1,7
עַל־,H5921,‘al-,concerning,Prep,H5921,Amos,1,8
יִשְׂרָאֵ֜ל,H3478,yiś·rā·’êl,Israel,N‑proper‑ms,H3478,Amos,1,9
בִּימֵ֣י ׀,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Amos,1,10
עֻזִיָּ֣ה‪‬‪‬,H5818,‘uz·zî·yāh,of Uzziah,N‑proper‑ms,H5818,Amos,1,11
מֶֽלֶךְ־,H4428,me·leḵ-,king,N‑msc,H4428,Amos,1,12
יְהוּדָ֗ה,H3063,"yə·hū·ḏāh,",of Judah,N‑proper‑ms,H3063,Amos,1,13
יָרָבְעָ֤ם,H3379,yā·rā·ḇə·‘ām,of Jeroboam,N‑proper‑ms,H3379,Amos,1,15
בֶּן־,H1121,ben-,son,N‑msc,H1121,Amos,1,16
יוֹאָשׁ֙,H3101,yō·w·’āš,of Joash,N‑proper‑ms,H3101,Amos,1,17
שְׁנָתַ֖יִם,H8141,šə·nā·ṯa·yim,two years,N‑fd,H8141,Amos,1,20
לִפְנֵ֥י,H6440,lip̄·nê,before,Prep‑l | N‑cpc,H6440,Amos,1,21
הָרָֽעַשׁ׃,H7494,hā·rā·‘aš.,the earthquake,Art | N‑ms,H7494,Amos,1,22
יְהוָה֙,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Amos,1,23
מִצִיּ֣וֹן‪‬‪‬,H6726,miṣ·ṣî·yō·wn,from Zion,Prep‑m | N‑proper‑fs,H6726,Amos,1,24
יִשְׁאָ֔ג,H7580,"yiš·’āḡ,",roars,V‑Qal‑Imperf‑3ms,H7580,Amos,1,25
וּמִירוּשָׁלִַ֖ם,H3389,ū·mî·rū·šā·lim,and from Jerusalem,"Conj‑w, Prep‑m | N‑proper‑fs",H3389,Amos,1,26
יִתֵּ֣ן,H5414,yit·tên,utters,V‑Qal‑Imperf‑3ms,H5414,Amos,1,27
קוֹל֑וֹ,H6963,qō·w·lōw;,His voice,N‑msc | 3ms,H6963,Amos,1,28
וְאָֽבְלוּ֙,H56,wə·’ā·ḇə·lū,and mourn,Conj‑w | V‑Qal‑ConjPerf‑3cp,H56,Amos,1,29
נְא֣וֹת,H4999,nə·’ō·wṯ,the pastures of,N‑fpc,H4999,Amos,1,30
הָרֹעִ֔ים,H7462,"hā·rō·‘îm,",the shepherds,Art | V‑Qal‑Prtcpl‑mp,H7462,Amos,1,31
וְיָבֵ֖שׁ,H3001,wə·yā·ḇêš,and withers,Conj‑w | V‑Qal‑ConjPerf‑3ms,H3001,Amos,1,32
רֹ֥אשׁ,H7218,rōš,Top,N‑msc,H7218,Amos,1,33
הַכַּרְמֶֽל׃,H3760,hak·kar·mel.,of the Carmel,Art | N‑proper‑fs,H3760,Amos,1,34
אָמַ֣ר,H559,’ā·mar,says,V‑Qal‑Perf‑3ms,H559,Amos,1,35
שְׁלֹשָׁה֙,H7969,šə·lō·šāh,three,Number‑ms,H7969,Amos,1,38
פִּשְׁעֵ֣י,H6588,piš·‘ê,transgressions,N‑mpc,H6588,Amos,1,39
דַמֶּ֔שֶׂק,H1834,"ḏam·me·śeq,",of Damascus,N‑proper‑fs,H1834,Amos,1,40
אַרְבָּעָ֖ה,H702,’ar·bā·‘āh,four,Number‑ms,H702,Amos,1,42
לֹ֣א,H3808,lō,not,Adv‑NegPrt,H3808,Amos,1,43
אֲשִׁיבֶ֑נּוּ,H7725,’ă·šî·ḇen·nū;,I will turn away its [punishment],V‑Hifil‑Imperf‑1cs | 3mse,H7725,Amos,1,44
דּוּשָׁ֛ם,H1758,dū·šām,they have threshed,V‑Qal‑Inf | 3mp,H1758,Amos,1,46
בַּחֲרֻצ֥וֹת,H2742,ba·ḥă·ru·ṣō·wṯ,with implements of,"Prep‑b, Art | N‑mpc",H2742,Amos,1,47
הַבַּרְזֶ֖ל,H1270,hab·bar·zel,iron,Art | N‑ms,H1270,Amos,1,48
אֶת־,H853,’eṯ-,-,DirObjM,H853,Amos,1,49
הַגִּלְעָֽד׃,H1568,hag·gil·‘āḏ.,Gilead,Art | N‑proper‑fs,H1568,Amos,1,50
אֵ֖שׁ,H784,’êš,a fire,N‑cs,H784,Amos,1,51
בְּבֵ֣ית,H1004,bə·ḇêṯ,into the house,Prep‑b | N‑msc,H1004,Amos,1,52
חֲזָאֵ֑ל,H2371,ḥă·zā·’êl;,of Hazael,N‑proper‑ms,H2371,Amos,1,53
וְאָכְלָ֖ה,H398,wə·’ā·ḵə·lāh,and which shall devour,Conj‑w | V‑Qal‑ConjPerf‑3fs,H398,Amos,1,54
אַרְמְנ֥וֹת,H759,’ar·mə·nō·wṯ,the palaces,N‑mpc,H759,Amos,1,55
