hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
קֹהֶ֣לֶת,H6953,qō·he·leṯ,of the Teacher,N‑ms,H6953,Ecclesiastes,1,1
בֶּן־,H1121,ben-,the son,N‑msc,H1121,Ecclesiastes,1,2
דָּוִ֔ד,H1732,"dā·wiḏ,",of David,N‑proper‑ms,H1732,Ecclesiastes,1,3
מֶ֖לֶךְ,H4428,me·leḵ,king,N‑ms,H4428,Ecclesiastes,1,4
בִּירוּשָׁלִָֽם׃,H3389,bî·rū·šā·lim.,in Jerusalem,Prep‑b | N‑proper‑fs,H3389,Ecclesiastes,1,5
הֲבָלִים֙,H1892,hă·ḇā·lîm,of vanities,N‑mp,H1892,Ecclesiastes,1,6
אָמַ֣ר,H559,’ā·mar,says,V‑Qal‑Perf‑3ms,H559,Ecclesiastes,1,7
קֹהֶ֔לֶת,H6953,"qō·he·leṯ,",the Teacher,N‑ms,H6953,Ecclesiastes,1,8
הֲבֵ֥ל,H1892,hă·ḇêl,Vanity,N‑msc,H1892,Ecclesiastes,1,9
הֲבָלִ֖ים,H1892,hă·ḇā·lîm,of vanities,N‑mp,H1892,Ecclesiastes,1,10
הַכֹּ֥ל,H3605,hak·kōl,all,Art | N‑ms,H3605,Ecclesiastes,1,11
הָֽבֶל׃,H1892,hā·ḇel.,[is] vanity,N‑ms,H1892,Ecclesiastes,1,12
יִּתְר֖וֹן,H3504,yiṯ·rō·wn,profit,N‑ms,H3504,Ecclesiastes,1,13
לָֽאָדָ֑ם,H120,lā·’ā·ḏām;,has a man,"Prep‑l, Art | N‑ms",H120,Ecclesiastes,1,14
בְּכָל־,H3605,bə·ḵāl,from all,Prep‑b | N‑msc,H3605,Ecclesiastes,1,15
עֲמָל֔וֹ,H5999,"‘ă·mā·lōw,",his labor,N‑msc | 3ms,H5999,Ecclesiastes,1,16
שֶֽׁיַּעֲמֹ֖ל,H5998,še·ya·‘ă·mōl,in which he toils,Pro‑r | V‑Qal‑Imperf‑3ms,H5998,Ecclesiastes,1,17
תַּ֥חַת,H8478,ta·ḥaṯ,under,Prep,H8478,Ecclesiastes,1,18
הַשָּֽׁמֶשׁ׃,H8121,haš·šā·meš.,the sun,Art | N‑cs,H8121,Ecclesiastes,1,19
הֹלֵךְ֙,H1980,hō·lêḵ,passes away,V‑Qal‑Prtcpl‑ms,H1980,Ecclesiastes,1,20
וְד֣וֹר,H1755,wə·ḏō·wr,and [another] generation,Conj‑w | N‑ms,H1755,Ecclesiastes,1,21
בָּ֔א,H935,"bā,",comes,V‑Qal‑Prtcpl‑ms,H935,Ecclesiastes,1,22
וְהָאָ֖רֶץ,H776,wə·hā·’ā·reṣ,but the earth,"Conj‑w, Art | N‑fs",H776,Ecclesiastes,1,23
לְעוֹלָ֥ם,H5769,lə·‘ō·w·lām,forever,Prep‑l | N‑ms,H5769,Ecclesiastes,1,24
עֹמָֽדֶת׃,H5975,‘ō·mā·ḏeṯ.,abides,V‑Qal‑Prtcpl‑fs,H5975,Ecclesiastes,1,25
הַשֶּׁ֖מֶשׁ,H8121,haš·še·meš,the sun,Art | N‑cs,H8121,Ecclesiastes,1,26
וּבָ֣א,H935,ū·ḇā,and goes down,Conj‑w | V‑Qal‑ConjPerf‑3ms,H935,Ecclesiastes,1,27
הַשָּׁ֑מֶשׁ,H8121,haš·šā·meš;,the sun,Art | N‑cs,H8121,Ecclesiastes,1,28
וְאֶ֨ל־,H413,wə·’el-,and to,Conj‑w | Prep,H413,Ecclesiastes,1,29
מְקוֹמ֔וֹ,H4725,"mə·qō·w·mōw,",the place,N‑msc | 3ms,H4725,Ecclesiastes,1,30
שׁוֹאֵ֛ף,H7602,šō·w·’êp̄,hastens,V‑Qal‑Prtcpl‑ms,H7602,Ecclesiastes,1,31
זוֹרֵ֥חַֽ,H2224,zō·w·rê·aḥ,arose,V‑Qal‑Prtcpl‑ms,H2224,Ecclesiastes,1,32
ה֖וּא,H1931,hū,it,Pro‑3ms,H1931,Ecclesiastes,1,33
שָֽׁם׃,H8033,šām.,where,Adv,H8033,Ecclesiastes,1,34
אֶל־,H413,’el-,toward,Prep,H413,Ecclesiastes,1,35
דָּר֔וֹם,H1864,"dā·rō·wm,",the south,N‑ms,H1864,Ecclesiastes,1,36
וְסוֹבֵ֖ב,H5437,wə·sō·w·ḇêḇ,and turns around,Conj‑w | V‑Qal‑Prtcpl‑ms,H5437,Ecclesiastes,1,37
אֶל־,H413,’el-,to,Prep,H413,Ecclesiastes,1,38
צָפ֑וֹן,H6828,ṣā·p̄ō·wn;,the north,N‑fs,H6828,Ecclesiastes,1,39
סוֹבֵ֤ב ׀,H5437,sō·w·ḇêḇ,continually,V‑Qal‑Prtcpl‑ms,H5437,Ecclesiastes,1,40
סֹבֵב֙,H5437,sō·ḇêḇ,continually,V‑Qal‑Prtcpl‑ms,H5437,Ecclesiastes,1,41
הוֹלֵ֣ךְ,H1980,hō·w·lêḵ,whirls about,V‑Qal‑Prtcpl‑ms,H1980,Ecclesiastes,1,42
הָר֔וּחַ,H7307,"hā·rū·aḥ,",the wind,Art | N‑cs,H7307,Ecclesiastes,1,43
וְעַל־,H5921,wə·‘al-,and on,Conj‑w | Prep,H5921,Ecclesiastes,1,44
סְבִיבֹתָ֖יו,H5439,sə·ḇî·ḇō·ṯāw,its circuit,Adv | 3ms,H5439,Ecclesiastes,1,45
שָׁ֥ב,H7725,šāḇ,comes again,V‑Qal‑Prtcpl‑ms,H7725,Ecclesiastes,1,46
הָרֽוּחַ׃,H7307,hā·rū·aḥ.,the wind,Art | N‑cs,H7307,Ecclesiastes,1,47
הַנְּחָלִים֙,H5158,han·nə·ḥā·lîm,the rivers,Art | N‑mp,H5158,Ecclesiastes,1,48
הֹלְכִ֣ים,H1980,hō·lə·ḵîm,run,V‑Qal‑Prtcpl‑mp,H1980,Ecclesiastes,1,49
אֶל־,H413,’el-,into,Prep,H413,Ecclesiastes,1,50
