hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
שְׁמוֹת֙,H8034,šə·mō·wṯ,[are] the names,N‑mpc,H8034,Exodus,1,1
בְּנֵ֣י,H1121,bə·nê,of the sons,N‑mpc,H1121,Exodus,1,2
יִשְׂרָאֵ֔ל,H3478,"yiś·rā·’êl,",of Israel,N‑proper‑ms,H3478,Exodus,1,3
הַבָּאִ֖ים,H935,hab·bā·’îm,who came,Art | V‑Qal‑Prtcpl‑mp,H935,Exodus,1,4
מִצְרָ֑יְמָה,H4714,miṣ·rā·yə·māh;,to Egypt,N‑proper‑fs | 3fs,H4714,Exodus,1,5
אֵ֣ת,H854,’êṯ,with,Prep,H854,Exodus,1,6
יַעֲקֹ֔ב,H3290,"ya·‘ă·qōḇ,",Jacob,N‑proper‑ms,H3290,Exodus,1,7
אִ֥ישׁ,H376,’îš,each man,N‑ms,H376,Exodus,1,8
וּבֵית֖וֹ,H1004,ū·ḇê·ṯōw,and his household,Conj‑w | N‑msc | 3ms,H1004,Exodus,1,9
בָּֽאוּ׃,H935,bā·’ū.,came,V‑Qal‑Perf‑3cp,H935,Exodus,1,10
שִׁמְע֔וֹן,H8095,"šim·‘ō·wn,",Simeon,N‑proper‑ms,H8095,Exodus,1,11
לֵוִ֖י,H3878,lê·wî,Levi,N‑proper‑ms,H3878,Exodus,1,12
וִיהוּדָֽה׃,H3063,wî·hū·ḏāh.,and Judah,Conj‑w | N‑proper‑ms,H3063,Exodus,1,13
זְבוּלֻ֖ן,H2074,zə·ḇū·lun,Zebulun,N‑proper‑ms,H2074,Exodus,1,14
וּבְנְיָמִֽן׃‪‬,H1144,ū·ḇə·nə·yā·min,and Benjamin,Conj‑w | N‑proper‑ms,H1144,Exodus,1,15
וְנַפְתָּלִ֖י,H5321,wə·nap̄·tā·lî,and Naphtali,Conj‑w | N‑proper‑ms,H5321,Exodus,1,16
גָּ֥ד,H1410,gāḏ,Gad,N‑proper‑ms,H1410,Exodus,1,17
וְאָשֵֽׁר׃,H836,wə·’ā·šêr.,and Asher,Conj‑w | N‑proper‑ms,H836,Exodus,1,18
כָּל־,H3605,kāl-,all,N‑msc,H3605,Exodus,1,19
נֶ֛פֶשׁ,H5315,ne·p̄eš,the souls,N‑fsc,H5315,Exodus,1,20
יֹצְאֵ֥י,H3318,yō·ṣə·’ê,who were,V‑Qal‑Prtcpl‑mpc,H3318,Exodus,1,21
יֶֽרֶךְ־,H3409,ye·reḵ-,descendants,N‑fsc,H3409,Exodus,1,22
יַעֲקֹ֖ב,H3290,ya·‘ă·qōḇ,of Jacob,N‑proper‑ms,H3290,Exodus,1,23
שִׁבְעִ֣ים,H7657,šiḇ·‘îm,seventy,Number‑cp,H7657,Exodus,1,24
נָ֑פֶשׁ,H5315,nā·p̄eš;,souls,N‑fs,H5315,Exodus,1,25
וְיוֹסֵ֖ף,H3130,wə·yō·w·sêp̄,for Joseph,Conj‑w | N‑proper‑ms,H3130,Exodus,1,26
הָיָ֥ה,H1961,hā·yāh,was,V‑Qal‑Perf‑3ms,H1961,Exodus,1,27
בְמִצְרָֽיִם׃,H4714,ḇə·miṣ·rā·yim.,[already] in Egypt,Prep‑b | N‑proper‑fs,H4714,Exodus,1,28
יוֹסֵף֙,H3130,yō·w·sêp̄,Joseph,N‑proper‑ms,H3130,Exodus,1,29
וְכָל־,H3605,wə·ḵāl,and all,Conj‑w | N‑msc,H3605,Exodus,1,30
אֶחָ֔יו,H251,"’e·ḥāw,",his brothers,N‑mpc | 3ms,H251,Exodus,1,31
וְכֹ֖ל,H3605,wə·ḵōl,and all,Conj‑w | N‑msc,H3605,Exodus,1,32
הַדּ֥וֹר,H1755,had·dō·wr,generation,Art | N‑ms,H1755,Exodus,1,33
הַהֽוּא׃,H1931,ha·hū.,that,Art | Pro‑3ms,H1931,Exodus,1,34
יִשְׂרָאֵ֗ל,H3478,"yiś·rā·’êl,",of Israel,N‑proper‑ms,H3478,Exodus,1,35
פָּר֧וּ,H6509,pā·rū,were fruitful,V‑Qal‑Perf‑3cp,H6509,Exodus,1,36
וַֽיִּשְׁרְצ֛וּ,H8317,way·yiš·rə·ṣū,and increased abundantly,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H8317,Exodus,1,37
וַיִּרְבּ֥וּ,H7235,way·yir·bū,and multiplied,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H7235,Exodus,1,38
וַיַּֽעַצְמ֖וּ,H6105,way·ya·‘aṣ·mū,and grew,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H6105,Exodus,1,39
בִּמְאֹ֣ד,H3966,bim·’ōḏ,exceedingly,Prep‑b | Adv,H3966,Exodus,1,40
מְאֹ֑ד,H3966,mə·’ōḏ;,greatly,Adv,H3966,Exodus,1,41
וַתִּמָּלֵ֥א,H4390,wat·tim·mā·lê,and was filled,Conj‑w | V‑Nifal‑ConsecImperf‑3fs,H4390,Exodus,1,42
הָאָ֖רֶץ,H776,hā·’ā·reṣ,the land,Art | N‑fs,H776,Exodus,1,43
אֹתָֽם׃,H854,’ō·ṯām.,with them,Prep | 3mp,H854,Exodus,1,44
מֶֽלֶךְ־,H4428,me·leḵ-,a king,N‑ms,H4428,Exodus,1,45
חָדָ֖שׁ,H2319,ḥā·ḏāš,new,Adj‑ms,H2319,Exodus,1,46
עַל־,H5921,‘al-,over,Prep,H5921,Exodus,1,47
מִצְרָ֑יִם,H4714,miṣ·rā·yim;,Egypt,N‑proper‑fs,H4714,Exodus,1,48
אֲשֶׁ֥ר,H834,’ă·šer,who,Pro‑r,H834,Exodus,1,49
לֹֽא־,H3808,lō-,not,Adv‑NegPrt,H3808,Exodus,1,50
יָדַ֖ע,H3045,yā·ḏa‘,did know,V‑Qal‑Perf‑3ms,H3045,Exodus,1,51
אֶת־,H853,’eṯ-,-,DirObjM,H853,Exodus,1,52
יוֹסֵֽף׃,H3130,yō·w·sêp̄.,Joseph,N‑proper‑ms,H3130,Exodus,1,53
אֶל־,H413,’el-,to,Prep,H413,Exodus,1,54
עַמּ֑וֹ,H5971,‘am·mōw;,his people,N‑msc | 3ms,H5971,Exodus,1,55
הִנֵּ֗ה,H2009,"hin·nêh,",Look,Interjection,H2009,Exodus,1,56
עַ֚ם,H5971,‘am,the people,N‑msc,H5971,Exodus,1,57
בְּנֵ֣י,H1121,bə·nê,of the sons,N‑mpc,H1121,Exodus,1,58
יִשְׂרָאֵ֔ל,H3478,"yiś·rā·’êl,",of Israel,N‑proper‑ms,H3478,Exodus,1,59
רַ֥ב,H7227,raḇ,[are] more,Adj‑ms,H7227,Exodus,1,60
וְעָצ֖וּם,H6099,wə·‘ā·ṣūm,and mightier,Conj‑w | Adj‑ms,H6099,Exodus,1,61
מִמֶּֽנּוּ׃,H4480,mim·men·nū.,than we,Prep | 1cp,H4480,Exodus,1,62
נִֽתְחַכְּמָ֖ה,H2449,niṯ·ḥak·kə·māh,let us deal shrewdly,V‑Hitpael‑Imperf.Cohort‑1cp,H2449,Exodus,1,63
פֶּן־,H6435,pen-,lest,Conj,H6435,Exodus,1,64
יִרְבֶּ֗ה,H7235,"yir·beh,",he multiply,V‑Qal‑Imperf‑3ms,H7235,Exodus,1,65
וְהָיָ֞ה,H1961,wə·hā·yāh,and it happen,Conj‑w | V‑Qal‑ConjPerf‑3ms,H1961,Exodus,1,66
כִּֽי־,H3588,kî-,when,Conj,H3588,Exodus,1,67
תִקְרֶ֤אנָה,H7122,ṯiq·re·nāh,there falls out,V‑Qal‑Imperf‑3fp,H7122,Exodus,1,68
מִלְחָמָה֙,H4421,mil·ḥā·māh,war,N‑fs,H4421,Exodus,1,69
וְנוֹסַ֤ף,H3254,wə·nō·w·sap̄,that may join,Conj‑w | V‑Nifal‑ConjPerf‑3ms,H3254,Exodus,1,70
גַּם־,H1571,gam-,also,Conj,H1571,Exodus,1,71
הוּא֙,H1931,hū,he,Pro‑3ms,H1931,Exodus,1,72
עַל־,H5921,‘al-,to,Prep,H5921,Exodus,1,73
שֹׂ֣נְאֵ֔ינוּ,H8130,"śō·nə·’ê·nū,",our enemies,V‑Qal‑Prtcpl‑mpc | 1cp,H8130,Exodus,1,74
וְנִלְחַם־,H3898,wə·nil·ḥam-,and fight,Conj‑w | V‑Nifal‑ConjPerf‑3ms,H3898,Exodus,1,75
וְעָלָ֥ה,H5927,wə·‘ā·lāh,and [so] go up,Conj‑w | V‑Qal‑ConjPerf‑3ms,H5927,Exodus,1,76
מִן־,H4480,min-,out,Prep,H4480,Exodus,1,77
הָאָֽרֶץ׃,H776,hā·’ā·reṣ.,of the land,Art | N‑fs,H776,Exodus,1,78
עָלָיו֙,H5921,‘ā·lāw,over them,Prep | 3ms,H5921,Exodus,1,79
שָׂרֵ֣י,H8269,śā·rê,-,N‑mpc,H8269,Exodus,1,80
מִסִּ֔ים,H4522,"mis·sîm,",taskmasters,N‑mp,H4522,Exodus,1,81
לְמַ֥עַן,H4616,lə·ma·‘an,to,Conj,H4616,Exodus,1,82
עַנֹּת֖וֹ,H6031,‘an·nō·ṯōw,afflict them,V‑Piel‑Inf | 3ms,H6031,Exodus,1,83
בְּסִבְלֹתָ֑ם,H5450,bə·siḇ·lō·ṯām;,with their burdens,Prep‑b | N‑fpc | 3mp,H5450,Exodus,1,84
וַיִּ֜בֶן,H1129,way·yi·ḇen,And they built,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1129,Exodus,1,85
עָרֵ֤י,H5892,‘ā·rê,cities,N‑fpc,H5892,Exodus,1,86
מִסְכְּנוֹת֙,H4543,mis·kə·nō·wṯ,supply,N‑fp,H4543,Exodus,1,87
לְפַרְעֹ֔ה,H6547,"lə·p̄ar·‘ōh,",for Pharaoh,Prep‑l | N‑proper‑ms,H6547,Exodus,1,88
אֶת־,H853,’eṯ-,-,DirObjM,H853,Exodus,1,89
פִּתֹ֖ם,H6619,pi·ṯōm,Pithom,N‑proper‑fs,H6619,Exodus,1,90
וְאֶת־,H853,wə·’eṯ-,and,Conj‑w | DirObjM,H853,Exodus,1,91
רַעַמְסֵֽס׃,H7486,ra·‘am·sês.,Raamses,N‑proper‑fs,H7486,Exodus,1,92
יְעַנּ֣וּ,H6031,yə·‘an·nū,they afflicted,V‑Piel‑Imperf‑3mp,H6031,Exodus,1,93
אֹת֔וֹ,H853,"’ō·ṯōw,",them,DirObjM | 3ms,H853,Exodus,1,94
כֵּ֥ן,H3651,kên,the more,Adv,H3651,Exodus,1,95
יִרְבֶּ֖ה,H7235,yir·beh,they multiplied,V‑Qal‑Imperf‑3ms,H7235,Exodus,1,96
וְכֵ֣ן,H3651,wə·ḵên,and,Conj‑w | Adv,H3651,Exodus,1,97
יִפְרֹ֑ץ,H6555,yip̄·rōṣ;,grew,V‑Qal‑Imperf‑3ms,H6555,Exodus,1,98
וַיָּקֻ֕צוּ,H6973,way·yā·qu·ṣū,And they were in dread,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H6973,Exodus,1,99
מִפְּנֵ֖י,H6440,mip·pə·nê,of,Prep‑m | N‑cpc,H6440,Exodus,1,100
בְּנֵ֥י,H1121,bə·nê,the sons,N‑mpc,H1121,Exodus,1,101
יִשְׂרָאֵֽל׃,H3478,yiś·rā·’êl.,of Israel,N‑proper‑ms,H3478,Exodus,1,102
מִצְרַ֛יִם,H4713,miṣ·ra·yim,Egypt,N‑proper‑fs,H4713,Exodus,1,103
אֶת־,H853,’eṯ-,-,DirObjM,H853,Exodus,1,104
בְּנֵ֥י,H1121,bə·nê,the sons,N‑mpc,H1121,Exodus,1,105
יִשְׂרָאֵ֖ל,H3478,yiś·rā·’êl,of Israel,N‑proper‑ms,H3478,Exodus,1,106
בְּפָֽרֶךְ׃,H6531,bə·p̄ā·reḵ.,with rigor,Prep‑b | N‑ms,H6531,Exodus,1,107
אֶת־,H853,’eṯ-,-,DirObjM,H853,Exodus,1,108
חַיֵּיהֶ֜ם,H2416,ḥay·yê·hem,their lives,N‑mpc | 3mp,H2416,Exodus,1,109
בַּעֲבֹדָ֣ה,H5656,ba·‘ă·ḇō·ḏāh,with bondage,Prep‑b | N‑fs,H5656,Exodus,1,110
קָשָׁ֗ה,H7186,"qā·šāh,",hard,Adj‑fs,H7186,Exodus,1,111
בְּחֹ֙מֶר֙,H2563,bə·ḥō·mer,in mortar,Prep‑b | N‑ms,H2563,Exodus,1,112
וּבִלְבֵנִ֔ים,H3843,"ū·ḇil·ḇê·nîm,",and in brick,"Conj‑w, Prep‑b | N‑fp",H3843,Exodus,1,113
וּבְכָל־,H3605,ū·ḇə·ḵāl,and in all manner,"Conj‑w, Prep‑b | N‑msc",H3605,Exodus,1,114
עֲבֹדָ֖ה,H5656,‘ă·ḇō·ḏāh,of service,N‑fs,H5656,Exodus,1,115
בַּשָּׂדֶ֑ה,H7704,baś·śā·ḏeh;,in the field,"Prep‑b, Art | N‑ms",H7704,Exodus,1,116
אֵ֚ת,H853,’êṯ,-,DirObjM,H853,Exodus,1,117
כָּל־,H3605,kāl-,all,N‑msc,H3605,Exodus,1,118
עֲבֹ֣דָתָ֔ם,H5656,"‘ă·ḇō·ḏā·ṯām,",their service,N‑fsc | 3mp,H5656,Exodus,1,119
אֲשֶׁר־,H834,’ă·šer-,in which,Pro‑r,H834,Exodus,1,120
עָבְד֥וּ,H5647,‘ā·ḇə·ḏū,they made serve,V‑Qal‑Perf‑3cp,H5647,Exodus,1,121
בְּפָֽרֶךְ׃,H6531,bə·p̄ā·reḵ.,with harshness,Prep‑b | N‑ms,H6531,Exodus,1,122
מֶ֣לֶךְ,H4428,me·leḵ,the king,N‑msc,H4428,Exodus,1,123
מִצְרַ֔יִם,H4714,"miṣ·ra·yim,",of Egypt,N‑proper‑fs,H4714,Exodus,1,124
