hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
בָּרָ֣א,H1254,bā·rā,created,V‑Qal‑Perf‑3ms,H1254,Genesis,1,1
אֱלֹהִ֑ים,H430,’ĕ·lō·hîm;,God,N‑mp,H430,Genesis,1,2
אֵ֥ת,H853,’êṯ,-,DirObjM,H853,Genesis,1,3
הַשָּׁמַ֖יִם,H8064,haš·šā·ma·yim,the heavens,Art | N‑mp,H8064,Genesis,1,4
וְאֵ֥ת,H853,wə·’êṯ,and,Conj‑w | DirObjM,H853,Genesis,1,5
הָאָֽרֶץ׃,H776,hā·’ā·reṣ.,the earth,Art | N‑fs,H776,Genesis,1,6
הָיְתָ֥ה,H1961,hā·yə·ṯāh,was,V‑Qal‑Perf‑3fs,H1961,Genesis,1,7
תֹ֙הוּ֙,H8414,ṯō·hū,formless,N‑ms,H8414,Genesis,1,8
וָבֹ֔הוּ,H922,"wā·ḇō·hū,",and void,Conj‑w | N‑ms,H922,Genesis,1,9
וְחֹ֖שֶׁךְ,H2822,wə·ḥō·šeḵ,and darkness,Conj‑w | N‑ms,H2822,Genesis,1,10
עַל־,H5921,‘al-,[was] over,Prep,H5921,Genesis,1,11
פְּנֵ֣י,H6440,pə·nê,the face,N‑cpc,H6440,Genesis,1,12
תְה֑וֹם,H8415,ṯə·hō·wm;,of the deep,N‑cs,H8415,Genesis,1,13
וְר֣וּחַ,H7307,wə·rū·aḥ,And the Spirit,Conj‑w | N‑csc,H7307,Genesis,1,14
אֱלֹהִ֔ים,H430,"’ĕ·lō·hîm,",of God,N‑mp,H430,Genesis,1,15
מְרַחֶ֖פֶת,H7363,mə·ra·ḥe·p̄eṯ,was hovering,V‑Piel‑Prtcpl‑fs,H7363,Genesis,1,16
עַל־,H5921,‘al-,over,Prep,H5921,Genesis,1,17
פְּנֵ֥י,H6440,pə·nê,the face,N‑cpc,H6440,Genesis,1,18
הַמָּֽיִם׃,H4325,ham·mā·yim.,of the waters,Art | N‑mp,H4325,Genesis,1,19
אֱלֹהִ֖ים,H430,’ĕ·lō·hîm,God,N‑mp,H430,Genesis,1,20
יְהִ֣י,H1961,yə·hî,let there be,V‑Qal‑Imperf.Jus‑3ms,H1961,Genesis,1,21
א֑וֹר,H216,’ō·wr;,light,N‑cs,H216,Genesis,1,22
וַֽיְהִי־,H1961,way·hî-,and there was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Genesis,1,23
אֽוֹר׃,H216,’ō·wr.,light,N‑cs,H216,Genesis,1,24
אֱלֹהִ֛ים,H430,’ĕ·lō·hîm,God,N‑mp,H430,Genesis,1,25
אֶת־,H853,’eṯ-,-,DirObjM,H853,Genesis,1,26
הָא֖וֹר,H216,hā·’ō·wr,the light,Art | N‑cs,H216,Genesis,1,27
כִּי־,H3588,kî-,that,Conj,H3588,Genesis,1,28
ט֑וֹב,H2896,ṭō·wḇ;,[it was] good,Adj‑ms,H2896,Genesis,1,29
וַיַּבְדֵּ֣ל,H914,way·yaḇ·dêl,and divided,Conj‑w | V‑Hifil‑ConsecImperf‑3ms,H914,Genesis,1,30
אֱלֹהִ֔ים,H430,"’ĕ·lō·hîm,",God,N‑mp,H430,Genesis,1,31
בֵּ֥ין,H996,bên,between,Prep,H996,Genesis,1,32
הָא֖וֹר,H216,hā·’ō·wr,the light,Art | N‑cs,H216,Genesis,1,33
וּבֵ֥ין,H996,ū·ḇên,and between,Conj‑w | Prep,H996,Genesis,1,34
הַחֹֽשֶׁךְ׃,H2822,ha·ḥō·šeḵ.,the darkness,Art | N‑ms,H2822,Genesis,1,35
אֱלֹהִ֤ים ׀,H430,’ĕ·lō·hîm,God,N‑mp,H430,Genesis,1,36
לָאוֹר֙,H216,lā·’ō·wr,the light,"Prep‑l, Art | N‑cs",H216,Genesis,1,37
י֔וֹם,H3117,"yō·wm,",day,N‑ms,H3117,Genesis,1,38
וְלַחֹ֖שֶׁךְ,H2822,wə·la·ḥō·šeḵ,and the darkness,"Conj‑w, Prep‑l, Art | N‑ms",H2822,Genesis,1,39
קָ֣רָא,H7121,qā·rā,He called,V‑Qal‑Perf‑3ms,H7121,Genesis,1,40
לָ֑יְלָה,H3915,lā·yə·lāh;,night,N‑ms,H3915,Genesis,1,41
וַֽיְהִי־,H1961,way·hî-,And there was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Genesis,1,42
עֶ֥רֶב,H6153,‘e·reḇ,evening,N‑ms,H6153,Genesis,1,43
וַֽיְהִי־,H1961,way·hî-,and there was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Genesis,1,44
בֹ֖קֶר,H1242,ḇō·qer,morning,N‑ms,H1242,Genesis,1,45
י֥וֹם,H3117,yō·wm,day,N‑ms,H3117,Genesis,1,46
אֶחָֽד׃,H259,’e·ḥāḏ.,the first,Number‑ms,H259,Genesis,1,47
אֱלֹהִ֔ים,H430,"’ĕ·lō·hîm,",God,N‑mp,H430,Genesis,1,48
יְהִ֥י,H1961,yə·hî,let there be,V‑Qal‑Imperf.Jus‑3ms,H1961,Genesis,1,49
רָקִ֖יעַ,H7549,rā·qî·a‘,a firmament,N‑ms,H7549,Genesis,1,50
בְּת֣וֹךְ,H8432,bə·ṯō·wḵ,in the midst,Prep‑b | N‑msc,H8432,Genesis,1,51
הַמָּ֑יִם,H4325,ham·mā·yim;,of the waters,Art | N‑mp,H4325,Genesis,1,52
וִיהִ֣י,H1961,wî·hî,and let it,Conj‑w | V‑Qal‑ConjImperf.Jus‑3ms,H1961,Genesis,1,53
מַבְדִּ֔יל,H914,"maḇ·dîl,",divide,V‑Hifil‑Prtcpl‑ms,H914,Genesis,1,54
בֵּ֥ין,H996,bên,between,Prep,H996,Genesis,1,55
מַ֖יִם,H4325,ma·yim,the waters,N‑mp,H4325,Genesis,1,56
לָמָֽיִם׃,H4325,lā·mā·yim.,[and] the waters,Prep‑l | N‑mp,H4325,Genesis,1,57
אֱלֹהִים֮,H430,’ĕ·lō·hîm,God,N‑mp,H430,Genesis,1,58
אֶת־,H853,’eṯ-,-,DirObjM,H853,Genesis,1,59
הָרָקִיעַ֒,H7549,hā·rā·qî·a‘,the firmament,Art | N‑ms,H7549,Genesis,1,60
וַיַּבְדֵּ֗ל,H914,"way·yaḇ·dêl,",and He divided,Conj‑w | V‑Hifil‑ConsecImperf‑3ms,H914,Genesis,1,61
בֵּ֤ין,H996,bên,between,Prep,H996,Genesis,1,62
הַמַּ֙יִם֙,H4325,ham·ma·yim,the waters,Art | N‑mp,H4325,Genesis,1,63
אֲשֶׁר֙,H834,’ă·šer,that [were],Pro‑r,H834,Genesis,1,64
מִתַּ֣חַת,H8478,mit·ta·ḥaṯ,under,Prep‑m,H8478,Genesis,1,65
לָרָקִ֔יעַ,H7549,"lā·rā·qî·a‘,",the firmament,"Prep‑l, Art | N‑ms",H7549,Genesis,1,66
וּבֵ֣ין,H996,ū·ḇên,and,Conj‑w | Prep,H996,Genesis,1,67
הַמַּ֔יִם,H4325,"ham·ma·yim,",the waters,Art | N‑mp,H4325,Genesis,1,68
אֲשֶׁ֖ר,H834,’ă·šer,that [were],Pro‑r,H834,Genesis,1,69
מֵעַ֣ל,H5921,mê·‘al,above,Prep‑m,H5921,Genesis,1,70
לָרָקִ֑יעַ,H7549,lā·rā·qî·a‘;,the firmament,"Prep‑l, Art | N‑ms",H7549,Genesis,1,71
וַֽיְהִי־,H1961,way·hî-,and it was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Genesis,1,72
כֵֽן׃,H3651,ḵên.,so,Adv,H3651,Genesis,1,73
אֱלֹהִ֛ים,H430,’ĕ·lō·hîm,God,N‑mp,H430,Genesis,1,74
לָֽרָקִ֖יעַ,H7549,lā·rā·qî·a‘,the firmament,"Prep‑l, Art | N‑ms",H7549,Genesis,1,75
