hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
שְׁתַּ֙יִם֙,H8147,šə·ta·yim,second,Number‑fd,H8147,Haggai,1,1
לְדָרְיָ֣וֶשׁ,H1867,lə·ḏā·rə·yā·weš,of Darius,Prep‑l | N‑proper‑ms,H1867,Haggai,1,2
הַמֶּ֔לֶךְ,H4428,"ham·me·leḵ,",the King,Art | N‑ms,H4428,Haggai,1,3
בַּחֹ֙דֶשׁ֙,H2320,ba·ḥō·ḏeš,in month,"Prep‑b, Art | N‑ms",H2320,Haggai,1,4
הַשִּׁשִּׁ֔י,H8345,"haš·šiš·šî,",the sixth,Art | Number‑oms,H8345,Haggai,1,5
בְּי֥וֹם,H3117,bə·yō·wm,on the day,Prep‑b | N‑ms,H3117,Haggai,1,6
אֶחָ֖ד,H259,’e·ḥāḏ,first,Number‑ms,H259,Haggai,1,7
לַחֹ֑דֶשׁ,H2320,la·ḥō·ḏeš;,of the month,"Prep‑l, Art | N‑ms",H2320,Haggai,1,8
הָיָ֨ה,H1961,hā·yāh,came,V‑Qal‑Perf‑3ms,H1961,Haggai,1,9
דְבַר־,H1697,ḏə·ḇar-,the word,N‑msc,H1697,Haggai,1,10
יְהוָ֜ה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Haggai,1,11
בְּיַד־,H3027,bə·yaḏ-,by,Prep‑b | N‑fsc,H3027,Haggai,1,12
חַגַּ֣י,H2292,ḥag·gay,Haggai,N‑proper‑ms,H2292,Haggai,1,13
הַנָּבִ֗יא,H5030,"han·nā·ḇî,",the prophet,Art | N‑ms,H5030,Haggai,1,14
אֶל־,H413,’el-,to,Prep,H413,Haggai,1,15
זְרֻבָּבֶ֤ל,H2216,zə·rub·bā·ḇel,Zerubbabel,N‑proper‑fs,H2216,Haggai,1,16
בֶּן־,H1121,ben-,son,N‑msc,H1121,Haggai,1,17
שְׁאַלְתִּיאֵל֙,H7597,šə·’al·tî·’êl,of Shealtiel,N‑proper‑ms,H7597,Haggai,1,18
פַּחַ֣ת,H6346,pa·ḥaṯ,governor,N‑msc,H6346,Haggai,1,19
יְהוּדָ֔ה,H3063,"yə·hū·ḏāh,",of Judah,N‑proper‑ms,H3063,Haggai,1,20
