hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
יְשַֽׁעְיָ֣הוּ,H3470,yə·ša‘·yā·hū,of Isaiah,N‑proper‑ms,H3470,Isaiah,1,1
בֶן־,H1121,ḇen-,son,N‑msc,H1121,Isaiah,1,2
אָמ֔וֹץ,H531,"’ā·mō·wṣ,",of Amoz,N‑proper‑ms,H531,Isaiah,1,3
אֲשֶׁ֣ר,H834,’ă·šer,that,Pro‑r,H834,Isaiah,1,4
חָזָ֔ה,H2372,"ḥā·zāh,",he saw,V‑Qal‑Perf‑3ms,H2372,Isaiah,1,5
עַל־,H5921,‘al-,concerning,Prep,H5921,Isaiah,1,6
יְהוּדָ֖ה,H3063,yə·hū·ḏāh,Judah,N‑proper‑ms,H3063,Isaiah,1,7
וִירוּשָׁלִָ֑ם,H3389,wî·rū·šā·lim;,and Jerusalem,Conj‑w | N‑proper‑fs,H3389,Isaiah,1,8
בִּימֵ֨י,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Isaiah,1,9
עֻזִּיָּ֧הוּ,H5818,‘uz·zî·yā·hū,of Uzziah,N‑proper‑ms,H5818,Isaiah,1,10
יוֹתָ֛ם,H3147,yō·w·ṯām,Jotham,N‑proper‑ms,H3147,Isaiah,1,11
אָחָ֥ז,H271,’ā·ḥāz,Ahaz,N‑proper‑ms,H271,Isaiah,1,12
יְחִזְקִיָּ֖הוּ,H2396,yə·ḥiz·qî·yā·hū,[and] Hezekiah,N‑proper‑ms,H2396,Isaiah,1,13
מַלְכֵ֥י,H4428,mal·ḵê,kings,N‑mpc,H4428,Isaiah,1,14
שָׁמַ֙יִם֙,H8064,šā·ma·yim,heavens,N‑mp,H8064,Isaiah,1,16
וְהַאֲזִ֣ינִי,H238,wə·ha·’ă·zî·nî,and give ear,Conj‑w | V‑Hifil‑Imp‑fs,H238,Isaiah,1,17
אֶ֔רֶץ,H776,"’e·reṣ,",earth,N‑fs,H776,Isaiah,1,18
כִּ֥י,H3588,kî,for,Conj,H3588,Isaiah,1,19
יְהוָ֖ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Isaiah,1,20
דִּבֵּ֑ר,H1696,dib·bêr;,has spoken,V‑Piel‑Perf‑3ms,H1696,Isaiah,1,21
גִּדַּ֣לְתִּי,H1431,gid·dal·tî,I have nourished,V‑Piel‑Perf‑1cs,H1431,Isaiah,1,23
וְרוֹמַ֔מְתִּי,H7311,"wə·rō·w·mam·tî,",and brought up,Conj‑w | V‑Piel‑ConjPerf‑1cs,H7311,Isaiah,1,24
וְהֵ֖ם,H1992,wə·hêm,and they,Conj‑w | Pro‑3mp,H1992,Isaiah,1,25
פָּ֥שְׁעוּ,H6586,pā·šə·‘ū,have rebelled,V‑Qal‑Perf‑3cp,H6586,Isaiah,1,26
שׁוֹר֙,H7794,šō·wr,the ox,N‑ms,H7794,Isaiah,1,27
קֹנֵ֔הוּ,H7069,"qō·nê·hū,",its owner,V‑Qal‑Prtcpl‑msc | 3ms,H7069,Isaiah,1,28
וַחֲמ֖וֹר,H2543,wa·ḥă·mō·wr,and the donkey,Conj‑w | N‑ms,H2543,Isaiah,1,29
אֵב֣וּס,H18,’ê·ḇūs,manger,N‑msc,H18,Isaiah,1,30
בְּעָלָ֑יו,H1167,bə·‘ā·lāw;,of its master,N‑mpc | 3ms,H1167,Isaiah,1,31
יִשְׂרָאֵל֙,H3478,yiś·rā·’êl,[But] Israel,N‑proper‑ms,H3478,Isaiah,1,32
לֹ֣א,H3808,lō,not,Adv‑NegPrt,H3808,Isaiah,1,33
יָדַ֔ע,H3045,"yā·ḏa‘,",does know,V‑Qal‑Perf‑3ms,H3045,Isaiah,1,34
עַמִּ֖י,H5971,‘am·mî,My people,N‑msc | 1cs,H5971,Isaiah,1,35
הִתְבּוֹנָֽן׃,H995,hiṯ·bō·w·nān.,do consider,V‑Hitpael‑Perf‑3ms,H995,Isaiah,1,37
גּ֣וֹי,H1471,gō·w,nation,N‑ms,H1471,Isaiah,1,38
חֹטֵ֗א,H2398,"ḥō·ṭê,",sinful,V‑Qal‑Prtcpl‑ms,H2398,Isaiah,1,39
כֶּ֣בֶד,H3515,ke·ḇeḏ,laden,Adj‑msc,H3515,Isaiah,1,41
עָוֺ֔ן,H5771,"‘ā·wōn,",with iniquity,N‑cs,H5771,Isaiah,1,42
זֶ֣רַע,H2233,ze·ra‘,a brood,N‑ms,H2233,Isaiah,1,43
מְרֵעִ֔ים,H7489,"mə·rê·‘îm,",of evildoers,V‑Hifil‑Prtcpl‑mp,H7489,Isaiah,1,44
מַשְׁחִיתִ֑ים,H7843,maš·ḥî·ṯîm;,who are corrupters,V‑Hifil‑Prtcpl‑mp,H7843,Isaiah,1,46
עָזְב֣וּ,H5800,‘ā·zə·ḇū,they have forsaken,V‑Qal‑Perf‑3cp,H5800,Isaiah,1,47
אֶת־,H853,’eṯ-,-,DirObjM,H853,Isaiah,1,48
נִֽאֲצ֛וּ,H5006,ni·’ă·ṣū,they have provoked to anger,V‑Piel‑Perf‑3cp,H5006,Isaiah,1,50
קְד֥וֹשׁ,H6918,qə·ḏō·wōš,the Holy one,Adj‑msc,H6918,Isaiah,1,52
נָזֹ֥רוּ,H2114,nā·zō·rū,they have turned away,V‑Nifal‑Perf‑3cp,H2114,Isaiah,1,54
אָחֽוֹר׃,H268,’ā·ḥō·wr.,backward,N‑ms,H268,Isaiah,1,55
מֶ֥ה,H4100,meh,how long,Interrog,H4100,Isaiah,1,56
תֻכּ֛וּ,H5221,ṯuk·kū,should you be stricken,V‑Hofal‑Imperf‑2mp,H5221,Isaiah,1,57
ע֖וֹד,H5750,‘ō·wḏ,again,Adv,H5750,Isaiah,1,58
תּוֹסִ֣יפוּ,H3254,tō·w·sî·p̄ū,You will more and more,V‑Hifil‑Imperf‑2mp,H3254,Isaiah,1,59
סָרָ֑ה,H5627,sā·rāh;,revolt,N‑fs,H5627,Isaiah,1,60
כָּל־,H3605,kāl-,the whole,N‑msc,H3605,Isaiah,1,61
רֹ֣אשׁ,H7218,rōš,head,N‑ms,H7218,Isaiah,1,62
לָחֳלִ֔י,H2483,"lā·ḥo·lî,",is sick,Prep‑l | N‑ms,H2483,Isaiah,1,63
לֵבָ֖ב,H3824,lê·ḇāḇ,heart,N‑ms,H3824,Isaiah,1,65
דַּוָּֽי׃,H1742,daw·wāy.,is faint,Adj‑ms,H1742,Isaiah,1,66
רֶ֤גֶל,H7272,re·ḡel,of the foot,N‑fs,H7272,Isaiah,1,67
וְעַד־,H5704,wə·‘aḏ-,and even to,Conj‑w | Prep,H5704,Isaiah,1,68
אֵֽין־,H369,’ên-,[There is] no,Adv,H369,Isaiah,1,70
מְתֹ֔ם,H4974,"mə·ṯōm,",soundness,N‑ms,H4974,Isaiah,1,71
פֶּ֥צַע,H6482,pe·ṣa‘,[But] wounds,N‑ms,H6482,Isaiah,1,72
וְחַבּוּרָ֖ה,H2250,wə·ḥab·bū·rāh,and bruises,Conj‑w | N‑fs,H2250,Isaiah,1,73
וּמַכָּ֣ה,H4347,ū·mak·kāh,and sores,Conj‑w | N‑fs,H4347,Isaiah,1,74
טְרִיָּ֑ה,H2961,ṭə·rî·yāh;,putrefying,Adj‑fs,H2961,Isaiah,1,75
זֹ֙רוּ֙,H2115,zō·rū,they have been closed,V‑QalPass‑Perf‑3cp,H2115,Isaiah,1,77
חֻבָּ֔שׁוּ,H2280,"ḥub·bā·šū,",bound up,V‑Pual‑Perf‑3cp,H2280,Isaiah,1,79
רֻכְּכָ֖ה,H7401,ruk·kə·ḵāh,soothed,V‑Pual‑Perf‑3fs,H7401,Isaiah,1,81
בַּשָּֽׁמֶן׃,H8081,baš·šā·men.,with ointment,"Prep‑b, Art | N‑ms",H8081,Isaiah,1,82
שְׁמָמָ֔ה,H8077,"šə·mā·māh,",desolate,N‑fs,H8077,Isaiah,1,83
עָרֵיכֶ֖ם,H5892,‘ā·rê·ḵem,Your cities [are],N‑fpc | 2mp,H5892,Isaiah,1,84
שְׂרֻפ֣וֹת,H8313,śə·ru·p̄ō·wṯ,burned,V‑Qal‑QalPassPrtcpl‑fp,H8313,Isaiah,1,85
אֵ֑שׁ,H784,’êš;,with fire,N‑cs,H784,Isaiah,1,86
אַדְמַתְכֶ֗ם,H127,"’aḏ·maṯ·ḵem,",your land,N‑fsc | 2mp,H127,Isaiah,1,87
לְנֶגְדְּכֶם֙,H5048,lə·neḡ·də·ḵem,in your presence,Prep‑l | 2mp,H5048,Isaiah,1,88
אֹכְלִ֣ים,H398,’ō·ḵə·lîm,devour,V‑Qal‑Prtcpl‑mp,H398,Isaiah,1,90
כְּמַהְפֵּכַ֥ת,H4114,kə·mah·pê·ḵaṯ,as overthrown by,Prep‑k | N‑fsc,H4114,Isaiah,1,93
בַת־,H1323,ḇaṯ-,the daughter,N‑fsc,H1323,Isaiah,1,95
צִיּ֖וֹן,H6726,ṣî·yō·wn,of Zion,N‑proper‑fs,H6726,Isaiah,1,96
כְּסֻכָּ֣ה,H5521,kə·suk·kāh,as a booth,Prep‑k | N‑fs,H5521,Isaiah,1,97
בְכָ֑רֶם,H3754,ḇə·ḵā·rem;,in a vineyard,Prep‑b | N‑ms,H3754,Isaiah,1,98
כִּמְלוּנָ֥ה,H4412,kim·lū·nāh,as a hut,Prep‑k | N‑fs,H4412,Isaiah,1,99
בְמִקְשָׁ֖ה,H4750,ḇə·miq·šāh,in a garden of cucumbers,Prep‑b | N‑fs,H4750,Isaiah,1,100
נְצוּרָֽה׃,H5341,nə·ṣū·rāh.,besieged,V‑Qal‑QalPassPrtcpl‑fs,H5341,Isaiah,1,102
צְבָא֔וֹת,H6635,"ṣə·ḇā·’ō·wṯ,",of hosts,N‑cp,H6635,Isaiah,1,104
הוֹתִ֥יר,H3498,hō·w·ṯîr,Had left,V‑Hifil‑Perf‑3ms,H3498,Isaiah,1,105
שָׂרִ֖יד,H8300,śā·rîḏ,a remnant,N‑ms,H8300,Isaiah,1,106
כִּמְעָ֑ט,H4592,kim·‘āṭ;,very small,Prep‑k | Adj‑ms,H4592,Isaiah,1,107
כִּסְדֹ֣ם,H5467,kis·ḏōm,like Sodom,Prep‑k | N‑proper‑fs,H5467,Isaiah,1,108
הָיִ֔ינוּ,H1961,"hā·yî·nū,",we would have become,V‑Qal‑Perf‑1cp,H1961,Isaiah,1,109
לַעֲמֹרָ֖ה,H6017,la·‘ă·mō·rāh,like Gomorrah,Prep‑l | N‑proper‑fs,H6017,Isaiah,1,110
דָּמִֽינוּ׃,H1819,dā·mî·nū.,we would have been made,V‑Qal‑Perf‑1cp,H1819,Isaiah,1,111
דְבַר־,H1697,ḏə·ḇar-,the word,N‑msc,H1697,Isaiah,1,112
יְהוָ֖ה,H3069,Yah·weh,of Yahweh,N‑proper‑ms,H3069,Isaiah,1,113
קְצִינֵ֣י,H7101,qə·ṣî·nê,You rulers,N‑mpc,H7101,Isaiah,1,114
