hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
יְהוָה֙,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Joel,1,1
אֲשֶׁ֣ר,H834,’ă·šer,that,Pro‑r,H834,Joel,1,2
הָיָ֔ה,H1961,"hā·yāh,",came,V‑Qal‑Perf‑3ms,H1961,Joel,1,3
אֶל־,H413,’el-,to,Prep,H413,Joel,1,4
יוֹאֵ֖ל,H3100,yō·w·’êl,Joel,N‑proper‑ms,H3100,Joel,1,5
בֶּן־,H1121,ben-,son,N‑msc,H1121,Joel,1,6
פְּתוּאֵֽל׃,H6602,pə·ṯū·’êl.,of Pethuel,N‑proper‑ms,H6602,Joel,1,7
זֹאת֙,H2063,zōṯ,this,Pro‑fs,H2063,Joel,1,8
הַזְּקֵנִ֔ים,H2205,"haz·zə·qê·nîm,",you elders,Art | Adj‑mp,H2205,Joel,1,9
וְהַֽאֲזִ֔ינוּ,H238,"wə·ha·’ă·zî·nū,",and give ear,Conj‑w | V‑Hifil‑Imp‑mp,H238,Joel,1,10
כֹּ֖ל,H3605,kōl,all,N‑msc,H3605,Joel,1,11
יוֹשְׁבֵ֣י,H3427,yō·wō·šə·ḇê,you inhabitants,V‑Qal‑Prtcpl‑mpc,H3427,Joel,1,12
הָאָ֑רֶץ,H776,hā·’ā·reṣ;,of the land,Art | N‑fs,H776,Joel,1,13
הֶהָ֤יְתָה,H1961,he·hā·yə·ṯāh,Has [anything] happened,V‑Qal‑Perf‑3fs,H1961,Joel,1,14
זֹּאת֙,H2063,zōṯ,[like] this,Pro‑fs,H2063,Joel,1,15
בִּֽימֵיכֶ֔ם,H3117,"bî·mê·ḵem,",in your days,Prep‑b | N‑mpc | 2mp,H3117,Joel,1,16
וְאִ֖ם,H518,wə·’im,Or even,Conj‑w | Conj,H518,Joel,1,17
בִּימֵ֥י,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Joel,1,18
אֲבֹֽתֵיכֶֽם׃,H1,’ă·ḇō·ṯê·ḵem.,of your fathers,N‑mpc | 2mp,H1,Joel,1,19
לִבְנֵיכֶ֣ם,H1121,liḇ·nê·ḵem,your children,Prep‑l | N‑mpc | 2mp,H1121,Joel,1,20
סַפֵּ֑רוּ,H5608,sap·pê·rū;,Tell,V‑Piel‑Imp‑mp,H5608,Joel,1,21
וּבְנֵיכֶם֙,H1121,ū·ḇə·nê·ḵem,and [let] your children [tell],Conj‑w | N‑mpc | 2mp,H1121,Joel,1,22
לִבְנֵיהֶ֔ם,H1121,"liḇ·nê·hem,",their children,Prep‑l | N‑mpc | 3mp,H1121,Joel,1,23
וּבְנֵיהֶ֖ם,H1121,ū·ḇə·nê·hem,and their children,Conj‑w | N‑mpc | 3mp,H1121,Joel,1,24
לְד֥וֹר,H1755,lə·ḏō·wr,generation,Prep‑l | N‑ms,H1755,Joel,1,25
אַחֵֽר׃,H312,’a·ḥêr.,another,Adj‑ms,H312,Joel,1,26
הַגָּזָם֙,H1501,hag·gā·zām,the chewing locust,Art | N‑ms,H1501,Joel,1,27
אָכַ֣ל,H398,’ā·ḵal,has eaten,V‑Qal‑Perf‑3ms,H398,Joel,1,28
הָֽאַרְבֶּ֔ה,H697,"hā·’ar·beh,",the swarming locust,Art | N‑ms,H697,Joel,1,29
וְיֶ֥תֶר,H3499,wə·ye·ṯer,and what left,Conj‑w | N‑msc,H3499,Joel,1,30
הָאַרְבֶּ֖ה,H697,hā·’ar·beh,the swarming locust,Art | N‑ms,H697,Joel,1,31
אָכַ֣ל,H398,’ā·ḵal,has eaten,V‑Qal‑Perf‑3ms,H398,Joel,1,32
הַיָּ֑לֶק,H3218,hay·yā·leq;,the crawling locust,Art | N‑ms,H3218,Joel,1,33
וְיֶ֣תֶר,H3499,wə·ye·ṯer,and what left,Conj‑w | N‑msc,H3499,Joel,1,34
הַיֶּ֔לֶק,H3218,"hay·ye·leq,",the crawling locust,Art | N‑ms,H3218,Joel,1,35
אָכַ֖ל,H398,’ā·ḵal,has eaten,V‑Qal‑Perf‑3ms,H398,Joel,1,36
הֶחָסִֽיל׃,H2625,he·ḥā·sîl.,the consuming locust,Art | N‑ms,H2625,Joel,1,37
שִׁכּוֹרִים֙,H7910,šik·kō·w·rîm,you drunkards,Adj‑mp,H7910,Joel,1,38
וּבְכ֔וּ,H1058,"ū·ḇə·ḵū,",and weep,Conj‑w | V‑Qal‑Imp‑mp,H1058,Joel,1,39
וְהֵילִ֖לוּ,H3213,wə·hê·li·lū,and wail,Conj‑w | V‑Hifil‑Imp‑mp,H3213,Joel,1,40
כָּל־,H3605,kāl-,all,N‑msc,H3605,Joel,1,41
שֹׁ֣תֵי,H8354,šō·ṯê,you drinkers,V‑Qal‑Prtcpl‑mpc,H8354,Joel,1,42
יָ֑יִן,H3196,yā·yin;,of wine,N‑ms,H3196,Joel,1,43
עַל־,H5921,‘al-,because,Prep,H5921,Joel,1,44
עָסִ֕יס,H6071,‘ā·sîs,of the new wine,N‑ms,H6071,Joel,1,45
כִּ֥י,H3588,kî,for,Conj,H3588,Joel,1,46
נִכְרַ֖ת,H3772,niḵ·raṯ,it has been cut off,V‑Nifal‑Perf‑3ms,H3772,Joel,1,47
מִפִּיכֶֽם׃,H6310,mip·pî·ḵem.,from your mouth,Prep‑m | N‑msc | 2mp,H6310,Joel,1,48
גוֹי֙,H1471,ḡō·w,a nation,N‑ms,H1471,Joel,1,49
עָלָ֣ה,H5927,‘ā·lāh,has come up,V‑Qal‑Perf‑3ms,H5927,Joel,1,50
עַל־,H5921,‘al-,against,Prep,H5921,Joel,1,51
אַרְצִ֔י,H776,"’ar·ṣî,",My land,N‑fsc | 1cs,H776,Joel,1,52
עָצ֖וּם,H6099,‘ā·ṣūm,Strong,Adj‑ms,H6099,Joel,1,53
וְאֵ֣ין,H369,wə·’ên,and without,Conj‑w | Adv,H369,Joel,1,54
מִסְפָּ֑ר,H4557,mis·pār;,number,N‑ms,H4557,Joel,1,55
שִׁנָּיו֙,H8127,šin·nāw,His teeth [are],N‑cdc | 3ms,H8127,Joel,1,56
שִׁנֵּ֣י,H8127,šin·nê,the teeth,N‑cdc,H8127,Joel,1,57
אַרְיֵ֔ה,H738,"’ar·yêh,",of a lion,N‑ms,H738,Joel,1,58
וּֽמְתַלְּע֥וֹת,H4973,ū·mə·ṯal·lə·‘ō·wṯ,and the fangs,Conj‑w | N‑fpc,H4973,Joel,1,59
לָבִ֖יא,H3833,lā·ḇî,of a fierce lion,N‑ms,H3833,Joel,1,60
גַּפְנִי֙,H1612,gap̄·nî,My vine,N‑csc | 1cs,H1612,Joel,1,61
לְשַׁמָּ֔ה,H8047,"lə·šam·māh,",waste,Prep‑l | N‑fs,H8047,Joel,1,62
וּתְאֵנָתִ֖י,H8384,ū·ṯə·’ê·nā·ṯî,and My fig tree,Conj‑w | N‑fsc | 1cs,H8384,Joel,1,63
לִקְצָפָ֑ה,H7111,liq·ṣā·p̄āh;,ruined,Prep‑l | N‑fs,H7111,Joel,1,64
חָשֹׂ֤ף,H2834,ḥā·śōp̄,bare,V‑Qal‑InfAbs,H2834,Joel,1,65
חֲשָׂפָהּ֙,H2834,ḥă·śā·p̄āh,He has stripped it,V‑Qal‑Perf‑3ms | 3fs,H2834,Joel,1,66
וְהִשְׁלִ֔יךְ,H7993,"wə·hiš·lîḵ,",and thrown [it] away,Conj‑w | V‑Hifil‑ConjPerf‑3ms,H7993,Joel,1,67
הִלְבִּ֖ינוּ,H3835,hil·bî·nū,are made white,V‑Hifil‑Perf‑3cp,H3835,Joel,1,68
שָׂרִיגֶֽיהָ׃,H8299,śā·rî·ḡe·hā.,Its branches,N‑mpc | 3fs,H8299,Joel,1,69
כִּבְתוּלָ֥ה,H1330,kiḇ·ṯū·lāh,like a virgin,Prep‑k | N‑fs,H1330,Joel,1,70
חֲגֻֽרַת־,H2296,ḥă·ḡu·raṯ-,girded with,V‑Qal‑QalPassPrtcpl‑fsc,H2296,Joel,1,71
שַׂ֖ק,H8242,śaq,sackcloth,N‑ms,H8242,Joel,1,72
