hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
דְּבַר־,H1697,də·ḇar-,the word,N‑msc,H1697,Jonah,1,1
יְהוָ֔ה,H3068,"Yah·weh,",of Yahweh,N‑proper‑ms,H3068,Jonah,1,2
אֶל־,H413,’el-,to,Prep,H413,Jonah,1,3
יוֹנָ֥ה,H3124,yō·w·nāh,Jonah,N‑proper‑ms,H3124,Jonah,1,4
בֶן־,H1121,ḇen-,son,N‑msc,H1121,Jonah,1,5
אֲמִתַּ֖י,H573,’ă·mit·tay,of Amittai,N‑proper‑ms,H573,Jonah,1,6
לֵאמֹֽר׃,H559,lê·mōr.,saying,Prep‑l | V‑Qal‑Inf,H559,Jonah,1,7
לֵ֧ךְ,H1980,lêḵ,go,V‑Qal‑Imp‑ms,H1980,Jonah,1,8
אֶל־,H413,’el-,to,Prep,H413,Jonah,1,9
נִֽינְוֵ֛ה,H5210,nî·nə·wêh,Nineveh,N‑proper‑fs,H5210,Jonah,1,10
הָעִ֥יר,H5892,hā·‘îr,the city,Art | N‑fs,H5892,Jonah,1,11
הַגְּדוֹלָ֖ה,H1419,hag·gə·ḏō·w·lāh,great,Art | Adj‑fs,H1419,Jonah,1,12
וּקְרָ֣א,H7121,ū·qə·rā,and cry out,Conj‑w | V‑Qal‑Imp‑ms,H7121,Jonah,1,13
עָלֶ֑יהָ,H5921,‘ā·le·hā;,against it,Prep | 3fs,H5921,Jonah,1,14
כִּֽי־,H3588,kî-,for,Conj,H3588,Jonah,1,15
עָלְתָ֥ה,H5927,‘ā·lə·ṯāh,has come up,V‑Qal‑Perf‑3fs,H5927,Jonah,1,16
רָעָתָ֖ם,H7451,rā·‘ā·ṯām,their wickedness,N‑fsc | 3mp,H7451,Jonah,1,17
לְפָנָֽי׃,H6440,lə·p̄ā·nāy.,before Me,Prep‑l | N‑mpc | 1cs,H6440,Jonah,1,18
יוֹנָה֙,H3124,yō·w·nāh,Jonah,N‑proper‑ms,H3124,Jonah,1,19
לִבְרֹ֣חַ,H1272,liḇ·rō·aḥ,to flee,Prep‑l | V‑Qal‑Inf,H1272,Jonah,1,20
תַּרְשִׁ֔ישָׁה,H8659,"tar·šî·šāh,",to Tarshish,N‑proper‑fs | 3fs,H8659,Jonah,1,21
מִלִּפְנֵ֖י,H6440,mil·lip̄·nê,from the presence,"Prep‑m, Prep‑l | N‑cpc",H6440,Jonah,1,22
יְהוָ֑ה,H3068,Yah·weh;,of Yahweh,N‑proper‑ms,H3068,Jonah,1,23
וַיֵּ֨רֶד,H3381,way·yê·reḏ,and He went down,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H3381,Jonah,1,24
יָפ֜וֹ,H3305,yā·p̄ōw,to Joppa,N‑proper‑fs,H3305,Jonah,1,25
וַיִּמְצָ֥א,H4672,way·yim·ṣā,and found,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H4672,Jonah,1,26
אָנִיָּ֣ה ׀‪‬,H591,’ā·nî·yāh,a ship,N‑fs,H591,Jonah,1,27
בָּאָ֣ה,H935,bā·’āh,going,V‑Qal‑Prtcpl‑fs,H935,Jonah,1,28
תַרְשִׁ֗ישׁ,H8659,"ṯar·šîš,",to Tarshish,N‑proper‑fs,H8659,Jonah,1,29
וַיִּתֵּ֨ן,H5414,way·yit·tên,so he paid,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H5414,Jonah,1,30
שְׂכָרָ֜הּ,H7939,śə·ḵā·rāh,the fare,N‑msc | 3fs,H7939,Jonah,1,31
וַיֵּ֤רֶד,H3381,way·yê·reḏ,and went down,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H3381,Jonah,1,32
לָב֤וֹא,H935,lā·ḇō·w,to go,Prep‑l | V‑Qal‑Inf,H935,Jonah,1,33
עִמָּהֶם֙,H5973,‘im·mā·hem,with them,Prep | 3mp,H5973,Jonah,1,34
תַּרְשִׁ֔ישָׁה,H8659,"tar·šî·šāh,",to Tarshish,N‑proper‑fs | 3fs,H8659,Jonah,1,35
מִלִּפְנֵ֖י,H6440,mil·lip̄·nê,from the presence,"Prep‑m, Prep‑l | N‑cpc",H6440,Jonah,1,36
יְהוָֽה׃,H3068,Yah·weh.,of Yahweh,N‑proper‑ms,H3068,Jonah,1,37
הֵטִ֤יל,H2904,hê·ṭîl,sent out,V‑Hifil‑Perf‑3ms,H2904,Jonah,1,38
רֽוּחַ־,H7307,rū·aḥ-,a wind,N‑cs,H7307,Jonah,1,39
גְּדוֹלָה֙,H1419,gə·ḏō·w·lāh,great,Adj‑fs,H1419,Jonah,1,40
אֶל־,H413,’el-,on,Prep,H413,Jonah,1,41
הַיָּ֔ם,H3220,"hay·yām,",the sea,Art | N‑ms,H3220,Jonah,1,42
וַיְהִ֥י,H1961,way·hî,and there was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Jonah,1,43
סַֽעַר־,H5591,sa·‘ar-,a tempest,N‑ms,H5591,Jonah,1,44
גָּד֖וֹל,H1419,gā·ḏō·wl,mighty,Adj‑ms,H1419,Jonah,1,45
בַּיָּ֑ם,H3220,bay·yām;,on the sea,"Prep‑b, Art | N‑ms",H3220,Jonah,1,46
וְהָ֣אֳנִיָּ֔ה,H591,"wə·hā·’o·nî·yāh,",so that the ship,"Conj‑w, Art | N‑fs",H591,Jonah,1,47
חִשְּׁבָ֖ה,H2803,ḥiš·šə·ḇāh,was about,V‑Piel‑Perf‑3fs,H2803,Jonah,1,48
לְהִשָּׁבֵֽר׃,H7665,lə·hiš·šā·ḇêr.,to be broken up,Prep‑l | V‑Nifal‑Inf,H7665,Jonah,1,49
הַמַּלָּחִ֗ים,H4419,"ham·mal·lā·ḥîm,",the mariners,Art | N‑mp,H4419,Jonah,1,50
וַֽיִּזְעֲקוּ֮,H2199,way·yiz·‘ă·qū,and cried out,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H2199,Jonah,1,51
אִ֣ישׁ,H376,’îš,every man,N‑ms,H376,Jonah,1,52
אֶל־,H413,’el-,to,Prep,H413,Jonah,1,53
אֱלֹהָיו֒,H430,’ĕ·lō·hāw,his god,N‑mpc | 3ms,H430,Jonah,1,54
וַיָּטִ֨לוּ,H2904,way·yā·ṭi·lū,and threw,Conj‑w | V‑Hifil‑ConsecImperf‑3mp,H2904,Jonah,1,55
אֶת־,H853,’eṯ-,-,DirObjM,H853,Jonah,1,56
הַכֵּלִ֜ים,H3627,hak·kê·lîm,the cargo,Art | N‑mp,H3627,Jonah,1,57
אֲשֶׁ֤ר,H834,’ă·šer,that [was],Pro‑r,H834,Jonah,1,58
בָּֽאֳנִיָּה֙,H591,bā·’o·nî·yāh,in the ship,"Prep‑b, Art | N‑fs",H591,Jonah,1,59
אֶל־,H413,’el-,into,Prep,H413,Jonah,1,60
הַיָּ֔ם,H3220,"hay·yām,",the sea,Art | N‑ms,H3220,Jonah,1,61
לְהָקֵ֖ל,H7043,lə·hā·qêl,to lighten the load,Prep‑l | V‑Hifil‑Inf,H7043,Jonah,1,62
מֵֽעֲלֵיהֶ֑ם,H5921,mê·‘ă·lê·hem;,of,Prep‑m | 3mp,H5921,Jonah,1,63
וְיוֹנָ֗ה,H3124,"wə·yō·w·nāh,",but Jonah,Conj‑w | N‑proper‑ms,H3124,Jonah,1,64
יָרַד֙,H3381,yā·raḏ,had gone down,V‑Qal‑Perf‑3ms,H3381,Jonah,1,65
אֶל־,H413,’el-,into,Prep,H413,Jonah,1,66
יַרְכְּתֵ֣י,H3411,yar·kə·ṯê,the lowest parts,N‑fdc,H3411,Jonah,1,67
הַסְּפִינָ֔ה,H5600,"has·sə·p̄î·nāh,",of the ship,Art | N‑fs,H5600,Jonah,1,68
וַיִּשְׁכַּ֖ב,H7901,way·yiš·kaḇ,and had lain down,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H7901,Jonah,1,69
וַיֵּרָדַֽם׃,H7290,way·yê·rā·ḏam.,and was fast asleep,Conj‑w | V‑Nifal‑ConsecImperf‑3ms,H7290,Jonah,1,70
אֵלָיו֙,H413,’ê·lāw,to him,Prep | 3ms,H413,Jonah,1,71
רַ֣ב,H7227,raḇ,the captain,N‑msc,H7227,Jonah,1,72
הַחֹבֵ֔ל,H2259,"ha·ḥō·ḇêl,",the captain,Art | N‑ms,H2259,Jonah,1,73
וַיֹּ֥אמֶר,H559,way·yō·mer,and said,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H559,Jonah,1,74
מַה־,H4100,mah-,what,Interrog,H4100,Jonah,1,75
נִרְדָּ֑ם,H7290,nir·dām;,sleeper,V‑Nifal‑Prtcpl‑ms,H7290,Jonah,1,76
ק֚וּם,H6965,qūm,Arise,V‑Qal‑Imp‑ms,H6965,Jonah,1,77
קְרָ֣א,H7121,qə·rā,call,V‑Qal‑Imp‑ms,H7121,Jonah,1,78
אֶל־,H413,’el-,on,Prep,H413,Jonah,1,79
אֱלֹהֶ֔יךָ,H430,"’ĕ·lō·he·ḵā,",your God,N‑mpc | 2ms,H430,Jonah,1,80
אוּלַ֞י,H194,’ū·lay,perhaps,Adv,H194,Jonah,1,81
יִתְעַשֵּׁ֧ת,H6245,yiṯ·‘aš·šêṯ,will consider,V‑Hitpael‑Imperf‑3ms,H6245,Jonah,1,82
הָאֱלֹהִ֛ים,H430,hā·’ĕ·lō·hîm,your God,Art | N‑mp,H430,Jonah,1,83
וְלֹ֥א,H3808,wə·lō,so that not,Conj‑w | Adv‑NegPrt,H3808,Jonah,1,84
נֹאבֵֽד׃,H6,nō·ḇêḏ.,we may perish,V‑Qal‑Imperf‑1cp,H6,Jonah,1,85
אִ֣ישׁ,H376,’îš,man,N‑ms,H376,Jonah,1,86
אֶל־,H413,’el-,to,Prep,H413,Jonah,1,87
רֵעֵ֗הוּ,H7453,"rê·‘ê·hū,",one another,N‑msc | 3ms,H7453,Jonah,1,88
לְכוּ֙,H1980,lə·ḵū,come,V‑Qal‑Imp‑mp,H1980,Jonah,1,89
וְנַפִּ֣ילָה,H5307,wə·nap·pî·lāh,and let us cast,Conj‑w | V‑Hifil‑ConjImperf.Cohort‑1cp,H5307,Jonah,1,90
גֽוֹרָל֔וֹת,H1486,"ḡō·w·rā·lō·wṯ,",lots,N‑mp,H1486,Jonah,1,91
וְנֵ֣דְעָ֔ה,H3045,"wə·nê·ḏə·‘āh,",that we may know,Conj‑w | V‑Qal‑ConjImperf.Cohort‑1cp,H3045,Jonah,1,92
בְּשֶׁלְּמִ֛י,H7945,bə·šel·lə·mî,by whom,"Prep‑b, Pr | Interrog",H7945,Jonah,1,93
הָרָעָ֥ה,H7451,hā·rā·‘āh,trouble,Art | Adj‑fs,H7451,Jonah,1,94
הַזֹּ֖את,H2063,haz·zōṯ,this,Art | Pro‑fs,H2063,Jonah,1,95
וַיַּפִּ֙לוּ֙,H5307,way·yap·pi·lū,so they cast,Conj‑w | V‑Hifil‑ConsecImperf‑3mp,H5307,Jonah,1,96
גּֽוֹרָל֔וֹת,H1486,"gō·w·rā·lō·wṯ,",lots,N‑mp,H1486,Jonah,1,97
וַיִּפֹּ֥ל,H5307,way·yip·pōl,and fell,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H5307,Jonah,1,98
הַגּוֹרָ֖ל,H1486,hag·gō·w·rāl,the lot,Art | N‑ms,H1486,Jonah,1,99
עַל־,H5921,‘al-,on,Prep,H5921,Jonah,1,100
יוֹנָֽה׃,H3124,yō·w·nāh.,Jonah,N‑proper‑ms,H3124,Jonah,1,101
אֵלָ֔יו,H413,"’ê·lāw,",to him,Prep | 3ms,H413,Jonah,1,102
הַגִּידָה־,H5046,hag·gî·ḏāh-,tell,V‑Hifil‑Imp‑ms | 3fs,H5046,Jonah,1,103
נָּ֣א,H4994,nā,please,Interjection,H4994,Jonah,1,104
בַּאֲשֶׁ֛ר,H834,ba·’ă·šer,which,Prep‑b | Pro‑r,H834,Jonah,1,105
לְמִי־,H4310,lə·mî-,for whom,Prep‑l | Interrog,H4310,Jonah,1,106
הָרָעָ֥ה,H7451,hā·rā·‘āh,trouble,Art | Adj‑fs,H7451,Jonah,1,107
הַזֹּ֖את,H2063,haz·zōṯ,this,Art | Pro‑fs,H2063,Jonah,1,108
מַה־,H4100,mah-,what [is],Interrog,H4100,Jonah,1,109
מְּלַאכְתְּךָ֙,H4399,mə·laḵ·tə·ḵā,your occupation,N‑fsc | 2ms,H4399,Jonah,1,110
וּמֵאַ֣יִן,H370,ū·mê·’a·yin,and from where,"Conj‑w, Prep‑m | Adv",H370,Jonah,1,111
תָּב֔וֹא,H935,"tā·ḇō·w,",do you come,V‑Qal‑Imperf‑2ms,H935,Jonah,1,112
מָ֣ה,H4100,māh,what [is],Interrog,H4100,Jonah,1,113
אַרְצֶ֔ךָ,H776,"’ar·ṣe·ḵā,",your country,N‑fsc | 2ms,H776,Jonah,1,114
וְאֵֽי־,H335,wə·’ê-,and from where,Conj‑w | Interrog,H335,Jonah,1,115
מִזֶּ֥ה,H2088,miz·zeh,this,Pro‑ms,H2088,Jonah,1,116
עַ֖ם,H5971,‘am,people,N‑ms,H5971,Jonah,1,117
אָֽתָּה׃,H859,’āt·tāh.,[are] you,Pro‑2ms,H859,Jonah,1,118
אֲלֵיהֶ֖ם,H413,’ă·lê·hem,to them,Prep | 3mp,H413,Jonah,1,119
עִבְרִ֣י,H5680,‘iḇ·rî,a Hebrew,N‑proper‑ms,H5680,Jonah,1,120
אָנֹ֑כִי,H595,’ā·nō·ḵî;,I [am],Pro‑1cs,H595,Jonah,1,121
וְאֶת־,H853,wə·’eṯ-,and,Conj‑w | DirObjM,H853,Jonah,1,122
יְהוָ֞ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Jonah,1,123
אֱלֹהֵ֤י,H430,’ĕ·lō·hê,God,N‑mpc,H430,Jonah,1,124
הַשָּׁמַ֙יִם֙,H8064,haš·šā·ma·yim,of the heaven,Art | N‑mp,H8064,Jonah,1,125
אֲנִ֣י,H589,’ă·nî,I,Pro‑1cs,H589,Jonah,1,126
יָרֵ֔א,H3373,"yā·rê,",fear,Adj‑ms,H3373,Jonah,1,127
אֲשֶׁר־,H834,’ă·šer-,who,Pro‑r,H834,Jonah,1,128
עָשָׂ֥ה,H6213,‘ā·śāh,made,V‑Qal‑Perf‑3ms,H6213,Jonah,1,129
אֶת־,H853,’eṯ-,-,DirObjM,H853,Jonah,1,130
הַיָּ֖ם,H3220,hay·yām,the sea,Art | N‑ms,H3220,Jonah,1,131
וְאֶת־,H853,wə·’eṯ-,and,Conj‑w | DirObjM,H853,Jonah,1,132
הַיַּבָּשָֽׁה׃,H3004,hay·yab·bā·šāh.,the dry [land],Art | N‑fs,H3004,Jonah,1,133
הָֽאֲנָשִׁים֙,H582,hā·’ă·nā·šîm,the men,Art | N‑mp,H582,Jonah,1,134
יִרְאָ֣ה,H3373,yir·’āh,afraid,N‑fs,H3373,Jonah,1,135
גְדוֹלָ֔ה,H1419,"ḡə·ḏō·w·lāh,",exceedingly,Adj‑fs,H1419,Jonah,1,136
וַיֹּאמְר֥וּ,H559,way·yō·mə·rū,and said,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H559,Jonah,1,137
אֵלָ֖יו,H413,’ê·lāw,to him,Prep | 3ms,H413,Jonah,1,138
מַה־,H4100,mah-,why,Interrog,H4100,Jonah,1,139
זֹּ֣את,H2063,zōṯ,this,Pro‑fs,H2063,Jonah,1,140
עָשִׂ֑יתָ,H6213,‘ā·śî·ṯā;,have you done,V‑Qal‑Perf‑2ms,H6213,Jonah,1,141
כִּֽי־,H3588,kî-,for,Conj,H3588,Jonah,1,142
יָדְע֣וּ,H3045,yā·ḏə·‘ū,knew,V‑Qal‑Perf‑3cp,H3045,Jonah,1,143
הָאֲנָשִׁ֗ים,H582,"hā·’ă·nā·šîm,",the men,Art | N‑mp,H582,Jonah,1,144
כִּֽי־,H3588,kî-,that,Conj,H3588,Jonah,1,145
מִלִּפְנֵ֤י,H6440,mil·lip̄·nê,from the presence,"Prep‑m, Prep‑l | N‑cpc",H6440,Jonah,1,146
יְהוָה֙,H3069,Yah·weh,of Yahweh,N‑proper‑ms,H3069,Jonah,1,147
ה֣וּא,H1931,hū,he,Pro‑3ms,H1931,Jonah,1,148
בֹרֵ֔חַ,H1272,"ḇō·rê·aḥ,",fled,V‑Qal‑Prtcpl‑ms,H1272,Jonah,1,149
כִּ֥י,H3588,kî,because,Conj,H3588,Jonah,1,150
הִגִּ֖יד,H5046,hig·gîḏ,he had told,V‑Hifil‑Perf‑3ms,H5046,Jonah,1,151
לָהֶֽם׃,H1992,lā·hem.,them,Prep‑l | Pro‑3mp,H1992,Jonah,1,152
אֵלָיו֙,H413,’ê·lāw,to him,Prep | 3ms,H413,Jonah,1,153
מַה־,H4100,mah-,what,Interrog,H4100,Jonah,1,154
נַּ֣עֲשֶׂה,H6213,na·‘ă·śeh,shall we do,V‑Qal‑Imperf‑1cp,H6213,Jonah,1,155
וְיִשְׁתֹּ֥ק,H8367,wə·yiš·tōq,that may be calm,Conj‑w | V‑Qal‑ConjImperf‑3ms,H8367,Jonah,1,156
הַיָּ֖ם,H3220,hay·yām,the sea,Art | N‑ms,H3220,Jonah,1,157
מֵֽעָלֵ֑ינוּ,H5921,mê·‘ā·lê·nū;,for us,Prep‑m | 1cp,H5921,Jonah,1,158
כִּ֥י,H3588,kî,for,Conj,H3588,Jonah,1,159
הַיָּ֖ם,H3220,hay·yām,the sea,Art | N‑ms,H3220,Jonah,1,160
הוֹלֵ֥ךְ,H1980,hō·w·lêḵ,was growing,V‑Qal‑Prtcpl‑ms,H1980,Jonah,1,161
וְסֹעֵֽר׃,H5590,wə·sō·‘êr.,and more tempestuous,Conj‑w | V‑Qal‑Prtcpl‑ms,H5590,Jonah,1,162
אֲלֵיהֶ֗ם,H413,"’ă·lê·hem,",to them,Prep | 3mp,H413,Jonah,1,163
שָׂא֙וּנִי֙,H5375,śā·’ū·nî,Pick me up,V‑Qal‑Imp‑mp | 1cs,H5375,Jonah,1,164
וַהֲטִילֻ֣נִי,H2904,wa·hă·ṭî·lu·nî,and throw me,Conj‑w | V‑Hifil‑Imp‑mp | 1cs,H2904,Jonah,1,165
אֶל־,H413,’el-,into,Prep,H413,Jonah,1,166
הַיָּ֔ם,H3220,"hay·yām,",the sea,Art | N‑ms,H3220,Jonah,1,167
וְיִשְׁתֹּ֥ק,H8367,wə·yiš·tōq,then will become calm,Conj‑w | V‑Qal‑ConjImperf‑3ms,H8367,Jonah,1,168
הַיָּ֖ם,H3220,hay·yām,the sea,Art | N‑ms,H3220,Jonah,1,169
מֵֽעֲלֵיכֶ֑ם,H5921,mê·‘ă·lê·ḵem;,for you,Prep‑m | 2mp,H5921,Jonah,1,170
כִּ֚י,H3588,kî,for,Conj,H3588,Jonah,1,171
יוֹדֵ֣עַ,H3045,yō·w·ḏê·a‘,know,V‑Qal‑Prtcpl‑ms,H3045,Jonah,1,172
אָ֔נִי,H589,"’ā·nî,",I,Pro‑1cs,H589,Jonah,1,173
כִּ֣י,H3588,kî,that,Conj,H3588,Jonah,1,174
בְשֶׁלִּ֔י,H7945,"ḇə·šel·lî,",because of me,"Prep‑b, Pr | Prep | 1cs",H7945,Jonah,1,175
הַסַּ֧עַר,H5591,has·sa·‘ar,tempest [is],Art | N‑ms,H5591,Jonah,1,176
הַגָּד֛וֹל,H1419,hag·gā·ḏō·wl,great,Art | Adj‑ms,H1419,Jonah,1,177
הַזֶּ֖ה,H2088,haz·zeh,this,Art | Pro‑ms,H2088,Jonah,1,178
עֲלֵיכֶֽם׃,H5921,‘ă·lê·ḵem.,on,Prep | 2mp,H5921,Jonah,1,179
הָאֲנָשִׁ֗ים,H582,"hā·’ă·nā·šîm,",the men,Art | N‑mp,H582,Jonah,1,180
לְהָשִׁ֛יב,H7725,lə·hā·šîḇ,to return,Prep‑l | V‑Hifil‑Inf,H7725,Jonah,1,181
אֶל־,H413,’el-,to,Prep,H413,Jonah,1,182
הַיַּבָּשָׁ֖ה,H3004,hay·yab·bā·šāh,land,Art | N‑fs,H3004,Jonah,1,183
וְלֹ֣א,H3808,wə·lō,but not,Conj‑w | Adv‑NegPrt,H3808,Jonah,1,184
יָכֹ֑לוּ,H3201,yā·ḵō·lū;,they could,V‑Qal‑Perf‑3cp,H3201,Jonah,1,185
כִּ֣י,H3588,kî,for,Conj,H3588,Jonah,1,186
הַיָּ֔ם,H3220,"hay·yām,",the sea,Art | N‑ms,H3220,Jonah,1,187
הוֹלֵ֥ךְ,H1980,hō·w·lêḵ,continued to grow,V‑Qal‑Prtcpl‑ms,H1980,Jonah,1,188
וְסֹעֵ֖ר,H5590,wə·sō·‘êr,and more tempestuous,Conj‑w | V‑Qal‑Prtcpl‑ms,H5590,Jonah,1,189
עֲלֵיהֶֽם׃,H5921,‘ă·lê·hem.,against them,Prep | 3mp,H5921,Jonah,1,190
אֶל־,H413,’el-,to,Prep,H413,Jonah,1,191
יְהוָ֜ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Jonah,1,192
וַיֹּאמְר֗וּ,H559,"way·yō·mə·rū,",and said,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H559,Jonah,1,193
אָנָּ֤ה,H577,’ān·nāh,we pray,Interjection,H577,Jonah,1,194
יְהוָה֙,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Jonah,1,195
אַל־,H408,’al-,not,Adv,H408,Jonah,1,196
נָ֣א,H4994,nā,please,Interjection,H4994,Jonah,1,197
נֹאבְדָ֗ה,H6,"nō·ḇə·ḏāh,",do let us perish,V‑Qal‑Imperf.Cohort‑1cp,H6,Jonah,1,198
בְּנֶ֙פֶשׁ֙,H5315,bə·ne·p̄eš,for life,Prep‑b | N‑fsc,H5315,Jonah,1,199
הָאִ֣ישׁ,H376,hā·’îš,of man,Art | N‑ms,H376,Jonah,1,200
הַזֶּ֔ה,H2088,"haz·zeh,",this,Art | Pro‑ms,H2088,Jonah,1,201
וְאַל־,H408,wə·’al-,and not,Conj‑w | Adv,H408,Jonah,1,202
תִּתֵּ֥ן,H5414,tit·tên,do charge,V‑Qal‑Imperf‑2ms,H5414,Jonah,1,203
עָלֵ֖ינוּ,H5921,‘ā·lê·nū,us,Prep | 1cp,H5921,Jonah,1,204
דָּ֣ם,H1818,dām,with blood,N‑ms,H1818,Jonah,1,205
נָקִ֑יא,H5355,nā·qî;,innocent,Adj‑ms,H5355,Jonah,1,206
כִּֽי־,H3588,kî-,for,Conj,H3588,Jonah,1,207
אַתָּ֣ה,H859,’at·tāh,You,Pro‑2ms,H859,Jonah,1,208
יְהוָ֔ה,H3068,"Yah·weh,",Yahweh,N‑proper‑ms,H3068,Jonah,1,209
כַּאֲשֶׁ֥ר,H834,ka·’ă·šer,as,Prep‑k | Pro‑r,H834,Jonah,1,210
