hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
דְּבַר־,H1697,də·ḇar-,the word,N‑msc,H1697,Jonah,1,1
יְהוָ֔ה,H3068,"Yah·weh,",of Yahweh,N‑proper‑ms,H3068,Jonah,1,2
אֶל־,H413,’el-,to,Prep,H413,Jonah,1,3
יוֹנָ֥ה,H3124,yō·w·nāh,Jonah,N‑proper‑ms,H3124,Jonah,1,4
בֶן־,H1121,ḇen-,son,N‑msc,H1121,Jonah,1,5
אֲמִתַּ֖י,H573,’ă·mit·tay,of Amittai,N‑proper‑ms,H573,Jonah,1,6
לֵאמֹֽר׃,H559,lê·mōr.,saying,Prep‑l | V‑Qal‑Inf,H559,Jonah,1,7
לֵ֧ךְ,H1980,lêḵ,go,V‑Qal‑Imp‑ms,H1980,Jonah,1,8
נִֽינְוֵ֛ה,H5210,nî·nə·wêh,Nineveh,N‑proper‑fs,H5210,Jonah,1,10
הָעִ֥יר,H5892,hā·‘îr,the city,Art | N‑fs,H5892,Jonah,1,11
הַגְּדוֹלָ֖ה,H1419,hag·gə·ḏō·w·lāh,great,Art | Adj‑fs,H1419,Jonah,1,12
וּקְרָ֣א,H7121,ū·qə·rā,and cry out,Conj‑w | V‑Qal‑Imp‑ms,H7121,Jonah,1,13
עָלֶ֑יהָ,H5921,‘ā·le·hā;,against it,Prep | 3fs,H5921,Jonah,1,14
כִּֽי־,H3588,kî-,for,Conj,H3588,Jonah,1,15
עָלְתָ֥ה,H5927,‘ā·lə·ṯāh,has come up,V‑Qal‑Perf‑3fs,H5927,Jonah,1,16
רָעָתָ֖ם,H7451,rā·‘ā·ṯām,their wickedness,N‑fsc | 3mp,H7451,Jonah,1,17
לְפָנָֽי׃,H6440,lə·p̄ā·nāy.,before Me,Prep‑l | N‑mpc | 1cs,H6440,Jonah,1,18
לִבְרֹ֣חַ,H1272,liḇ·rō·aḥ,to flee,Prep‑l | V‑Qal‑Inf,H1272,Jonah,1,20
תַּרְשִׁ֔ישָׁה,H8659,"tar·šî·šāh,",to Tarshish,N‑proper‑fs | 3fs,H8659,Jonah,1,21
וַיֵּ֨רֶד,H3381,way·yê·reḏ,and He went down,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H3381,Jonah,1,24
יָפ֜וֹ,H3305,yā·p̄ōw,to Joppa,N‑proper‑fs,H3305,Jonah,1,25
וַיִּמְצָ֥א,H4672,way·yim·ṣā,and found,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H4672,Jonah,1,26
אָנִיָּ֣ה ׀‪‬,H591,’ā·nî·yāh,a ship,N‑fs,H591,Jonah,1,27
בָּאָ֣ה,H935,bā·’āh,going,V‑Qal‑Prtcpl‑fs,H935,Jonah,1,28
וַיִּתֵּ֨ן,H5414,way·yit·tên,so he paid,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H5414,Jonah,1,30
שְׂכָרָ֜הּ,H7939,śə·ḵā·rāh,the fare,N‑msc | 3fs,H7939,Jonah,1,31
עִמָּהֶם֙,H5973,‘im·mā·hem,with them,Prep | 3mp,H5973,Jonah,1,34
הֵטִ֤יל,H2904,hê·ṭîl,sent out,V‑Hifil‑Perf‑3ms,H2904,Jonah,1,38
רֽוּחַ־,H7307,rū·aḥ-,a wind,N‑cs,H7307,Jonah,1,39
הַיָּ֔ם,H3220,"hay·yām,",the sea,Art | N‑ms,H3220,Jonah,1,42
וַיְהִ֥י,H1961,way·hî,and there was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Jonah,1,43
סַֽעַר־,H5591,sa·‘ar-,a tempest,N‑ms,H5591,Jonah,1,44
חִשְּׁבָ֖ה,H2803,ḥiš·šə·ḇāh,was about,V‑Piel‑Perf‑3fs,H2803,Jonah,1,48
לְהִשָּׁבֵֽר׃,H7665,lə·hiš·šā·ḇêr.,to be broken up,Prep‑l | V‑Nifal‑Inf,H7665,Jonah,1,49
הַמַּלָּחִ֗ים,H4419,"ham·mal·lā·ḥîm,",the mariners,Art | N‑mp,H4419,Jonah,1,50
וַֽיִּזְעֲקוּ֮,H2199,way·yiz·‘ă·qū,and cried out,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H2199,Jonah,1,51
אִ֣ישׁ,H376,’îš,every man,N‑ms,H376,Jonah,1,52
אֱלֹהָיו֒,H430,’ĕ·lō·hāw,his god,N‑mpc | 3ms,H430,Jonah,1,54
אֶת־,H853,’eṯ-,-,DirObjM,H853,Jonah,1,56
הַכֵּלִ֜ים,H3627,hak·kê·lîm,the cargo,Art | N‑mp,H3627,Jonah,1,57
אֲשֶׁ֤ר,H834,’ă·šer,that [was],Pro‑r,H834,Jonah,1,58
לְהָקֵ֖ל,H7043,lə·hā·qêl,to lighten the load,Prep‑l | V‑Hifil‑Inf,H7043,Jonah,1,62
יַרְכְּתֵ֣י,H3411,yar·kə·ṯê,the lowest parts,N‑fdc,H3411,Jonah,1,67
הַסְּפִינָ֔ה,H5600,"has·sə·p̄î·nāh,",of the ship,Art | N‑fs,H5600,Jonah,1,68
וַיִּשְׁכַּ֖ב,H7901,way·yiš·kaḇ,and had lain down,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H7901,Jonah,1,69
וַיֵּרָדַֽם׃,H7290,way·yê·rā·ḏam.,and was fast asleep,Conj‑w | V‑Nifal‑ConsecImperf‑3ms,H7290,Jonah,1,70
רַ֣ב,H7227,raḇ,the captain,N‑msc,H7227,Jonah,1,72
הַחֹבֵ֔ל,H2259,"ha·ḥō·ḇêl,",the captain,Art | N‑ms,H2259,Jonah,1,73
מַה־,H4100,mah-,what,Interrog,H4100,Jonah,1,75
ק֚וּם,H6965,qūm,Arise,V‑Qal‑Imp‑ms,H6965,Jonah,1,77
אוּלַ֞י,H194,’ū·lay,perhaps,Adv,H194,Jonah,1,81
יִתְעַשֵּׁ֧ת,H6245,yiṯ·‘aš·šêṯ,will consider,V‑Hitpael‑Imperf‑3ms,H6245,Jonah,1,82
וְלֹ֥א,H3808,wə·lō,so that not,Conj‑w | Adv‑NegPrt,H3808,Jonah,1,84
נֹאבֵֽד׃,H6,nō·ḇêḏ.,we may perish,V‑Qal‑Imperf‑1cp,H6,Jonah,1,85
רֵעֵ֗הוּ,H7453,"rê·‘ê·hū,",one another,N‑msc | 3ms,H7453,Jonah,1,88
וְנַפִּ֣ילָה,H5307,wə·nap·pî·lāh,and let us cast,Conj‑w | V‑Hifil‑ConjImperf.Cohort‑1cp,H5307,Jonah,1,90
גֽוֹרָל֔וֹת,H1486,"ḡō·w·rā·lō·wṯ,",lots,N‑mp,H1486,Jonah,1,91
וְנֵ֣דְעָ֔ה,H3045,"wə·nê·ḏə·‘āh,",that we may know,Conj‑w | V‑Qal‑ConjImperf.Cohort‑1cp,H3045,Jonah,1,92
בְּשֶׁלְּמִ֛י,H7945,bə·šel·lə·mî,by whom,"Prep‑b, Pr | Interrog",H7945,Jonah,1,93
הַזֹּ֖את,H2063,haz·zōṯ,this,Art | Pro‑fs,H2063,Jonah,1,95
הַגִּידָה־,H5046,hag·gî·ḏāh-,tell,V‑Hifil‑Imp‑ms | 3fs,H5046,Jonah,1,103
נָּ֣א,H4994,nā,please,Interjection,H4994,Jonah,1,104
לְמִי־,H4310,lə·mî-,for whom,Prep‑l | Interrog,H4310,Jonah,1,106
מְּלַאכְתְּךָ֙,H4399,mə·laḵ·tə·ḵā,your occupation,N‑fsc | 2ms,H4399,Jonah,1,110
וּמֵאַ֣יִן,H370,ū·mê·’a·yin,and from where,"Conj‑w, Prep‑m | Adv",H370,Jonah,1,111
אַרְצֶ֔ךָ,H776,"’ar·ṣe·ḵā,",your country,N‑fsc | 2ms,H776,Jonah,1,114
וְאֵֽי־,H335,wə·’ê-,and from where,Conj‑w | Interrog,H335,Jonah,1,115
מִזֶּ֥ה,H2088,miz·zeh,this,Pro‑ms,H2088,Jonah,1,116
עַ֖ם,H5971,‘am,people,N‑ms,H5971,Jonah,1,117
אָֽתָּה׃,H859,’āt·tāh.,[are] you,Pro‑2ms,H859,Jonah,1,118
עִבְרִ֣י,H5680,‘iḇ·rî,a Hebrew,N‑proper‑ms,H5680,Jonah,1,120
אָנֹ֑כִי,H595,’ā·nō·ḵî;,I [am],Pro‑1cs,H595,Jonah,1,121
הַשָּׁמַ֙יִם֙,H8064,haš·šā·ma·yim,of the heaven,Art | N‑mp,H8064,Jonah,1,125
אֲנִ֣י,H589,’ă·nî,I,Pro‑1cs,H589,Jonah,1,126
יָרֵ֔א,H3373,"yā·rê,",fear,Adj‑ms,H3373,Jonah,1,127
עָשָׂ֥ה,H6213,‘ā·śāh,made,V‑Qal‑Perf‑3ms,H6213,Jonah,1,129
הַיַּבָּשָֽׁה׃,H3004,hay·yab·bā·šāh.,the dry [land],Art | N‑fs,H3004,Jonah,1,133
הָֽאֲנָשִׁים֙,H582,hā·’ă·nā·šîm,the men,Art | N‑mp,H582,Jonah,1,134
יְהוָה֙,H3069,Yah·weh,of Yahweh,N‑proper‑ms,H3069,Jonah,1,147
ה֣וּא,H1931,hū,he,Pro‑3ms,H1931,Jonah,1,148
לָהֶֽם׃,H1992,lā·hem.,them,Prep‑l | Pro‑3mp,H1992,Jonah,1,152
וְיִשְׁתֹּ֥ק,H8367,wə·yiš·tōq,that may be calm,Conj‑w | V‑Qal‑ConjImperf‑3ms,H8367,Jonah,1,156
וְסֹעֵֽר׃,H5590,wə·sō·‘êr.,and more tempestuous,Conj‑w | V‑Qal‑Prtcpl‑ms,H5590,Jonah,1,162
שָׂא֙וּנִי֙,H5375,śā·’ū·nî,Pick me up,V‑Qal‑Imp‑mp | 1cs,H5375,Jonah,1,164
לְהָשִׁ֛יב,H7725,lə·hā·šîḇ,to return,Prep‑l | V‑Hifil‑Inf,H7725,Jonah,1,181
יָכֹ֑לוּ,H3201,yā·ḵō·lū;,they could,V‑Qal‑Perf‑3cp,H3201,Jonah,1,185
אָנָּ֤ה,H577,’ān·nāh,we pray,Interjection,H577,Jonah,1,194
אַל־,H408,’al-,not,Adv,H408,Jonah,1,196
בְּנֶ֙פֶשׁ֙,H5315,bə·ne·p̄eš,for life,Prep‑b | N‑fsc,H5315,Jonah,1,199
דָּ֣ם,H1818,dām,with blood,N‑ms,H1818,Jonah,1,205
נָקִ֑יא,H5355,nā·qî;,innocent,Adj‑ms,H5355,Jonah,1,206
חָפַ֖צְתָּ,H2654,ḥā·p̄aṣ·tā,it pleased You,V‑Qal‑Perf‑2ms,H2654,Jonah,1,211
וַיַּעֲמֹ֥ד,H5975,way·ya·‘ă·mōḏ,and ceased,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H5975,Jonah,1,218
מִזַּעְפּֽוֹ׃,H2197,miz·za‘·pōw.,from its raging,Prep‑m | V‑Qal‑Inf | 3ms,H2197,Jonah,1,220
וַיִּֽזְבְּחוּ־,H2076,way·yiz·bə·ḥū-,and offered,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H2076,Jonah,1,226
זֶ֙בַח֙,H2077,ze·ḇaḥ,a sacrifice,N‑ms,H2077,Jonah,1,227
וַֽיִּדְּר֖וּ,H5087,way·yid·də·rū,and took,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H5087,Jonah,1,229
נְדָרִֽים׃,H5088,nə·ḏā·rîm.,vows,N‑mp,H5088,Jonah,1,230
דָּ֣ג,H1709,dāḡ,a fish,N‑ms,H1709,Jonah,1,232
לִבְלֹ֖עַ,H1104,liḇ·lō·a‘,to swallow,Prep‑l | V‑Qal‑Inf,H1104,Jonah,1,234
בִּמְעֵ֣י,H4578,bim·‘ê,in the belly,Prep‑b | N‑mpc,H4578,Jonah,1,239
שְׁלֹשָׁ֥ה,H7969,šə·lō·šāh,three,Number‑ms,H7969,Jonah,1,241
יָמִ֖ים,H3117,yā·mîm,days,N‑mp,H3117,Jonah,1,242
לֵילֽוֹת׃,H3915,lê·lō·wṯ.,nights,N‑mp,H3915,Jonah,1,244
הַדָּגָֽה׃,H1710,had·dā·ḡāh.,of the fish,Art | N‑fs,H1710,Jonah,2,250
מִצָּ֥רָה,H6869,miṣ·ṣā·rāh,because of affliction,Prep‑m | N‑fs,H6869,Jonah,2,252
וַֽיַּעֲנֵ֑נִי,H6030,way·ya·‘ă·nê·nî;,and He answered me,Conj‑w | V‑Qal‑ConsecImperf‑3ms | 1cs,H6030,Jonah,2,255
מִבֶּ֧טֶן,H990,mib·be·ṭen,Out of the belly,Prep‑m | N‑fsc,H990,Jonah,2,256
שְׁא֛וֹל,H7585,šə·’ō·wl,of Sheol,N‑cs,H7585,Jonah,2,257
שִׁוַּ֖עְתִּי,H7768,šiw·wa‘·tî,I cried,V‑Piel‑Perf‑1cs,H7768,Jonah,2,258
שָׁמַ֥עְתָּ,H8085,šā·ma‘·tā,[And] You heard,V‑Qal‑Perf‑2ms,H8085,Jonah,2,259
קוֹלִֽי׃,H6963,qō·w·lî.,my voice,N‑msc | 1cs,H6963,Jonah,2,260
מְצוּלָה֙,H4688,mə·ṣū·lāh,into the deep,N‑fs,H4688,Jonah,2,261
בִּלְבַ֣ב,H3824,bil·ḇaḇ,Into the heart,Prep‑b | N‑msc,H3824,Jonah,2,262
וְנָהָ֖ר,H5104,wə·nā·hār,and the floods,Conj‑w | N‑ms,H5104,Jonah,2,264
יְסֹבְבֵ֑נִי,H5437,yə·sō·ḇə·ḇê·nî;,surrounded me,V‑Piel‑Imperf‑3ms | 1cs,H5437,Jonah,2,265
כָּל־,H3605,kāl-,all,N‑msc,H3605,Jonah,2,266
מִשְׁבָּרֶ֥יךָ,H4867,miš·bā·re·ḵā,Your billows,N‑mpc | 2ms,H4867,Jonah,2,267
וְגַלֶּ֖יךָ,H1530,wə·ḡal·le·ḵā,and Your waves,Conj‑w | N‑mpc | 2ms,H1530,Jonah,2,268
עָבָֽרוּ׃,H5674,‘ā·ḇā·rū.,passed,V‑Qal‑Perf‑3cp,H5674,Jonah,2,270
נִגְרַ֖שְׁתִּי,H1644,niḡ·raš·tî,I have been cast out,V‑Nifal‑Perf‑1cs,H1644,Jonah,2,272
מִנֶּ֣גֶד,H5048,min·ne·ḡeḏ,of,Prep‑m,H5048,Jonah,2,273
עֵינֶ֑יךָ,H5869,‘ê·ne·ḵā;,Your sight,N‑cdc | 2ms,H5869,Jonah,2,274
אַ֚ךְ,H389,’aḵ,yet,Adv,H389,Jonah,2,275
אוֹסִ֣יף,H3254,’ō·w·sîp̄,I will again,V‑Hifil‑Imperf‑1cs,H3254,Jonah,2,276
לְהַבִּ֔יט,H5027,"lə·hab·bîṭ,",look,Prep‑l | V‑Hifil‑Inf,H5027,Jonah,2,277
הֵיכַ֖ל,H1964,hê·ḵal,temple,N‑msc,H1964,Jonah,2,279
קָדְשֶֽׁךָ׃,H6944,qāḏ·še·ḵā,Your holy,N‑msc | 2ms,H6944,Jonah,2,280
מַ֙יִם֙,H4325,ma·yim,the waters,N‑mp,H4325,Jonah,2,281
עַד־,H5704,‘aḏ-,[even] to,Prep,H5704,Jonah,2,282
תְּה֖וֹם,H8415,tə·hō·wm,The deep,N‑cs,H8415,Jonah,2,284
ס֖וּף,H5488,sūp̄,Weeds,N‑ms,H5488,Jonah,2,286
חָב֥וּשׁ,H2280,ḥā·ḇūš,were wrapped,V‑Qal‑QalPassPrtcpl‑ms,H2280,Jonah,2,287
לְרֹאשִֽׁי׃,H7218,lə·rō·šî.,around my head,Prep‑l | N‑msc | 1cs,H7218,Jonah,2,288
הָרִים֙,H2022,hā·rîm,of the mountains,N‑mp,H2022,Jonah,2,289
בְּרִחֶ֥יהָ,H1280,bə·ri·ḥe·hā,with its bars,N‑mpc | 3fs,H1280,Jonah,2,292
בַעֲדִ֖י,H1157,ḇa·‘ă·ḏî,behind me,Prep | 1cs,H1157,Jonah,2,293
לְעוֹלָ֑ם,H5769,lə·‘ō·w·lām;,forever,Prep‑l | N‑ms,H5769,Jonah,2,294
מִשַּׁ֛חַת,H7845,miš·ša·ḥaṯ,from the pit,Prep‑m | N‑fs,H7845,Jonah,2,296
חַיַּ֖י,H2416,ḥay·yay,my life,N‑mpc | 1cs,H2416,Jonah,2,297
זָכָ֑רְתִּי,H2142,zā·ḵā·rə·tî;,I remembered,V‑Qal‑Perf‑1cs,H2142,Jonah,2,304
תְּפִלָּתִ֔י,H8605,"tə·p̄il·lā·ṯî,",my prayer,N‑fsc | 1cs,H8605,Jonah,2,307
הַבְלֵי־,H1892,haḇ·lê-,idols,N‑mpc,H1892,Jonah,2,311
שָׁ֑וְא,H7723,šāw;,worthless,N‑ms,H7723,Jonah,2,312
חַסְדָּ֖ם,H2617,ḥas·dām,their own Mercy,N‑msc | 3mp,H2617,Jonah,2,313
יַעֲזֹֽבוּ׃,H5800,ya·‘ă·zō·ḇū.,Forsake,V‑Qal‑Imperf‑3mp,H5800,Jonah,2,314
תּוֹדָה֙,H8426,tō·w·ḏāh,of thanksgiving,N‑fs,H8426,Jonah,2,316
אֲשַׁלֵּ֑מָה,H7999,’ă·šal·lê·māh;,I will pay,V‑Piel‑Imperf.Cohort‑1cs,H7999,Jonah,2,320
יְשׁוּעָ֖תָה,H3444,yə·šū·‘ā·ṯāh,Salvation [is],N‑fs | 3fs,H3444,Jonah,2,321
וַיָּקֵ֥א,H6958,way·yā·qê,and it vomited,Conj‑w | V‑Hifil‑ConsecImperf‑3ms,H6958,Jonah,2,325
שֵׁנִ֥ית,H8145,šê·nîṯ,the second [time],Number‑ofs,H8145,Jonah,3,334
הַקְּרִיאָ֔ה,H7150,"haq·qə·rî·’āh,",the message,Art | N‑fs,H7150,Jonah,3,344
דֹּבֵ֥ר,H1696,dō·ḇêr,tell,V‑Qal‑Prtcpl‑ms,H1696,Jonah,3,347
מַהֲלַ֖ךְ,H4109,ma·hă·laḵ,a journey [in extent of],N‑msc,H4109,Jonah,3,360
אֶחָ֑ד,H259,’e·ḥāḏ;,first,Number‑ms,H259,Jonah,3,368
ע֚וֹד,H5750,‘ō·wḏ,yet,Adv,H5750,Jonah,3,371
אַרְבָּעִ֣ים,H705,’ar·bā·‘îm,forty,Number‑cp,H705,Jonah,3,372
נֶהְפָּֽכֶת׃,H2015,neh·pā·ḵeṯ.,shall be overthrown,V‑Nifal‑Prtcpl‑fs,H2015,Jonah,3,375
צוֹם֙,H6685,ṣō·wm,a fast,N‑ms,H6685,Jonah,3,380
וַיִּלְבְּשׁ֣וּ,H3847,way·yil·bə·šū,and put on,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H3847,Jonah,3,381
שַׂקִּ֔ים,H8242,"śaq·qîm,",sackcloth,N‑mp,H8242,Jonah,3,382
קְטַנָּֽם׃,H6996,qə·ṭan·nām.,the least of them,Adj‑msc | 3mp,H6996,Jonah,3,385
מֶ֣לֶך‪‬,H4428,me·leḵ,the king,N‑msc,H4428,Jonah,3,388
מִכִּסְא֔וֹ,H3678,"mik·kis·’ōw,",from his throne,Prep‑m | N‑msc | 3ms,H3678,Jonah,3,391
אַדַּרְתּ֖וֹ,H155,’ad·dar·tōw,cloak,N‑fsc | 3ms,H155,Jonah,3,393
וַיְכַ֣ס,H3680,way·ḵas,and covered [himself],Conj‑w | V‑Piel‑ConsecImperf‑3ms,H3680,Jonah,3,395
וַיֵּ֖שֶׁב,H3427,way·yê·šeḇ,and sat,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H3427,Jonah,3,397
הָאֵֽפֶר׃,H665,hā·’ê·p̄er.,ashes,Art | N‑ms,H665,Jonah,3,399
מִטַּ֧עַם,H2940,miṭ·ṭa·‘am,by the decree,Prep‑m | N‑msc,H2940,Jonah,3,402
הָאָדָ֨ם,H120,hā·’ā·ḏām,man,Art | N‑ms,H120,Jonah,3,406
וְהַבְּהֵמָ֜ה,H929,wə·hab·bə·hê·māh,nor beast,"Conj‑w, Art | N‑fs",H929,Jonah,3,407
הַבָּקָ֣ר,H1241,hab·bā·qār,herd,Art | N‑ms,H1241,Jonah,3,408
וְהַצֹּ֗אן,H6629,"wə·haṣ·ṣōn,",nor flock,"Conj‑w, Art | N‑cs",H6629,Jonah,3,409
יִטְעֲמוּ֙,H2938,yiṭ·‘ă·mū,let taste,V‑Qal‑Imperf‑3mp,H2938,Jonah,3,411
מְא֔וּמָה,H3972,"mə·’ū·māh,",anything,N‑ms,H3972,Jonah,3,412
יִרְע֔וּ,H7462,"yir·‘ū,",do let them eat,V‑Qal‑Imperf‑3mp,H7462,Jonah,3,414
יִשְׁתּֽוּ׃,H8354,yiš·tū.,drink,V‑Qal‑Imperf‑3mp,H8354,Jonah,3,417
בְּחָזְקָ֑ה,H2394,bə·ḥā·zə·qāh;,mightily,Prep‑b | N‑fs,H2394,Jonah,3,424
מִדַּרְכּ֣וֹ,H1870,mid·dar·kōw,from his way,Prep‑m | N‑csc | 3ms,H1870,Jonah,3,427
וּמִן־,H4480,ū·min-,and from,Conj‑w | Prep,H4480,Jonah,3,429
הֶחָמָ֖ס,H2555,he·ḥā·mās,the violence,Art | N‑ms,H2555,Jonah,3,430
בְּכַפֵּיהֶֽם׃,H3709,bə·ḵap·pê·hem.,in his hands,Prep‑b | N‑fdc | 3mp,H3709,Jonah,3,432
וְנִחַ֖ם,H5162,wə·ni·ḥam,and relent,Conj‑w | V‑Nifal‑ConjPerf‑3ms,H5162,Jonah,3,435
מֵחֲר֥וֹן,H2740,mê·ḥă·rō·wn,from fierce,Prep‑m | N‑msc,H2740,Jonah,3,438
אַפּ֖וֹ,H639,’ap·pōw,His anger,N‑msc | 3ms,H639,Jonah,3,439
מַ֣עֲשֵׂיהֶ֔ם,H4639,"ma·‘ă·śê·hem,",their works,N‑mpc | 3mp,H4639,Jonah,3,444
וַיִּ֖חַר,H2734,way·yi·ḥar,and became angry,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H2734,Jonah,4,463
אַדְמָתִ֔י,H127,"’aḏ·mā·ṯî,",my country,N‑fsc | 1cs,H127,Jonah,4,475
כֵּ֥ן,H3651,kên,therefore,Adv,H3651,Jonah,4,477
קִדַּ֖מְתִּי,H6923,qid·dam·tî,I,V‑Piel‑Perf‑1cs,H6923,Jonah,4,478
אֵֽל־,H410,’êl-,God,N‑ms,H410,Jonah,4,485
חַנּ֣וּן,H2587,ḥan·nūn,a gracious,Adj‑ms,H2587,Jonah,4,486
וְרַח֔וּם,H7349,"wə·ra·ḥūm,",and merciful,Conj‑w | Adj‑ms,H7349,Jonah,4,487
אֶ֤רֶךְ,H750,’e·reḵ,slow,Adj‑msc,H750,Jonah,4,488
קַח־,H3947,qaḥ-,take,V‑Qal‑Imp‑ms,H3947,Jonah,4,496
ט֥וֹב,H2896,ṭō·wḇ,[it is] better,Adj‑ms,H2896,Jonah,4,502
מוֹתִ֖י,H4194,mō·w·ṯî,for me to die,N‑msc | 1cs,H4194,Jonah,4,503
