hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
אַחֲרֵ֛י,H310,’a·ḥă·rê,after,Prep,H310,Joshua,1,1
מ֥וֹת,H4194,mō·wṯ,the death,N‑msc,H4194,Joshua,1,2
מֹשֶׁ֖ה,H4872,mō·šeh,of Moses,N‑proper‑ms,H4872,Joshua,1,3
עֶ֣בֶד,H5650,‘e·ḇeḏ,the servant,N‑msc,H5650,Joshua,1,4
יְהוָ֑ה,H3068,Yah·weh;,of Yahweh,N‑proper‑ms,H3068,Joshua,1,5
וַיֹּ֤אמֶר,H559,way·yō·mer,that spoke,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H559,Joshua,1,6
אֶל־,H413,’el-,to,Prep,H413,Joshua,1,8
יְהוֹשֻׁ֣עַ,H3091,yə·hō·wō·šu·a‘,Joshua,N‑proper‑ms,H3091,Joshua,1,9
בִּן־,H1121,bin-,son,N‑msc,H1121,Joshua,1,10
נ֔וּן,H5126,"nūn,",of Nun,N‑proper‑ms,H5126,Joshua,1,11
מְשָׁרֵ֥ת,H8334,mə·šā·rêṯ,minister,V‑Piel‑Prtcpl‑msc,H8334,Joshua,1,12
מֵ֑ת,H4191,mêṯ;,is dead,V‑Qal‑Perf‑3ms,H4191,Joshua,1,16
וְעַתָּה֩,H6258,wə·‘at·tāh,therefore now,Conj‑w | Adv,H6258,Joshua,1,17
ק֨וּם,H6965,qūm,arise,V‑Qal‑Imp‑ms,H6965,Joshua,1,18
עֲבֹ֜ר,H5674,‘ă·ḇōr,go over,V‑Qal‑Imp‑ms,H5674,Joshua,1,19
אֶת־,H853,’eṯ-,-,DirObjM,H853,Joshua,1,20
הַיַּרְדֵּ֣ן,H3383,hay·yar·dên,Jordan,Art | N‑proper‑fs,H3383,Joshua,1,21
הַזֶּ֗ה,H2088,"haz·zeh,",this,Art | Pro‑ms,H2088,Joshua,1,22
אַתָּה֙,H859,’at·tāh,you,Pro‑2ms,H859,Joshua,1,23
וְכָל־,H3605,wə·ḵāl,and all,Conj‑w | N‑msc,H3605,Joshua,1,24
הָעָ֣ם,H5971,hā·‘ām,people,Art | N‑ms,H5971,Joshua,1,25
הָאָ֕רֶץ,H776,hā·’ā·reṣ,the land,Art | N‑fs,H776,Joshua,1,28
אֲשֶׁ֧ר,H834,’ă·šer,which,Pro‑r,H834,Joshua,1,29
אָנֹכִ֛י,H595,’ā·nō·ḵî,I,Pro‑1cs,H595,Joshua,1,30
נֹתֵ֥ן,H5414,nō·ṯên,am giving,V‑Qal‑Prtcpl‑ms,H5414,Joshua,1,31
יִשְׂרָאֵֽל׃,H3478,yiś·rā·’êl.,of Israel,N‑proper‑ms,H3478,Joshua,1,33
מָק֗וֹם,H4725,"mā·qō·wm,",place,N‑ms,H4725,Joshua,1,34
תִּדְרֹ֧ךְ,H1869,tiḏ·rōḵ,will tread,V‑Qal‑Imperf‑3fs,H1869,Joshua,1,36
כַּֽף־,H3709,kap̄-,the sole,N‑fsc,H3709,Joshua,1,37
רַגְלְכֶ֛ם,H7272,raḡ·lə·ḵem,of your foot,N‑fsc | 2mp,H7272,Joshua,1,38
דִּבַּ֖רְתִּי,H1696,dib·bar·tî,I said,V‑Piel‑Perf‑1cs,H1696,Joshua,1,41
וְהַלְּבָנ֨וֹן,H3844,wə·hal·lə·ḇā·nō·wn,and Lebanon,"Conj‑w, Art | N‑proper‑fs",H3844,Joshua,1,44
וְֽעַד־,H5704,wə·‘aḏ-,and as far as,Conj‑w | Prep,H5704,Joshua,1,46
הַנָּהָ֧ר,H5104,han·nā·hār,the river,Art | N‑ms,H5104,Joshua,1,47
הַגָּד֣וֹל,H1419,hag·gā·ḏō·wl,great,Art | Adj‑ms,H1419,Joshua,1,48
פְּרָ֗ת,H6578,"pə·rāṯ,",Euphrates,N‑proper‑fs,H6578,Joshua,1,50
הַֽחִתִּ֔ים,H2850,"ha·ḥit·tîm,",of the Hittites,Art | N‑proper‑mp,H2850,Joshua,1,53
הַיָּ֥ם,H3220,hay·yām,the Sea,Art | N‑ms,H3220,Joshua,1,55
מְב֣וֹא,H3996,mə·ḇō·w,toward the going down,N‑msc,H3996,Joshua,1,57
הַשָּׁ֑מֶשׁ,H8121,haš·šā·meš;,of the sun,Art | N‑cs,H8121,Joshua,1,58
יִֽהְיֶ֖ה,H1961,yih·yeh,shall be,V‑Qal‑Imperf‑3ms,H1961,Joshua,1,59
גְּבוּלְכֶֽם׃,H1366,gə·ḇū·lə·ḵem.,your territory,N‑msc | 2mp,H1366,Joshua,1,60
יִתְיַצֵּ֥ב,H3320,yiṯ·yaṣ·ṣêḇ,shall [be able to] stand,V‑Hitpael‑Imperf‑3ms,H3320,Joshua,1,61
אִישׁ֙,H376,’îš,man,N‑ms,H376,Joshua,1,62
לְפָנֶ֔יךָ,H6440,"lə·p̄ā·ne·ḵā,",before you,Prep‑l | N‑cpc | 2ms,H6440,Joshua,1,63
יְמֵ֣י,H3117,yə·mê,the days,N‑mpc,H3117,Joshua,1,65
חַיֶּ֑יךָ,H2416,ḥay·ye·ḵā;,of your life,N‑mpc | 2ms,H2416,Joshua,1,66
עִם־,H5973,‘im-,with,Prep,H5973,Joshua,1,69
לֹ֥א,H3808,lō,not,Adv‑NegPrt,H3808,Joshua,1,73
