hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
אַחֲרֵי֙,H310,’a·ḥă·rê,after,Prep,H310,Judges,1,1
מ֣וֹת,H4194,mō·wṯ,the death,N‑msc,H4194,Judges,1,2
יְהוֹשֻׁ֔עַ,H3091,"yə·hō·wō·šu·a‘,",of Joshua,N‑proper‑ms,H3091,Judges,1,3
וַֽיִּשְׁאֲלוּ֙,H7592,way·yiš·’ă·lū,that asked,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H7592,Judges,1,4
בְּנֵ֣י,H1121,bə·nê,the sons,N‑mpc,H1121,Judges,1,5
יִשְׂרָאֵ֔ל,H3478,"yiś·rā·’êl,",of Israel,N‑proper‑ms,H3478,Judges,1,6
בַּיהוָ֖ה,H3068,Yah·weh,Yahweh,Prep‑b | N‑proper‑ms,H3068,Judges,1,7
לֵאמֹ֑ר,H559,lê·mōr;,saying,Prep‑l | V‑Qal‑Inf,H559,Judges,1,8
מִ֣י,H4310,mî,who,Interrog,H4310,Judges,1,9
יַעֲלֶה־,H5927,ya·‘ă·leh-,shall go up,V‑Qal‑Imperf‑3ms,H5927,Judges,1,10
אֶל־,H413,’el-,against,Prep,H413,Judges,1,11
הַֽכְּנַעֲנִ֛י,H3669,hak·kə·na·‘ă·nî,the Canaanite,Art | N‑proper‑ms,H3669,Judges,1,12
בַּתְּחִלָּ֖ה,H8462,bat·tə·ḥil·lāh,first,"Prep‑b, Art | N‑fs",H8462,Judges,1,13
לְהִלָּ֥חֶם,H3898,lə·hil·lā·ḥem,to fight,Prep‑l | V‑Nifal‑Inf,H3898,Judges,1,14
יְהוּדָ֣ה,H3063,yə·hū·ḏāh,Judah,N‑proper‑ms,H3063,Judges,1,16
הִנֵּ֛ה,H2009,hin·nêh,indeed,Interjection,H2009,Judges,1,18
נָתַ֥תִּי,H5414,nā·ṯat·tî,I have delivered,V‑Qal‑Perf‑1cs,H5414,Judges,1,19
אֶת־,H853,’eṯ-,-,DirObjM,H853,Judges,1,20
הָאָ֖רֶץ,H776,hā·’ā·reṣ,the land,Art | N‑fs,H776,Judges,1,21
בְּיָדֽוֹ׃,H3027,bə·yā·ḏōw.,into his hand,Prep‑b | N‑fsc | 3ms,H3027,Judges,1,22
לְשִׁמְע֨וֹן,H8095,lə·šim·‘ō·wn,to Simeon,Prep‑l | N‑proper‑ms,H8095,Judges,1,24
אָחִ֜יו,H251,’ā·ḥîw,his brother,N‑msc | 3ms,H251,Judges,1,25
אִתִּ֣י,H854,’it·tî,with me,Prep | 1cs,H854,Judges,1,27
בְגוֹרָלִ֗י,H1486,"ḇə·ḡō·w·rā·lî,",to my allotted territory,Prep‑b | N‑msc | 1cs,H1486,Judges,1,28
וְהָלַכְתִּ֧י,H1980,wə·hā·laḵ·tî,and will go,Conj‑w | V‑Qal‑ConjPerf‑1cs,H1980,Judges,1,31
גַם־,H1571,ḡam-,likewise,Conj,H1571,Judges,1,32
אֲנִ֛י,H589,’ă·nî,I,Pro‑1cs,H589,Judges,1,33
וְהַפְּרִזִּ֖י,H6522,wə·hap·pə·riz·zî,and the Perizzite,"Conj‑w, Art | N‑proper‑ms",H6522,Judges,1,44
