hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
יָשְׁבָ֣ה,H3427,yā·šə·ḇāh,sits,V‑Qal‑Perf‑3fs,H3427,Lamentations,1,1
בָדָ֗ד,H910,"ḇā·ḏāḏ,",lonely,N‑ms,H910,Lamentations,1,2
הָעִיר֙,H5892,hā·‘îr,the city,Art | N‑fs,H5892,Lamentations,1,3
רַבָּ֣תִי,H7227,rab·bā·ṯî,[once] full,Adj‑fsc,H7227,Lamentations,1,4
עָ֔ם,H5971,"‘ām,",of people,N‑ms,H5971,Lamentations,1,5
הָיְתָ֖ה,H1961,hā·yə·ṯāh,she has become,V‑Qal‑Perf‑3fs,H1961,Lamentations,1,6
כְּאַלְמָנָ֑ה,H490,kə·’al·mā·nāh;,like a widow,Prep‑k | N‑fs,H490,Lamentations,1,7
רַּבָּ֣תִי‪‬‪‬,H7227,rab·bā·ṯî,[once] great,Adj‑fsc,H7227,Lamentations,1,8
בַגּוֹיִ֗ם,H1471,"ḇag·gō·w·yim,",among the nations,"Prep‑b, Art | N‑mp",H1471,Lamentations,1,9
שָׂרָ֙תִי֙,H8282,śā·rā·ṯî,the princess,N‑fsc,H8282,Lamentations,1,10
בַּמְּדִינ֔וֹת,H4082,"bam·mə·ḏî·nō·wṯ,",among the provinces,"Prep‑b, Art | N‑fp",H4082,Lamentations,1,11
הָיְתָ֖ה,H1961,hā·yə·ṯāh,she has become,V‑Qal‑Perf‑3fs,H1961,Lamentations,1,12
לָמַֽס׃,H4522,lā·mas.,a slave,Prep‑l | N‑ms,H4522,Lamentations,1,13
תִבְכֶּ֜ה,H1058,ṯiḇ·keh,she weeps,V‑Qal‑Imperf‑3fs,H1058,Lamentations,1,14
בַּלַּ֗יְלָה,H3915,"bal·lay·lāh,",in the night,"Prep‑b, Art | N‑ms",H3915,Lamentations,1,15
וְדִמְעָתָהּ֙,H1832,wə·ḏim·‘ā·ṯāh,and Her tears [are],Conj‑w | N‑fsc | 3fs,H1832,Lamentations,1,16
עַ֣ל,H5921,‘al,on,Prep,H5921,Lamentations,1,17
לֶֽחֱיָ֔הּ,H3895,"le·ḥĕ·yāh,",her cheeks,N‑fsc | 3fs,H3895,Lamentations,1,18
אֵֽין־,H369,’ên-,she has none,Adv,H369,Lamentations,1,19
מְנַחֵ֖ם,H5162,mə·na·ḥêm,comfort [her],V‑Piel‑Prtcpl‑ms,H5162,Lamentations,1,20
מִכָּל־,H3605,mik·kāl,Among all,Prep‑m | N‑msc,H3605,Lamentations,1,21
אֹהֲבֶ֑יהָ,H157,’ō·hă·ḇe·hā;,her lovers,V‑Qal‑Prtcpl‑mpc | 3fs,H157,Lamentations,1,22
כָּל־,H3605,kāl-,all,N‑msc,H3605,Lamentations,1,23
רֵעֶ֙יהָ֙,H7453,rê·‘e·hā,her friends,N‑mpc | 3fs,H7453,Lamentations,1,24
בָּ֣גְדוּ,H898,bā·ḡə·ḏū,have dealt treacherously,V‑Qal‑Perf‑3cp,H898,Lamentations,1,25
הָ֥יוּ,H1961,hā·yū,they have become,V‑Qal‑Perf‑3cp,H1961,Lamentations,1,26
לְאֹיְבִֽים׃,H341,lə·’ō·yə·ḇîm.,enemies,Prep‑l | V‑Qal‑Prtcpl‑mp,H341,Lamentations,1,27
יְהוּדָ֤ה,H3063,yə·hū·ḏāh,Judah,N‑proper‑ms,H3063,Lamentations,1,28
מֵעֹ֙נִי֙,H6040,mê·‘ō·nî,Under affliction,Prep‑m | N‑ms,H6040,Lamentations,1,29
וּמֵרֹ֣ב,H7230,ū·mê·rōḇ,and hard,"Conj‑w, Prep‑m | N‑msc",H7230,Lamentations,1,30
עֲבֹדָ֔ה,H5656,"‘ă·ḇō·ḏāh,",servitude,N‑fs,H5656,Lamentations,1,31
הִ֚יא,H1931,hî,she,Pro‑3fs,H1931,Lamentations,1,32
יָשְׁבָ֣ה,H3427,yā·šə·ḇāh,dwells,V‑Qal‑Perf‑3fs,H3427,Lamentations,1,33
בַגּוֹיִ֔ם,H1471,"ḇag·gō·w·yim,",among the nations,"Prep‑b, Art | N‑mp",H1471,Lamentations,1,34
לֹ֥א,H3808,lō,no,Adv‑NegPrt,H3808,Lamentations,1,35
מָצְאָ֖ה,H4672,mā·ṣə·’āh,she finds,V‑Qal‑Perf‑3fs,H4672,Lamentations,1,36
מָנ֑וֹחַ,H4494,mā·nō·w·aḥ;,rest,N‑ms,H4494,Lamentations,1,37
