hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
דְבַר־,H1697,ḏə·ḇar-,of the word,N‑msc,H1697,Malachi,1,1
יְהוָ֖ה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Malachi,1,2
אֶל־,H413,’el-,to,Prep,H413,Malachi,1,3
יִשְׂרָאֵ֑ל,H3478,yiś·rā·’êl;,Israel,N‑proper‑ms,H3478,Malachi,1,4
בְּיַ֖ד,H3027,bə·yaḏ,by,Prep‑b | N‑fsc,H3027,Malachi,1,5
מַלְאָכִֽי׃,H4401,mal·’ā·ḵî.,Malachi,N‑proper‑ms,H4401,Malachi,1,6
אֶתְכֶם֙,H853,’eṯ·ḵem,you,DirObjM | 2mp,H853,Malachi,1,7
אָמַ֣ר,H559,’ā·mar,says,V‑Qal‑Perf‑3ms,H559,Malachi,1,8
יְהוָ֔ה,H3068,"Yah·weh,",Yahweh,N‑proper‑ms,H3068,Malachi,1,9
וַאֲמַרְתֶּ֖ם,H559,wa·’ă·mar·tem,And yet you say,Conj‑w | V‑Qal‑ConjPerf‑2mp,H559,Malachi,1,10
בַּמָּ֣ה,H4100,bam·māh,in what [way],Prep‑b | Interrog,H4100,Malachi,1,11
אֲהַבְתָּ֑נוּ,H157,’ă·haḇ·tā·nū;,have You loved us,V‑Qal‑Perf‑2ms | 1cp,H157,Malachi,1,12
הֲלוֹא־,H3808,hă·lō·w-,[Was] not,Adv‑NegPrt,H3808,Malachi,1,13
אָ֨ח,H251,’āḥ,brother,N‑ms,H251,Malachi,1,14
עֵשָׂ֤ו,H6215,‘ê·śāw,Esau,N‑proper‑ms,H6215,Malachi,1,15
לְיַֽעֲקֹב֙,H3290,lə·ya·‘ă·qōḇ,of Jacob,Prep‑l | N‑proper‑ms,H3290,Malachi,1,16
נְאֻם־,H5002,nə·’um-,says,N‑msc,H5002,Malachi,1,17
יְהוָ֔ה,H3068,"Yah·weh,",Yahweh,N‑proper‑ms,H3068,Malachi,1,18
וָאֹהַ֖ב,H157,wā·’ō·haḇ,And yet I have loved,Conj‑w | V‑Qal‑ConsecImperf‑1cs,H157,Malachi,1,19
