hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
יְהוָ֣ה ׀,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Micah,1,1
אֲשֶׁ֣ר,H834,’ă·šer,that,Pro‑r,H834,Micah,1,2
הָיָ֗ה,H1961,"hā·yāh,",came,V‑Qal‑Perf‑3ms,H1961,Micah,1,3
אֶל־,H413,’el-,to,Prep,H413,Micah,1,4
מִיכָה֙,H4318,mî·ḵāh,Micah,N‑proper‑ms,H4318,Micah,1,5
הַמֹּ֣רַשְׁתִּ֔י,H4183,"ham·mō·raš·tî,",the Moreshite,Art | N‑proper‑fs,H4183,Micah,1,6
בִּימֵ֥י,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Micah,1,7
יוֹתָ֛ם,H3147,yō·w·ṯām,of Jotham,N‑proper‑ms,H3147,Micah,1,8
אָחָ֥ז,H271,’ā·ḥāz,Ahaz,N‑proper‑ms,H271,Micah,1,9
יְחִזְקִיָּ֖ה,H2396,yə·ḥiz·qî·yāh,[and] Hezekiah,N‑proper‑ms,H2396,Micah,1,10
מַלְכֵ֣י,H4428,mal·ḵê,kings,N‑mpc,H4428,Micah,1,11
יְהוּדָ֑ה,H3063,yə·hū·ḏāh;,of Judah,N‑proper‑ms,H3063,Micah,1,12
אֲשֶׁר־,H834,’ă·šer-,which,Pro‑r,H834,Micah,1,13
חָזָ֥ה,H2372,ḥā·zāh,he saw,V‑Qal‑Perf‑3ms,H2372,Micah,1,14
עַל־,H5921,‘al-,regarding,Prep,H5921,Micah,1,15
שֹׁמְר֖וֹן,H8111,šō·mə·rō·wn,Samaria,N‑proper‑fs,H8111,Micah,1,16
וִירֽוּשָׁלִָֽם׃,H3389,wî·rū·šā·lim.,and Jerusalem,Conj‑w | N‑proper‑fs,H3389,Micah,1,17
עַמִּ֣ים,H5971,‘am·mîm,peoples,N‑mp,H5971,Micah,1,18
כֻּלָּ֔ם,H3605,"kul·lām,",all you,N‑msc | 3mp,H3605,Micah,1,19
הַקְשִׁ֖יבִי,H7181,haq·šî·ḇî,Listen,V‑Hifil‑Imp‑fs,H7181,Micah,1,20
אֶ֣רֶץ,H776,’e·reṣ,earth,N‑fs,H776,Micah,1,21
וּמְלֹאָ֑הּ,H4393,ū·mə·lō·’āh;,and all that is in it,Conj‑w | N‑msc | 3fs,H4393,Micah,1,22
וִיהִי֩,H1961,wî·hî,let be,Conj‑w | V‑Qal‑ConjImperf.Jus‑3ms,H1961,Micah,1,23
אֲדֹנָ֨י,H136,’ă·ḏō·nāy,the Lord,N‑proper‑ms,H136,Micah,1,24
יְהוִ֤ה,H3069,Yah·weh,GOD,N‑proper‑ms,H3069,Micah,1,25
לְעֵ֔ד,H5707,"lə·‘êḏ,",a witness,Prep‑l | N‑ms,H5707,Micah,1,26
אֲדֹנָ֖י,H136,’ă·ḏō·nāy,the Lord,N‑proper‑ms,H136,Micah,1,27
מֵהֵיכַ֥ל,H1964,mê·hê·ḵal,from temple,Prep‑m | N‑msc,H1964,Micah,1,28
קָדְשֽׁוֹ׃,H6944,qā·ḏə·šōw.,His holy,N‑msc | 3ms,H6944,Micah,1,29
הִנֵּ֥ה,H2009,hin·nêh,behold,Interjection,H2009,Micah,1,30
יְהוָ֖ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Micah,1,31
יֹצֵ֣א,H3318,yō·ṣê,is coming,V‑Qal‑Prtcpl‑ms,H3318,Micah,1,32
מִמְּקוֹמ֑וֹ,H4725,mim·mə·qō·w·mōw;,out of His place,Prep‑m | N‑msc | 3ms,H4725,Micah,1,33
וְיָרַ֥ד,H3381,wə·yā·raḏ,and He will come down,Conj‑w | V‑Qal‑ConjPerf‑3ms,H3381,Micah,1,34
וְדָרַ֖ךְ,H1869,wə·ḏā·raḵ,and tread,Conj‑w | V‑Qal‑ConjPerf‑3ms,H1869,Micah,1,35
עַל־,H5921,‘al-,on,Prep,H5921,Micah,1,36
(בָּ֥מֳתֵי),H1116,bā·mo·ṯê,the high places of,N‑fpc,H1116,Micah,1,37
אָֽרֶץ׃,H776,’ā·reṣ.,the earth,N‑fs,H776,Micah,1,38
הֶֽהָרִים֙,H2022,he·hā·rîm,the mountains,Art | N‑mp,H2022,Micah,1,39
תַּחְתָּ֔יו,H8478,"taḥ·tāw,",under Him,Prep | 3ms,H8478,Micah,1,40
וְהָעֲמָקִ֖ים,H6010,wə·hā·‘ă·mā·qîm,and the valleys,"Conj‑w, Art | N‑mp",H6010,Micah,1,41
יִתְבַּקָּ֑עוּ,H1234,yiṯ·baq·qā·‘ū;,will split,V‑Hitpael‑Imperf‑3mp,H1234,Micah,1,42
כַּדּוֹנַג֙,H1749,kad·dō·w·naḡ,Like wax,"Prep‑k, Art | N‑ms",H1749,Micah,1,43
מִפְּנֵ֣י,H6440,mip·pə·nê,before,Prep‑m | N‑cpc,H6440,Micah,1,44
הָאֵ֔שׁ,H784,"hā·’êš,",the fire,Art | N‑cs,H784,Micah,1,45
כְּמַ֖יִם,H4325,kə·ma·yim,Like waters,Prep‑k | N‑mp,H4325,Micah,1,46
מֻגָּרִ֥ים,H5064,mug·gā·rîm,poured,V‑Hofal‑Prtcpl‑mp,H5064,Micah,1,47
בְּמוֹרָֽד׃,H4174,bə·mō·w·rāḏ.,down a steep place,Prep‑b | N‑ms,H4174,Micah,1,48
יַֽעֲקֹב֙,H3290,ya·‘ă·qōḇ,of Jacob,N‑proper‑ms,H3290,Micah,1,49
כָּל־,H3605,kāl-,all,N‑msc,H3605,Micah,1,50
זֹ֔את,H2063,"zōṯ,",this [is],Pro‑fs,H2063,Micah,1,51
וּבְחַטֹּ֖אות,H2403,ū·ḇə·ḥaṭ·ṭō·wṯ,and for the sins,"Conj‑w, Prep‑b | N‑fpc",H2403,Micah,1,52
בֵּ֣ית,H1004,bêṯ,of the house,N‑msc,H1004,Micah,1,53
יִשְׂרָאֵ֑ל,H3478,yiś·rā·’êl;,of Israel,N‑proper‑ms,H3478,Micah,1,54
מִֽי־,H4310,mî-,Who [is],Interrog,H4310,Micah,1,55
פֶ֣שַׁע,H6588,p̄e·ša‘,the transgression,N‑msc,H6588,Micah,1,56
יַעֲקֹ֗ב,H3290,"ya·‘ă·qōḇ,",of Jacob,N‑proper‑ms,H3290,Micah,1,57
הֲלוֹא֙,H3808,hă·lō·w,is [it] not,Adv‑NegPrt,H3808,Micah,1,58
שֹֽׁמְר֔וֹן,H8111,"šō·mə·rō·wn,",Samaria,N‑proper‑fs,H8111,Micah,1,59
וּמִי֙,H4310,ū·mî,and who [are],Conj‑w | Interrog,H4310,Micah,1,60
בָּמ֣וֹת,H1116,bā·mō·wṯ,the high places,N‑fpc,H1116,Micah,1,61
יְהוּדָ֔ה,H3063,"yə·hū·ḏāh,",of Judah,N‑proper‑ms,H3063,Micah,1,62
הֲל֖וֹא,H3808,hă·lō·w,Are [they] not,Adv‑NegPrt,H3808,Micah,1,63
יְרוּשָׁלִָֽם׃,H3389,yə·rū·šā·lim.,Jerusalem,N‑proper‑fs,H3389,Micah,1,64
שֹׁמְר֛וֹן,H8111,šō·mə·rō·wn,Samaria,N‑proper‑fs,H8111,Micah,1,65
לְעִ֥י,H5856,lə·‘î,a heap of [ruins] in,Prep‑l | N‑msc,H5856,Micah,1,66
הַשָּׂדֶ֖ה,H7704,haś·śā·ḏeh,the field,Art | N‑ms,H7704,Micah,1,67
לְמַטָּ֣עֵי,H4302,lə·maṭ·ṭā·‘ê,[Places] for planting,Prep‑l | N‑mpc,H4302,Micah,1,68
כָ֑רֶם,H3754,ḵā·rem;,a vineyard,N‑ms,H3754,Micah,1,69
וְהִגַּרְתִּ֤י,H5064,wə·hig·gar·tî,And I will pour down,Conj‑w | V‑Hifil‑ConjPerf‑1cs,H5064,Micah,1,70
לַגַּי֙,H1516,lag·gay,into the valley,"Prep‑l, Art | N‑cs",H1516,Micah,1,71
אֲבָנֶ֔יהָ,H68,"’ă·ḇā·ne·hā,",her stones,N‑fpc | 3fs,H68,Micah,1,72
וִיסֹדֶ֖יהָ,H3247,wî·sō·ḏe·hā,and her foundations,Conj‑w | N‑mpc | 3fs,H3247,Micah,1,73
אֲגַלֶּֽה׃,H1540,’ă·ḡal·leh.,I will uncover,V‑Piel‑Imperf‑1cs,H1540,Micah,1,74
פְּסִילֶ֣יהָ,H6456,pə·sî·le·hā,her carved images,N‑mpc | 3fs,H6456,Micah,1,75
יֻכַּ֗תּוּ,H3807,"yuk·kat·tū,",shall be beaten to pieces,V‑Hofal‑Imperf‑3mp,H3807,Micah,1,76
וְכָל־,H3605,wə·ḵāl,and all,Conj‑w | N‑msc,H3605,Micah,1,77
אֶתְנַנֶּ֙יהָ֙,H868,’eṯ·nan·ne·hā,her [pay] as a harlot,N‑mpc | 3fs,H868,Micah,1,78
יִשָּׂרְפ֣וּ,H8313,yiś·śā·rə·p̄ū,shall be burned,V‑Nifal‑Imperf‑3mp,H8313,Micah,1,79
בָאֵ֔שׁ,H784,"ḇā·’êš,",with the fire,"Prep‑b, Art | N‑cs",H784,Micah,1,80
וְכָל־,H3605,wə·ḵāl,and all,Conj‑w | N‑msc,H3605,Micah,1,81
עֲצַבֶּ֖יהָ,H6091,‘ă·ṣab·be·hā,her idols,N‑mpc | 3fs,H6091,Micah,1,82
אָשִׂ֣ים,H7760,’ā·śîm,I will lay,V‑Qal‑Imperf‑1cs,H7760,Micah,1,83
שְׁמָמָ֑ה,H8077,šə·mā·māh;,desolate,N‑fs,H8077,Micah,1,84
כִּ֠י,H3588,kî,for,Conj,H3588,Micah,1,85
מֵאֶתְנַ֤ן,H868,mê·’eṯ·nan,from the pay of,Prep‑m | N‑msc,H868,Micah,1,86
זוֹנָה֙,H2181,zō·w·nāh,a harlot,N‑fs,H2181,Micah,1,87
קִבָּ֔צָה,H6908,"qib·bā·ṣāh,",she gathered [it],V‑Piel‑Perf‑3fs,H6908,Micah,1,88
וְעַד־,H5704,wə·‘aḏ-,and to,Conj‑w | Prep,H5704,Micah,1,89
אֶתְנַ֥ן,H868,’eṯ·nan,the pay,N‑msc,H868,Micah,1,90
זוֹנָ֖ה,H2181,zō·w·nāh,of a harlot,N‑fs,H2181,Micah,1,91
יָשֽׁוּבוּ׃,H7725,yā·šū·ḇū.,they shall return,V‑Qal‑Imperf‑3mp,H7725,Micah,1,92
זֹאת֙,H2063,zōṯ,of this,Pro‑fs,H2063,Micah,1,93
אֶסְפְּדָ֣ה,H5594,’es·pə·ḏāh,I will wail,V‑Qal‑Imperf.Cohort‑1cs,H5594,Micah,1,94
וְאֵילִ֔ילָה,H3213,"wə·’ê·lî·lāh,",and howl,Conj‑w | V‑Hifil‑ConjImperf.Cohort‑1cs,H3213,Micah,1,95
אֵילְכָ֥ה,H1980,’ê·lə·ḵāh,I will go,V‑Qal‑Imperf.Cohort‑1cs,H1980,Micah,1,96
(שׁוֹלָ֖ל),H7758,šō·w·lāl,stripped,Adj‑ms,H7758,Micah,1,97
וְעָר֑וֹם,H6174,wə·‘ā·rō·wm;,and naked,Conj‑w | Adj‑ms,H6174,Micah,1,98
אֶעֱשֶׂ֤ה,H6213,’e·‘ĕ·śeh,I will make,V‑Qal‑Imperf.h‑1cs,H6213,Micah,1,99
מִסְפֵּד֙,H4553,mis·pêḏ,a wailing,N‑ms,H4553,Micah,1,100
כַּתַּנִּ֔ים,H8577,"kat·tan·nîm,",like the jackals,"Prep‑k, Art | N‑cp",H8577,Micah,1,101
וְאֵ֖בֶל,H60,wə·’ê·ḇel,and a mourning,Conj‑w | N‑ms,H60,Micah,1,102
כִּבְנ֥וֹת,H1323,kiḇ·nō·wṯ,like,Prep‑k | N‑fpc,H1323,Micah,1,103
יַעֲנָֽה׃,H3284,ya·‘ă·nāh.,the ostriches,N‑fs,H3284,Micah,1,104
אֲנוּשָׁ֖ה,H605,’ă·nū·šāh,incurable,V‑Qal‑QalPassPrtcpl‑fs,H605,Micah,1,105
מַכּוֹתֶ֑יהָ,H4347,mak·kō·w·ṯe·hā;,her wounds [are],N‑fpc | 3fs,H4347,Micah,1,106
כִּי־,H3588,kî-,for,Conj,H3588,Micah,1,107
בָ֙אָה֙,H935,ḇā·’āh,it has come,V‑Qal‑Perf‑3fs,H935,Micah,1,108
עַד־,H5704,‘aḏ-,to,Prep,H5704,Micah,1,109
יְהוּדָ֔ה,H3063,"yə·hū·ḏāh,",Judah,N‑proper‑ms,H3063,Micah,1,110
נָגַ֛ע,H5060,nā·ḡa‘,it has come,V‑Qal‑Perf‑3ms,H5060,Micah,1,111
עַד־,H5704,‘aḏ-,to,Prep,H5704,Micah,1,112
שַׁ֥עַר,H8179,ša·‘ar,the gate,N‑msc,H8179,Micah,1,113
עַמִּ֖י,H5971,‘am·mî,of My people,N‑msc | 1cs,H5971,Micah,1,114
עַד־,H5704,‘aḏ-,to,Prep,H5704,Micah,1,115
יְרוּשָׁלִָֽם׃,H3389,yə·rū·šā·lim.,Jerusalem,N‑proper‑fs,H3389,Micah,1,116
אַל־,H408,’al-,not,Adv,H408,Micah,1,117
תַּגִּ֔ידוּ,H5046,"tag·gî·ḏū,",Tell [it],V‑Hifil‑Imperf‑2mp,H5046,Micah,1,118
בָּכ֖וֹ,H1058,bā·ḵōw,at all,V‑Qal‑InfAbs,H1058,Micah,1,119
אַל־,H408,’al-,not,Adv,H408,Micah,1,120
תִּבְכּ֑וּ,H1058,tiḇ·kū;,Weep,V‑Qal‑Imperf‑2mp,H1058,Micah,1,121
לְעַפְרָ֔ה,H1036,"lə·‘ap̄·rāh,",Beth Aphrah,Prep | N‑proper‑fs,H1036,Micah,1,122
עָפָ֖ר,H6083,‘ā·p̄ār,in the dust,N‑ms,H6083,Micah,1,123
(הִתְפַּלָּֽשִׁי׃),H6428,hiṯ·pal·lā·šî.,Roll yourself,V‑Hitpael‑Imp‑fs,H6428,Micah,1,124
יוֹשֶׁ֥בֶת,H3427,yō·wō·še·ḇeṯ,inhabitant,V‑Qal‑Prtcpl‑fsc,H3427,Micah,1,125
שָׁפִ֖יר,H8208,šā·p̄îr,of Shaphir,N‑proper‑fs,H8208,Micah,1,126
עֶרְיָה־,H6181,‘er·yāh-,in naked,N‑fs,H6181,Micah,1,127
בֹ֑שֶׁת,H1322,ḇō·šeṯ;,Shame,N‑fs,H1322,Micah,1,128
לֹ֤א,H3808,lō,not,Adv‑NegPrt,H3808,Micah,1,129
יָֽצְאָה֙,H3318,yā·ṣə·’āh,does go out,V‑Qal‑Perf‑3fs,H3318,Micah,1,130
יוֹשֶׁ֣בֶת,H3427,yō·wō·še·ḇeṯ,the inhabitant,V‑Qal‑Prtcpl‑fsc,H3427,Micah,1,131
צַֽאֲנָ֔ן,H6630,"ṣa·’ă·nān,",of Zaanan,N‑proper‑fs,H6630,Micah,1,132
מִסְפַּד֙,H5594,mis·paḏ,mourns,N‑msc,H5594,Micah,1,133
הָאֵ֔צֶל,H1018,"hā·’ê·ṣel,",Beth Ezel,N‑proper‑fs,H1018,Micah,1,134
יִקַּ֥ח,H3947,yiq·qaḥ,is taken away,V‑Qal‑Imperf‑3ms,H3947,Micah,1,135
מִכֶּ֖ם,H4480,mik·kem,from you,Prep | 2mp,H4480,Micah,1,136
עֶמְדָּתֽוֹ׃,H5979,‘em·dā·ṯōw.,Its place to stand,N‑fsc | 3ms,H5979,Micah,1,137
חָ֥לָֽה,H2470,ḥā·lāh,pined,V‑Qal‑Perf‑3fs,H2470,Micah,1,138
לְט֖וֹב,H2896,lə·ṭō·wḇ,for good,Prep‑l | N‑ms,H2896,Micah,1,139
יוֹשֶׁ֣בֶת,H3427,yō·wō·še·ḇeṯ,the inhabitant,V‑Qal‑Prtcpl‑fsc,H3427,Micah,1,140
מָר֑וֹת,H4796,mā·rō·wṯ;,of Maroth,N‑proper‑fs,H4796,Micah,1,141
כִּֽי־,H3588,kî-,but,Conj,H3588,Micah,1,142
יָ֤רַד,H3381,yā·raḏ,came down,V‑Qal‑Perf‑3ms,H3381,Micah,1,143
רָע֙,H7451,rā‘,disaster,Adj‑ms,H7451,Micah,1,144
מֵאֵ֣ת,H853,mê·’êṯ,from,Prep‑m | DirObjM,H853,Micah,1,145
יְהוָ֔ה,H3069,"Yah·weh,",Yahweh,N‑proper‑ms,H3069,Micah,1,146
לְשַׁ֖עַר,H8179,lə·ša·‘ar,to the gate,Prep‑l | N‑msc,H8179,Micah,1,147
יְרוּשָׁלִָֽם׃,H3389,yə·rū·šā·lim.,of Jerusalem,N‑proper‑fs,H3389,Micah,1,148
הַמֶּרְכָּבָ֛ה,H4818,ham·mer·kā·ḇāh,the chariot,Art | N‑fs,H4818,Micah,1,149
