hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
יְהוָ֧ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Numbers,1,1
אֶל־,H413,’el-,to,Prep,H413,Numbers,1,2
מֹשֶׁ֛ה,H4872,mō·šeh,Moses,N‑proper‑ms,H4872,Numbers,1,3
בְּמִדְבַּ֥ר,H4057,bə·miḏ·bar,in the Wilderness,Prep‑b | N‑msc,H4057,Numbers,1,4
סִינַ֖י,H5514,sî·nay,of Sinai,N‑proper‑fs,H5514,Numbers,1,5
בְּאֹ֣הֶל,H168,bə·’ō·hel,in the tabernacle,Prep‑b | N‑msc,H168,Numbers,1,6
מוֹעֵ֑ד,H4150,mō·w·‘êḏ;,of meeting,N‑ms,H4150,Numbers,1,7
בְּאֶחָד֩,H259,bə·’e·ḥāḏ,on first,Prep‑b | Number‑ms,H259,Numbers,1,8
לַחֹ֨דֶשׁ,H2320,la·ḥō·ḏeš,the day of the month,"Prep‑l, Art | N‑ms",H2320,Numbers,1,9
הַשֵּׁנִ֜י,H8145,haš·šê·nî,second,Art | Number‑oms,H8145,Numbers,1,10
בַּשָּׁנָ֣ה,H8141,baš·šā·nāh,in the year,"Prep‑b, Art | N‑fs",H8141,Numbers,1,11
הַשֵּׁנִ֗ית,H8145,"haš·šê·nîṯ,",second,Art | Number‑ofs,H8145,Numbers,1,12
לְצֵאתָ֛ם,H3318,lə·ṣê·ṯām,after they had come out,Prep‑l | V‑Qal‑Inf | 3mp,H3318,Numbers,1,13
מֵאֶ֥רֶץ,H776,mê·’e·reṣ,of the land,Prep‑m | N‑fsc,H776,Numbers,1,14
מִצְרַ֖יִם,H4714,miṣ·ra·yim,of Egypt,N‑proper‑fs,H4714,Numbers,1,15
לֵאמֹֽר׃,H559,lê·mōr.,saying,Prep‑l | V‑Qal‑Inf,H559,Numbers,1,16
אֶת־,H853,’eṯ-,-,DirObjM,H853,Numbers,1,17
רֹאשׁ֙,H7218,rōš,a census,N‑msc,H7218,Numbers,1,18
כָּל־,H3605,kāl-,of all,N‑msc,H3605,Numbers,1,19
עֲדַ֣ת,H5712,‘ă·ḏaṯ,the congregation,N‑fsc,H5712,Numbers,1,20
בְּנֵֽי־,H1121,bə·nê-,of the sons,N‑mpc,H1121,Numbers,1,21
יִשְׂרָאֵ֔ל,H3478,"yiś·rā·’êl,",of Israel,N‑proper‑ms,H3478,Numbers,1,22
