hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
עֹֽבַדְיָ֑ה,H5662,‘ō·ḇaḏ·yāh;,of Obadiah,N‑proper‑ms,H5662,Obadiah,1,1
כֹּֽה־,H3541,kōh-,Thus,Adv,H3541,Obadiah,1,2
אָמַר֩,H559,’ā·mar,says,V‑Qal‑Perf‑3ms,H559,Obadiah,1,3
אֲדֹנָ֨י,H136,’ă·ḏō·nāy,the Lord,N‑proper‑ms,H136,Obadiah,1,4
יְהוִ֜ה,H3068,Yah·weh,from Yahweh,N‑proper‑ms,H3068,Obadiah,1,5
לֶאֱד֗וֹם,H123,"le·’ĕ·ḏō·wm,",concerning Edom,Prep‑l | N‑proper‑ms,H123,Obadiah,1,6
שְׁמוּעָ֨ה,H8052,šə·mū·‘āh,a report,N‑fs,H8052,Obadiah,1,7
שָׁמַ֜עְנוּ,H8085,šā·ma‘·nū,we have heard,V‑Qal‑Perf‑1cp,H8085,Obadiah,1,8
מֵאֵ֤ת,H853,mê·’êṯ,from,Prep‑m | DirObjM,H853,Obadiah,1,9
יְהוָה֙,H3069,Yah·weh,Yahweh,N‑proper‑ms,H3069,Obadiah,1,10
וְצִיר֙,H6735,wə·ṣîr,and a messenger,Conj‑w | N‑ms,H6735,Obadiah,1,11
בַּגּוֹיִ֣ם,H1471,bag·gō·w·yim,among the nations,"Prep‑b, Art | N‑mp",H1471,Obadiah,1,12
שֻׁלָּ֔ח,H7971,"šul·lāḥ,",has been sent [to say],V‑Pual‑Perf‑3ms,H7971,Obadiah,1,13
ק֛וּמוּ,H6965,qū·mū,Arise,V‑Qal‑Imp‑mp,H6965,Obadiah,1,14
וְנָק֥וּמָה,H6965,wə·nā·qū·māh,and let us rise up,Conj‑w | V‑Qal‑ConjImperf.Cohort‑1cp,H6965,Obadiah,1,15
עָלֶיהָ‪‬‪‬,H5921,‘ā·le·hā,against her,Prep | 3fs,H5921,Obadiah,1,16
לַמִּלְחָמָֽה׃,H4421,lam·mil·ḥā·māh.,for battle,"Prep‑l, Art | N‑fs",H4421,Obadiah,1,17
קָטֹ֛ן,H6996,qā·ṭōn,small,Adj‑ms,H6996,Obadiah,1,18
נְתַתִּ֖יךָ,H5414,nə·ṯat·tî·ḵā,I will make you,V‑Qal‑Perf‑1cs | 2ms,H5414,Obadiah,1,19
בַּגּוֹיִ֑ם,H1471,bag·gō·w·yim;,among the nations,"Prep‑b, Art | N‑mp",H1471,Obadiah,1,20
בָּז֥וּי,H959,bā·zui,shall be despised,V‑Qal‑QalPassPrtcpl‑ms,H959,Obadiah,1,21
