hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
שְׁלֹמֹ֣ה,H8010,šə·lō·mōh,of Solomon,N‑proper‑ms,H8010,Proverbs,1,1
בֶן־,H1121,ḇen-,son,N‑msc,H1121,Proverbs,1,2
דָּוִ֑ד,H1732,dā·wiḏ;,of David,N‑proper‑ms,H1732,Proverbs,1,3
מֶ֝֗לֶךְ,H4428,"me·leḵ,",king,N‑msc,H4428,Proverbs,1,4
יִשְׂרָאֵֽל׃,H3478,yiś·rā·’êl.,of Israel,N‑proper‑ms,H3478,Proverbs,1,5
חָכְמָ֣ה,H2451,ḥāḵ·māh,wisdom,N‑fs,H2451,Proverbs,1,6
וּמוּסָ֑ר,H4148,ū·mū·sār;,and instruction,Conj‑w | N‑ms,H4148,Proverbs,1,7
לְ֝הָבִ֗ין,H995,"lə·hā·ḇîn,",to perceive,Prep‑l | V‑Hifil‑Inf,H995,Proverbs,1,8
אִמְרֵ֥י,H561,’im·rê,the words,N‑mpc,H561,Proverbs,1,9
בִינָֽה׃,H998,ḇî·nāh.,of understanding,N‑fs,H998,Proverbs,1,10
הַשְׂכֵּ֑ל,H7919,haś·kêl;,of wisdom,V‑Hifil‑InfAbs,H7919,Proverbs,1,12
צֶ֥דֶק,H6664,ṣe·ḏeq,Justice,N‑ms,H6664,Proverbs,1,13
וּ֝מִשְׁפָּ֗ט,H4941,"ū·miš·pāṭ,",and judgment,Conj‑w | N‑ms,H4941,Proverbs,1,14
וּמֵישָׁרִֽים׃,H4339,ū·mê·šā·rîm.,and equity,Conj‑w | N‑mp,H4339,Proverbs,1,15
לִפְתָאיִ֣ם,H6612,lip̄·ṯā·yim,to the simple,Prep‑l | N‑mp,H6612,Proverbs,1,16
עָרְמָ֑ה,H6195,‘ā·rə·māh;,prudence,N‑fs,H6195,Proverbs,1,17
לְ֝נַ֗עַר,H5288,"lə·na·‘ar,",to the young man,Prep‑l | N‑ms,H5288,Proverbs,1,18
דַּ֣עַת,H1847,da·‘aṯ,knowledge,N‑fs,H1847,Proverbs,1,19
וּמְזִמָּֽה׃,H4209,ū·mə·zim·māh.,and discretion,Conj‑w | N‑fs,H4209,Proverbs,1,20
חָ֭כָם,H2450,ḥā·ḵām,a wise [man],Adj‑ms,H2450,Proverbs,1,21
וְי֣וֹסֶף,H3254,wə·yō·w·sep̄,and increase,Conj‑w | V‑Hifil‑ConjImperf.Jus‑3ms,H3254,Proverbs,1,22
לֶ֑קַח,H3948,le·qaḥ;,learning,N‑ms,H3948,Proverbs,1,23
תַּחְבֻּל֥וֹת,H8458,taḥ·bu·lō·wṯ,wise counsel,N‑fp,H8458,Proverbs,1,25
יִקְנֶֽה׃,H7069,yiq·neh.,will attain,V‑Qal‑Imperf‑3ms,H7069,Proverbs,1,26
מָ֭שָׁל,H4912,mā·šāl,a proverb,N‑ms,H4912,Proverbs,1,27
וּמְלִיצָ֑ה,H4426,ū·mə·lî·ṣāh;,and an enigma,Conj‑w | N‑fs,H4426,Proverbs,1,28
דִּבְרֵ֥י,H1697,diḇ·rê,the words,N‑mpc,H1697,Proverbs,1,29
וְחִידֹתָֽם׃,H2420,wə·ḥî·ḏō·ṯām.,and their riddles,Conj‑w | N‑fpc | 3mp,H2420,Proverbs,1,31
יְ֭הוָה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Proverbs,1,32
רֵאשִׁ֣ית,H7225,rê·šîṯ,[is] the beginning,N‑fsc,H7225,Proverbs,1,33
אֱוִילִ֥ים,H191,’ĕ·wî·lîm,Fools,N‑mp,H191,Proverbs,1,37
בָּֽזוּ׃,H936,bā·zū.,[But] despise,V‑Qal‑Perf‑3cp,H936,Proverbs,1,38
אָבִ֑יךָ,H1,’ā·ḇî·ḵā;,of your father,N‑msc | 2ms,H1,Proverbs,1,41
וְאַל־,H408,wə·’al-,and not,Conj‑w | Adv,H408,Proverbs,1,42
תִּ֝טֹּ֗שׁ,H5203,"tiṭ·ṭōš,",do forsake,V‑Qal‑Imperf‑2ms,H5203,Proverbs,1,43
תּוֹרַ֥ת,H8451,tō·w·raṯ,the law,N‑fsc,H8451,Proverbs,1,44
אִמֶּֽךָ׃,H517,’im·me·ḵā.,of your mother,N‑fsc | 2ms,H517,Proverbs,1,45
לִוְיַ֤ת,H3880,liw·yaṯ,a ornament,N‑fsc,H3880,Proverbs,1,46
חֵ֓ן,H2580,ḥên,graceful,N‑ms,H2580,Proverbs,1,47
הֵ֬ם,H1992,hêm,they [will be],Pro‑3mp,H1992,Proverbs,1,48
לְרֹאשֶׁ֑ךָ,H7218,lə·rō·še·ḵā;,on your head,Prep‑l | N‑msc | 2ms,H7218,Proverbs,1,49
וַ֝עֲנָקִ֗ים,H6060,"wa·‘ă·nā·qîm,",and chains,Conj‑w | N‑mp,H6060,Proverbs,1,50
לְגַרְגְּרֹתֶֽיךָ׃,H1621,lə·ḡar·gə·rō·ṯe·ḵā.,about your neck,Prep‑l | N‑fpc | 2ms,H1621,Proverbs,1,51
אִם־,H518,’im-,if,Conj,H518,Proverbs,1,52
יְפַתּ֥וּךָ,H6601,yə·p̄at·tū·ḵā,entice you,V‑Piel‑Imperf‑3mp | 2ms,H6601,Proverbs,1,53
חַ֝טָּאִ֗ים,H2400,"ḥaṭ·ṭā·’îm,",the sinful,Adj‑mp,H2400,Proverbs,1,54
תֹּבֵֽא׃,H14,tō·ḇê.,do consent,V‑Qal‑Imperf.Jus‑2ms,H14,Proverbs,1,56
יֹאמְרוּ֮,H559,yō·mə·rū,they say,V‑Qal‑Imperf‑3mp,H559,Proverbs,1,57
לְכָ֪ה,H1980,lə·ḵāh,come,V‑Qal‑Imp‑ms | 3fs,H1980,Proverbs,1,58
אִ֫תָּ֥נוּ,H854,’it·tā·nū,with us,Prep | 1cp,H854,Proverbs,1,59
נֶאֶרְבָ֥ה,H693,ne·’er·ḇāh,let us lie in wait,V‑Qal‑Imperf.Cohort‑1cp,H693,Proverbs,1,60
לְדָ֑ם,H1818,lə·ḏām;,to [shed] blood,Prep‑l | N‑ms,H1818,Proverbs,1,61
נִצְפְּנָ֖ה,H6845,niṣ·pə·nāh,let us lurk secretly,V‑Qal‑Imperf.Cohort‑1cp,H6845,Proverbs,1,62
לְנָקִ֣י,H5355,lə·nā·qî,for the innocent,Prep‑l | Adj‑ms,H5355,Proverbs,1,63
חִנָּֽם׃,H2600,ḥin·nām.,without cause,Adv,H2600,Proverbs,1,64
כִּשְׁא֣וֹל,H7585,kiš·’ō·wl,like Sheol,Prep‑k | N‑cs,H7585,Proverbs,1,65
חַיִּ֑ים,H2416,ḥay·yîm;,alive,N‑mp,H2416,Proverbs,1,66
וּ֝תְמִימִ֗ים,H8549,"ū·ṯə·mî·mîm,",and whole,Conj‑w | Adj‑mp,H8549,Proverbs,1,67
