hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
הָאִ֗ישׁ,H376,"hā·’îš,",the man,Art | N‑ms,H376,Psalms,1,1
אֲשֶׁ֤ר ׀,H834,’ă·šer,who,Pro‑r,H834,Psalms,1,2
לֹ֥א,H3808,lō,not,Adv‑NegPrt,H3808,Psalms,1,3
הָלַךְ֮,H1980,hā·laḵ,does walk,V‑Qal‑Perf‑3ms,H1980,Psalms,1,4
בַּעֲצַ֪ת,H6098,ba·‘ă·ṣaṯ,in the counsel,Prep‑b | N‑fsc,H6098,Psalms,1,5
רְשָׁ֫עִ֥ים,H7563,rə·šā·‘îm,of the ungodly,Adj‑mp,H7563,Psalms,1,6
וּבְדֶ֣רֶךְ,H1870,ū·ḇə·ḏe·reḵ,and in the path,"Conj‑w, Prep‑b | N‑csc",H1870,Psalms,1,7
חַ֭טָּאִים,H2400,ḥaṭ·ṭā·’îm,of the sinful,Adj‑mp,H2400,Psalms,1,8
לֹ֥א,H3808,lō,nor,Adv‑NegPrt,H3808,Psalms,1,9
עָמָ֑ד,H5975,‘ā·māḏ;,stands,V‑Qal‑Perf‑3ms,H5975,Psalms,1,10
וּבְמוֹשַׁ֥ב,H4186,ū·ḇə·mō·wō·šaḇ,and in the seat,"Conj‑w, Prep‑b | N‑msc",H4186,Psalms,1,11
לֵ֝צִ֗ים,H3887,"lê·ṣîm,",of the scornful,V‑Qal‑Prtcpl‑mp,H3887,Psalms,1,12
לֹ֣א,H3808,lō,nor,Adv‑NegPrt,H3808,Psalms,1,13
יָשָֽׁב׃,H3427,yā·šāḇ.,sits,V‑Qal‑Perf‑3ms,H3427,Psalms,1,14
אִ֥ם,H518,’im,but,Conj,H518,Psalms,1,15
בְּתוֹרַ֥ת,H8451,bə·ṯō·w·raṯ,in the law,Prep‑b | N‑fsc,H8451,Psalms,1,16
יְהוָ֗ה,H3069,Yah·weh,of Yahweh,N‑proper‑ms,H3069,Psalms,1,17
חֶ֫פְצ֥וֹ,H2656,ḥep̄·ṣōw,his delight [is],N‑msc | 3ms,H2656,Psalms,1,18
וּֽבְתוֹרָת֥וֹ,H8451,ū·ḇə·ṯō·w·rā·ṯōw,and in His law,"Conj‑w, Prep‑b | N‑fsc | 3ms",H8451,Psalms,1,19
יֶהְגֶּ֗ה,H1897,"yeh·geh,",he meditates,V‑Qal‑Imperf‑3ms,H1897,Psalms,1,20
יוֹמָ֥ם,H3119,yō·w·mām,day,Adv,H3119,Psalms,1,21
וָלָֽיְלָה׃,H3915,wā·lā·yə·lāh.,and night,Conj‑w | N‑ms,H3915,Psalms,1,22
כְּעֵץ֮,H6086,kə·‘êṣ,like a tree,Prep‑k | N‑ms,H6086,Psalms,1,23
שָׁת֪וּל,H8362,šā·ṯūl,Planted,V‑Qal‑QalPassPrtcpl‑ms,H8362,Psalms,1,24
עַֽל־,H5921,‘al-,by,Prep,H5921,Psalms,1,25
פַּלְגֵ֫י,H6388,pal·ḡê,the rivers,N‑mpc,H6388,Psalms,1,26
מָ֥יִם,H4325,mā·yim,of water,N‑mp,H4325,Psalms,1,27
אֲשֶׁ֤ר,H834,’ă·šer,that,Pro‑r,H834,Psalms,1,28
פִּרְי֨וֹ ׀,H6529,pir·yōw,its fruit,N‑msc | 3ms,H6529,Psalms,1,29
יִתֵּ֬ן,H5414,yit·tên,brings forth,V‑Qal‑Imperf‑3ms,H5414,Psalms,1,30
בְּעִתּ֗וֹ,H6256,"bə·‘it·tōw,",in its season,Prep‑b | N‑csc | 3ms,H6256,Psalms,1,31
