hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
בִּימֵי֙,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Ruth,1,1
שְׁפֹ֣ט,H8199,šə·p̄ōṭ,when ruled,V‑Qal‑Inf,H8199,Ruth,1,2
הַשֹּׁפְטִ֔ים,H8199,"haš·šō·p̄ə·ṭîm,",the judges,Art | V‑Qal‑Prtcpl‑mp,H8199,Ruth,1,3
וַיְהִ֥י,H1961,way·hî,that there was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Ruth,1,4
רָעָ֖ב,H7458,rā·‘āḇ,a famine,N‑ms,H7458,Ruth,1,5
בָּאָ֑רֶץ,H776,bā·’ā·reṣ;,in the land,"Prep‑b, Art | N‑fs",H776,Ruth,1,6
וַיֵּ֨לֶךְ,H1980,way·yê·leḵ,And went,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1980,Ruth,1,7
אִ֜ישׁ,H376,’îš,a certain man,N‑ms,H376,Ruth,1,8
לֶ֣חֶם,H1035,le·ḥem,Bethlehem,Prep | N‑proper‑fs,H1035,Ruth,1,9
יְהוּדָ֗ה,H3063,"yə·hū·ḏāh,",Judah,N‑proper‑ms,H3063,Ruth,1,10
לָגוּר֙,H1481,lā·ḡūr,to dwell,Prep‑l | V‑Qal‑Inf,H1481,Ruth,1,11
בִּשְׂדֵ֣י,H7704,biś·ḏê,in the country,Prep‑b | N‑mpc,H7704,Ruth,1,12
מוֹאָ֔ב,H4124,"mō·w·’āḇ,",of Moab,N‑proper‑fs,H4124,Ruth,1,13
ה֥וּא,H1931,hū,he,Pro‑3ms,H1931,Ruth,1,14
וְאִשְׁתּ֖וֹ,H802,wə·’iš·tōw,and his wife,Conj‑w | N‑fsc | 3ms,H802,Ruth,1,15
וּשְׁנֵ֥י,H8147,ū·šə·nê,and two,Conj‑w | Number‑mdc,H8147,Ruth,1,16
בָנָֽיו׃,H1121,ḇā·nāw.,his sons,N‑mpc | 3ms,H1121,Ruth,1,17
הָאִ֣ישׁ,H376,hā·’îš,of the man,Art | N‑ms,H376,Ruth,1,18
אֱ‍ֽלִימֶ֡לֶךְ,H458,’ĕlî·me·leḵ,[was] Elimelech,N‑proper‑ms,H458,Ruth,1,19
וְשֵׁם֩,H8034,wə·šêm,and the name,Conj‑w | N‑msc,H8034,Ruth,1,20
אִשְׁתּ֨וֹ,H802,’iš·tōw,of his wife,N‑fsc | 3ms,H802,Ruth,1,21
נָעֳמִ֜י,H5281,nā·‘o·mî,[was] Naomi,N‑proper‑fs,H5281,Ruth,1,22
וְשֵׁ֥ם,H8034,wə·šêm,and the names,Conj‑w | N‑msc,H8034,Ruth,1,23
שְׁנֵֽי־,H8147,šə·nê-,of two,Number‑mdc,H8147,Ruth,1,24
בָנָ֣יו ׀,H1121,ḇā·nāw,his sons,N‑mpc | 3ms,H1121,Ruth,1,25
מַחְל֤וֹן,H4248,maḥ·lō·wn,[were] Mahlon,N‑proper‑ms,H4248,Ruth,1,26
וְכִלְיוֹן֙,H3630,wə·ḵil·yō·wn,and Chilion,Conj‑w | N‑proper‑ms,H3630,Ruth,1,27
אֶפְרָתִ֔ים,H673,"’ep̄·rā·ṯîm,",Ephrathites,N‑proper‑mp,H673,Ruth,1,28
לֶ֖חֶם,H1035,le·ḥem,Bethlehem,Prep | N‑proper‑fs,H1035,Ruth,1,29
יְהוּדָ֑ה,H3063,yə·hū·ḏāh;,Judah,N‑proper‑ms,H3063,Ruth,1,30
וַיָּבֹ֥אוּ,H935,way·yā·ḇō·’ū,and they went,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H935,Ruth,1,31
שְׂדֵי־,H7704,śə·ḏê-,to the country,N‑mpc,H7704,Ruth,1,32
מוֹאָ֖ב,H4124,mō·w·’āḇ,of Moab,N‑proper‑fs,H4124,Ruth,1,33
וַיִּֽהְיוּ־,H1961,way·yih·yū-,and remained,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H1961,Ruth,1,34
שָֽׁם׃,H8033,šām.,there,Adv,H8033,Ruth,1,35
אֱלִימֶ֖לֶךְ,H458,’ĕ·lî·me·leḵ,Elimelech,N‑proper‑ms,H458,Ruth,1,36
אִ֣ישׁ,H376,’îš,husband,N‑msc,H376,Ruth,1,37
נָעֳמִ֑י,H5281,nā·‘o·mî;,of Naomi,N‑proper‑fs,H5281,Ruth,1,38
וַתִּשָּׁאֵ֥ר,H7604,wat·tiš·šā·’êr,and was left,Conj‑w | V‑Nifal‑ConsecImperf‑3fs,H7604,Ruth,1,39
הִ֖יא,H1931,hî,she,Pro‑3fs,H1931,Ruth,1,40
וּשְׁנֵ֥י,H8147,ū·šə·nê,and two,Conj‑w | Number‑mdc,H8147,Ruth,1,41
בָנֶֽיהָ׃,H1121,ḇā·ne·hā.,her sons,N‑mpc | 3fs,H1121,Ruth,1,42
נָשִׁים֙,H802,nā·šîm,wives,N‑fp,H802,Ruth,1,43
מֹֽאֲבִיּ֔וֹת,H4125,"mō·’ă·ḇî·yō·wṯ,",of the Moabitesses,N‑proper‑fp,H4125,Ruth,1,44
שֵׁ֤ם,H8034,šêm,the name,N‑msc,H8034,Ruth,1,45
הָֽאַחַת֙,H259,hā·’a·ḥaṯ,of the one,Art | Number‑fs,H259,Ruth,1,46
עָרְפָּ֔ה,H6204,"‘ā·rə·pāh,",[was] Orpah,N‑proper‑fs,H6204,Ruth,1,47
וְשֵׁ֥ם,H8034,wə·šêm,and the name,Conj‑w | N‑msc,H8034,Ruth,1,48
הַשֵּׁנִ֖ית,H8145,haš·šê·nîṯ,of the second,Art | Number‑ofs,H8145,Ruth,1,49
ר֑וּת,H7327,rūṯ;,Ruth,N‑proper‑fs,H7327,Ruth,1,50
וַיֵּ֥שְׁבוּ,H3427,way·yê·šə·ḇū,And they dwelt,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H3427,Ruth,1,51
שָׁ֖ם,H8033,šām,there,Adv,H8033,Ruth,1,52
כְּעֶ֥שֶׂר,H6235,kə·‘e·śer,about ten,Prep‑k | Number‑fsc,H6235,Ruth,1,53
שָׁנִֽים׃,H8141,šā·nîm.,years,N‑fp,H8141,Ruth,1,54
גַם־,H1571,ḡam-,also,Conj,H1571,Ruth,1,55
שְׁנֵיהֶ֖ם,H8147,šə·nê·hem,the two of them,Number‑mdc | 3mp,H8147,Ruth,1,56
