hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
הַשִּׁירִ֖ים,H7892,haš·šî·rîm,of songs,Art | N‑mp,H7892,Song of Songs,1,1
אֲשֶׁ֥ר,H834,’ă·šer,that,Pro‑r,H834,Song of Songs,1,2
לִשְׁלֹמֹֽה׃,H8010,liš·lō·mōh.,[is] of Solomon,Prep‑l | N‑proper‑ms,H8010,Song of Songs,1,3
מִנְּשִׁיק֣וֹת,H5390,min·nə·šî·qō·wṯ,with the kisses,Prep‑m | N‑fpc,H5390,Song of Songs,1,4
פִּ֔יהוּ,H6310,"pî·hū,",of his mouth,N‑msc | 3ms,H6310,Song of Songs,1,5
כִּֽי־,H3588,kî-,for,Conj,H3588,Song of Songs,1,6
טוֹבִ֥ים,H2896,ṭō·w·ḇîm,[is] better,Adj‑mp,H2896,Song of Songs,1,7
דֹּדֶ֖יךָ,H1730,dō·ḏe·ḵā,your love,N‑mpc | 2ms,H1730,Song of Songs,1,8
מִיָּֽיִן׃,H3196,mî·yā·yin.,than wine,Prep‑m | N‑ms,H3196,Song of Songs,1,9
שְׁמָנֶ֣יךָ,H8081,šə·mā·ne·ḵā,of your ointments,N‑mpc | 2ms,H8081,Song of Songs,1,10
תּוּרַ֣ק,H7324,tū·raq,poured forth,V‑Hofal‑Imperf‑3fs,H7324,Song of Songs,1,13
שְׁמֶ֑ךָ,H8034,šə·me·ḵā;,Your name [is],N‑msc | 2ms,H8034,Song of Songs,1,14
עַל־,H5921,‘al-,upon,Prep,H5921,Song of Songs,1,15
כֵּ֖ן,H3651,kên,thus,Adv,H3651,Song of Songs,1,16
עֲלָמ֥וֹת,H5959,‘ă·lā·mō·wṯ,the virgins,N‑fp,H5959,Song of Songs,1,17
אֲהֵבֽוּךָ׃,H157,’ă·hê·ḇū·ḵā.,love you,V‑Qal‑Perf‑3cp | 2ms,H157,Song of Songs,1,18
