hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
יְהוָ֣ה ׀,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Zephaniah,1,1
אֲשֶׁ֣ר,H834,’ă·šer,which,Pro‑r,H834,Zephaniah,1,2
הָיָ֗ה,H1961,"hā·yāh,",came,V‑Qal‑Perf‑3ms,H1961,Zephaniah,1,3
אֶל־,H413,’el-,to,Prep,H413,Zephaniah,1,4
צְפַנְיָה֙,H6846,ṣə·p̄an·yāh,Zephaniah,N‑proper‑ms,H6846,Zephaniah,1,5
בֶּן־,H1121,ben-,the son of,N‑msc,H1121,Zephaniah,1,6
כּוּשִׁ֣י,H3569,kū·šî,Cushi,N‑proper‑ms,H3569,Zephaniah,1,7
גְּדַלְיָ֔ה,H1436,"gə·ḏal·yāh,",of Gedaliah,N‑proper‑ms,H1436,Zephaniah,1,9
אֲמַרְיָ֖ה,H568,’ă·mar·yāh,of Amariah,N‑proper‑ms,H568,Zephaniah,1,11
חִזְקִיָּ֑ה,H2396,ḥiz·qî·yāh;,of Hezekiah,N‑proper‑ms,H2396,Zephaniah,1,13
בִּימֵ֛י,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Zephaniah,1,14
יֹאשִׁיָּ֥הוּ,H2977,yō·šî·yā·hū,of Josiah,N‑proper‑ms,H2977,Zephaniah,1,15
אָמ֖וֹן,H526,’ā·mō·wn,of Amon,N‑proper‑ms,H526,Zephaniah,1,17
מֶ֥לֶךְ,H4428,me·leḵ,king,N‑msc,H4428,Zephaniah,1,18
יְהוּדָֽה׃,H3063,yə·hū·ḏāh.,of Judah,N‑proper‑ms,H3063,Zephaniah,1,19
אָסֵ֜ף,H622,’ā·sêp̄,I will consume,V‑Hifil‑Imperf.Jus‑1cs,H622,Zephaniah,1,20
כֹּ֗ל,H3605,"kōl,",everything,N‑ms,H3605,Zephaniah,1,21
מֵעַ֛ל,H5921,mê·‘al,from,Prep‑m,H5921,Zephaniah,1,22
פְּנֵ֥י,H6440,pə·nê,the face,N‑cpc,H6440,Zephaniah,1,23
הָאֲדָמָ֖ה,H127,hā·’ă·ḏā·māh,of the land,Art | N‑fs,H127,Zephaniah,1,24
נְאֻם־,H5002,nə·’um-,says,N‑msc,H5002,Zephaniah,1,25
אָדָ֜ם,H120,’ā·ḏām,man,N‑ms,H120,Zephaniah,1,27
וּבְהֵמָ֗ה,H929,"ū·ḇə·hê·māh,",and beast,Conj‑w | N‑fs,H929,Zephaniah,1,28
עוֹף־,H5775,‘ō·wp̄-,the birds,N‑msc,H5775,Zephaniah,1,30
הַשָּׁמַ֙יִם֙,H8064,haš·šā·ma·yim,of the heavens,Art | N‑mp,H8064,Zephaniah,1,31
וּדְגֵ֣י,H1709,ū·ḏə·ḡê,and the fish,Conj‑w | N‑mpc,H1709,Zephaniah,1,32
הַיָּ֔ם,H3220,"hay·yām,",of the sea,Art | N‑ms,H3220,Zephaniah,1,33
וְהַמַּכְשֵׁל֖וֹת,H4384,wə·ham·maḵ·šê·lō·wṯ,and the stumbling blocks,"Conj‑w, Art | N‑fp",H4384,Zephaniah,1,34
אֶת־,H854,’eṯ-,with,Prep,H854,Zephaniah,1,35
הָרְשָׁעִ֑ים,H7563,hā·rə·šā·‘îm;,the along with wicked,Art | Adj‑mp,H7563,Zephaniah,1,36
וְהִכְרַתִּ֣י,H3772,wə·hiḵ·rat·tî,and I will cut off,Conj‑w | V‑Hifil‑ConjPerf‑1cs,H3772,Zephaniah,1,37
אֶת־,H853,’eṯ-,-,DirObjM,H853,Zephaniah,1,38
יָדִי֙,H3027,yā·ḏî,My hand,N‑fsc | 1cs,H3027,Zephaniah,1,45
יוֹשְׁבֵ֣י,H3427,yō·wō·šə·ḇê,the inhabitants,V‑Qal‑Prtcpl‑mpc,H3427,Zephaniah,1,50
יְרוּשָׁלִָ֑ם,H3389,yə·rū·šā·lim;,of Jerusalem,N‑proper‑fs,H3389,Zephaniah,1,51
מִן־,H4480,min-,from,Prep,H4480,Zephaniah,1,53
הַמָּק֤וֹם,H4725,ham·mā·qō·wm,place,Art | N‑ms,H4725,Zephaniah,1,54
הַזֶּה֙,H2088,haz·zeh,this,Art | Pro‑ms,H2088,Zephaniah,1,55
שְׁאָ֣ר,H7605,šə·’ār,every trace,N‑msc,H7605,Zephaniah,1,57
הַבַּ֔עַל,H1168,"hab·ba·‘al,",of Baal,Art | N‑proper‑ms,H1168,Zephaniah,1,58
שֵׁ֥ם,H8034,šêm,the names,N‑msc,H8034,Zephaniah,1,60
הַכְּמָרִ֖ים,H3649,hak·kə·mā·rîm,of the idolatrous priests,Art | N‑mp,H3649,Zephaniah,1,61
עִם־,H5973,‘im-,with,Prep,H5973,Zephaniah,1,62
הַכֹּהֲנִֽים׃,H3548,hak·kō·hă·nîm.,the [pagan] priests,Art | N‑mp,H3548,Zephaniah,1,63
הַמִּשְׁתַּחֲוִ֥ים,H7812,ham·miš·ta·ḥă·wîm,Those who worship,Art | V‑Hitpael‑Prtcpl‑mp,H7812,Zephaniah,1,64
הַגַּגּ֖וֹת,H1406,hag·gag·gō·wṯ,the housetops,Art | N‑mp,H1406,Zephaniah,1,66
לִצְבָ֣א,H6635,liṣ·ḇā,host,Prep‑l | N‑csc,H6635,Zephaniah,1,67
הַנִּשְׁבָּעִ֣ים,H7650,han·niš·bā·‘îm,and swear [oaths],Art | V‑Nifal‑Prtcpl‑mp,H7650,Zephaniah,1,71
בְּמַלְכָּֽם׃,H4445,bə·mal·kām.,by Milcom,Prep‑b | N‑msc | 3mp,H4445,Zephaniah,1,74
הַנְּסוֹגִ֖ים,H5472,han·nə·sō·w·ḡîm,Those who have turned back,Art | V‑Nifal‑Prtcpl‑mp,H5472,Zephaniah,1,75
מֵאַחֲרֵ֣י,H310,mê·’a·ḥă·rê,from [following],Prep‑m,H310,Zephaniah,1,76
יְהוָ֑ה,H3069,Yah·weh;,Yahweh,N‑proper‑ms,H3069,Zephaniah,1,77
לֹֽא־,H3808,lō-,not,Adv‑NegPrt,H3808,Zephaniah,1,79
בִקְשׁ֥וּ,H1245,ḇiq·šū,have sought,V‑Piel‑Perf‑3cp,H1245,Zephaniah,1,80
דְרָשֻֽׁהוּ׃,H1875,ḏə·rā·šu·hū.,inquired of Him,V‑Qal‑Perf‑3cp | 3ms,H1875,Zephaniah,1,84
אֲדֹנָ֣י,H136,’ă·ḏō·nāy,of the Lord,N‑proper‑ms,H136,Zephaniah,1,86
כִּ֤י,H3588,kî,for,Conj,H3588,Zephaniah,1,88
קָרוֹב֙,H7138,qā·rō·wḇ,[is] at hand,Adj‑ms,H7138,Zephaniah,1,89
הֵכִ֧ין,H3559,hê·ḵîn,has prepared,V‑Hifil‑Perf‑3ms,H3559,Zephaniah,1,93
זֶ֖בַח,H2077,ze·ḇaḥ,a sacrifice,N‑ms,H2077,Zephaniah,1,95
הִקְדִּ֥ישׁ,H6942,hiq·dîš,He has invited,V‑Hifil‑Perf‑3ms,H6942,Zephaniah,1,96
קְרֻאָֽיו׃,H7121,qə·ru·’āw.,His guests,V‑Qal‑QalPassPrtcpl‑mpc | 3ms,H7121,Zephaniah,1,97
וּפָקַדְתִּ֥י,H6485,ū·p̄ā·qaḏ·tî,that I will punish,Conj‑w | V‑Qal‑ConjPerf‑1cs,H6485,Zephaniah,1,101
הַשָּׂרִ֖ים,H8269,haś·śā·rîm,the princes,Art | N‑mp,H8269,Zephaniah,1,103
הַלֹּבְשִׁ֖ים,H3847,hal·lō·ḇə·šîm,such as are clothed,Art | V‑Qal‑Prtcpl‑mp,H3847,Zephaniah,1,109
מַלְבּ֥וּשׁ,H4403,mal·būš,with apparel,N‑ms,H4403,Zephaniah,1,110
נָכְרִֽי׃,H5237,nā·ḵə·rî.,foreign,Adj‑ms,H5237,Zephaniah,1,111
הַדּוֹלֵ֛ג,H1801,had·dō·w·lêḡ,those who leap,Art | V‑Qal‑Prtcpl‑ms,H1801,Zephaniah,1,114
הַמִּפְתָּ֖ן,H4670,ham·mip̄·tān,the threshold,Art | N‑ms,H4670,Zephaniah,1,116
הַה֑וּא,H1931,ha·hū;,that,Art | Pro‑3ms,H1931,Zephaniah,1,118
הַֽמְמַלְאִ֛ים,H4390,ham·mal·’îm,who fill,Art | V‑Piel‑Prtcpl‑mp,H4390,Zephaniah,1,119
בֵּ֥ית,H1004,bêṯ,houses,N‑msc,H1004,Zephaniah,1,120
אֲדֹנֵיהֶ֖ם,H113,’ă·ḏō·nê·hem,their masters',N‑mpc | 3mp,H113,Zephaniah,1,121
חָמָ֥ס,H2555,ḥā·mās,with violence,N‑ms,H2555,Zephaniah,1,122
וּמִרְמָֽה׃,H4820,ū·mir·māh.,and deceit,Conj‑w | N‑fs,H4820,Zephaniah,1,123
ק֤וֹל,H6963,qō·wl,the sound,N‑msc,H6963,Zephaniah,1,128
צְעָקָה֙,H6818,ṣə·‘ā·qāh,of a [mournful] cry,N‑fs,H6818,Zephaniah,1,129
מִשַּׁ֣עַר,H8179,miš·ša·‘ar,from Gate,Prep‑m | N‑msc,H8179,Zephaniah,1,130
וִֽילָלָ֖ה,H3215,wî·lā·lāh,a wailing,Conj‑w | N‑fs,H3215,Zephaniah,1,132
