hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
בָּרָ֣א,H1254,bā·rā,created,V‑Qal‑Perf‑3ms,H1254,Genesis,1,1
אֱלֹהִ֑ים,H430,’ĕ·lō·hîm;,God,N‑mp,H430,Genesis,1,2
אֵ֥ת,H853,’êṯ,-,DirObjM,H853,Genesis,1,3
הַשָּׁמַ֖יִם,H8064,haš·šā·ma·yim,the heavens,Art | N‑mp,H8064,Genesis,1,4
הָאָֽרֶץ׃,H776,hā·’ā·reṣ.,the earth,Art | N‑fs,H776,Genesis,1,5
הָיְתָ֥ה,H1961,hā·yə·ṯāh,was,V‑Qal‑Perf‑3fs,H1961,Genesis,1,6
תֹ֙הוּ֙,H8414,ṯō·hū,formless,N‑ms,H8414,Genesis,1,7
וָבֹ֔הוּ,H922,"wā·ḇō·hū,",and void,Conj‑w | N‑ms,H922,Genesis,1,8
וְחֹ֖שֶׁךְ,H2822,wə·ḥō·šeḵ,and darkness,Conj‑w | N‑ms,H2822,Genesis,1,9
עַל־,H5921,‘al-,[was] over,Prep,H5921,Genesis,1,10
פְּנֵ֣י,H6440,pə·nê,the face,N‑cpc,H6440,Genesis,1,11
תְה֑וֹם,H8415,ṯə·hō·wm;,of the deep,N‑cs,H8415,Genesis,1,12
וְר֣וּחַ,H7307,wə·rū·aḥ,And the Spirit,Conj‑w | N‑csc,H7307,Genesis,1,13
מְרַחֶ֖פֶת,H7363,mə·ra·ḥe·p̄eṯ,was hovering,V‑Piel‑Prtcpl‑fs,H7363,Genesis,1,14
הַמָּֽיִם׃,H4325,ham·mā·yim.,of the waters,Art | N‑mp,H4325,Genesis,1,15
א֑וֹר,H216,’ō·wr;,light,N‑cs,H216,Genesis,1,16
כִּי־,H3588,kî-,that,Conj,H3588,Genesis,1,17
ט֑וֹב,H2896,ṭō·wḇ;,[it was] good,Adj‑ms,H2896,Genesis,1,18
וַיַּבְדֵּ֣ל,H914,way·yaḇ·dêl,and divided,Conj‑w | V‑Hifil‑ConsecImperf‑3ms,H914,Genesis,1,19
בֵּ֥ין,H996,bên,between,Prep,H996,Genesis,1,20
י֔וֹם,H3117,"yō·wm,",day,N‑ms,H3117,Genesis,1,21
קָ֣רָא,H7121,qā·rā,He called,V‑Qal‑Perf‑3ms,H7121,Genesis,1,22
לָ֑יְלָה,H3915,lā·yə·lāh;,night,N‑ms,H3915,Genesis,1,23
עֶ֥רֶב,H6153,‘e·reḇ,evening,N‑ms,H6153,Genesis,1,24
בֹ֖קֶר,H1242,ḇō·qer,morning,N‑ms,H1242,Genesis,1,25
אֶחָֽד׃,H259,’e·ḥāḏ.,the first,Number‑ms,H259,Genesis,1,26
רָקִ֖יעַ,H7549,rā·qî·a‘,a firmament,N‑ms,H7549,Genesis,1,27
בְּת֣וֹךְ,H8432,bə·ṯō·wḵ,in the midst,Prep‑b | N‑msc,H8432,Genesis,1,28
אֲשֶׁר֙,H834,’ă·šer,that [were],Pro‑r,H834,Genesis,1,29
מִתַּ֣חַת,H8478,mit·ta·ḥaṯ,under,Prep‑m,H8478,Genesis,1,30
כֵֽן׃,H3651,ḵên.,so,Adv,H3651,Genesis,1,31
שֵׁנִֽי׃,H8145,šê·nî.,the second,Number‑oms,H8145,Genesis,1,32
יִקָּו֨וּ,H6960,yiq·qā·wū,let be gathered together,V‑Nifal‑Imperf‑3mp,H6960,Genesis,1,33
אֶל־,H413,’el-,into,Prep,H413,Genesis,1,34
מָק֣וֹם,H4725,mā·qō·wm,place,N‑ms,H4725,Genesis,1,35
וְתֵרָאֶ֖ה,H7200,wə·ṯê·rā·’eh,and let appear,Conj‑w | V‑Nifal‑ConjImperf‑3fs,H7200,Genesis,1,36
הַיַּבָּשָׁ֑ה,H3004,hay·yab·bā·šāh;,the dry [land],Art | N‑fs,H3004,Genesis,1,37
וּלְמִקְוֵ֥ה,H4723,ū·lə·miq·wêh,and the collection,"Conj‑w, Prep‑l | N‑msc",H4723,Genesis,1,38
יַמִּ֑ים,H3220,yam·mîm;,Seas,N‑mp,H3220,Genesis,1,39
תַּֽדְשֵׁ֤א,H1876,taḏ·šê,let bring forth,V‑Hifil‑Imperf.Jus‑3fs,H1876,Genesis,1,40
דֶּ֔שֶׁא,H1877,"de·še,",grass,N‑ms,H1877,Genesis,1,41
עֵ֚שֶׂב,H6212,‘ê·śeḇ,the herb,N‑ms,H6212,Genesis,1,42
מַזְרִ֣יעַ,H2232,maz·rî·a‘,[that] yields,V‑Hifil‑Prtcpl‑ms,H2232,Genesis,1,43
זֶ֔רַע,H2233,"ze·ra‘,",seed,N‑ms,H2233,Genesis,1,44
עֵ֣ץ,H6086,‘êṣ,[and] the tree,N‑msc,H6086,Genesis,1,45
פְּרִ֞י,H6529,pə·rî,fruit,N‑ms,H6529,Genesis,1,46
עֹ֤שֶׂה,H6213,‘ō·śeh,[that] yields,V‑Qal‑Prtcpl‑ms,H6213,Genesis,1,47
לְמִינ֔וֹ,H4327,"lə·mî·nōw,",according to its kind,Prep‑l | N‑msc | 3ms,H4327,Genesis,1,48
שְׁלִישִֽׁי׃,H7992,šə·lî·šî.,the third,Number‑oms,H7992,Genesis,1,49
מְאֹרֹת֙,H3974,mə·’ō·rōṯ,lights,N‑mp,H3974,Genesis,1,50
לְאֹתֹת֙,H226,lə·’ō·ṯōṯ,for signs,Prep‑l | N‑cp,H226,Genesis,1,51
וּלְמ֣וֹעֲדִ֔ים,H4150,"ū·lə·mō·w·‘ă·ḏîm,",and seasons,"Conj‑w, Prep‑l | N‑mp",H4150,Genesis,1,52
וְשָׁנִֽים׃,H8141,wə·šā·nîm.,and years,Conj‑w | N‑fp,H8141,Genesis,1,53
לְהָאִ֖יר,H215,lə·hā·’îr,to shine,Prep‑l | V‑Hifil‑Inf,H215,Genesis,1,54
שְׁנֵ֥י,H8147,šə·nê,two,Number‑mdc,H8147,Genesis,1,55
הַגְּדֹלִ֑ים,H1419,hag·gə·ḏō·lîm;,great,Art | Adj‑mp,H1419,Genesis,1,56
לְמֶמְשֶׁ֣לֶת,H4475,lə·mem·še·leṯ,to rule,Prep‑l | N‑fsc,H4475,Genesis,1,57
הַקָּטֹן֙,H6996,haq·qā·ṭōn,lesser,Art | Adj‑ms,H6996,Genesis,1,58
הַכּוֹכָבִֽים׃,H3556,hak·kō·w·ḵā·ḇîm.,the stars,Art | N‑mp,H3556,Genesis,1,59
רְבִיעִֽי׃,H7243,rə·ḇî·‘î.,the fourth,Number‑oms,H7243,Genesis,1,60
יִשְׁרְצ֣וּ,H8317,yiš·rə·ṣū,let abound,V‑Qal‑Imperf‑3mp,H8317,Genesis,1,61
שֶׁ֖רֶץ,H8318,še·reṣ,with an abundance,N‑msc,H8318,Genesis,1,62
נֶ֣פֶשׁ,H5315,ne·p̄eš,of creatures,N‑fs,H5315,Genesis,1,63
חַיָּ֑ה,H2416,ḥay·yāh;,living,Adj‑fs,H2416,Genesis,1,64
וְעוֹף֙,H5775,wə·‘ō·wp̄,and birds,Conj‑w | N‑ms,H5775,Genesis,1,65
יְעוֹפֵ֣ף,H5774,yə·‘ō·w·p̄êp̄,let fly,V‑Piel‑Imperf‑3ms,H5774,Genesis,1,66
הַתַּנִּינִ֖ם,H8577,hat·tan·nî·nim,sea creatures,Art | N‑mp,H8577,Genesis,1,67
כָּל־,H3605,kāl-,every,N‑msc,H3605,Genesis,1,68
הָֽרֹמֶ֡שֶׂת,H7430,hā·rō·me·śeṯ,that moves,Art | V‑Qal‑Prtcpl‑fs,H7430,Genesis,1,69
כָּנָף֙,H3671,kā·nāp̄,winged,N‑fs,H3671,Genesis,1,70
לֵאמֹ֑ר,H559,lê·mōr;,saying,Prep‑l | V‑Qal‑Inf,H559,Genesis,1,71
פְּר֣וּ,H6509,pə·rū,Be fruitful,V‑Qal‑Imp‑mp,H6509,Genesis,1,72
