hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
עֹֽבַדְיָ֑ה,H5662,‘ō·ḇaḏ·yāh;,of Obadiah,N‑proper‑ms,H5662,Obadiah,1,1,2
כֹּֽה־,H3541,kōh-,Thus,Adv,H3541,Obadiah,1,2,2
אָמַר֩,H559,’ā·mar,says,V‑Qal‑Perf‑3ms,H559,Obadiah,1,3,2
אֲדֹנָ֨י,H136,’ă·ḏō·nāy,the Lord,N‑proper‑ms,H136,Obadiah,1,4,2
יְהוִ֜ה,H3068,Yah·weh,from Yahweh,N‑proper‑ms,H3068,Obadiah,1,5,2
לֶאֱד֗וֹם,H123,"le·’ĕ·ḏō·wm,",concerning Edom,Prep‑l | N‑proper‑ms,H123,Obadiah,1,6,2
שְׁמוּעָ֨ה,H8052,šə·mū·‘āh,a report,N‑fs,H8052,Obadiah,1,7,2
שָׁמַ֜עְנוּ,H8085,šā·ma‘·nū,we have heard,V‑Qal‑Perf‑1cp,H8085,Obadiah,1,8,2
מֵאֵ֤ת,H853,mê·’êṯ,from,Prep‑m | DirObjM,H853,Obadiah,1,9,2
יְהוָה֙,H3069,Yah·weh,Yahweh,N‑proper‑ms,H3069,Obadiah,1,10,2
וְצִיר֙,H6735,wə·ṣîr,and a messenger,Conj‑w | N‑ms,H6735,Obadiah,1,11,2
בַּגּוֹיִ֣ם,H1471,bag·gō·w·yim,among the nations,"Prep‑b, Art | N‑mp",H1471,Obadiah,1,12,2
שֻׁלָּ֔ח,H7971,"šul·lāḥ,",has been sent [to say],V‑Pual‑Perf‑3ms,H7971,Obadiah,1,13,2
ק֛וּמוּ,H6965,qū·mū,Arise,V‑Qal‑Imp‑mp,H6965,Obadiah,1,14,2
וְנָק֥וּמָה,H6965,wə·nā·qū·māh,and let us rise up,Conj‑w | V‑Qal‑ConjImperf.Cohort‑1cp,H6965,Obadiah,1,15,2
עָלֶיהָ‪‬‪‬,H5921,‘ā·le·hā,against her,Prep | 3fs,H5921,Obadiah,1,16,2
לַמִּלְחָמָֽה׃,H4421,lam·mil·ḥā·māh.,for battle,"Prep‑l, Art | N‑fs",H4421,Obadiah,1,17,2
קָטֹ֛ן,H6996,qā·ṭōn,small,Adj‑ms,H6996,Obadiah,1,18,2
נְתַתִּ֖יךָ,H5414,nə·ṯat·tî·ḵā,I will make you,V‑Qal‑Perf‑1cs | 2ms,H5414,Obadiah,1,19,2
בַּגּוֹיִ֑ם,H1471,bag·gō·w·yim;,among the nations,"Prep‑b, Art | N‑mp",H1471,Obadiah,1,20,2
בָּז֥וּי,H959,bā·zui,shall be despised,V‑Qal‑QalPassPrtcpl‑ms,H959,Obadiah,1,21,2
אַתָּ֖ה,H859,’at·tāh,You,Pro‑2ms,H859,Obadiah,1,22,2
מְאֹֽד׃,H3966,mə·’ōḏ.,greatly,Adv,H3966,Obadiah,1,23,2
לִבְּךָ֙,H3820,lib·bə·ḵā,of your heart,N‑msc | 2ms,H3820,Obadiah,1,24,2
הִשִּׁיאֶ֔ךָ,H5377,"hiš·šî·’e·ḵā,",has deceived you,V‑Hifil‑Perf‑3ms | 2ms,H5377,Obadiah,1,25,2
שֹׁכְנִ֥י,H7931,šō·ḵə·nî,[You] who dwell,V‑Qal‑Prtcpl‑msc,H7931,Obadiah,1,26,2
בְחַגְוֵי־,H2288,ḇə·ḥaḡ·wê-,in the clefts,Prep‑b | N‑mpc,H2288,Obadiah,1,27,2
סֶּ֖לַע,H5553,se·la‘,of the rock,N‑ms,H5553,Obadiah,1,28,2
מְר֣וֹם,H4791,mə·rō·wm,high,N‑msc,H4791,Obadiah,1,29,2
שִׁבְתּ֑וֹ,H7674,šiḇ·tōw;,Whose habitation is,N‑msc | 3ms,H7674,Obadiah,1,30,2
אֹמֵ֣ר,H559,’ō·mêr,[You] who say,V‑Qal‑Prtcpl‑ms,H559,Obadiah,1,31,2
בְּלִבּ֔וֹ,H3820,"bə·lib·bōw,",in your heart,Prep‑b | N‑msc | 3ms,H3820,Obadiah,1,32,2
מִ֥י,H4310,mî,who,Interrog,H4310,Obadiah,1,33,2
יוֹרִדֵ֖נִי,H3381,yō·w·ri·ḏê·nî,will bring me down,V‑Hifil‑Imperf‑3ms | 1cs,H3381,Obadiah,1,34,2
אָֽרֶץ׃,H776,’ā·reṣ.,to the ground,N‑fs,H776,Obadiah,1,35,2
תַּגְבִּ֣יהַּ,H1361,taḡ·bî·ah,you ascend [as] high,V‑Hifil‑Imperf‑2ms,H1361,Obadiah,1,36,2
כַּנֶּ֔שֶׁר,H5404,"kan·ne·šer,",as the eagle,"Prep‑k, Art | N‑ms",H5404,Obadiah,1,37,2
וְאִם־,H518,wə·’im-,and though,Conj‑w | Conj,H518,Obadiah,1,38,2
בֵּ֥ין,H996,bên,among,Prep,H996,Obadiah,1,39,2
כּֽוֹכָבִ֖ים,H3556,kō·w·ḵā·ḇîm,the stars,N‑mp,H3556,Obadiah,1,40,2
שִׂ֣ים,H7760,śîm,you set,V‑Qal‑QalPassPrtcpl‑ms,H7760,Obadiah,1,41,2
קִנֶּ֑ךָ,H7064,qin·ne·ḵā;,your nest,N‑msc | 2ms,H7064,Obadiah,1,42,2
מִשָּׁ֥ם,H8033,miš·šām,from there,Prep‑m | Adv,H8033,Obadiah,1,43,2
אוֹרִֽידְךָ֖,H3381,’ō·w·rî·ḏə·ḵā,will I bring you down,V‑Hifil‑Imperf‑1cs | 2ms,H3381,Obadiah,1,44,2
נְאֻם־,H5002,nə·’um-,says,N‑msc,H5002,Obadiah,1,45,2
