hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
שְׁתַּ֙יִם֙,H8147,šə·ta·yim,second,Number‑fd,H8147,Haggai,1,1,3
לְדָרְיָ֣וֶשׁ,H1867,lə·ḏā·rə·yā·weš,of Darius,Prep‑l | N‑proper‑ms,H1867,Haggai,1,2,3
הַמֶּ֔לֶךְ,H4428,"ham·me·leḵ,",the King,Art | N‑ms,H4428,Haggai,1,3,3
בַּחֹ֙דֶשׁ֙,H2320,ba·ḥō·ḏeš,in month,"Prep‑b, Art | N‑ms",H2320,Haggai,1,4,3
הַשִּׁשִּׁ֔י,H8345,"haš·šiš·šî,",the sixth,Art | Number‑oms,H8345,Haggai,1,5,3
בְּי֥וֹם,H3117,bə·yō·wm,on the day,Prep‑b | N‑ms,H3117,Haggai,1,6,3
אֶחָ֖ד,H259,’e·ḥāḏ,first,Number‑ms,H259,Haggai,1,7,3
הָיָ֨ה,H1961,hā·yāh,came,V‑Qal‑Perf‑3ms,H1961,Haggai,1,9,3
דְבַר־,H1697,ḏə·ḇar-,the word,N‑msc,H1697,Haggai,1,10,3
יְהוָ֜ה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Haggai,1,11,3
בְּיַד־,H3027,bə·yaḏ-,by,Prep‑b | N‑fsc,H3027,Haggai,1,12,3
חַגַּ֣י,H2292,ḥag·gay,Haggai,N‑proper‑ms,H2292,Haggai,1,13,3
הַנָּבִ֗יא,H5030,"han·nā·ḇî,",the prophet,Art | N‑ms,H5030,Haggai,1,14,3
אֶל־,H413,’el-,to,Prep,H413,Haggai,1,15,3
זְרֻבָּבֶ֤ל,H2216,zə·rub·bā·ḇel,Zerubbabel,N‑proper‑fs,H2216,Haggai,1,16,3
בֶּן־,H1121,ben-,son,N‑msc,H1121,Haggai,1,17,3
שְׁאַלְתִּיאֵל֙,H7597,šə·’al·tî·’êl,of Shealtiel,N‑proper‑ms,H7597,Haggai,1,18,3
פַּחַ֣ת,H6346,pa·ḥaṯ,governor,N‑msc,H6346,Haggai,1,19,3
יְהוּדָ֔ה,H3063,"yə·hū·ḏāh,",of Judah,N‑proper‑ms,H3063,Haggai,1,20,3
יְהוֹשֻׁ֧עַ,H3091,yə·hō·wō·šu·a‘,Joshua,N‑proper‑ms,H3091,Haggai,1,22,3
יְהוֹצָדָ֛ק,H3087,yə·hō·w·ṣā·ḏāq,of Jehozadak,N‑proper‑ms,H3087,Haggai,1,24,3
הַכֹּהֵ֥ן,H3548,hak·kō·hên,the priest,Art | N‑ms,H3548,Haggai,1,25,3
הַגָּד֖וֹל,H1419,hag·gā·ḏō·wl,high,Art | Adj‑ms,H1419,Haggai,1,26,3
לֵאמֹֽר׃,H559,lê·mōr.,saying,Prep‑l | V‑Qal‑Inf,H559,Haggai,1,27,3
צְבָא֖וֹת,H6635,ṣə·ḇā·’ō·wṯ,of hosts,N‑cp,H6635,Haggai,1,30,3
הָעָ֤ם,H5971,hā·‘ām,people,Art | N‑ms,H5971,Haggai,1,32,3
הַזֶּה֙,H2088,haz·zeh,this,Art | Pro‑ms,H2088,Haggai,1,33,3
לֹ֥א,H3808,lō,not,Adv‑NegPrt,H3808,Haggai,1,35,3
עֶת־,H6256,‘eṯ-,the time,N‑csc,H6256,Haggai,1,36,3
בֹּ֛א,H935,bō,has come,V‑Qal‑Inf,H935,Haggai,1,37,3
בֵּ֥ית,H1004,bêṯ,the house,N‑msc,H1004,Haggai,1,39,3
לְהִבָּנֽוֹת׃,H1129,lə·hib·bā·nō·wṯ.,to rebuild,Prep‑l | V‑Nifal‑Inf,H1129,Haggai,1,41,3
אַתֶּ֔ם,H859,"’at·tem,",[even] you,Pro‑2mp,H859,Haggai,1,48,3
לָשֶׁ֖בֶת,H3427,lā·še·ḇeṯ,to dwell,Prep‑l | V‑Qal‑Inf,H3427,Haggai,1,49,3
