hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
דְבַר־,H1697,ḏə·ḇar-,of the word,N‑msc,H1697,Malachi,1,1,4
יְהוָ֖ה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Malachi,1,2,4
אֶל־,H413,’el-,to,Prep,H413,Malachi,1,3,4
יִשְׂרָאֵ֑ל,H3478,yiś·rā·’êl;,Israel,N‑proper‑ms,H3478,Malachi,1,4,4
בְּיַ֖ד,H3027,bə·yaḏ,by,Prep‑b | N‑fsc,H3027,Malachi,1,5,4
מַלְאָכִֽי׃,H4401,mal·’ā·ḵî.,Malachi,N‑proper‑ms,H4401,Malachi,1,6,4
אֶתְכֶם֙,H853,’eṯ·ḵem,you,DirObjM | 2mp,H853,Malachi,1,7,4
אָמַ֣ר,H559,’ā·mar,says,V‑Qal‑Perf‑3ms,H559,Malachi,1,8,4
יְהוָ֔ה,H3068,"Yah·weh,",Yahweh,N‑proper‑ms,H3068,Malachi,1,9,4
וַאֲמַרְתֶּ֖ם,H559,wa·’ă·mar·tem,And yet you say,Conj‑w | V‑Qal‑ConjPerf‑2mp,H559,Malachi,1,10,4
בַּמָּ֣ה,H4100,bam·māh,in what [way],Prep‑b | Interrog,H4100,Malachi,1,11,4
אֲהַבְתָּ֑נוּ,H157,’ă·haḇ·tā·nū;,have You loved us,V‑Qal‑Perf‑2ms | 1cp,H157,Malachi,1,12,4
הֲלוֹא־,H3808,hă·lō·w-,[Was] not,Adv‑NegPrt,H3808,Malachi,1,13,4
אָ֨ח,H251,’āḥ,brother,N‑ms,H251,Malachi,1,14,4
עֵשָׂ֤ו,H6215,‘ê·śāw,Esau,N‑proper‑ms,H6215,Malachi,1,15,4
לְיַֽעֲקֹב֙,H3290,lə·ya·‘ă·qōḇ,of Jacob,Prep‑l | N‑proper‑ms,H3290,Malachi,1,16,4
נְאֻם־,H5002,nə·’um-,says,N‑msc,H5002,Malachi,1,17,4
יְהוָ֔ה,H3068,"Yah·weh,",Yahweh,N‑proper‑ms,H3068,Malachi,1,18,4
וָאֹהַ֖ב,H157,wā·’ō·haḇ,And yet I have loved,Conj‑w | V‑Qal‑ConsecImperf‑1cs,H157,Malachi,1,19,4
אֶֽת־,H853,’eṯ-,-,DirObjM,H853,Malachi,1,20,4
יַעֲקֹֽב׃,H3290,ya·‘ă·qōḇ.,Jacob,N‑proper‑ms,H3290,Malachi,1,21,4
עֵשָׂ֖ו,H6215,‘ê·śāw,Esau,N‑proper‑ms,H6215,Malachi,1,22,4
שָׂנֵ֑אתִי,H8130,śā·nê·ṯî;,I have hated,V‑Qal‑Perf‑1cs,H8130,Malachi,1,23,4
וָאָשִׂ֤ים,H7760,wā·’ā·śîm,and laid,Conj‑w | V‑Qal‑ConsecImperf‑1cs,H7760,Malachi,1,24,4
אֶת־,H853,’eṯ-,-,DirObjM,H853,Malachi,1,25,4
הָרָיו֙,H2022,hā·rāw,his mountains,N‑mpc | 3ms,H2022,Malachi,1,26,4
שְׁמָמָ֔ה,H8077,"šə·mā·māh,",waste,N‑fs,H8077,Malachi,1,27,4
וְאֶת־,H853,wə·’eṯ-,and,Conj‑w | DirObjM,H853,Malachi,1,28,4
נַחֲלָת֖וֹ,H5159,na·ḥă·lā·ṯōw,his heritage,N‑fsc | 3ms,H5159,Malachi,1,29,4
לְתַנּ֥וֹת,H8568,lə·ṯan·nō·wṯ,for the jackals,Prep‑l | N‑cp,H8568,Malachi,1,30,4
מִדְבָּֽר׃,H4057,miḏ·bār.,of the wilderness,N‑ms,H4057,Malachi,1,31,4
תֹאמַ֨ר,H559,ṯō·mar,has said,V‑Qal‑Imperf‑3fs,H559,Malachi,1,32,4
אֱד֜וֹם,H123,’ĕ·ḏō·wm,Edom,N‑proper‑ms,H123,Malachi,1,33,4
רֻשַּׁ֗שְׁנוּ,H7567,"ruš·šaš·nū,",we have been impoverished,V‑Pual‑Perf‑1cp,H7567,Malachi,1,34,4
וְנָשׁוּב֙,H7725,wə·nā·šūḇ,but we will return,Conj‑w | V‑Qal‑ConjImperf‑1cp,H7725,Malachi,1,35,4
וְנִבְנֶ֣ה,H1129,wə·niḇ·neh,and build,Conj‑w | V‑Qal‑ConjImperf‑1cp,H1129,Malachi,1,36,4
חֳרָב֔וֹת,H2723,"ḥo·rā·ḇō·wṯ,",the desolate places,N‑fp,H2723,Malachi,1,37,4
כֹּ֤ה,H3541,kōh,thus,Adv,H3541,Malachi,1,38,4
אָמַר֙,H559,’ā·mar,says,V‑Qal‑Perf‑3ms,H559,Malachi,1,39,4
יְהוָ֣ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Malachi,1,40,4
צְבָא֔וֹת,H6635,"ṣə·ḇā·’ō·wṯ,",of hosts,N‑cp,H6635,Malachi,1,41,4
הֵ֥מָּה,H1992,hêm·māh,they,Pro‑3mp,H1992,Malachi,1,42,4
יִבְנ֖וּ,H1129,yiḇ·nū,may build,V‑Qal‑Imperf‑3mp,H1129,Malachi,1,43,4
וַאֲנִ֣י,H589,wa·’ă·nî,but I,Conj‑w | Pro‑1cs,H589,Malachi,1,44,4
אֶהֱר֑וֹס,H2040,’e·hĕ·rō·ws;,will throw down,V‑Qal‑Imperf‑1cs,H2040,Malachi,1,45,4
וְקָרְא֤וּ,H7121,wə·qā·rə·’ū,and they shall be called,Conj‑w | V‑Qal‑ConjPerf‑3cp,H7121,Malachi,1,46,4
גְּב֣וּל,H1366,gə·ḇūl,the Territory,N‑msc,H1366,Malachi,1,47,4
