hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
יוֹנָ֥ה,H3124,yō·w·nāh,Jonah,N‑proper‑ms,H3124,Jonah,1,4,5
אֲמִתַּ֖י,H573,’ă·mit·tay,of Amittai,N‑proper‑ms,H573,Jonah,1,6,5
יָפ֜וֹ,H3305,yā·p̄ōw,to Joppa,N‑proper‑fs,H3305,Jonah,1,25,5
הַמַּלָּחִ֗ים,H4419,"ham·mal·lā·ḥîm,",the mariners,Art | N‑mp,H4419,Jonah,1,50,5
הַסְּפִינָ֔ה,H5600,"has·sə·p̄î·nāh,",of the ship,Art | N‑fs,H5600,Jonah,1,68,5
וַיֵּרָדַֽם׃,H7290,way·yê·rā·ḏam.,and was fast asleep,Conj‑w | V‑Nifal‑ConsecImperf‑3ms,H7290,Jonah,1,70,5
הַחֹבֵ֔ל,H2259,"ha·ḥō·ḇêl,",the captain,Art | N‑ms,H2259,Jonah,1,73,5
יִתְעַשֵּׁ֧ת,H6245,yiṯ·‘aš·šêṯ,will consider,V‑Hitpael‑Imperf‑3ms,H6245,Jonah,1,82,5
בְּשֶׁלְּמִ֛י,H7945,bə·šel·lə·mî,by whom,"Prep‑b, Pr | Interrog",H7945,Jonah,1,93,5
עִבְרִ֣י,H5680,‘iḇ·rî,a Hebrew,N‑proper‑ms,H5680,Jonah,1,120,5
וְיִשְׁתֹּ֥ק,H8367,wə·yiš·tōq,that may be calm,Conj‑w | V‑Qal‑ConjImperf‑3ms,H8367,Jonah,1,156,5
דָּ֣ג,H1709,dāḡ,a fish,N‑ms,H1709,Jonah,1,232,5
מְצוּלָה֙,H4688,mə·ṣū·lāh,into the deep,N‑fs,H4688,Jonah,2,261,5
מִשְׁבָּרֶ֥יךָ,H4867,miš·bā·re·ḵā,Your billows,N‑mpc | 2ms,H4867,Jonah,2,267,5
וַיָּקֵ֥א,H6958,way·yā·qê,and it vomited,Conj‑w | V‑Hifil‑ConsecImperf‑3ms,H6958,Jonah,2,325,5
הַקְּרִיאָ֔ה,H7150,"haq·qə·rî·’āh,",the message,Art | N‑fs,H7150,Jonah,3,344,5
מַהֲלַ֖ךְ,H4109,ma·hă·laḵ,a journey [in extent of],N‑msc,H4109,Jonah,3,360,5
אַרְבָּעִ֣ים,H705,’ar·bā·‘îm,forty,Number‑cp,H705,Jonah,3,372,5
אַדַּרְתּ֖וֹ,H155,’ad·dar·tōw,cloak,N‑fsc | 3ms,H155,Jonah,3,393,5
מִטַּ֧עַם,H2940,miṭ·ṭa·‘am,by the decree,Prep‑m | N‑msc,H2940,Jonah,3,402,5
יִטְעֲמוּ֙,H2938,yiṭ·‘ă·mū,let taste,V‑Qal‑Imperf‑3mp,H2938,Jonah,3,411,5
מְא֔וּמָה,H3972,"mə·’ū·māh,",anything,N‑ms,H3972,Jonah,3,412,5
בְּחָזְקָ֑ה,H2394,bə·ḥā·zə·qāh;,mightily,Prep‑b | N‑fs,H2394,Jonah,3,424,5
חַנּ֣וּן,H2587,ḥan·nūn,a gracious,Adj‑ms,H2587,Jonah,4,486,5
וְרַח֔וּם,H7349,"wə·ra·ḥūm,",and merciful,Conj‑w | Adj‑ms,H7349,Jonah,4,487,5
אֶ֤רֶךְ,H750,’e·reḵ,slow,Adj‑msc,H750,Jonah,4,488,5
קִיקָי֞וֹן,H7021,qî·qā·yō·wn,a plant,N‑ms,H7021,Jonah,4,528,5
לַֽמָּחֳרָ֑ת,H4283,lam·mā·ḥo·rāṯ;,the next day,"Prep‑l, Art | N‑fs",H4283,Jonah,4,548,5
חֲרִישִׁ֔ית,H2759,"ḥă·rî·šîṯ,",vehement,Adj‑fs,H2759,Jonah,4,559,5
עָמַ֥לְתָּ,H5998,‘ā·mal·tā,you have labored,V‑Qal‑Perf‑2ms,H5998,Jonah,4,593,5
רִבּ֜וֹ,H7239,rib·bōw,ten thousand,Number‑fs,H7239,Jonah,4,613,5
