hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
יְהוָ֣ה ׀,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Zephaniah,1,1,6
אֲשֶׁ֣ר,H834,’ă·šer,which,Pro‑r,H834,Zephaniah,1,2,6
הָיָ֗ה,H1961,"hā·yāh,",came,V‑Qal‑Perf‑3ms,H1961,Zephaniah,1,3,6
אֶל־,H413,’el-,to,Prep,H413,Zephaniah,1,4,6
צְפַנְיָה֙,H6846,ṣə·p̄an·yāh,Zephaniah,N‑proper‑ms,H6846,Zephaniah,1,5,6
בֶּן־,H1121,ben-,the son of,N‑msc,H1121,Zephaniah,1,6,6
כּוּשִׁ֣י,H3569,kū·šî,Cushi,N‑proper‑ms,H3569,Zephaniah,1,7,6
בֶן־,H1121,ḇen-,the son,N‑msc,H1121,Zephaniah,1,8,6
גְּדַלְיָ֔ה,H1436,"gə·ḏal·yāh,",of Gedaliah,N‑proper‑ms,H1436,Zephaniah,1,9,6
בֶּן־,H1121,ben-,the son,N‑msc,H1121,Zephaniah,1,10,6
אֲמַרְיָ֖ה,H568,’ă·mar·yāh,of Amariah,N‑proper‑ms,H568,Zephaniah,1,11,6
בֶּן־,H1121,ben-,the son,N‑msc,H1121,Zephaniah,1,12,6
חִזְקִיָּ֑ה,H2396,ḥiz·qî·yāh;,of Hezekiah,N‑proper‑ms,H2396,Zephaniah,1,13,6
בִּימֵ֛י,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Zephaniah,1,14,6
יֹאשִׁיָּ֥הוּ,H2977,yō·šî·yā·hū,of Josiah,N‑proper‑ms,H2977,Zephaniah,1,15,6
בֶן־,H1121,ḇen-,son,N‑msc,H1121,Zephaniah,1,16,6
אָמ֖וֹן,H526,’ā·mō·wn,of Amon,N‑proper‑ms,H526,Zephaniah,1,17,6
מֶ֥לֶךְ,H4428,me·leḵ,king,N‑msc,H4428,Zephaniah,1,18,6
יְהוּדָֽה׃,H3063,yə·hū·ḏāh.,of Judah,N‑proper‑ms,H3063,Zephaniah,1,19,6
אָסֵ֜ף,H622,’ā·sêp̄,I will consume,V‑Hifil‑Imperf.Jus‑1cs,H622,Zephaniah,1,20,6
כֹּ֗ל,H3605,"kōl,",everything,N‑ms,H3605,Zephaniah,1,21,6
מֵעַ֛ל,H5921,mê·‘al,from,Prep‑m,H5921,Zephaniah,1,22,6
פְּנֵ֥י,H6440,pə·nê,the face,N‑cpc,H6440,Zephaniah,1,23,6
הָאֲדָמָ֖ה,H127,hā·’ă·ḏā·māh,of the land,Art | N‑fs,H127,Zephaniah,1,24,6
נְאֻם־,H5002,nə·’um-,says,N‑msc,H5002,Zephaniah,1,25,6
יְהוָֽה׃,H3068,Yah·weh.,Yahweh,N‑proper‑ms,H3068,Zephaniah,1,26,6
אָדָ֜ם,H120,’ā·ḏām,man,N‑ms,H120,Zephaniah,1,27,6
וּבְהֵמָ֗ה,H929,"ū·ḇə·hê·māh,",and beast,Conj‑w | N‑fs,H929,Zephaniah,1,28,6
אָסֵ֤ף,H622,’ā·sêp̄,I will consume,V‑Hifil‑Imperf.Jus‑1cs,H622,Zephaniah,1,29,6
עוֹף־,H5775,‘ō·wp̄-,the birds,N‑msc,H5775,Zephaniah,1,30,6
הַשָּׁמַ֙יִם֙,H8064,haš·šā·ma·yim,of the heavens,Art | N‑mp,H8064,Zephaniah,1,31,6
וּדְגֵ֣י,H1709,ū·ḏə·ḡê,and the fish,Conj‑w | N‑mpc,H1709,Zephaniah,1,32,6
הַיָּ֔ם,H3220,"hay·yām,",of the sea,Art | N‑ms,H3220,Zephaniah,1,33,6
וְהַמַּכְשֵׁל֖וֹת,H4384,wə·ham·maḵ·šê·lō·wṯ,and the stumbling blocks,"Conj‑w, Art | N‑fp",H4384,Zephaniah,1,34,6
אֶת־,H854,’eṯ-,with,Prep,H854,Zephaniah,1,35,6
הָרְשָׁעִ֑ים,H7563,hā·rə·šā·‘îm;,the along with wicked,Art | Adj‑mp,H7563,Zephaniah,1,36,6
וְהִכְרַתִּ֣י,H3772,wə·hiḵ·rat·tî,and I will cut off,Conj‑w | V‑Hifil‑ConjPerf‑1cs,H3772,Zephaniah,1,37,6
אֶת־,H853,’eṯ-,-,DirObjM,H853,Zephaniah,1,38,6
