hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
צְפַנְיָה֙,H6846,ṣə·p̄an·yāh,Zephaniah,N‑proper‑ms,H6846,Zephaniah,1,5,6
כּוּשִׁ֣י,H3569,kū·šî,Cushi,N‑proper‑ms,H3569,Zephaniah,1,7,6
גְּדַלְיָ֔ה,H1436,"gə·ḏal·yāh,",of Gedaliah,N‑proper‑ms,H1436,Zephaniah,1,9,6
אֲמַרְיָ֖ה,H568,’ă·mar·yāh,of Amariah,N‑proper‑ms,H568,Zephaniah,1,11,6
יֹאשִׁיָּ֥הוּ,H2977,yō·šî·yā·hū,of Josiah,N‑proper‑ms,H2977,Zephaniah,1,15,6
אָמ֖וֹן,H526,’ā·mō·wn,of Amon,N‑proper‑ms,H526,Zephaniah,1,17,6
הַבַּ֔עַל,H1168,"hab·ba·‘al,",of Baal,Art | N‑proper‑ms,H1168,Zephaniah,1,58,6
הַכְּמָרִ֖ים,H3649,hak·kə·mā·rîm,of the idolatrous priests,Art | N‑mp,H3649,Zephaniah,1,61,6
בְּמַלְכָּֽם׃,H4445,bə·mal·kām.,by Milcom,Prep‑b | N‑msc | 3mp,H4445,Zephaniah,1,74,6
הַמִּפְתָּ֖ן,H4670,ham·mip̄·tān,the threshold,Art | N‑ms,H4670,Zephaniah,1,116,6
הַמַּכְתֵּ֑שׁ,H4389,ham·maḵ·têš;,of Maktesh,Art | N‑ms,H4389,Zephaniah,1,139,6
נְטִ֥ילֵי,H5187,nə·ṭî·lê,those who handle,N‑mpc,H5187,Zephaniah,1,147,6
בַּנֵּר֑וֹת,H5216,ban·nê·rō·wṯ;,with lamps,"Prep‑b, Art | N‑mp",H5216,Zephaniah,1,154,6
הַקֹּֽפְאִים֙,H7087,haq·qō·p̄ə·’îm,who are settled,Art | V‑Qal‑Prtcpl‑mp,H7087,Zephaniah,1,158,6
וּמַהֵ֣ר,H4118,ū·ma·hêr,and hastens,Conj‑w | Adv,H4118,Zephaniah,1,186,6
וּמְצוּקָ֗ה,H4691,"ū·mə·ṣū·qāh,",and distress,Conj‑w | N‑fs,H4691,Zephaniah,1,200,6
וּמְשׁוֹאָ֔ה,H4875,"ū·mə·šō·w·’āh,",and desolation,Conj‑w | N‑fs,H4875,Zephaniah,1,203,6
וּתְרוּעָ֑ה,H8643,ū·ṯə·rū·‘āh;,and alarm,Conj‑w | N‑fs,H8643,Zephaniah,1,211,6
וּלְחֻמָ֖ם,H3894,ū·lə·ḥu·mām,and their flesh,Conj‑w | N‑msc | 3mp,H3894,Zephaniah,1,227,6
כַּגְּלָלִֽים׃,H1561,kag·gə·lā·lîm.,like refuse,"Prep‑k, Art | N‑mp",H1561,Zephaniah,1,228,6
וָק֑וֹשּׁוּ,H7197,wā·qō·wōš·šū;,and yes gather together,Conj‑w | V‑Qal‑Imp‑mp,H7197,Zephaniah,2,252,6
נִכְסָֽף׃,H3700,niḵ·sāp̄.,undesirable,V‑Nifal‑Perf‑3ms,H3700,Zephaniah,2,255,6
עֲנָוָ֔ה,H6038,"‘ă·nā·wāh,",humility,N‑fs,H6038,Zephaniah,2,286,6
עַזָּה֙,H5804,‘az·zāh,Gaza,N‑proper‑fs,H5804,Zephaniah,2,292,6
וְאַשְׁקְל֖וֹן,H831,wə·’aš·qə·lō·wn,and Ashkelon,Conj‑w | N‑proper‑fs,H831,Zephaniah,2,295,6
וְעֶקְר֖וֹן,H6138,wə·‘eq·rō·wn,and Ekron,Conj‑w | N‑proper‑fs,H6138,Zephaniah,2,300,6
תֵּעָקֵֽר׃,H6131,tê·‘ā·qêr.,shall be uprooted,V‑Nifal‑Imperf‑3fs,H6131,Zephaniah,2,301,6
כְּרֵתִ֑ים,H3774,kə·rê·ṯîm;,of the Cherethites,N‑proper‑mp,H3774,Zephaniah,2,306,6
כְּרֹ֥ת,H3741,kə·rōṯ,with shelters for,N‑fpc,H3741,Zephaniah,2,319,6
וְגִדְר֥וֹת,H1448,wə·ḡiḏ·rō·wṯ,and folds for,Conj‑w | N‑fpc,H1448,Zephaniah,2,321,6
(שְׁבִיתָֽם׃),H7622,šə·ḇî·ṯām.,their captives,N‑fsc | 3mp,H7622,Zephaniah,2,338,6
מִמְשַׁ֥ק,H4476,mim·šaq,Overrun with,N‑msc,H4476,Zephaniah,2,365,6
חָר֛וּל,H2738,ḥā·rūl,weeds,N‑ms,H2738,Zephaniah,2,366,6
מֶ֥לַח,H4417,me·laḥ,saltpits,N‑ms,H4417,Zephaniah,2,368,6
בְּכַפְתֹּרֶ֖יהָ,H3730,bə·ḵap̄·tō·re·hā,on the capitals [of] her [pillars],Prep‑b | N‑mpc | 3fs,H3730,Zephaniah,2,428,6
בַּֽחַלּוֹן֙,H2474,ba·ḥal·lō·wn,in the windows,"Prep‑b, Art | N‑cs",H2474,Zephaniah,2,432,6
אַרְזָ֖ה,H731,’ar·zāh,the cedar work,N‑fs,H731,Zephaniah,2,436,6
מַרְבֵּץ֙,H4769,mar·bêṣ,a resting place,N‑ms,H4769,Zephaniah,2,450,6
מֹרְאָ֖ה,H4754,mō·rə·’āh,to her who is rebellious,V‑Qal‑Prtcpl‑fs,H4754,Zephaniah,3,458,6
גָרְמ֖וּ,H1633,ḡā·rə·mū,that leave a bone,V‑Qal‑Perf‑3cp,H1633,Zephaniah,3,481,6
פֹּֽחֲזִ֔ים,H6348,"pō·ḥă·zîm,",insolent,V‑Qal‑Prtcpl‑mp,H6348,Zephaniah,3,483,6
בֹּֽגְד֑וֹת,H900,bō·ḡə·ḏō·wṯ;,treacherous,N‑fp,H900,Zephaniah,3,485,6
חָמְס֖וּ,H2554,ḥā·mə·sū,they have done violence to,V‑Qal‑Perf‑3cp,H2554,Zephaniah,3,489,6
