hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
יְהוָה֙,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Joel,1,1,7
אֲשֶׁ֣ר,H834,’ă·šer,that,Pro‑r,H834,Joel,1,2,7
הָיָ֔ה,H1961,"hā·yāh,",came,V‑Qal‑Perf‑3ms,H1961,Joel,1,3,7
אֶל־,H413,’el-,to,Prep,H413,Joel,1,4,7
יוֹאֵ֖ל,H3100,yō·w·’êl,Joel,N‑proper‑ms,H3100,Joel,1,5,7
בֶּן־,H1121,ben-,son,N‑msc,H1121,Joel,1,6,7
פְּתוּאֵֽל׃,H6602,pə·ṯū·’êl.,of Pethuel,N‑proper‑ms,H6602,Joel,1,7,7
זֹאת֙,H2063,zōṯ,this,Pro‑fs,H2063,Joel,1,8,7
הַזְּקֵנִ֔ים,H2205,"haz·zə·qê·nîm,",you elders,Art | Adj‑mp,H2205,Joel,1,9,7
וְהַֽאֲזִ֔ינוּ,H238,"wə·ha·’ă·zî·nū,",and give ear,Conj‑w | V‑Hifil‑Imp‑mp,H238,Joel,1,10,7
כֹּ֖ל,H3605,kōl,all,N‑msc,H3605,Joel,1,11,7
יוֹשְׁבֵ֣י,H3427,yō·wō·šə·ḇê,you inhabitants,V‑Qal‑Prtcpl‑mpc,H3427,Joel,1,12,7
הָאָ֑רֶץ,H776,hā·’ā·reṣ;,of the land,Art | N‑fs,H776,Joel,1,13,7
בִּֽימֵיכֶ֔ם,H3117,"bî·mê·ḵem,",in your days,Prep‑b | N‑mpc | 2mp,H3117,Joel,1,16,7
וְאִ֖ם,H518,wə·’im,Or even,Conj‑w | Conj,H518,Joel,1,17,7
אֲבֹֽתֵיכֶֽם׃,H1,’ă·ḇō·ṯê·ḵem.,of your fathers,N‑mpc | 2mp,H1,Joel,1,19,7
סַפֵּ֑רוּ,H5608,sap·pê·rū;,Tell,V‑Piel‑Imp‑mp,H5608,Joel,1,21,7
לְד֥וֹר,H1755,lə·ḏō·wr,generation,Prep‑l | N‑ms,H1755,Joel,1,25,7
אַחֵֽר׃,H312,’a·ḥêr.,another,Adj‑ms,H312,Joel,1,26,7
הַגָּזָם֙,H1501,hag·gā·zām,the chewing locust,Art | N‑ms,H1501,Joel,1,27,7
אָכַ֣ל,H398,’ā·ḵal,has eaten,V‑Qal‑Perf‑3ms,H398,Joel,1,28,7
הָֽאַרְבֶּ֔ה,H697,"hā·’ar·beh,",the swarming locust,Art | N‑ms,H697,Joel,1,29,7
וְיֶ֥תֶר,H3499,wə·ye·ṯer,and what left,Conj‑w | N‑msc,H3499,Joel,1,30,7
הַיָּ֑לֶק,H3218,hay·yā·leq;,the crawling locust,Art | N‑ms,H3218,Joel,1,33,7
הֶחָסִֽיל׃,H2625,he·ḥā·sîl.,the consuming locust,Art | N‑ms,H2625,Joel,1,37,7
שִׁכּוֹרִים֙,H7910,šik·kō·w·rîm,you drunkards,Adj‑mp,H7910,Joel,1,38,7
וּבְכ֔וּ,H1058,"ū·ḇə·ḵū,",and weep,Conj‑w | V‑Qal‑Imp‑mp,H1058,Joel,1,39,7
וְהֵילִ֖לוּ,H3213,wə·hê·li·lū,and wail,Conj‑w | V‑Hifil‑Imp‑mp,H3213,Joel,1,40,7
שֹׁ֣תֵי,H8354,šō·ṯê,you drinkers,V‑Qal‑Prtcpl‑mpc,H8354,Joel,1,42,7
יָ֑יִן,H3196,yā·yin;,of wine,N‑ms,H3196,Joel,1,43,7
עַל־,H5921,‘al-,because,Prep,H5921,Joel,1,44,7
עָסִ֕יס,H6071,‘ā·sîs,of the new wine,N‑ms,H6071,Joel,1,45,7
כִּ֥י,H3588,kî,for,Conj,H3588,Joel,1,46,7
נִכְרַ֖ת,H3772,niḵ·raṯ,it has been cut off,V‑Nifal‑Perf‑3ms,H3772,Joel,1,47,7
מִפִּיכֶֽם׃,H6310,mip·pî·ḵem.,from your mouth,Prep‑m | N‑msc | 2mp,H6310,Joel,1,48,7
גוֹי֙,H1471,ḡō·w,a nation,N‑ms,H1471,Joel,1,49,7
עָלָ֣ה,H5927,‘ā·lāh,has come up,V‑Qal‑Perf‑3ms,H5927,Joel,1,50,7
